와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,양조,숙성
"도멘 파파기안나코스, 사바티아노 올드 바인","Domaine Papagiannakos, Savatiano Old Vines",https://www.wine21.com/13_search/wine_view.html?Idx=165178&lq=LIST,도멘 파파기안나코스  Domaine Papagiannakos,그리스(Greece) / 센트럴 그리스 앤드 아티카(Central Greece and Attica),사바티아노 (Savatiano) 100%,,,8~10 ℃,"생선회, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,국순당,1/5,4/5,2/5,1/5,,,,,
"도멘 파파기안나코스, 사바티아노 바렐리","Domaine Papagiannakos, Savatiano Vareli",https://www.wine21.com/13_search/wine_view.html?Idx=165179&lq=LIST,도멘 파파기안나코스  Domaine Papagiannakos,그리스(Greece) / 센트럴 그리스 앤드 아티카(Central Greece and Attica),사바티아노 (Savatiano) 100%,,,8~10 ℃,"생선회, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,국순당,1/5,4/5,2/5,1/5,,,,,
"도멘 파파기안나코스, 아씨르티코","Domaine Papagiannakos, Assyrtiko",https://www.wine21.com/13_search/wine_view.html?Idx=165180&lq=LIST,도멘 파파기안나코스  Domaine Papagiannakos,그리스(Greece) / 센트럴 그리스 앤드 아티카(Central Greece and Attica),아시르티코 (Assyrtiko) 100%,,,8~10 ℃,"생선회, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,국순당,1/5,4/5,2/5,1/5,,,,,
"니트나우스, 베렌아우스레제 익스퀴짓","Nittnaus, Beerenauslese Exquisit",https://www.wine21.com/13_search/wine_view.html?Idx=165181&lq=LIST,니트나우스  Nittnaus,오스트리아(Austria) / 부르겐란트(Burgenland),그뤼너 벨트리너 (Gruner Veltliner) / 샤르도네 (Chardonnay) / 벨쉬리슬링 (Welschriesling) / 바이스부르군더 (Weissburgunder) / 쇼이레베 (Scheurebe),,,8~10 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",*2023 대한민국 주류대상 '화이트와인 구대륙 부문 대상',국순당,5/5,3/5,4/5,1/5,,샐러드,Austrian Grüner Veltliner,,
"니트나우스, 베렌아우스레제 익스퀴짓 로제","Nittnaus, Beerenauslese Exquisit Rose",https://www.wine21.com/13_search/wine_view.html?Idx=165182&lq=LIST,니트나우스  Nittnaus,오스트리아(Austria) / 부르겐란트(Burgenland),츠바이겔트 (Zweigelt) / 블라우프랜키쉬 (Blaufrankisch),,,6~8 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",,국순당,5/5,2/5,4/5,1/5,,샐러드,,,
"니트나우스, 트로켄베렌아우스레제 익스퀴짓","Nittnaus, Trockenbeerenauslese Exquisit",https://www.wine21.com/13_search/wine_view.html?Idx=165183&lq=LIST,니트나우스  Nittnaus,오스트리아(Austria) / 부르겐란트(Burgenland),쇼이레베 (Scheurebe) / 샤르도네 (Chardonnay),,,8~10 ℃,"브리, 블루, 로크포르 등 다양한 치즈, 건육, 과일, 타르트, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,국순당,5/5,3/5,5/5,1/5,,"건육, 과일",,,
"메리베일, 나파 밸리 카베르네 소비뇽","Merryvale, Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165184&lq=LIST,메리베일 빈야드  Merryvale Vineyards,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Napa Valley AVA,14~15 %,18~20 ℃,"소고기, 양고기, 사냥 고기, 갈비찜 등과 잘 어울린다.","*2014 빈티지: James Suckling  92점,Jebdunnuck.com 92점",,1/5,4/5,5/5,4/5,"토스트, 효모","소고기, 양고기, 갈비찜",Californian Cabernet Sauvignon,,
"메리베일, 세인트 헬레나 카베르네 소비뇽","Merryvale, St. Helena Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165185&lq=LIST,메리베일 빈야드  Merryvale Vineyards,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Napa Valley AVA,14~15 %,18~20 ℃,"소고기, 양고기, 사냥 고기, 갈비찜, 대창구이 등과 잘 어울린다.",,,1/5,4/5,5/5,5/5,"체리, 토스트, 오크","소고기, 양고기, 갈비찜",Californian Cabernet Sauvignon,,
"알타 시마, AC 4090 게뷔르츠트라미너","Alta Cima, AC 4090 Gewurztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=165186&lq=LIST,알타 시마  Alta Cima,칠레(Chile) / 쿠리코 밸리(Curico Valley) / 론투에 밸리(Lontue Valley),게뷔르츠트라미너 (Gewurztraminer) 100%,,12~13 %,8~10 ℃,"아시안 푸드, 튀김, 생선류 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,"레몬, 장미, 오크",튀김,Chilean Gewürztraminer,,
"알타 시마, AC 4090 카르미네르","Alta Cima, AC 4090 Carmenere",https://www.wine21.com/13_search/wine_view.html?Idx=165187&lq=LIST,알타 시마  Alta Cima,칠레(Chile) / 쿠리코 밸리(Curico Valley) / 론투에 밸리(Lontue Valley),카르메네르 (Carmenere) 86% / 쁘띠 베르도 (Petit Verdot) 10% / 메를로 (Merlot) 4%,,12~13 %,15~17 ℃,"소고기, 돼지고기, 갈비찜 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,민트,"소고기, 갈비찜",Chilean Carménère,,
"에프. 엑스 피클러, 그뤼너 벨트리너 엠 스마라그드","F.X Phchler, Gruner Veltliner M Smaragd",https://www.wine21.com/13_search/wine_view.html?Idx=165188&lq=LIST,바인굿 에프.엑스 피클러  Weingut F.X Pichler,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 바우(Wachau),그뤼너 벨트리너 (Gruner Veltliner) 100%,,14~15 %,10~12 ℃,"해산물, 돼지고기, 브리 치즈, 생선 요리 등과 잘 어울린다.",,,1/5,5/5,4/5,1/5,미네랄,해산물,Austrian Grüner Veltliner,,
"에프. 엑스  피클러, 리슬링 리에드 켈러베르크 스마라그드","F.X Pichler, Riesling Ried Kellerberg Smargd",https://www.wine21.com/13_search/wine_view.html?Idx=165189&lq=LIST,바인굿 에프.엑스 피클러  Weingut F.X Pichler,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 바우(Wachau),리슬링 (Riesling),,14~15 %,6~8 ℃,"해산물, 돼지고기, 브리치즈, 생선요리 등과 잘 어울린다.",,,1/5,5/5,4/5,1/5,"레몬, 꽃, 미네랄",해산물,Austrian Riesling,,
"에프. 엑스 피클러, 그뤼너 벨트리너 켈러베르크 스마라그드","F. X Pichler, Gruner Veltliner Ried Kellerberg Smaragd",https://www.wine21.com/13_search/wine_view.html?Idx=165190&lq=LIST,바인굿 에프.엑스 피클러  Weingut F.X Pichler,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 바우(Wachau),그뤼너 벨트리너 (Gruner Veltliner) 100%,,14~15 %,6~8 ℃,"해산물, 돼지고기, 브리 치즈, 생선 요리 등과 잘 어울린다.",,,1/5,5/5,4/5,1/5,"복숭아, 미네랄",해산물,Austrian Grüner Veltliner,,
"에프.엑스 피클러, 리슬링 우넨들리히 스마라그드","F.X Pichler, Riesling Unendlich Smaragd",https://www.wine21.com/13_search/wine_view.html?Idx=165191&lq=LIST,바인굿 에프.엑스 피클러  Weingut F.X Pichler,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 바우(Wachau),리슬링 (Riesling) 100%,,14~15 %,6~8 ℃,"해산물, 돼지고기, 브리 치즈, 생선요리 등과 잘 어울린다.",,,1/5,5/5,4/5,1/5,"꽃, 미네랄",해산물,Austrian Riesling,,
"바인굿 브룬들마이어, 젝트 엑스트라 브뤼","Weingut Brundlmayer, Sekt Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=165192&lq=LIST,바인굿 브룬들마이어  Weingut Brundlmayer,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 캄프탈(Kamptal),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,12~13 %,6~8 ℃,"해산물, 차가운 전채요리, 연어, 굴 등과 잘 어울린다.","*Vinum Magazine Austrain Sekt Guide 18/20, Top Sparkling Wine 선정*Robert Parker 93점*Wine Enthusiast 93점",,1/5,3/5,5/5,1/5,"레몬, 꽃, 비스켓, 오크, 효모","연어, 해산물, 전채요리",,,
"바인굿 브룬들마이어, 젝트 블랑 드 블랑 엑스트라 브뤼","Weingut Brundlmayer, Sekt Blanc de Blancs Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=165193&lq=LIST,바인굿 브룬들마이어  Weingut Brundlmayer,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 캄프탈(Kamptal),샤르도네 (Chardonnay) 100%,,12~13 %,6~8 ℃,"굴, 새우, 연어 등 다양한 전채요리와 어울린다.",*2019 Trophy Winner-Vinaria*2019 베스트 오스트리안 스파클링 와인 선정 Gault & Millau*2018 최고의 오스트리안 젝트 선정*Robert Parker 93점*Wine Enthusiast 94점,,1/5,3/5,5/5,1/5,"레몬, 꽃, 비스켓, 오크, 효모","연어, 새우, 전채요리",,,
"바인굿 브룬들마이어, 람 그뤼너 벨트리너","Weingut Brundlmayer, Lamm Grunerveltliner",https://www.wine21.com/13_search/wine_view.html?Idx=165194&lq=LIST,바인굿 브룬들마이어  Weingut Brundlmayer,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 캄프탈(Kamptal),그뤼너 벨트리너 (Gruner Veltliner) 100%,,13~14 %,6~8 ℃,"돼지고기, 바비큐, 로스트 치킨, 흰살생선, 샐러드, 건육, 하몽, 프로슈토, 동남아요리, 아시아요리 등과 잘 어울린다.",*Frlstaff 94점*Robert Parker 94점*James Suckling 97점,,1/5,5/5,3/5,1/5,"사과, 파인애플, 아카시아, 생강, 오크, 흙","치킨, 흰살생선, 샐러드",Austrian Grüner Veltliner,,
"알데게리, 알데 3.0 트렌토 엑스트라 브뤼","Aldegheri SRL, Alde 3.0 Trento Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=165195&lq=LIST,알데게리   Aldegheri SRL,이탈리아(Italy) / 베네토(Veneto),샤르도네 (Chardonnay),,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
"알데게리, 루가나 카페를라","Aldegheri SRL, Lugana Ca'Perlar",https://www.wine21.com/13_search/wine_view.html?Idx=165196&lq=LIST,알데게리   Aldegheri SRL,이탈리아(Italy) / 베네토(Veneto),트레비아노 (Trebbiano),,,10~12 ℃,"생선회, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,,,,
"알데게리, 아마로네 클라시코 산탐브로지오","Aldegheri SRL, Amarone Classico Sant'Ambrogio",https://www.wine21.com/13_search/wine_view.html?Idx=165197&lq=LIST,알데게리   Aldegheri SRL,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 론디넬라 (Rondinella) / 몰리나라 (Molinara),,,17~19 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,,2/5,2/5,5/5,3/5,,"양고기, 치즈",,,
"알데게리, 센지아로싸 로쏘 베로네제","Aldegheri SRL, Sengiarossa Rosso Veronese",https://www.wine21.com/13_search/wine_view.html?Idx=165198&lq=LIST,알데게리   Aldegheri SRL,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 론디넬라 (Rondinella) / 메를로 (Merlot),,,17~19 ℃,"오리로스, 닭고기, 버섯, 튀김, 프로슈토, 피자, 파스타와 잘 어울린다.",,,1/5,3/5,2/5,2/5,,"프로슈토, 튀김, 버섯",,,
"알데게리, 발폴리첼라 클라시코 수페리오레 리파소","Aldegheri SRL, Valpolicella Classico Superiore Ripasso",https://www.wine21.com/13_search/wine_view.html?Idx=165199&lq=LIST,알데게리   Aldegheri SRL,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 론디넬라 (Rondinella) / 코르비노네 (Corvinone),,,17~19 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,2/5,,"양고기, 치즈",,,
"아덴기, 코네그리아노 발도비아데네 프로세코 수페리오네 밀레지마토 엑스트라 드라이","Ardenghi, Conegliano Valdobbiadene Prosecco Superiore Millesimato Extra Dry",https://www.wine21.com/13_search/wine_view.html?Idx=165200&lq=LIST,아덴기  Ardenghi,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 100%,,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
"아덴기, 프로세코 트레비소 엑스트라 드라이","Ardenghi, Prosecco Treviso Extra Dry",https://www.wine21.com/13_search/wine_view.html?Idx=165201&lq=LIST,아덴기  Ardenghi,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 100%,,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,
"아덴기, 피노 그리지오 베네토","Ardenghi, Pinot Grigio Veneto",https://www.wine21.com/13_search/wine_view.html?Idx=165202&lq=LIST,아덴기  Ardenghi,이탈리아(Italy) / 베네토(Veneto),피노 그리지오 (Pinot Grigio) 100%,,,10~12 ℃,"흰살생선, 샐러드, 건육, 하몽, 프로슈토, 동남아요리, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,"흰살생선, 파스타, 동남아요리, 샐러드",,,
"소시에타 아그리콜라 비아지, 애쉬","Societa' Agricola F.lli Biagi S.S., Ashe",https://www.wine21.com/13_search/wine_view.html?Idx=165203&lq=LIST,소시에타 아그리콜라 비아지   Societa' Agricola F.lli Biagi S.S.,이탈리아(Italy) / 아브루쪼(Abruzzo),트레비아노 (Trebbiano) 80% / 샤르도네 (Chardonnay) 20%,,,10~12 ℃,"생선회, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,,,,
"소시에타 아그리콜라 비아지, 이프노시","Societa' Agricola F.lli Biagi S.S., Ipnosi",https://www.wine21.com/13_search/wine_view.html?Idx=165204&lq=LIST,소시에타 아그리콜라 비아지   Societa' Agricola F.lli Biagi S.S.,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 양고기, 훈제오리, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"양고기, 훈제오리, 치즈",,,
"소시에타 아그리콜라 비아지, 말바지아","Societa' Agricola F.lli Biagi S.S., Malvasia",https://www.wine21.com/13_search/wine_view.html?Idx=165205&lq=LIST,소시에타 아그리콜라 비아지   Societa' Agricola F.lli Biagi S.S.,이탈리아(Italy) / 아브루쪼(Abruzzo),말바시아 (Malvasia),,,16~18 ℃,"양갈비, 양고기, 스테이크, 살라미, 견과류, 말린과일 과 잘 어울린다.",,,3/5,2/5,4/5,2/5,,"스테이크, 살라미, 견과류",,,
"소시에타 아그리콜라 비아지, 트레비아노 다브로쪼","Societa' Agricola F.lli Biagi S.S., Trebbiano d'Abruzzo",https://www.wine21.com/13_search/wine_view.html?Idx=165206&lq=LIST,소시에타 아그리콜라 비아지   Societa' Agricola F.lli Biagi S.S.,이탈리아(Italy) / 아브루쪼(Abruzzo),트레비아노 (Trebbiano),,,10~12 ℃,"생선회, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,,,,
"소시에타 아그리콜라 비아지, 파쎄리나","Societa' Agricola F.lli Biagi S.S., Passerina",https://www.wine21.com/13_search/wine_view.html?Idx=165207&lq=LIST,소시에타 아그리콜라 비아지   Societa' Agricola F.lli Biagi S.S.,이탈리아(Italy) / 아브루쪼(Abruzzo),파세리나 (Passerina),,,10~12 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,치즈,,,
"소시에타 아그리콜라 비아지, 페코리노","Societa' Agricola F.lli Biagi S.S., Pecorino",https://www.wine21.com/13_search/wine_view.html?Idx=165208&lq=LIST,소시에타 아그리콜라 비아지   Societa' Agricola F.lli Biagi S.S.,이탈리아(Italy) / 아브루쪼(Abruzzo),페코리노 (Pecorino),,,10~12 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,치즈,,,
"소시에타 아그리콜라 비아지, 레트로","Societa' Agricola F.lli Biagi S.S., Retro",https://www.wine21.com/13_search/wine_view.html?Idx=165209&lq=LIST,소시에타 아그리콜라 비아지   Societa' Agricola F.lli Biagi S.S.,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 양고기, 훈제오리, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"양고기, 훈제오리, 치즈",,,
"테누테 팔레짜, 아마로네 델라 발폴리첼라","Tenute Falezza, Amarone della Valpolicella",https://www.wine21.com/13_search/wine_view.html?Idx=165210&lq=LIST,테누테 팔레짜   Tenute Falezza,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 오세레타 (Oseleta),,,17~19 ℃,"스테이크, 양고기, 오리고기, 갈비, 등심, 갈비찜, 바비큐, 블루 치즈, 리조토 와 잘 어울린다.",,,2/5,2/5,5/5,4/5,,"바비큐, 양고기, 오리고기, 갈비찜, 리조토, 치즈",,,
"테누테 팔레짜, 아마로네 델라 발폴리첼라 리제르바","Tenute Falezza, Amarone della Valpolicella Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=165211&lq=LIST,테누테 팔레짜   Tenute Falezza,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 오세레타 (Oseleta),,,17~19 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,,2/5,2/5,5/5,3/5,,"양고기, 치즈",,,
"테누테 팔레짜, 레치오토 델라 발폴리첼라","Tenute Falezza, Recioto della Valpolicella",https://www.wine21.com/13_search/wine_view.html?Idx=165212&lq=LIST,테누테 팔레짜   Tenute Falezza,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 오세레타 (Oseleta),,,10~12 ℃,"스테이크, 양고기, 오리고기, 갈비, 등심, 갈비찜, 바비큐, 블루 치즈, 리조토 와 잘 어울린다.",,,5/5,3/5,5/5,1/5,,"바비큐, 양고기, 오리고기, 갈비찜, 리조토, 치즈",,,
"테누테 팔레짜, 발폴리첼라 리파소 수페리오레","Tenute Falezza, Valpolicella Ripasso Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=165213&lq=LIST,테누테 팔레짜   Tenute Falezza,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 오세레타 (Oseleta),,,17~19 ℃,"가금류, 오리고기, 닭고기, 붉은살생선, 푸아그라, 부드러운 치즈와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"붉은살생선, 치즈",,,
"테누테 팔레짜, 파라이아 베로나","Tenute Falezza, Falaia Verona",https://www.wine21.com/13_search/wine_view.html?Idx=165214&lq=LIST,테누테 팔레짜   Tenute Falezza,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 코르비노네 (Corvinone),,,17~19 ℃,"스테이크, 양고기, 오리고기, 갈비, 등심, 갈비찜, 바비큐, 블루 치즈, 리조토 와 잘 어울린다.",,,1/5,3/5,3/5,2/5,,"바비큐, 양고기, 오리고기, 갈비찜, 리조토, 치즈",,,
"테누테 팔레짜, 비앙코 데이 팔레짜 베로나","Tenute Falezza, Bianco dei Falezza Verona",https://www.wine21.com/13_search/wine_view.html?Idx=165215&lq=LIST,테누테 팔레짜   Tenute Falezza,이탈리아(Italy) / 베네토(Veneto),가르가네가 (Garganega),,,8~10 ℃,"스시, 회, 다양한 치즈, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,,1/5,4/5,1/5,1/5,,"스시, 파스타, 치즈",,,
"바르바네라, 토스카나 로쏘 베키아노","Barbanera S.R.L., Toscana Rosso Vecciano",https://www.wine21.com/13_search/wine_view.html?Idx=165216&lq=LIST,바르바네라  Barbanera S.R.L.,이탈리아(Italy) / 토스카나(Toscana),,,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 건육, 프로슈토, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"붉은육류, 치즈",,,
"바르바네라, 토스카나 비앙코 피안 오로","Barbanera S.R.L., Toscana Bianco Pian Oro",https://www.wine21.com/13_search/wine_view.html?Idx=165217&lq=LIST,바르바네라  Barbanera S.R.L.,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay) / 말바시아 (Malvasia) / 트레비아노 (Trebbiano) / 모스카토  (Moscato ),,,10~12 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,치즈,,,
"바르바네라, 토스카나 로소 시르 파쏘","Barbanera S.R.L., Toscana Rosso Sir Passo",https://www.wine21.com/13_search/wine_view.html?Idx=165218&lq=LIST,바르바네라  Barbanera S.R.L.,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,,17~19 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"붉은육류, 치즈",,,
"바르바네라, 토스카나 로쏘 고베르노 알루쏘 토스카노","Barbanera S.R.L., Toscana Rosso Governo all'uso toscano",https://www.wine21.com/13_search/wine_view.html?Idx=165219&lq=LIST,바르바네라  Barbanera S.R.L.,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"붉은육류, 치즈",,,
"바르바네라, 키안티 고베르노 알루소 토스카토","Barbanera S.R.L., Chianti Governo all'uso toscano",https://www.wine21.com/13_search/wine_view.html?Idx=165220&lq=LIST,바르바네라  Barbanera S.R.L.,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),,,16~18 ℃,"돼지고기, 바비큐, 소시지, 꼬치구이, 훈제오리, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,"훈제오리, 치즈",,,
바르바네라 프리미티보 알키미아,"Barbanera S.R.L., Primitivo Alchymia",https://www.wine21.com/13_search/wine_view.html?Idx=165223&lq=LIST,바르바네라  Barbanera S.R.L.,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),,,17~19 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,,2/5,2/5,5/5,3/5,,"살라미, 견과류, 치즈",,,
"바르바네라, 네로 디 트로이아","Barbanera S.R.L., Nero di Troia",https://www.wine21.com/13_search/wine_view.html?Idx=165224&lq=LIST,바르바네라  Barbanera S.R.L.,이탈리아(Italy) / 뿔리아(Puglia),네로 디 트로이아  (Nero di Troia),,,16~18 ℃,"로스트비프, 그릴요리, 양고기, 소프트 치즈, 라자냐, 파스타 와 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"양고기, 치즈",,,
"바르바네라, 다 우베 레게르멘테 아파시테","Barbanera S.R.L., da uve leggermente appassite",https://www.wine21.com/13_search/wine_view.html?Idx=165225&lq=LIST,바르바네라  Barbanera S.R.L.,이탈리아(Italy) / 뿔리아(Puglia),블렌드 (Blend ),,,16~18 ℃,"로스트비프, 그릴요리, 양고기, 소프트 치즈, 라자냐, 파스타 와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"양고기, 치즈",,,
"바르바네라, 비노 오떼누토 다 우베 아파시토 파쏘네","Barbanera S.R.L., Vino ottenuto da uve appassite Passone",https://www.wine21.com/13_search/wine_view.html?Idx=165226&lq=LIST,바르바네라  Barbanera S.R.L.,이탈리아(Italy) / 뿔리아(Puglia),블렌드 (Blend ),,,16~18 ℃,"스테이크, 양고기, 오리고기, 갈비, 등심, 갈비찜, 바비큐, 블루 치즈, 리조토 와 잘 어울린다.",,,1/5,3/5,4/5,4/5,,"바비큐, 양고기, 오리고기, 갈비찜, 리조토, 치즈",,,
"바르바네라, 비노 로쏘 로페라","Barbanera S.R.L., Vino Rosso L'Opera",https://www.wine21.com/13_search/wine_view.html?Idx=165227&lq=LIST,바르바네라  Barbanera S.R.L.,이탈리아(Italy),산지오베제 (Sangiovese) / 네로 다볼라 (Nero d'Avola) / 시라/쉬라즈 (Syrah/Shiraz),,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 훈제오리, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"붉은육류, 훈제오리, 치즈",,,
"보에리 비니, 바르베라 다스티","Boeri Vini, Barbera d'Asti",https://www.wine21.com/13_search/wine_view.html?Idx=165228&lq=LIST,보에리 비니   Boeri Vini,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),바르베라 (Barbera),Barbera d'Asti DOCG(DOP),,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,족발,,,
"테누타 카스테아니, 투리오네","Tenuta Casteani, Turione",https://www.wine21.com/13_search/wine_view.html?Idx=165229&lq=LIST,테누타 카스테아니   Tenuta Casteani,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 메를로 (Merlot),,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 훈제오리, 파스타, 피자, 다양한 치즈와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"붉은육류, 훈제오리, 치즈",,,
"테누타 카스테아니, 세린","Tenuta Casteani, Serin",https://www.wine21.com/13_search/wine_view.html?Idx=165230&lq=LIST,테누타 카스테아니   Tenuta Casteani,이탈리아(Italy) / 토스카나(Toscana),베르멘티노 (Vermentino),,,8~10 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,,1/5,3/5,2/5,1/5,,치즈,,,
