와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,알코올,기타정보
"알피에리, 스푸만테 브뤼","Alfieri, Spumante Brut",https://www.wine21.com/13_search/wine_view.html?Idx=172602&lq=LIST,알피에리  Alfieri,이탈리아(Italy) / 피에몬테(Piemonte),피노 네로 (Pinot Nero) / 샤르도네 (Chardonnay),,수확한 포도를 부드럽게 압착하고 껍질을  분리하여 발효,스테인리스 탱크에서 2차 자연 발효를 진행한 뒤  숙성 후 병입,6~8 ℃,"빵, 치즈, 새우 요리 등과 잘 어울린다.",지에프비노,1/5,4/5,2/5,1/5,,"새우, 치즈",,11~12 %,
"알피에리, 스푸만테 모스카토","Alfieri, Spumante Moscato",https://www.wine21.com/13_search/wine_view.html?Idx=172603&lq=LIST,알피에리  Alfieri,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ),,,,6~8 ℃,"열대과일, 디저트 아페리티보 등과 잘 어울린다.",지에프비노,3/5,3/5,2/5,1/5,복숭아,디저트,,6~7 %,
"콜도르치아, 파씨나 모스카텔로 디 몬탈치노","Col d'Orcia, Pascena Moscadello di  Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=172604&lq=LIST,콜도르치아  Col d'Orcia,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),뮈스까 (Muscat) 100%,,손수 선별하여  수확한 포도를 부드럽게 압착하여 통제된  온도에서 천천히 발효,"새오크통에서 1년, 병입 후 6개월간 숙성",10~12 ℃,"블루치즈, 신선한 과일, 비스킷, 각종 디저트와 잘 어울린다.",지에프비노,3/5,3/5,2/5,1/5,"살구, 말린과일, 흰꽃, 미네랄, 아몬드","과일, 치즈, 디저트, 스낵",,12~13 %,
"파토리아 라 비알라, 카사 콘포르토","Fattoria La Vialla, Casa Conforto",https://www.wine21.com/13_search/wine_view.html?Idx=172605&lq=LIST,파토리아 라 비알라  Fattoria La Vialla,이탈리아(Italy) / 토스카나(Toscana),트레비아노 (Trebbiano),,수확한 포도들 중 분홍빛을 띠며 황금빛 뉘앙스로 가득 차 있는 포도알을 선별하여  17도에서 15~18일동안 발효,,8~10 ℃,"생선류, 치즈, 흰 살 육류등과 잘 어울린다.",지에프비노,1/5,3/5,2/5,1/5,"아카시아, 꿀",치즈,,14~15 %,
"파토리아 라 비알라, 카사 콘포르토 키안티 수페리오레","Fattoria La Vialla, Casa Conforto Chianti Superiore",https://www.wine21.com/13_search/wine_view.html?Idx=172606&lq=LIST,파토리아 라 비알라  Fattoria La Vialla,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 메를로 (Merlot) / 카나이올로 (Canaiolo),,26도의 온도에서 15~18일간 발효,"오크통에서 5개월간의  숙성을 거친 산지오베제 90%와 소량의 멀롯,  카나이올로 품종을 블렌딩",14~16 ℃,"육류, 치즈 , 파스타 등과 잘 어울린다.",지에프비노,1/5,3/5,3/5,4/5,,"파스타, 치즈",,13~14 %,
"파토리아 라 비알라, 카사 콘포르토 키안티 리제르바","Fattoria La Vialla, Casa Conforto Chianti Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=172607&lq=LIST,파토리아 라 비알라  Fattoria La Vialla,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카나이올로 (Canaiolo),,세 품종을 각각 발효한 뒤 산지오베제와 카나이올로를 블렌딩,"12개월간 오크통에서 숙성, 최소 3개월의 추가  병숙성",14~16 ℃,"파파르델레, 육류, 퐁듀와 잘 어울린다.",지에프비노,1/5,3/5,3/5,3/5,허브,,,,
"파토리아 라 비알라, 토르볼리노 논 필트라토","Fattoria La Vialla, Torbolino Non Filtrato",https://www.wine21.com/13_search/wine_view.html?Idx=172608&lq=LIST,파토리아 라 비알라  Fattoria La Vialla,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay) / 소비뇽 블랑 (Sauvignon Blanc) / 비오니에 (Viognier),,세종류의 포도에서 나온 과즙들을 따로  발효하여 블렌딩,,8~10 ℃,"해산물, 파스타, 야채요리등과 잘 어울린다.",지에프비노,1/5,3/5,2/5,1/5,"사과, 파인애플","해산물, 파스타, 야채",,13~14 %,
"파토리아 라 비알라, 누베로자","Fattoria La Vialla, NubeRosa",https://www.wine21.com/13_search/wine_view.html?Idx=172609&lq=LIST,파토리아 라 비알라  Fattoria La Vialla,이탈리아(Italy) / 토스카나(Toscana),트레비아노 (Trebbiano) / 피노 네로 (Pinot Nero) / 샤르도네 (Chardonnay),,"트레비아노를 두종류의 국제 품종과 블랜딩 후,  병입 전까지 효모 앙금과 접촉",,8~10 ℃,"에피타이저, 구운야채, 생선류 등과 잘 어울린다.",지에프비노,1/5,3/5,2/5,1/5,,야채,,12~13 %,
"파토리아 라 비알라, 산지오베제","Fattoria La Vialla, Sangiovese 100%",https://www.wine21.com/13_search/wine_view.html?Idx=172610&lq=LIST,파토리아 라 비알라  Fattoria La Vialla,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,,,14~16 ℃,,지에프비노,1/5,3/5,2/5,0/5,,,Tuscan Red,14~15 %,
"파토리아 라 비알라, 무싼티노","Fattoria La Vialla, Mussantino",https://www.wine21.com/13_search/wine_view.html?Idx=172611&lq=LIST,파토리아 라 비알라  Fattoria La Vialla,이탈리아(Italy) / 토스카나(Toscana),피노 네로 (Pinot Nero) / 트레비아노 (Trebbiano) / 샤르도네 (Chardonnay) / 토스카노 (Toscano),,세종류의 품종들을 각각 17도에서 따로 발효,,8~10 ℃,"리조또, 파스타 등과 잘 어울린다.",지에프비노,1/5,4/5,2/5,1/5,"사과, 바나나, 꽃, 호두",,,13~14 %,
"파토리아 라 비알라, 무싼티노 셀바티코","Fattoria La Vialla, Mussantino Selvatico",https://www.wine21.com/13_search/wine_view.html?Idx=172612&lq=LIST,파토리아 라 비알라  Fattoria La Vialla,이탈리아(Italy) / 토스카나(Toscana),피노 네로 (Pinot Nero),,"전통적인 스파클링  양조 방법을 사용하며, 어떠한 것도 첨가하지  않아 와인의 신선함과 본연의 아로마를 극대화",,6~8 ℃,"에피타이저, 팬케이크, 편육 등과 잘 어울린다.",지에프비노,1/5,4/5,2/5,1/5,"바나나, 꽃","편육, 케이크",,,
"데코르디, 카베르네 소비뇽","Decordi, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=172613&lq=LIST,데코르디 패밀리  The Decordi Family,이탈리아(Italy) / 베네토(Veneto),카베르네 소비뇽 (Cabernet Sauvignon),,,선별된 효모들과 철저히 온도를 관리할 수 있는  스테인리스 통에서 발효 및 숙성,16~18 ℃,"구운고기, 파스타, 계절 치즈등과 잘 어울린다.",지에프비노,1/5,3/5,4/5,4/5,바닐라,"파스타, 치즈",,,
"리비오 펠루가, 베르티고","Livio Felluga, Vertigo",https://www.wine21.com/13_search/wine_view.html?Idx=172614&lq=LIST,리비오 펠루가  Livio Felluga,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),메를로 (Merlot) / 레포스코 (Refosco) / 카베르네 소비뇽 (Cabernet Sauvignon),,도를 조심스럽게 수확 후 압착하여 철저히 온도를 관리하는 스테인리스스틸 탱크에서  껍질과 함께 발효,프렌치  오크통에서 숙성과정을 거친 뒤 철저한  온도관리가 이루지는 셀러에서 병 숙성,16~18 ℃,"전채요리, 로스트 돼지고기 또는 소고기, 육류요리, 적당히 숙성된 치즈 등과 잘 어울린다.",지에프비노,1/5,3/5,4/5,4/5,"자두, 시나몬, 코코아","전채요리, 치즈",,,
"리비오 펠루가, 일리비오","Livio Felluga, Illivio",https://www.wine21.com/13_search/wine_view.html?Idx=172615&lq=LIST,리비오 펠루가  Livio Felluga,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),샤르도네 (Chardonnay) / 피콜리 (Picolit) / 피노 비앙코 (Pinot Bianco),Friuli DOC(DOP),,약 10개월 동안  숙성되는 오크의 작은 통에서 제어된 온도에서 발효,12~14 ℃,"생선, 리조또, 신선한 치즈 등과 잘 어울린다.",지에프비노,1/5,3/5,2/5,1/5,"살구, 복숭아, 라임, 망고, 파인애플, 꽃, 육두구, 바닐라, 캐모마일, 코코넛","광어, 스시, 초밥, 생선회, 농어, 연어, 흰살생선, 파스타, 리조또, 치즈, 리코타, 크림치즈",Northern Italy White,13~14 %,
"리비오 펠루가, 아바지아 디 로자조","Livio Felluga, Abbazia di Rosazzo",https://www.wine21.com/13_search/wine_view.html?Idx=172616&lq=LIST,리비오 펠루가  Livio Felluga,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),프리울라노 (Friulano) / 소비뇽 블랑 (Sauvignon Blanc) / 피노 비앙코 (Pinot Bianco) / 말바시아 이스트리아나  (Malvasia Istriana ) / 리볼라 지알라 (Ribolla Gialla),,포도를 부드럽게 압착한 뒤 철저히 온도를  관리할 수 있는 스테인리스 탱크에서 발효,,12~14 ℃,"조개, 굴, 캐비어, 홍합, 해초와 같은 짠 음식, 흰 육류 등과 잘 어울린다.",지에프비노,1/5,3/5,2/5,1/5,"파인애플, 딜, 크림",,,13~14 %,
노 에스 피투코 오렌지,No Es Pituko Orange  Sauvignon Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=172617&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),소비뇽 블랑 (Sauvignon Blanc),,천연  효모를 사용하여 발효,,8~10 ℃,"생선요리, 전채, 치즈 등과 잘 어울린다.",지에프비노,1/5,3/5,2/5,2/5,"복숭아, 오렌지",치즈,Chilean Sauvignon Blanc,,
레이지 와인메이커 카베르네 소비뇽,Lazy Winemaker  Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=172618&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),카베르네 소비뇽 (Cabernet Sauvignon),,저온에서 4일간 침용을 거친 후 23~27도의  스테인리스 탱크에서 약 15일간 천연 효모를  사용하여 발효,,16~18 ℃,"구운고기, 파스타, 계절 치즈 등과 잘 어울린다.",지에프비노,1/5,3/5,4/5,4/5,"딸기, 초콜릿","파스타, 치즈",Chilean Cabernet Sauvignon,13~14 %,
레이지 와인메이커 샤도네이,Lazy Winemaker Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=172619&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),샤르도네 (Chardonnay),,천연 효모만을 사용하여 자연  그대로의 방법으로 발효,,8~10 ℃,"크림 파스타, 생선류 등과 잘 어울린다.",지에프비노,1/5,3/5,2/5,1/5,"바나나, 브리오슈",파스타,Chilean Chardonnay,13~14 %,
레이지 와인메이커 비오니에,Lazy Winemaker  Viognier,https://www.wine21.com/13_search/wine_view.html?Idx=172620&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),비오니에 (Viognier),,천연 효모만을 사용하여 자연  그대로의 방법으로 발효,,8~10 ℃,"크림 파스타, 생선류와 잘 어울린다.",지에프비노,1/5,3/5,2/5,1/5,"복숭아, 열대과일, 버터",파스타,Chilean Viognier,13~14 %,
팻 맷 샤도네이,Pet Mat Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=172621&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),샤르도네 (Chardonnay),,"스테인리스 탱크에서 인위적인 이산화황을  첨가하지 않고, 천연 효모로 발효",,8~10 ℃,"모짜렐라 치즈, 리조또, 모든 요리와 잘 어울린다.",지에프비노,1/5,3/5,2/5,1/5,,리조또,Chilean Chardonnay,13~14 %,
"몽그라스, 아마랄 브룻","MontGras, Amaral Brut",https://www.wine21.com/13_search/wine_view.html?Idx=172622&lq=LIST,몽그라스  MontGras,칠레(Chile) / 아콩카구아(Aconcagua) / 레이다 밸리(Leyda Valley),샤르도네 (Chardonnay) / 소비뇽 블랑 (Sauvignon Blanc),,,엄선된 자연 효모스테인레스 스틸 탱크에서 4개월 간 리즈 접촉 후에 병입,6~8 ℃,"신선한 조개, 흰살 생선, 파스타 등과 잘 어울린다.",동원와인플러스,1/5,4/5,2/5,1/5,"꽃, 미네랄",파스타,,12~13 %,
루이 에슈너 소테른,Louis Eschenauer Sauternes,https://www.wine21.com/13_search/wine_view.html?Idx=172623&lq=LIST,GCF 그룹  GCF Group,프랑스(France) / 보르도(Bordeaux) / 소테른(Sauternes),세미용 (Semillon) / 소비뇽 블랑 (Sauvignon Blanc) / 뮈스까델 (Muscadelle),,,,8~10 ℃,"푸아그라, 가금류 요리, 치즈, 다양한 디저트류와 잘 어울린다.",동원와인플러스,3/5,3/5,3/5,1/5,"살구, 시트러스, 잼, 꽃, 꿀","치즈, 디저트",Bordeaux Sauternes,13~14 %,
"테누타 쿠쵸, 랑게 네비올로","Tenuta Cucco, Langhe Nebbiolo",https://www.wine21.com/13_search/wine_view.html?Idx=172624&lq=LIST,테누타 쿠코  Tenuta Cucco,,네비올로 (Nebbiolo) 100%,,,,14~16 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,,Italian Nebbiolo,,
"테누타 쿠쵸, 바르베라 달바 슈페리오레","Tenuta Cucco, Barbera d'Alba Supeeriore",https://www.wine21.com/13_search/wine_view.html?Idx=172625&lq=LIST,테누타 쿠코  Tenuta Cucco,이탈리아(Italy) / 피에몬테(Piemonte) / 알바(Alba),바르베라 (Barbera),,,,14~16 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,,Italian Barbera,,
"테누타 쿠쵸, 바롤로 세라룽가","Tenuta Cucco, Barolo Serralunga",https://www.wine21.com/13_search/wine_view.html?Idx=172626&lq=LIST,테누타 쿠코  Tenuta Cucco,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),,,,14~16 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,,Italian Barolo,,
"테누타 쿠쵸, 바로로 세라티","Tenuta Cucco, Barolo Cerrati",https://www.wine21.com/13_search/wine_view.html?Idx=172627&lq=LIST,테누타 쿠코  Tenuta Cucco,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo) 100%,,,,14~16 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,,Italian Barolo,,
"프라텔리 칠리우띠, 바르바레스꼬 브리꼬 디 네이베 비에 에르떼","Fratelli Cigliuti, Barbaresco Bricco di Neive Vie Erte",https://www.wine21.com/13_search/wine_view.html?Idx=172628&lq=LIST,프라텔리 칠리우띠  Fratelli Cigliuti,이탈리아(Italy) / 피에몬테(Piemonte) / 바르바레스코(Barbaresco),네비올로 (Nebbiolo),,,,14~16 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,,Italian Barbaresco,,
"프라텔리 칠리우띠, 랑게 네비올로","Fratelli Cigliuti, Langhe Nebbiolo",https://www.wine21.com/13_search/wine_view.html?Idx=172629&lq=LIST,프라텔리 칠리우띠  Fratelli Cigliuti,,네비올로 (Nebbiolo),,,,14~16 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,,Italian Nebbiolo,,
"프라텔리 칠리우띠, 바르베라 달바 캄파스","Fratelli Cigliuti, Barbera d'Alba Campass",https://www.wine21.com/13_search/wine_view.html?Idx=172630&lq=LIST,프라텔리 칠리우띠  Fratelli Cigliuti,이탈리아(Italy) / 피에몬테(Piemonte) / 알바(Alba),바르베라 (Barbera),,,,14~16 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,,Italian Barbera,,
"라 메리디아나, 르 꽈또로 떼레 바르베라 다스띠","La Meridiana, La Qauttoro Terre Barbera d'Asti",https://www.wine21.com/13_search/wine_view.html?Idx=172631&lq=LIST,라 메리디아나  La Meridiana,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),바르베라 (Barbera),,,,14~16 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,,Italian Barbera,,
"보르고 마라그리아노, 피에몬떼 브라꿰또","Borgo Maragriano, Piemonte Brachetto",https://www.wine21.com/13_search/wine_view.html?Idx=172632&lq=LIST,보르고 마라그리아노  Borgo Maragriano,이탈리아(Italy) / 피에몬테(Piemonte),브라케토 (Brachetto),,,,14~16 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,,,,
"보르고 마라그리아노, 피안 수란","Borgo Maragriano, Pian Suran",https://www.wine21.com/13_search/wine_view.html?Idx=172633&lq=LIST,보르고 마라그리아노  Borgo Maragriano,이탈리아(Italy) / 피에몬테(Piemonte),샤르도네 (Chardonnay),,,,8~10 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,,,,,
"미아니, 메를로","Miani, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=172634&lq=LIST,미아니  Miani,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),메를로 (Merlot),,,,16~18 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,,,13~14 %,
"미아니, 샤르도네","Miani, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=172636&lq=LIST,미아니  Miani,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),샤르도네 (Chardonnay),,,,10~12 ℃,,루벵코리아 (루뱅쿱),1/5,3/5,3/5,1/5,,,,12~13 %,
"끌로 라 꾸탈, 그랑 꾸탈","Clos La Coutale, Grand Coutale",https://www.wine21.com/13_search/wine_view.html?Idx=172637&lq=LIST,끌로 라 꾸탈  Clos La Coutale,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec),Cahors AOC(AOP),,토스팅 정도가 다른 3가지 New Oak 배럴에서 12개월 간 숙성 후 블렌딩,16~18 ℃,"돼지고기, 오리, 치즈 등과 잘 어울린다.",,1/5,4/5,4/5,3/5,커피,치즈,Southwest France Malbec,14~15 %,
"샤또 드 라 조베르티, 꾸베 미라벨 화이트","Chateau de la Jaubertie, Cuvee Mirabelle White",https://www.wine21.com/13_search/wine_view.html?Idx=172638&lq=LIST,샤또 드 라 조베르티  Chateau de la Jaubertie,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 베르쥬악(Bergerac),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon),Bergerac AOC(AOP),72시간 저온 침용하여 풍미를 강화,프랑스산 배럴에서 효모 앙금과 함께 9개월간 발효와 숙성,8~10 ℃,"다양한 생선요리, 닭고기, 돼지고기 등과 어울린다.",,3/5,4/5,4/5,1/5,"열대과일, 미네랄, 오크",닭고기,,13~14 %,
"샤또 드 라 조베르티, 꾸베 미라벨 몽바지약","Chateau de la Jaubertie, Cuvee Mirabelle Monbazillac",https://www.wine21.com/13_search/wine_view.html?Idx=172639&lq=LIST,샤또 드 라 조베르티  Chateau de la Jaubertie,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 몽바지악(Monbazillac),세미용 (Semillon) / 소비뇽 블랑 (Sauvignon Blanc) / 뮈스카텔 (Muscatel),Monbazillac AOC(AOP),손 수확한 포도를 24시간 동안 압착해 포도즙 추출 (당분300g/l 이상) 배럴에서 발효,10개월 간 앙금과 함께 숙성,10~12 ℃,"블루치즈, 초콜릿, 케이크, 크로플 등과 잘 어울린다.",,5/5,3/5,4/5,1/5,오크,,,13~14 %,
"파뷸라스, 마라벨레 페코리노","Fabulas, Marabelle Pecorino",https://www.wine21.com/13_search/wine_view.html?Idx=172640&lq=LIST,파뷸라스  Fabulas,이탈리아(Italy) / 아브루쪼(Abruzzo),페코리노 (Pecorino),,,,10~12 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"카루소 에 미니니, 쿠타야 네로 다볼라 리제르바","Caruso & Minini, Cutaja Nero d'Abola Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=172641&lq=LIST,카루소 에 미니니  Caruso & Minini,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),,,,,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,,
"카루소 에 미니니, 아란치노 오렌지 화이트 비앙코","Caruso & Minini, Arancino Orange White Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=172642&lq=LIST,카루소 에 미니니  Caruso & Minini,이탈리아(Italy) / 시칠리아(Sicilia),기타 (etc),,,,,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,,
"칸티나 마릴리나, 일 비앙코 디 마릴리나","Cantina Marilina, Il Bianco di Marilina",https://www.wine21.com/13_search/wine_view.html?Idx=172643&lq=LIST,칸티나 마릴리나  Cantina Marilina,이탈리아(Italy) / 시칠리아(Sicilia),그레카니코 도라토  (Grecanico Dorato ),,,,,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,,
"피터 바인바흐, 리슬링 미디엄 스위트","Peter Weinbach, Riesling Medium Sweet",https://www.wine21.com/13_search/wine_view.html?Idx=172644&lq=LIST,피터 바인바흐  Peter Weinbach,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"피터 바인바흐, 리슬링 미디엄 드라이","Peter Weinbach, Riesling Medium Dry",https://www.wine21.com/13_search/wine_view.html?Idx=172645&lq=LIST,피터 바인바흐  Peter Weinbach,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"피터 바인바흐, 리슬링 스파틀레제","Peter Weinbach, Riesling Spatlese",https://www.wine21.com/13_search/wine_view.html?Idx=172646&lq=LIST,피터 바인바흐  Peter Weinbach,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"프리츠 하그, 브라우네베르거 리슬링 드라이 '제이'","Fritz Haag, Brauneberger Riesling dry 'J'",https://www.wine21.com/13_search/wine_view.html?Idx=172650&lq=LIST,프리츠 하그  Fritz Haag,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"프리츠 하그, 주퍼 존넨누어 리슬링 그로세 게벡스","Fritz Haag, Juffer Sonnenuhr Riesling Grosses Gewachs",https://www.wine21.com/13_search/wine_view.html?Idx=172651&lq=LIST,프리츠 하그  Fritz Haag,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"프리츠 하그, 파울린쇼프베르그 리슬링 그로세 게벡스","Fritz Haag, Paulinshofberf Riesling Grosses Gewachs",https://www.wine21.com/13_search/wine_view.html?Idx=172652&lq=LIST,프리츠 하그  Fritz Haag,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"프리츠 하그, 주퍼 리슬링 그로세 라게","Fritz Haag, Juffer Riesling Grosses Lage",https://www.wine21.com/13_search/wine_view.html?Idx=172653&lq=LIST,프리츠 하그  Fritz Haag,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"프리츠 하그, 주퍼 리슬링 스파틀레제","Fritz Haag, Juffer Riesling Spatlese",https://www.wine21.com/13_search/wine_view.html?Idx=172654&lq=LIST,프리츠 하그  Fritz Haag,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"프리츠 하그, 주퍼 리슬링 카비넷","Fritz Haag, Juffer Riesling Kabinett",https://www.wine21.com/13_search/wine_view.html?Idx=172655&lq=LIST,프리츠 하그  Fritz Haag,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"프리츠 하그, 주퍼 존넨누어 리슬링 스파틀레제","Fritz Haag, Juffer Sonnenuhr Riesling Spatlese",https://www.wine21.com/13_search/wine_view.html?Idx=172656&lq=LIST,프리츠 하그  Fritz Haag,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"프리츠 하그, 브라우네베르거 주퍼 존넨누어 리슬링 아우슬레제","Fritz Haag, Brauneberger Juffer Sonnenuhr Riesling Auslese",https://www.wine21.com/13_search/wine_view.html?Idx=172657&lq=LIST,프리츠 하그  Fritz Haag,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"프리츠 하그, 브라우네베르거 주퍼 존넨누어 리슬링 아우슬레제 골드 캡슐","Fritz Haag, Brauneberger Juffer Sonnenuhr Riesling Auslese Gold Capsule",https://www.wine21.com/13_search/wine_view.html?Idx=172659&lq=LIST,프리츠 하그  Fritz Haag,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
"프리츠 하그, 브라우네베르거 주퍼  리슬링 베렌아우슬레제","Fritz Haag, Brauneberger Juffer Riesling Beerenauslese",https://www.wine21.com/13_search/wine_view.html?Idx=172660&lq=LIST,프리츠 하그  Fritz Haag,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,,,8~10 ℃,,루벵코리아 (루뱅쿱),0/5,0/5,0/5,0/5,,,,12~13 %,
샤토 데 트로스 물랭,Chateau Des Trois Moulins,https://www.wine21.com/13_search/wine_view.html?Idx=172661&lq=LIST,샤토 데 트로스 물랭  Chateau Des Trois Moulins,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 말벡 (Malbec),,,온도 조절 가능한 탱크에서 3주간 발효 후13개월 프렌치오크 숙성,16~18 ℃,,바쿠스,1/5,3/5,4/5,4/5,"미네랄, 오크",,Bordeaux Red,14~15 %,*Women's International Trophy – Gold*70 millions de consommanteurs competition- Gold*Women and Wines of France Competition – Diamond
샤토 레 아르두앵,Chateau Les Ardouins,https://www.wine21.com/13_search/wine_view.html?Idx=172662&lq=LIST,샤토 레 아르두앵  Chateau Les Ardouins,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux AOC(AOP),,온도 조절 가능한 콘크리트 탱크에서 20일간 숙성 후14개월 프렌치오크 숙성,16~18 ℃,,바쿠스,1/5,4/5,4/5,4/5,"바닐라, 오크",,Bordeaux Red,14~15 %,*70 Millions de degustateurs – gold*Feminalise Paris – gold*Concours des Vins de Coutras – gold*International Wine & Spirits Awards - gold
