와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,양조,숙성,수입사,등급,추천음식
"그로브 밀, 피노 그리","Grove Mill, Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=176789&lq=LIST,그로브 밀  Grove Mill,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 그리 (Pinot Gris),New Zealand Pinot Gris,13~14 %,8~10 ℃,,1/5,3/5,2/5,1/5,"살구, 배, 사과, 꽃, 미네랄, 허브","생선회, 해산물, 오일파스타, 아시아요리, 식전주, 샐러드, 과일",,스테인리스 배럴 숙성.,동원와인플러스,,
"그로브 밀, 샤도네이","Grove Mill, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176790&lq=LIST,그로브 밀  Grove Mill,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),샤르도네 (Chardonnay),New Zealand Chardonnay,14~15 %,8~10 ℃,,1/5,3/5,3/5,1/5,"시트러스, 감귤, 열대과일, 리치, 멜론, 미네랄, 브리오슈, 토스트, 오크","건육, 닭고기, 오리로스, 가금류, 치킨, 생선구이, 연어, 참치, 해산물, 버섯",,,동원와인플러스,,
"세인트 할렛, 블랙 클레이 쉬라즈","St Hallett, Black Clay Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=176792&lq=LIST,세인트 할렛 와인즈  St Hallett Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 후추, 연기","그릴요리, 소고기, 스테이크, 양갈비, 양고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 버섯, 자두, 치즈, 파르미지아노, 페타","수확한 뒤 압착, 개별로 22~24도에서 6~8 일 동안 발효.","아메리칸 오크와 프렌치 오크에서 각각 숙성을 진행, 병입 전 주스를 블렌딩.",동원와인플러스,,
"앙시앙 땅, 로제","Anciens Temps, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=176793&lq=LIST,앙시앙 땅  Anciens Temps,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),쌩쏘 (Cinsault) / 뮈스까 (Muscat),,12~13 %,6~8 ℃,,3/5,2/5,2/5,1/5,"체리, 딸기, 크랜베리, 라스베리, 복숭아, 꽃","꼬치구이, 살라미, 초리조, 떡볶이, 볶음밥, 동남아요리, 아시아요리, 매운음식, 튀김, 식전주, 샐러드, 복숭아, 과일, 디저트, 아이스크림","늦은 밤 수확. 압착 전 줄기를 제거, 부드럽게 압착시킨 후 낮은온도(16~18도)에서 약 3주간 발효.",,동원와인플러스,,
샹파뉴 루이뒤몽 프리미에 크뤼,Champagne Louis Dumont 1er Cru,https://www.wine21.com/13_search/wine_view.html?Idx=176794&lq=LIST,G.H. 마르텔  G.H. Martel,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 피노 뮈니에 (Pinot Meunier),French Champagne,,8~10 ℃,"* 잔당 - 10g/l* 몽타뉴 드 렝스의 피노누아와 샤도네이, 꼬뜨 데 블랑의 피노뫼니에를 사용하여, 효모 찌꺼기와 함께 25개월 숙성.",1/5,3/5,3/5,1/5,"복숭아, 시트러스, 말린살구, 꽃, 미네랄, 페이스트리","건육, 초밥, 생선회, 해산물, 생굴, 아시아요리, 식전주, 버섯, 샐러드, 치즈, 콩테",,효모 찌꺼기와 함께 25개월 숙성.,신세계엘앤비,Champagne AOC(AOP),
"까살리 론카리, 리볼라 지알라","Casali Roncali, Line Ribolla Gialla",https://www.wine21.com/13_search/wine_view.html?Idx=176795&lq=LIST,까살리 론카리  Casali Roncali,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),리볼라 지알라 (Ribolla Gialla),,12~13 %,8~10 ℃,* Vitae LA GUIDA VINI -  SAUVIGNON 2022 FRIRLI CILLIORIENTALI STATEMET* 3 VITI SU 4 2024 BIBENDA -SAUVIGNON 2022 FRIRLI  CILLIORIENTALI STATEMENT* 3 GRAPPOLI 2023-24 Luca Maroni  - 93P,1/5,3/5,3/5,1/5,"황도, 복숭아, 배, 꽃, 미네랄","생선회, 해산물, 리조또, 샐러드, 복숭아, 치즈","아침에 수확. 몇 시간 침용 후, 강철 탱크에서 발효.",6개월 동안 강철 탱크에서 숙성.,비노스와인,Friuli Colli Orientali DOC(DOP),
"까살리 론카리, 소비뇽","Casali Roncali, Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=176796&lq=LIST,까살리 론카리  Casali Roncali,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),소비뇽 블랑 (Sauvignon Blanc),,12~13 %,8~10 ℃,* Vitae LA GUIDA VINI -  SAUVIGNON 2022 FRIRLI CILLIORIENTALI STATEMET* 3 VITI SU 4 2024 BIBENDA - SAUVIGNON 2022 FRIRLI CILLIORIENTALI STATEMENT* 3 GRAPPOLI2023-24                                                       Luca Maroni  - 95P,1/5,3/5,2/5,1/5,"시트러스, 자몽, 감귤, 레몬, 열대과일, 패션프루트, 꽃, 미네랄","생선구이, 초밥, 생선회, 해산물, 서양요리, 리조또, 샐러드, 치즈","5일 동안 저온 숙성한 다음 ,저온에서 발효하여 특징적인 모든 향을 보존.",4개월 스틸 숙성.,비노스와인,Friuli Colli Orientali DOC(DOP),
"엘 카스티야, 모나스트렐","El Castilla, Monastrell",https://www.wine21.com/13_search/wine_view.html?Idx=176797&lq=LIST,GCF 그룹  GCF Group,스페인(Spain) / 라 만차(La Mancha),,Spanish Monastrell,13~14 %,16~18 ℃,* Vivino 4.0,1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 블루베리, 자두, 꽃, 후추, 정향, 삼나무, 커피, 송로버섯","스튜, 소고기, 스테이크, 양갈비, 양고기, 참돔, 장어구이, 해산물, 조개구이, 서양요리, 자두, 치즈, 페타",온도 조절 가능한 탱크에서 발효.,오크통 숙성.,비노스와인,,
"엘 까스티야, 비우라 샤도네이","El Castilla, Viura Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176798&lq=LIST,GCF 그룹  GCF Group,스페인(Spain) / 라 만차(La Mancha),비우라 (Viura) / 샤르도네 (Chardonnay),,12~13 %,6~8 ℃,* Vivino - 4.0,1/5,3/5,3/5,1/5,"황도, 복숭아, 열대과일, 꽃, 미네랄, 바닐라, 토스트","건육, 생선구이, 초밥, 생선회, 연어, 해산물, 오일파스타, 샐러드, 치즈",,오크 숙성,비노스와인,,
"파토리아 라르코, 키안티 마에스트로","Fattoria L'Arco, Chianti Maestro",https://www.wine21.com/13_search/wine_view.html?Idx=176799&lq=LIST,파토리아 라르코  Fattoria L'Arco [B2B],이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo),Tuscan Red,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"체리, 블루베리, 장미, 후추","스테이크, 돼지고기, 아시아요리",,,,,
"파토리아 라르코, 키안티 라르코","Fattoria L'Arco, Chianti L'Arco",https://www.wine21.com/13_search/wine_view.html?Idx=176800&lq=LIST,파토리아 라르코  Fattoria L'Arco [B2B],이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo),Tuscan Red,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"체리, 블루베리, 꽃, 미네랄, 후추","소고기, 돼지고기, 한식",,,,,
더 오프닝 스파클링,The Opening Sparkling,https://www.wine21.com/13_search/wine_view.html?Idx=176824&lq=LIST,씨에프지브이  Compagnie Francaise Des Grands Vins,프랑스(France) / 알자스(Alsace),우니 블랑 (Ugni Blanc) / 기타 품종 (Other Grapes),,10~11 %,6~8 ℃,,1/5,3/5,2/5,1/5,"모과, 시트러스, 레몬껍질, 레몬, 흰꽃, 꽃, 미네랄, 허브","건육, 생선회, 해산물, 파스타, 오일파스타, 샐러드, 과일, 치즈, 리코타, 모짜렐라",,,씨에스알와인,,
"파워스, 캐서린 리온 까베르네 소비뇽 리저브","Powers, Katheine Leone Cabernet Sauvignon Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=176825&lq=LIST,파워스 와이너리   Powers Winery,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley) / 왈루크 슬로프(Wahluke Slope),카베르네 소비뇽 (Cabernet Sauvignon),Washington State Cabernet Sauvignon,13~14 %,16~18 ℃,,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 바닐라, 정향, 유칼립투스, 타바코, 삼나무, 커피, 다크초콜릿","소고기, 스테이크, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 한식, 라자냐, 파스타, 리조토, 버섯, 자두, 치즈, 파르미지아노, 고다, 그라노파다노, 콩테",,,비니더스코리아,,
"마일즈 프롬 노웨어, 베스트 블록 쉬라즈","Miles from Nowhere, Best Blocks Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=176826&lq=LIST,마일즈 프롬 노웨어  Miles from Nowhere,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,14~15 %,16~18 ℃,"* 2024 대한민국 주류대상 - 레드 와인 신대륙 부문 대상* Trophy Best Australian Wine - 2023 Concours International De Lyon Show (2020 Vin)* Gold - 2023 Frankfurt International Trophy (2020 Vin)* 93 Points - The Wine Front (2017 Vin)""",1/5,3/5,5/5,4/5,"블랙베리, 체리, 블루베리, 크랜베리, 자두, 살구, 잼, 꽃, 후추, 정향, 삼나무, 초콜릿, 오크, 가죽","소고기, 스테이크, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 수육, 라자냐, 자두, 치즈, 파르미지아노, 브리, 그라노파다노, 페타",최고의 구획에서 수확한 포도만 선별.,30% New Oak와 3~4회 사용된 French Oak & American Oak.,와인투유코리아,,
"칸티나 트라민, 샤도네이",Cantina Tramin Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=176827&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),샤르도네 (Chardonnay) 100%,,,10~12 ℃,,1/5,4/5,2/5,1/5,"배, 감귤, 파인애플, 바닐라, 버터",,,,나라셀라,,훌륭한 에피타이저일뿐만 아니라 풍미 있는 생선과 해산물 요리와도 좋은 페어링을 보입니다. 신선한 버섯이 곁들여진 칠면조 요리 또한 잘 어울린다.
"칸티나 트라민, 소비뇽","Cantina Tramin, Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=176828&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),소비뇽 블랑 (Sauvignon Blanc) 100%,,,8~10 ℃,,1/5,4/5,2/5,1/5,"구즈베리, 꽃",,,,나라셀라,,"에피타이저로 즐길 수 있고 아스파라거스, 생선, 해산물, 가금류와도 잘 어울린다."
"칸티나 트라민, 페피 소비뇽","Cantina Tramin, PEPI Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=176829&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),소비뇽 블랑 (Sauvignon Blanc) 100%,,,10~12 ℃,,1/5,4/5,2/5,1/5,"구즈베리, 꽃, 피망",,,,나라셀라,,"첫 코스 또는 생선요리와 잘 어울리며, 하얀 육류와 채소가 곁들여진 살짝 매콤한 요리와도 좋은 페어링을 보여준다. 생 치즈와 정말 좋은 콤비를 보여주며 현지에서는 아스파라거스 요리와 곧잘 즐기곤 다."
"칸티나 트라민, 모리츠 피노 비앙코","Cantina Tramin, MORIZ Pinot Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=176830&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),피노 비앙코 (Pinot Bianco) 100%,,,8~10 ℃,,1/5,3/5,2/5,1/5,"배, 감귤, 미네랄, 버터",,,,나라셀라,,"어떤 음식과도 잘 어울리는 와인이다. 특히 전채요리, 에피타이저와도 잘 어울린다. 야채, 치즈, 생선 요리 및 흰 육류와도 좋다."
"칸티나 트라민, 셀리다 게뷔르츠트라미너","Cantina Tramin, SELIDA Gewürztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=176831&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),게뷔르츠트라미너 (Gewurztraminer) 100%,,,8~10 ℃,,1/5,3/5,3/5,1/5,"망고, 리치, 패션프루트, 백합, 장미, 말린허브",,,,나라셀라,,"생선 전채요리, 돼지고기, 부드러운 숙성 치즈, 흰 육류, 생선과 훌륭한 페어링을 보여준다. 아시아의 매콤한 요리와 레몬에 절인 야채와 같은 음식과도 잘 어우러진다."
"칸티나 트라민, 스토안 비앙코","Cantina Tramin, STOAN Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=176832&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),샤르도네 (Chardonnay) 65% / 소비뇽 블랑 (Sauvignon Blanc) 20% / 피노 비앙코 (Pinot Bianco) 10% / 게뷔르츠트라미너 (Gewurztraminer) 5%,,,12~14 ℃,,1/5,4/5,3/5,1/5,"살구, 복숭아, 배, 감귤, 레몬껍질, 파인애플, 바나나, 자스민, 미네랄, 피망",,,,나라셀라,,하얀 육류나 버섯을 곁들인 매콤한 돼지고기와도 잘 어울린다.
"칸티나 트라민, 에포칼레 게뷔르츠트라미너 슈페트레제","Cantina Tramin, EPOKALE Gewürztraminer Spatlese",https://www.wine21.com/13_search/wine_view.html?Idx=176833&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),게뷔르츠트라미너 (Gewurztraminer) 100%,,,8~10 ℃,,1/5,4/5,3/5,1/5,"복숭아, 리치, 망고, 멜론, 패션프루트, 육두구, 생강, 정향, 샤프란, 시나몬, 세이지",,,,나라셀라,,"해산물, 그릴생선요리, 흰육류와도 잘 어울리며 숙성치즈와도 아주 좋은 페어링을 보여준다."
"칸티나 트라민, 로엔 게뷔르츠트라미너 벤디미아 타르디아","Cantina Tramin, ROEN Gewürztraminer Vendemmia tardia",https://www.wine21.com/13_search/wine_view.html?Idx=176834&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),게뷔르츠트라미너 (Gewurztraminer) 100%,,,12~14 ℃,,4/5,4/5,4/5,1/5,"열대과일, 말린살구, 장미, 바닐라, 생강",,,,나라셀라,,"다양한 디저트, 말린 과일, 치즈, 푸아그라와 좋은 페어링을 보여준다."
"칸티나 트라민, 테르미눔 게뷔르츠트라미너 벤디미아 타르디아","Cantina Tramin, TERMINUM Gewürztraminer V. tardia",https://www.wine21.com/13_search/wine_view.html?Idx=176835&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),게뷔르츠트라미너 (Gewurztraminer) 100%,,,12~14 ℃,,5/5,4/5,5/5,1/5,"살구, 복숭아, 리치, 망고, 백합, 미네랄, 버터, 꿀",,,,나라셀라,,"건조된 과일, 시나몬 스트루델, 크림 브륄레와 잘 어울리며 치즈와도 좋은 페어링을 보여주는데 특히 블루 치즈와 아주 훌륭한 궁합을 보여준다."
벨라 오크스,Bella Oaks,https://www.wine21.com/13_search/wine_view.html?Idx=176836&lq=LIST,벨라 오크스  Bella Oaks,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,,16~18 ℃,,1/5,4/5,5/5,4/5,,,,,금양인터내셔날,,
"미셸 파투르, 헤리티지 브뤼","Michel Patour, Heritage Brut",https://www.wine21.com/13_search/wine_view.html?Idx=176837&lq=LIST,미셸 파투르  Michel Patour,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 피노 블랑 (Pinot Blanc),,12~13 %,6~8 ℃,,1/5,5/5,3/5,1/5,"라임, 꽃, 허브, 비스켓, 아몬드, 치즈",,,,금양인터내셔날,,
"기드 포레즈, 브뤼 블랑 드 누아 트레디션","Guy de Forez, Brut Blanc de Noirs Tradition",https://www.wine21.com/13_search/wine_view.html?Idx=176838&lq=LIST,기드 포레즈  Guy de Forez,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir),,12~13 %,6~8 ℃,2022 Concours Mondial de Bruxelles 은메달2022 Concours General Agricole Paris 은메달,1/5,5/5,3/5,1/5,"토스트, 비스켓, 아몬드",,,,금양인터내셔날,,
"드니 샤르팡티에, 브뤼 그란 리저브 블랑 드 누아","Denis Charpentier, Brut Grand Reserve Blanc de Noirs",https://www.wine21.com/13_search/wine_view.html?Idx=176839&lq=LIST,드니 샤르팡티에  Denis & Denis iI Charpentier,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir),,12~13 %,6~8 ℃,2024 WSWA: Wine & Spirits Wholesalers of America 금메달,1/5,5/5,2/5,1/5,"배, 살구, 비스켓, 브리오슈, 꿀",,,,금양인터내셔날,,
"도멘 르베르 바로, 메르퀴레 프리미에 크뤼 클로 라 샤시에르","Domaine Levert Barault, Mercurey Premier Cru Clos La Chassiere",https://www.wine21.com/13_search/wine_view.html?Idx=176840&lq=LIST,도멘 르베르 바로  Domaine Levert Barault,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),,Burgundy Côte Chalonnaise Red,,,,1/5,3/5,3/5,3/5,,소고기,"손 수확, 포도알만 모아 발효",,,"Mercurey 1er Cru AOC(AOP), 'La Chassière'",
"도멘 르베르 바로, 메르퀴레 프리미에 크뤼 클로 데 바로","Domaine Levert Barault, Mercurey Premier Cru Clos Des Barraults",https://www.wine21.com/13_search/wine_view.html?Idx=176841&lq=LIST,도멘 르베르 바로  Domaine Levert Barault,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),,Burgundy Côte Chalonnaise Red,,,,1/5,3/5,3/5,3/5,"체리, 라스베리, 자두, 정향, 연기","매운조림, 장어구이, 자두",,,,"Mercurey 1er Cru AOC(AOP), 'Clos des Barraults'",
"도멘 르베르 바로, 메르퀴레 프리미에 크뤼 클로 라 바스","Domaine Levert Barault, Mercurey Premier Cru Clos La Vasse",https://www.wine21.com/13_search/wine_view.html?Idx=176842&lq=LIST,도멘 르베르 바로  Domaine Levert Barault,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),,Burgundy Côte Chalonnaise Red,,,,1/5,3/5,3/5,3/5,"블랙베리, 블랙체리, 후추, 정향","육류요리, 스튜, 육회",,,,,
"샤토 드 다브네, 몽타니 프리미에 크뤼 라 그랑드 피에스","Chateau de Davenay, Montagny Premier Cru La Grande Piece",https://www.wine21.com/13_search/wine_view.html?Idx=176843&lq=LIST,샤토 드 다브네  Chateau de Davenay,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 몽따니(Montagny),샤르도네 (Chardonnay),Burgundy Côte Chalonnaise White,,,,1/5,3/5,3/5,1/5,"살구, 복숭아, 자몽, 멜론","생선회, 해산물, 어묵, 복숭아",,"80%를 스테인리스 스틸 탱크에서, 20%를 중고 배럴에서 숙성",,,
"샤토 드 다브네, 륄리 프리미에 크뤼 레 라부르세","Chateau de Davenay, Rully Premier Cru Les Rabources",https://www.wine21.com/13_search/wine_view.html?Idx=176844&lq=LIST,샤토 드 다브네  Chateau de Davenay,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 륄리(Rully),샤르도네 (Chardonnay),Burgundy Côte Chalonnaise White,,,,1/5,2/5,3/5,1/5,"자두, 황도, 꽃","전복, 조개구이, 전복, 킹크랩, 만두",,중고 배럴에서 숙성,,"Rully 1er Cru AOC(AOP), 'Rabourcé'",
"음!, 까바","mmm!, Cava",https://www.wine21.com/13_search/wine_view.html?Idx=176845&lq=LIST,음!  mmm!,대한민국(Korea),자렐로 (Xarel.lo) / 마카베오 (Macabeo) / 빠레야다 (Parellada),,,6-8 ℃,,1/5,3/5,1/5,1/5,"복숭아, 배, 사과, 흰꽃","흰살생선, 랍스터, 조개구이, 새우",,,,,
"음!, 로제","mmm!, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=176846&lq=LIST,음!  mmm!,대한민국(Korea),시라/쉬라즈 (Syrah/Shiraz),,,10-12 ℃,,1/5,3/5,2/5,2/5,"딸기, 라스베리","비빔밥, 파스타, 샐러드",,,,,
"음!, 샤도네이","mmm!, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176847&lq=LIST,음!  mmm!,대한민국(Korea),샤르도네 (Chardonnay),,,8-10 ℃,,1/5,3/5,3/5,1/5,"사과, 레몬, 오크","어묵, 크림파스타, 크림치즈, 모짜렐라, 브루스게타",,,,,
"롬바흐, 시그니처 엑스트라 브뤼","Lombard, Signature Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=176848&lq=LIST,샴페인 롬바흐  Champagne Lombard,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 35% / 샤르도네 (Chardonnay) 35% / 피노 뮈니에 (Pinot Meunier) 30%,French Champagne,12~13 %,10~12 ℃,* Dosage 5 g/L,1/5,5/5,2/5,1/5,"배, 사과, 레몬, 흰꽃, 미네랄, 브리오슈","건육, 오리로스, 가금류, 치킨, 생선구이, 초밥, 생선회, 해산물, 편육, 만두, 오일파스타, 리조토, 중국요리, 동남아요리, 아시아요리, 식전주, 샐러드, 치즈, 테트드무안, 콩테","뀌베(Cuvée)100%(première presse) 사용, 스테인리스 스틸 탱크에서 발효, 와인 블렌딩 시 50%는 말로락틱 발효 진행",발효가 끝난 후 6개월간 숙성. 병입 후 36개월 동안 병 숙성,비니더스코리아,Champagne AOC(AOP),
"롬바흐, 시그니처 엑스트라 브뤼 프리미에 크뤼 블랑 드 누아","Lombard, Signature Extra Brut Premier Cru Blanc de Noirs",https://www.wine21.com/13_search/wine_view.html?Idx=176849&lq=LIST,샴페인 롬바흐  Champagne Lombard,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 50% / 피노 뮈니에 (Pinot Meunier) 50%,French Champagne,12~13 %,,* Dosage 4 g/L,1/5,5/5,3/5,1/5,"백도, 사과, 시트러스, 감귤, 레몬, 바닐라, 토스트, 아몬드","건육, 오리고기, 가금류, 치킨, 생선회, 연어, 참치, 해산물, 파스타, 중국요리, 치즈, 그라노파다노, 테트드무안, 콩테","Montagne de Reims, 특히 Chigny-Les-Roses와 Rilly-La-Montagne 최고의 테루아와 프리미에 크뤼 포도밭에서 자란 피노 누아 사용. 스테인리스 스틸 탱크에서 발효.","오크 배럴과 스테인리스 스틸 탱크에서 와인 숙성. 스테인리스 숙성 와인 60%, 오크 숙성 와인 40% 블렌딩. 병에서 2차 발효 및 24개월 lees 숙성. 병입 후 최소 36개월 숙성.",비니더스코리아,Champagne AOC(AOP),
"롬바흐, 시그니처 브뤼 나뚜르 그랑 크뤼","Lombard, Signature Brut Nature Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=176850&lq=LIST,샴페인 롬바흐  Champagne Lombard,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 50% / 샤르도네 (Chardonnay) 50%,French Champagne,12~13 %,6~8 ℃,* Dosage 0 g/L,1/5,5/5,3/5,1/5,"백도, 사과, 라임, 미네랄, 토스트, 아몬드","건육, 오리고기, 가금류, 생선구이, 생선회, 연어, 참치, 해산물, 오일파스타, 서양요리, 중국요리, 아시아요리, 튀김, 치즈, 모짜렐라",스테인리스 스틸 탱크에서 발효. 여과를 하지 않음.,"6~8개월 숙성(오크통에서 25%, 스테인리스에서 75%). 병입 후 최소 48개월 숙성.",비니더스코리아,Champagne AOC(AOP),
스카르파 몬페라토 비앙코 티모라쏘,"Scarpa, Monferrato Bianco Timorasso",https://www.wine21.com/13_search/wine_view.html?Idx=176851&lq=LIST,스카르파  Scarpa,이탈리아(Italy) / 피에몬테(Piemonte),티모라쏘 (Timorasso),,13~14 %,8~10 ℃,"* 4,950병 한정 생산",1/5,3/5,3/5,1/5,"서양배, 시트러스, 흰꽃, 꽃, 미네랄, 부싯돌, 허브","스시, 생선회, 해산물, 오일파스타, 동남아요리, 아시아요리, 샐러드, 과일, 치즈, 리코타, 모짜렐라",온도 조절 스테인레스 스틸 탱크에서 양조 후 7-10개월 탱크 숙성 후 병입(말로라틱 발효 미진행).,병입 숙성 24개월 이상.,에티카 와인스,,
"스카르파, 바르베라 다스티 '까사스카르파'","Scarpa, Barbera d'Asti 'Casascarpa'",https://www.wine21.com/13_search/wine_view.html?Idx=176852&lq=LIST,스카르파  Scarpa,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),바르베라 (Barbera),Italian Barbera,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"블랙체리, 블랙베리, 체리, 꽃, 감초, 가죽","그릴요리, 소고기, 스테이크, 돼지고기, 건육, 보쌈, 불고기, 족발, 리조토, 치즈, 파르미지아노, 고다, 그라노파다노",온도 조절 스테인레스 스틸 탱크에서 양조 후 12~24개월 탱크 숙성 후 병입.,병입 숙성 12개월.,에티카 와인스,Barbera d'Asti DOCG(DOP),
"스카르파, 바르베라 다스티 '라 볼리오나'","Scarpa, Barbera d'Asti Superiore 'La Bogliona'",https://www.wine21.com/13_search/wine_view.html?Idx=176853&lq=LIST,스카르파  Scarpa,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),바르베라 (Barbera),Italian Barbera,14~15 %,16~18 ℃,"* 2015 빈티지 - Falstaff 94 PT Trophy Barbera* 연간 약 9,000병 한정 생산.",1/5,3/5,4/5,3/5,"블랙체리, 체리, 라스베리, 자두, 꽃, 미네랄, 정향, 허브, 민트, 커피","그릴요리, 소고기, 스테이크, 건육, 불고기, 족발, 라자냐, 파스타, 자두, 치즈, 파르미지아노, 고다, 그라노파다노",코닉 모양의 35hl 스테인레스 스틸 탱크에서 발효하며 18~20일간 스킨 컨택 진행.,50hl 크기의 프렌치 알리에 오크통에서 36개월간 숙성. 병입하여 2년 이상 숙성.,에티카 와인스,Barbera d'Asti DOCG(DOP),
"스카르파, 네비올로 달바 '브릭 두 노타'","Scarpa, Nebbiolo d'Alba 'Bric du Nota'",https://www.wine21.com/13_search/wine_view.html?Idx=176854&lq=LIST,스카르파  Scarpa,이탈리아(Italy) / 피에몬테(Piemonte) / 랑게(Langhe),네비올로 (Nebbiolo),Italian Nebbiolo,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙체리, 체리, 라스베리, 자두, 복숭아, 꽃, 바닐라, 버섯","로스트비프, 소고기, 양고기, 불고기, 양념갈비, 갈비찜, 라자냐, 파스타, 리조토, 치즈, 파르미지아노, 까망베르, 그라노파다노, 테트드무안, 페타",,18개월동안 프랑스산 오크 배럴과 슬로베니안 오크(50hl)에서 숙성. 12개월 병 숙성 후 출시.,에티카 와인스,Langhe DOC(DOP),
