와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,추천음식,수입사,스타일,등급
"포지오 델 콘코네, 토스카나 로쏘","Poggio Del Concone, Toscana Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=178923&lq=LIST,포지오 델 콘코네  Poggio Del Concone,이탈리아(Italy) / 토스카나(Toscana),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 산지오베제 (Sangiovese),,,14~15 %,16~18 ℃,"* 이태리 토스카나(포도재배, 양조), 바롤로(오크통 숙성지역)* 베를린 와인 트로피 금상 2020, 2021* 루카마로니 98점 (2020, 2021)",1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 자두, 꽃, 바닐라, 정향, 삼나무, 오크","소고기, 육류요리, 붉은육류, 바비큐, 양고기, 훈제오리, 불고기, 갈비찜, 라자냐, 파스타, 피자, 버섯, 자두, 치즈",,,Tuscan Red,
"비덤, 마담 마리옹 모스까토","Vidum, Madame Marion Moscato",https://www.wine21.com/13_search/wine_view.html?Idx=178924&lq=LIST,와이너리 비덤  Winery Vidum,스페인(Spain) / 후미야(Jumilla),모스카토  (Moscato ),,2달간 이스트 숙성,7~8 %,6~8 ℃,,2/5,2/5,2/5,1/5,"청사과, 배, 시트러스, 레몬, 꽃, 허브","양념치킨, 닭강정, 치킨, 아시아요리, 매운요리, 튀김, 식전주, 과일, 견과류, 타르트",,국순당,,
"피에르 지라르댕, 끌로 드 샤또 뱅 드 프랑스 샤도네이","Pierre Girardin, Clos du Chateau VDF Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=178925&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 쥐라(Jura),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"복숭아, 서양배, 흰꽃, 꽃","닭고기, 가금류, 생선회, 연어, 참치, 해산물",,롯데칠성음료,,
"피에르 지라르댕, 끌로 드 샤또 뱅 드 프랑스 사바냥","Pierre Girardin, Clos du Chateau VDF Savagnin",https://www.wine21.com/13_search/wine_view.html?Idx=178926&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 쥐라(Jura),사바냥 (Savagnin),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"황도, 복숭아, 서양배, 말린과일, 흰꽃, 꽃","건육, 닭강정, 가금류, 치킨, 초밥, 생선회, 참치, 해산물",,롯데칠성음료,,
"피에르 지라르댕, 본 프리미에 크루 레 그랑 에페노트 블랑","Pierre Girardin, Beaune 1er Cru Les Grandes Epenotes Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178927&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 본(Beaune),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"황도, 복숭아, 배, 서양배, 흰꽃, 꽃, 미네랄","가금류, 치킨, 생선회, 연어, 참치, 해산물, 오일파스타, 리조토, 피자, 치즈",,롯데칠성음료,,
"피에르 지라르댕, 뫼르소 레 티에","Pierre Girardin, Meursault Les Tillets",https://www.wine21.com/13_search/wine_view.html?Idx=178928&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,2/5,1/5,"시트러스, 꽃, 미네랄, 허브, 아몬드","생선구이, 초밥, 생선회, 연어, 참치, 해산물, 튀김, 식전주, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,
"피에르 지라르댕, 뫼르소 1er 레 페리에르","Pierre Girardin, Meursault 1er Cru Les Perrieres",https://www.wine21.com/13_search/wine_view.html?Idx=178929&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,2/5,1/5,"배, 서양배, 시트러스, 흰꽃, 꽃, 미네랄, 허브","생선구이, 스시, 초밥, 생선회, 연어, 해산물, 아시아요리, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,
"피에르 지라르댕, 샤샤뉴 몽라쉐 프리미에 크뤼 레 베르제","Pierre Girardin, Chassagne Montrachet 1er Cru Les Vergers",https://www.wine21.com/13_search/wine_view.html?Idx=178930&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"복숭아, 배, 서양배, 시트러스, 흰꽃, 꽃, 미네랄, 허브","생선구이, 초밥, 생선회, 연어, 참치, 해산물, 오일파스타, 식전주, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,
"피에르 지라댕, 필리뉘 몽라쉐 프리미에크루 '레 폴라티에'","Pierre Girardin, Puligny Montrachet 1er Cru 'Les Folatieres'",https://www.wine21.com/13_search/wine_view.html?Idx=178931&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"복숭아, 사과, 시트러스, 감귤, 열대과일, 흰꽃, 꽃, 미네랄, 아몬드","생선구이, 초밥, 생선회, 연어, 참치, 해산물, 오일파스타, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,
"피에르 지라댕, 꼬똥 샤를마뉴 그랑크루","Pierre Girardin, Corton Charlemagne Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178932&lq=LIST,피에르 지라르댕  Pierre Girardin,,샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"복숭아, 배, 서양배, 시트러스, 흰꽃, 꽃, 미네랄, 아몬드, 꿀","생선구이, 스시, 초밥, 생선회, 연어, 해산물, 오일파스타, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,
"피에르 지라르댕, 꼬뜨 드 뉘 빌라쥐","Pierre Girardin, Cote de Nuits Village",https://www.wine21.com/13_search/wine_view.html?Idx=178933&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 꼬뜨 드 뉘-빌라쥬(Côte de Nuits-Villages),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,2/5,"체리, 딸기, 라스베리, 붉은꽃, 미네랄, 감초","송아지, 로스트비프, 까르파치오, 꼬치구이, 바비큐, 건육, 훈제오리, 오리로스, 가금류, 불고기, 족발, 파스타, 버섯, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,
"피에르 지라댕,  뽀마르 프리미에 크루 레 루지엔 바","Pierre Girardin, Pommard 1er cru Les Rugiens Bas",https://www.wine21.com/13_search/wine_view.html?Idx=178934&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"체리, 블루베리, 라스베리, 붉은꽃, 꽃, 바닐라, 감초, 오크","로스트비프, 까르파치오, 소고기, 바비큐, 양꼬치, 건육, 훈제오리, 찜닭, 불고기, 족발, 한식, 순대, 파스타, 서양요리, 피자, 치즈",,롯데칠성음료,Burgundy Côte de Beaune Red,
"피에르 지라댕, 본 프르미에 크뤼 '레 제페노트'","Pierre Girardin, Beaune 1er Cru 'Les Epenottes'",https://www.wine21.com/13_search/wine_view.html?Idx=178935&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 본(Beaune),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"체리, 블루베리, 라스베리, 붉은꽃, 꽃, 바닐라, 정향, 감초, 오크","로스트비프, 까르파치오, 소고기, 바비큐, 건육, 훈제오리, 찜닭, 불고기, 족발, 순대, 파스타, 서양요리, 치즈",,롯데칠성음료,Burgundy Côte de Beaune Red,
"피에르 지라댕,  제브리 샹베르땡 라 저스티스","Pierre Girardin, Gevrey Chambertin La Justice",https://www.wine21.com/13_search/wine_view.html?Idx=178936&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"블랙체리, 체리, 라스베리, 붉은꽃, 꽃, 바닐라, 감초, 오크","로스트비프, 까르파치오, 소고기, 바비큐, 건육, 훈제오리, 찜닭, 불고기, 족발, 순대, 파스타, 피자, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,
"피에르 지라르댕, 모레 생뜨니  프리미에 크루 '레 몽 루이상트'","Pierre Girardin, Morey Saint Denis 1er Cru 'Les Monts Luisants'",https://www.wine21.com/13_search/wine_view.html?Idx=178937&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,2/5,"체리, 블루베리, 라스베리, 붉은꽃, 꽃, 바닐라, 정향, 허브, 민트, 아몬드, 오크","로스트비프, 소고기, 바비큐, 건육, 오리고기, 훈제오리, 불고기, 족발, 파스타, 피자, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,
"피에르 지라댕, 그리오트 샹베르땡","Pierre Girardin, Griottes Chambertin Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178938&lq=LIST,피에르 지라르댕  Pierre Girardin,,피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"체리, 블루베리, 라스베리, 제비꽃, 장미, 붉은꽃, 꽃, 바닐라, 정향, 감초, 삼나무, 오크","송아지, 소고기, 스테이크, 바비큐, 건육, 훈제오리, 찜닭, 불고기, 족발, 순대, 파스타, 피자, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,
"피에르 지라르댕, 꼬통 그랑크루","Pierre Girardin, Corton Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178939&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"체리, 블루베리, 라스베리, 붉은꽃, 꽃, 바닐라, 정향, 삼나무, 오크","로스트비프, 까르파치오, 소고기, 바비큐, 건육, 훈제오리, 찜닭, 불고기, 족발, 순대, 파스타, 피자, 치즈",,롯데칠성음료,Burgundy Côte de Beaune Red,
"피에르 지라댕, 에쎄조 그랑크루","Pierre Girardin, Echezeaux Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178940&lq=LIST,피에르 지라르댕  Pierre Girardin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"블랙체리, 체리, 블루베리, 라스베리, 붉은꽃, 꽃, 바닐라, 감초, 오크","로스트비프, 소고기, 스테이크, 바비큐, 양꼬치, 건육, 오리고기, 훈제오리, 불고기, 족발, 순대, 파스타, 피자, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,
"카르멘, 들랑쥬 아팔타","Carmen, Delang Apalta",https://www.wine21.com/13_search/wine_view.html?Idx=178941&lq=LIST,비냐 카르멘  Vina Carmen,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley) / 아팔타 밸리(Apalta Valley),카르메네르 (Carmenere) / 카베르네 프랑 (Cabernet Franc) / 시라/쉬라즈 (Syrah/Shiraz),,,13~14 %,16~18 ℃,,1/5,3/5,4/5,4/5,"레드커런트, 블랙체리, 블랙베리, 라스베리, 바닐라, 정향, 시나몬, 허브, 오크","소고기, 스테이크, 육류요리, 붉은육류, 양갈비, 양고기, 불고기, 양념갈비, 족발, 순대, 라자냐, 파스타, 피자, 견과류, 치즈",,롯데칠성음료,Chilean Carménère,
"카르멘, 들랑쥬 알토 하우엘","Carmen, Delang Alto Jahuel",https://www.wine21.com/13_search/wine_view.html?Idx=178942&lq=LIST,비냐 카르멘  Vina Carmen,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot) / 쁘띠 시라  (Petite Sirah),,,13~14 %,16~18 ℃,,1/5,2/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 바닐라, 정향, 삼나무, 오크","소고기, 스테이크, 육류요리, 붉은육류, 양갈비, 양고기, 불고기, 양념갈비, 족발, 라자냐, 파스타, 햄버거, 피자, 치즈",,롯데칠성음료,Chilean Cabernet Sauvignon,
"카르멘, 빈티지 블렌드","Carmen, Vintages Blend",https://www.wine21.com/13_search/wine_view.html?Idx=178943&lq=LIST,비냐 카르멘  Vina Carmen,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,,1/5,2/5,4/5,4/5,"블랙커런트, 블랙베리, 블루베리, 후추, 바닐라, 정향, 감초, 삼나무, 오크","소고기, 스테이크, 육류요리, 붉은육류, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 햄버거, 피자, 치즈",,롯데칠성음료,Chilean Cabernet Sauvignon,
"산타 리타, 트리플C 리미티드 에디션","Santa Rita, Triple C Limited Edition",https://www.wine21.com/13_search/wine_view.html?Idx=178944&lq=LIST,산타 리타  Santa Rita,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카르메네르 (Carmenere),,,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙커런트, 블랙베리, 미네랄, 바닐라, 시나몬, 삼나무, 오크","소고기, 스테이크, 육류요리, 붉은육류, 바비큐, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 피자, 견과류, 치즈",,롯데칠성음료,Chilean Bordeaux Blend,
"산타캐롤리나, 헤렌시아","Santa Carolina, Herencia",https://www.wine21.com/13_search/wine_view.html?Idx=178945&lq=LIST,산타 캐롤리나  Santa Carolina,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카르메네르 (Carmenere),,,14~15 %,16~18 ℃,,1/5,3/5,4/5,4/5,"블랙베리, 라스베리, 자두, 미네랄, 허브, 초콜릿, 다크초콜릿, 흙","소고기, 스테이크, 육류요리, 붉은육류, 바비큐, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 피자, 치즈",,롯데칠성음료,Chilean Carménère,
"산타리타, 8KM 리저브 카버네 소비뇽","Santa Rita, 8KM Reserva Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=178946&lq=LIST,산타 리타  Santa Rita,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,,1/5,2/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 체리, 바닐라, 타바코","그릴요리, 소고기, 스테이크, 육류요리, 붉은육류, 바비큐, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 피자, 치즈",,롯데칠성음료,Chilean Cabernet Sauvignon,
"산타 리타, 8KM 리저브 메를로","Santa Rita, 8KM Reserva Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=178947&lq=LIST,산타 리타  Santa Rita,칠레(Chile) / 센트럴 밸리(Central Valley),메를로 (Merlot),,,13~14 %,16~18 ℃,,1/5,2/5,4/5,4/5,"레드커런트, 블랙체리, 체리, 바닐라, 감초, 삼나무, 연기, 오크","소고기, 스테이크, 육류요리, 붉은육류, 바비큐, 보쌈, 불고기, 양념갈비, 족발, 한식, 라자냐, 파스타, 피자, 치즈",,롯데칠성음료,Chilean Cabernet Sauvignon,
"산타 리타, 메달야 레알 로얄 레드","Santa Rita, Medalla Real Royal Red",https://www.wine21.com/13_search/wine_view.html?Idx=178948&lq=LIST,산타 리타  Santa Rita,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 시라  (Petite Sirah),,,13~14 %,16~18 ℃,,1/5,2/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 미네랄, 바닐라, 감초, 페이스트리","소고기, 스테이크, 육류요리, 붉은육류, 양고기, 불고기, 양념갈비, 족발, 라자냐, 파스타, 피자, 치즈",,롯데칠성음료,Chilean Cabernet Sauvignon,
"산타 리타, 메달야 레알 40주년 기념 에디션","Santa Rita, Medalla Real 40th Anniversary",https://www.wine21.com/13_search/wine_view.html?Idx=178949&lq=LIST,산타 리타  Santa Rita,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),,,13~14 %,16~18 ℃,,1/5,2/5,4/5,4/5,"블랙커런트, 블랙베리, 블루베리, 말린무화과, 말린과일, 후추, 바닐라, 정향, 삼나무, 오크","소고기, 스테이크, 육류요리, 붉은육류, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 족발",,롯데칠성음료,Chilean Cabernet Sauvignon,
"프리미어 와인 그룹, 하입","Premier Wine Group, The Hype",https://www.wine21.com/13_search/wine_view.html?Idx=178950&lq=LIST,프리미어 와인 그룹  Premier Wine Group,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 말벡 (Malbec),,,14~15 %,16~18 ℃,,1/5,3/5,5/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 제비꽃, 꽃, 후추, 바닐라, 정향, 모카, 커피","소고기, 육류요리, 붉은육류, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 햄버거, 피자, 치즈",,롯데칠성음료,Californian Cabernet Sauvignon,
"세븐 어파트, 엑스페디션","Seven Apart, Expedition Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=178951&lq=LIST,세븐 어파트  Seven Apart,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot),,,15~16 %,16~18 ℃,,1/5,3/5,5/5,4/5,"블랙커런트, 블랙베리, 체리, 바닐라, 정향, 감초, 삼나무, 다크초콜릿, 오크, 흑연","소고기, 스테이크, 육류요리, 붉은육류, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 햄버거, 피자, 치즈",,롯데칠성음료,Californian Cabernet Sauvignon,
"도멘 드 쒸흐맹, 머큐리 프리미에 크뤼 엉 사즈네 블랑","Domaine de Suremain, Mercurey 1er Cru  En Sazenay Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178952&lq=LIST,도멘 드 쒸흐맹  Domaine de Suremain,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),샤르도네 (Chardonnay),,14-18개월 프렌치오크에서 숙성.,13~14 %,10~12 ℃,* 2020 빈티지 - Tim Atkin 92P,1/5,3/5,3/5,1/5,"열대과일, 아카시아, 흰꽃, 꽃, 미네랄, 아몬드, 꿀","건육, 닭강정, 생선구이, 초밥, 생선회, 연어, 참치, 해산물, 새우, 파스타, 리조토, 중국요리, 치즈, 브리, 리코타, 모짜렐라",,빈티지코리아,Burgundy Côte Chalonnaise White,"Mercurey 1er Cru AOC(AOP), 'Sazenay'"
"도멘 드 쒸흐맹, 머큐리 빌라쥬","Domaine de Suremain, Mercurey Villages",https://www.wine21.com/13_search/wine_view.html?Idx=178953&lq=LIST,도멘 드 쒸흐맹  Domaine de Suremain,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),피노 누아 (Pinot Noir),,18개월 프렌치 오크 숙성 (10~15% 새 오크 배럴).,13~14 %,14~16 ℃,,1/5,4/5,2/5,2/5,"블랙커런트, 체리, 딸기, 라스베리, 자두, 꽃, 미네랄, 바닐라, 허브","로스트비프, 까르파치오, 소고기, 육회, 건육, 훈제오리, 불고기, 족발, 파스타, 피자, 중국요리, 자두, 치즈, 파르미지아노, 브리, 그라노파다노",,빈티지코리아,Burgundy Côte Chalonnaise Red,Mercurey AOC(AOP)
"도멘 드 쒸흐맹, 머큐리 프리미에 크뤼","Domaine de Suremain, Mercurey 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178954&lq=LIST,도멘 드 쒸흐맹  Domaine de Suremain,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),피노 누아 (Pinot Noir),,18개월 프렌치 오크 숙성 (10~15% 새 오크 배럴),13~14 %,14~16 ℃,,1/5,4/5,3/5,2/5,"블랙베리, 블루베리, 라스베리, 자두, 붉은꽃, 꽃, 미네랄, 감초, 허브","로스트비프, 까르파치오, 소고기, 바비큐, 건육, 훈제오리, 불고기, 족발, 라자냐, 파스타, 피자, 치즈, 파르미지아노, 고다",,빈티지코리아,Burgundy Côte Chalonnaise Red,Mercurey 1er Cru AOC(AOP)
"도멘 드 쒸흐맹, 머큐리 프리미에 크뤼 '레 크헤'","Domaine de Suremain, Mercurey 1er Cru 'Les Crets'",https://www.wine21.com/13_search/wine_view.html?Idx=178955&lq=LIST,도멘 드 쒸흐맹  Domaine de Suremain,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),피노 누아 (Pinot Noir),,18개월 프렌치 오크 숙성 (15% 새 오크 배럴).,13~14 %,14~16 ℃,* 2018 빈티지 - Jasper Morris 88P / Tim Atkin 91P,1/5,3/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 홍차, 타바코","로스트비프, 까르파치오, 소고기, 건육, 훈제오리, 불고기, 족발, 파스타, 피자, 중국요리, 견과류, 치즈",,빈티지코리아,Burgundy Côte Chalonnaise Red,"Mercurey 1er Cru AOC(AOP), 'Les Crêts'"
"도멘 드 쒸흐맹, 머큐리 프리미에 크뤼 '레 크호와쇼'","Domaine de Suremain, Mercurey 1er Cru 'Les Croichots'",https://www.wine21.com/13_search/wine_view.html?Idx=178956&lq=LIST,도멘 드 쒸흐맹  Domaine de Suremain,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),피노 누아 (Pinot Noir),,15~18개월 프렌치 오크 숙성.,13~14 %,14~16 ℃,,1/5,4/5,2/5,3/5,"블랙베리, 체리, 크랜베리, 라스베리, 꽃, 미네랄, 감초, 허브","로스트비프, 까르파치오, 소고기, 바비큐, 소시지, 건육, 훈제오리, 가금류, 파스타, 리조토, 피자, 중국요리, 치즈",,빈티지코리아,Burgundy Côte Chalonnaise Red,"Mercurey 1er Cru AOC(AOP), 'Les Croichots'"
"도멘 드 쒸흐맹, 머큐리 프리미에 크뤼 '라 봉뒤'","Domaine de Suremain, Mercurey 1er Cru 'La Bondue'",https://www.wine21.com/13_search/wine_view.html?Idx=178957&lq=LIST,도멘 드 쒸흐맹  Domaine de Suremain,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),피노 누아 (Pinot Noir),,15~18개월 프렌치 오크 숙성.,13~14 %,14~16 ℃,* 2020 빈티지 - Tim Atkin 92P* 2018 빈티지 - Jasper Morris 90P / Tim Atkin 92P,1/5,3/5,3/5,3/5,"레드커런트, 체리, 라스베리, 자두, 붉은꽃, 꽃, 미네랄, 감초, 연기, 가죽","스튜, 로스트비프, 베이컨, 바비큐, 건육, 훈제오리, 불고기, 족발, 파스타, 리조토, 피자, 중국요리, 자두, 치즈, 파르미지아노",,빈티지코리아,Burgundy Côte Chalonnaise Red,"Mercurey 1er Cru AOC(AOP), 'La Bondue'"
"도멘 드 쒸흐맹, 머큐리 프리미에 크뤼 '엉 사즈네'","Domaine de Suremain, Mercurey 1er Cru 'En Sazenay'",https://www.wine21.com/13_search/wine_view.html?Idx=178958&lq=LIST,도멘 드 쒸흐맹  Domaine de Suremain,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),피노 누아 (Pinot Noir),,18~21개월 프렌치 오크 숙성.,13~14 %,14~16 ℃,* 2020 빈티지 - Tim Atkin 93P* 2019 빈티지 - Japer Morris 88P* 2018 빈티지 - Tim Atkin 92P / Japer Morris 88P,1/5,3/5,3/5,3/5,"블랙체리, 블랙베리, 라스베리, 자두, 미네랄, 바닐라, 감초","그릴요리, 송아지, 로스트비프, 바비큐, 돼지고기, 훈제오리, 가금류, 파스타, 피자, 중국요리, 자두, 치즈, 체다, 고다",,빈티지코리아,Burgundy Côte Chalonnaise Red,"Mercurey 1er Cru AOC(AOP), 'Sazenay'"
"도멘 드 쒸흐맹, 머큐리 프리미에 크뤼 '라 봉뒤' 제너레이션 7","Domaine de Suremain, Mercurey 1er Cru 'La Bondue' Generation 7",https://www.wine21.com/13_search/wine_view.html?Idx=178959&lq=LIST,도멘 드 쒸흐맹  Domaine de Suremain,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),피노 누아 (Pinot Noir),,18~21개월 프렌치 오크 숙성.,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"블랙체리, 블랙베리, 블루베리, 붉은꽃, 바닐라, 감초","그릴요리, 송아지, 로스트비프, 소고기, 바비큐, 돼지고기, 건육, 훈제오리, 가금류, 불고기, 족발, 파스타, 피자, 치즈",,빈티지코리아,Burgundy Côte Chalonnaise Red,"Mercurey 1er Cru AOC(AOP), 'La Bondue'"
