와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,알코올
비냐 꼬소스 가르나차 시라,Vina Cosos Garnacha Syrah,https://www.wine21.com/13_search/wine_view.html?Idx=168145&lq=LIST,보데가스 아라고네사스  Bodegas Aragonesas,스페인(Spain) / 캄포 데 보르하(Campo de Borja),가르나차  (Garnacha) / 시라/쉬라즈 (Syrah/Shiraz),,,,,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈, 탕수육 과 잘 어울린다.",한산더블유앤비,1/5,3/5,3/5,3/5,,"바비큐, 탕수육, 치즈",,13~14 %
"애로우드, 소노마 이스테이트 까베르네 소비뇽","Arrowood, Sonoma Estate Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168146&lq=LIST,애로우드  Arrowood,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 말벡 (Malbec) / 쁘띠 베르도 (Petit Verdot),,,,30% 새 프렌치 오크통에서 18개월간 숙성,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",국순당,1/5,3/5,4/5,4/5,,"바비큐, 양갈비, 파스타, 치즈",,
"랑메일, 블록버스터 쉬라즈","Langmeil, Blockbuster Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=168147&lq=LIST,랑메일 와이너리  Langmeil Winery,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),,,,,16~18 ℃,"각종 육류와의 페어링이 좋아 한우와 아주 잘 어울리고, 양념이 강한 한식과도 조화가 좋다.",레뱅,1/5,3/5,4/5,4/5,"블루베리, 자두, 감초, 흙","한식, 자두",,14~15 %
"산 마르코, 폰테 가이아 몬테풀치아노 다부르쪼","San Marco, Fonte Gaia Montepulciano d'Abruzzo",https://www.wine21.com/13_search/wine_view.html?Idx=168148&lq=LIST,산 마르코  San Marco,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,Montepulciano d'Abruzzo DOC(DOP),,,16~18 ℃,"메인요리, 육류, 치즈 등과 잘 어울린다.",비노메이트,1/5,3/5,4/5,4/5,,치즈,,12~13 %
"산 마르코, 폰테 가이아 비노 로쏘","San Marco, Fonte Gaia Vino Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=168149&lq=LIST,산 마르코  San Marco,이탈리아(Italy) / 라치오(Lazio),몬테풀치아노 (Montepulciano) / 칠리에졸로 (Ciliegiolo) / 산지오베제 (Sangiovese),,,,,16~18 ℃,"붉은 육류, 치즈 등과 잘 어울린다.",비노메이트,1/5,4/5,3/5,3/5,,치즈,,12~13 %
"산 마르코, 투스쿨룸 비노 비앙코","San Marco, Tusculum Vino Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=168150&lq=LIST,산 마르코  San Marco,이탈리아(Italy) / 라치오(Lazio),말바시아 (Malvasia) / 트레비아노 (Trebbiano) / 체사네세 (Cesanese) / 그레케토 비앙코 (Grechetto Bianco),,,,,8~10 ℃,"흰살 육류, 생선 등과 잘 어울린다.",비노메이트,1/5,4/5,2/5,1/5,,,,12~13 %
샤또 드 베른느,Chateau de Berne,https://www.wine21.com/13_search/wine_view.html?Idx=168151&lq=LIST,샤또 드 베른느  Chateau de Berne,프랑스(France) / 서던 프랑스(Southern France) / 프로방스(Provence),그르나슈 (Grenache) / 까리냥 (Carignan/Carignane) / 시라/쉬라즈 (Syrah/Shiraz) / 쌩쏘 (Cinsault),,,,,8~10 ℃,"그릴에 구운 숭어, 문어 샐러드, 아티초크, 프레시 파스타 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,2/5,1/5,"복숭아, 시트러스, 꽃","파스타, 샐러드",,
"세인트 프란시스, 피노 누아","St. Francis, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168152&lq=LIST,세인트 프란시스  Saint Francis,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),피노 누아 (Pinot Noir),,,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",비케이 트레이딩,1/5,4/5,3/5,3/5,"석류, 오렌지, 오크","파스타, 버섯, 치즈",*Sanfrancisco Chronicle Competition Double Gold,14~15 %
"세인트 프란시스, 올드 바인 진판델","St. Francis, Old Vine Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=168153&lq=LIST,세인트 프란시스  Saint Francis,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),진판델 (Zinfandel) / 쁘띠 시라  (Petite Sirah) / 기타 품종 (Other Grapes),,,,,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",비케이 트레이딩,1/5,3/5,4/5,4/5,"블루베리, 오크","살라미, 견과류, 치즈",*Sanfrancisco Chronicle Competition Double Gold*Wine Spectator 89점,15~16 %
"토레온, 발데모로 카베르네 소비뇽","Torreon, Valdemoro Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168154&lq=LIST,토레온 데 파레데스  Torreon de Paredes,칠레(Chile) / 라펠 밸리(Rapel Valley) / 카차포알 밸리(Cachapoal Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"햄, 스테이크, 양념을 곁들인 그릴육류 등과 잘 어울린다.",비노메이트,1/5,3/5,3/5,3/5,"체리, 피망","스테이크, 햄",,
"토레온, 발데모로 메를로","Torreon, Valdemoro Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168155&lq=LIST,토레온 데 파레데스  Torreon de Paredes,칠레(Chile) / 라펠 밸리(Rapel Valley) / 카차포알 밸리(Cachapoal Valley),메를로 (Merlot),,,,,16~18 ℃,"치킨류, 파스타, 치즈 등과 잘 어울린다.",비노메이트,1/5,3/5,3/5,3/5,,"치킨, 파스타, 치즈",,
"토레온, 발데모로 소비뇽 블랑","Torreon, Valdemoro Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=168156&lq=LIST,토레온 데 파레데스  Torreon de Paredes,칠레(Chile) / 라펠 밸리(Rapel Valley) / 카차포알 밸리(Cachapoal Valley),소비뇽 블랑 (Sauvignon Blanc),,,,,8~10 ℃,"해산물, 전채요리(아페리티프) 등과 잘 어울린다.",비노메이트,1/5,4/5,2/5,1/5,,"해산물, 아페리티프, 전채요리",,
"토레온, 리제르바 카베르네 소비뇽","Torreon, Reserva Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168157&lq=LIST,토레온 데 파레데스  Torreon de Paredes,칠레(Chile) / 라펠 밸리(Rapel Valley) / 카차포알 밸리(Cachapoal Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"스테이크, 양념을 곁들인 그릴 육류 요리 등과 잘 어울린다.",비노메이트,1/5,3/5,4/5,3/5,"블랙커런트, 배",스테이크,,
"토레온, 리제르바 메를로","Torreon, Reserva Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168158&lq=LIST,토레온 데 파레데스  Torreon de Paredes,칠레(Chile) / 라펠 밸리(Rapel Valley) / 카차포알 밸리(Cachapoal Valley),메를로 (Merlot),,,,,16~18 ℃,"햄, 치킨류, 칠면조 요리, 파스타, 치즈 등과 잘 어울린다.",비노메이트,1/5,3/5,4/5,3/5,블랙커런트,"햄, 파스타, 치즈",,
"토레온 데 파레데스, 돈 아마도","Torreon de Paredes, Don Amado Limited Edition",https://www.wine21.com/13_search/wine_view.html?Idx=168159&lq=LIST,토레온 데 파레데스  Torreon de Paredes,칠레(Chile) / 라펠 밸리(Rapel Valley) / 카차포알 밸리(Cachapoal Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 카르메네르 (Carmenere),,,,,16~18 ℃,"스테이크, 양념을 곁들인 그릴 육류 요리등과 잘 어울린다.",비노메이트,1/5,3/5,4/5,4/5,,스테이크,,
"토레온 데 파레데스, 리저바 프리바다 카베르네 소비뇽","Torreon de Paredes, Reserva Privada Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168160&lq=LIST,토레온 데 파레데스  Torreon de Paredes,칠레(Chile) / 라펠 밸리(Rapel Valley) / 카차포알 밸리(Cachapoal Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"양갈비, 스테이크, 양념을 곁들인 그릴육류 등과 잘 어울린다.",비노메이트,1/5,3/5,4/5,3/5,"체리, 자두","스테이크, 양갈비",,
"토레온 데 파레데스, 리저바 프리바다 메를로","Torreon de Paredes, Reserva Reserva Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168161&lq=LIST,토레온 데 파레데스  Torreon de Paredes,칠레(Chile) / 라펠 밸리(Rapel Valley) / 카차포알 밸리(Cachapoal Valley),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"연어, 청새치, 양념을 곁들인 육류요리 등과 잘 어울린다.",비노메이트,1/5,3/5,4/5,3/5,바닐라,"육류요리, 연어",,
"칸티나 콜리 에우가네이, 모스카토 프리잔테","Cantina Colli Euganei, Moscato Frizzante",https://www.wine21.com/13_search/wine_view.html?Idx=168162&lq=LIST,칸티나 콜리 에우가네이   Cantina Colli Euganei,이탈리아(Italy) / 베네토(Veneto) / 꼴리 에가네이(Colli Euganei),모스카토  (Moscato ),,,,,8~10 ℃,"파이, 케이크, 비스켓 등과 잘 어울린다.",비노메이트,3/5,3/5,2/5,1/5,,케이크,,6~8 %
"보데가스 베르데쿠르즈, 꼴리 세미세코","Bodegas Verduguez, Coeli Semisco",https://www.wine21.com/13_search/wine_view.html?Idx=168163&lq=LIST,보데가스 베르드구에즈  Bodegas Verduguez,이탈리아(Italy),블렌드 (Blend ),,,,,6~8 ℃,"샐러드, 리조또, 파스타 디저트 등과 잘 어울린다.",비노메이트,2/5,3/5,2/5,1/5,,"샐러드, 디저트",,10.5~11.5 %
"비냐 아로모, 헤리티지 레세르바 카베르네 소비뇽","Vina Aromo, Heritage Reserva Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168164&lq=LIST,비냐 아로모  Viña Aromo,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"너무 강하지 않게 조미된 모든 육류에 어울리며, 붉은 소스의 파스타 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,4/5,3/5,,파스타,,13~14 %
"베린저, 나이츠 밸리 리저브 카베르네 소비뇽","Beringer, Knights Valley Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168165&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 나이츠 밸리(Knights Valley),카베르네 소비뇽 (Cabernet Sauvignon),,Knights Valley AVA,,,16~18 ℃,"붉은 육류, 치즈, 훈제, 염장 음식, 피자, 파스타 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,4/5,4/5,블랙베리,치즈,,15~16 %
"베린저, 에잇쓰 메이커 나파 밸리 카베르네 소비뇽","Beringer, 8th Maker Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168166&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),,Napa Valley AVA,,,16~18 ℃,"붉은 육류, 치즈, 훈제, 염장 음식, 피자, 파스타 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,5/5,리치,치즈,*2016 빈티지: James Suckling 99점,16~17 %
"베린저, 나파 밸리 카베르네 소비뇽 블랙 라벨","Beringer, Napa Valley Cabernet Sauvignon Black Label",https://www.wine21.com/13_search/wine_view.html?Idx=168167&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 말벡 (Malbec) / 쁘띠 베르도 (Petit Verdot),,Napa Valley AVA,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,4/5,4/5,블랙베리,"스테이크, 치즈",*2023 대한민국 주류대상 '레드와인 신대륙 부문 대상'*2015 빈티지: James Suckling 93점,14~15 %
"몬도 델 비노, 빌라 피오리 프로메싸 로쏘","MGM Mondo del Vino, Vila Fiori Promessa Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=168168&lq=LIST,몬도 델 비노  MGM Mondo del Vino,이탈리아(Italy),산지오베제 (Sangiovese) / 몬테풀치아노 (Montepulciano) / 메를로 (Merlot),,,,,16~18 ℃,"스테이크, 구운 고기 요리, 미트 소스 파스타 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,,파스타,,13~14 %
"베린저, 위스퍼 시스터 카베르네 소비뇽","Beringer, Whisper Sisters Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168169&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 시라  (Petite Sirah),,Napa Valley AVA,,,16~18 ℃,"스테이크, 치즈, 훈제, 염장 음식, 피자, 파스타 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,4/5,4/5,"잼, 바닐라","스테이크, 치즈",,14~15 %
"베린저, 파운더스 진판델","Beringer, Founders Estate Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=168170&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel) / 쁘띠 시라  (Petite Sirah),,,,,16~18 ℃,"바베큐, 스튜, 구운 야채 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,잼,"스튜, 야채",,14~15 %
"베린저, 브로스 데낄라 배럴 소비뇽 블랑","Beringer, Bros Tequila Barrel Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=168171&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),소비뇽 블랑 (Sauvignon Blanc) / 알바리뇨 (Albarino(Alvarinho)) / 샤르도네 (Chardonnay) / 기타 품종 (Other Grapes),,,,,10~12 ℃,"익힌 채소, 치즈, 훈제, 염장 음식, 피자, 파스타 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,4/5,1/5,"감귤, 바닐라, 허브, 크림","채소, 치즈",,15~16 %
"베린저, 브로스 버번 배럴 카베르네 소비뇽","Beringer, Bros Bourbon Barrel Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168172&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 기타 품종 (Other Grapes),,,,,16~18 ℃,"스테이크, 치즈, 훈제, 염장 음식, 피자, 파스타 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,"바닐라, 헤이즐넛, 초콜릿, 크림","스테이크, 치즈",*2023 대한민국 주류대상 '레드와인 신대륙 부문 대상',14~15 %
"베린저, 브로스 버번 배럴 샤르도네","Beringer, Bros Bourbon Barrel Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168173&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay) / 슈냉 블랑 (Chenin Blanc) / 기타 품종 (Other Grapes),,,,,16~18 ℃,"익힌 채소, 치즈, 훈제, 염장 음식, 피자, 파스타 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,3/5,1/5,"바닐라, 크림","채소, 치즈",,14~15 %
"베린저, 메인&바인 화이트 진판델","Beringer, Main&Vine White Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=168174&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel),,,,,8~10 ℃,"치즈, 디저트, 과일 등과 잘 어울린다.",금양인터내셔날,3/5,3/5,3/5,1/5,"시트러스, 멜론","과일, 치즈, 디저트",,10~11 %
"베린저, 터널 오브 엘름 샤르도네","Beringer, Tunnel Of Elms Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168175&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay),,,,,10~12 ℃,"돼지고기, 해산물, 익힌 채소, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,2/5,1/5,"바닐라, 오크","해산물, 채소, 치즈",,13~14 %
"베린저, 메인&바인 레드 크러쉬","Beringer, Main&Vine Red Crush",https://www.wine21.com/13_search/wine_view.html?Idx=168176&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),메를로 (Merlot) / 쁘띠 시라  (Petite Sirah),,,,,16~18 ℃,"스테이크, 치즈, 훈제, 염장 음식 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,3/5,3/5,,"스테이크, 치즈",,12~13 %
"베린저, 메인&바인 샤르도네","Beringer, Main&Vine Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168177&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay),,,,,10~12 ℃,"돼지고기, 해산물, 생선, 채소, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,2/5,1/5,,"해산물, 채소, 치즈",,13~14 %
"베린저, 메인&바인 카베르네 소비뇽","Beringer, Main&Vine Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168178&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 버섯, 숙성치즈, 한국음식 과 잘 어울린다.",금양인터내셔날,1/5,3/5,3/5,3/5,"바닐라, 오크","스테이크, 양갈비, 버섯, 치즈",,13~14 %
"베린저, 메인&바인 메를로","Beringer, Main&Vine Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168179&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),메를로 (Merlot),,,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,3/5,3/5,"자두, 오크","스테이크, 치즈",,13~14 %
"베린저, 터널 오브 엘름 메를로","Beringer, Tunnel of Elms Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168180&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),메를로 (Merlot),,,,,16~18 ℃,"스테이크, 치즈, 피자, 파스타 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,3/5,3/5,자두,"스테이크, 치즈",,13~14 %
"베린저, 터널 오브 엘름 카베르네 소비뇽","Beringer, Tunnel of Elms Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168181&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,그릴드 바베큐부터 구운 고기까지 어떤 육류요리와도 잘 어울린다.,금양인터내셔날,1/5,3/5,4/5,3/5,바닐라,육류요리,,13~14 %
마르셀 말벡,Marcel Malbec,https://www.wine21.com/13_search/wine_view.html?Idx=168182&lq=LIST,샤또 뒤 세드르  Chateau du Cedre,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec),,,,,16~18 ℃,"닭고기 및 가금류, 구운 육류 등과 잘 어울린다.",더블유앤비트레이딩,1/5,3/5,3/5,3/5,,,*Wine Enthusiast 선정 Best Buy 와인,
블랑딘 르 블랑,Blandine Le Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=168183&lq=LIST,샤또 뒤 세드르  Chateau du Cedre,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 꼬뜨 드 가스꼬뉴(Côtes de Gascogne),콜롱바르 (Colombard) / 우니 블랑 (Ugni Blanc) / 소비뇽 블랑 (Sauvignon Blanc),,,,,8~10 ℃,"각종 해산물, 샐러드, 부드러운 치즈 등과 잘 어울린다.",더블유앤비트레이딩,1/5,4/5,2/5,1/5,,"해산물, 샐러드, 치즈",*Wine Enthusiast 선정 Best Buy 와인,
"알리아스, 샤도네이","Alias, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168184&lq=LIST,알리아스 와이너리  Alias Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),샤르도네 (Chardonnay),,,,,10~12 ℃,"닭고기, 파스타, 부드러운 치즈 등과 잘 어울린다.",더블유앤비트레이딩,1/5,4/5,3/5,1/5,"리치, 오크","닭고기, 파스타, 치즈",*Best Buy Beverage Tasting Institute 2014*Gold Medal Beverage Tasting Institute 2013,
"아릴로 인 테라비앙카, 키안티 클라시코 사셀로","Arillo in Terrabianca, Chianti Classico Sacello",https://www.wine21.com/13_search/wine_view.html?Idx=168186&lq=LIST,아릴로 인 테라비앙카  Arillo in Terrabianca [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese),,Chianti Classico DOCG(DOP),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 다양한 치즈, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,"족발, 트러플","*2020 빈티지: Gardini Notes (The Wine Killer) 92점*Production size: 8.000 bottles*Altitude: 378 m s.l.m.*Packaging format:  6 bottles per carton*The SACELLO Chianti Classico wine,  is an authentic representation of the territory of origin and reflects the identity of the estate TERRABIANCA in Radda in Chianti in terms of climate and terroir, a land of 12.5 hectares planted with vineyards, nestled between woods and hills.",13~14 %
"아릴로 인 테라비앙카, 키안티 클라시코 리제르바 크로체","Arillo in Terrabianca, Chianti Classico Riserva Croce",https://www.wine21.com/13_search/wine_view.html?Idx=168187&lq=LIST,아릴로 인 테라비앙카  Arillo in Terrabianca [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese),,Chianti Classico DOCG(DOP),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 다양한 치즈, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,3/5,,"족발, 트러플","*James Suckling 94 pts, The Wine Advocate Points 92 pts*Production Size: 30.000 bottles*Altitude: 378 m s.l.m.*Packaging format:  6 bottles per carton*It is the heart of tradition, where we produce the iconic product of our company, the CROCE Chianti Classico Riserva obtained from the selection of the best Sangiovese grapes at TERRABIANCA in Radda in Chianti, the main vine of this land.",13~14 %
"바르탈리, 키안티 클라시코 바르탈리","Bartali, Chianti Classico Bartali",https://www.wine21.com/13_search/wine_view.html?Idx=168188&lq=LIST,바르탈리  Bartali [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese),,Chianti Classico DOCG(DOP),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 다양한 치즈, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,"족발, 트러플",*Production size: 100.000 bottles*Wine distributed worldwide.,13~14 %
"바르탈리, 키안티 클라시코 리제르바 알베르토 바르탈리","Bartali, Chianti Classico Riserva Alberto Bartali",https://www.wine21.com/13_search/wine_view.html?Idx=168189&lq=LIST,바르탈리  Bartali [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese),,Chianti Classico DOCG(DOP),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 다양한 치즈, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,3/5,,"족발, 트러플",*Production size: 20.000 bottles*Wine distributed worldwide,13~14 %
"테누타 디 비비아노, 키안티 클라시코","Tenuta di Bibbiano, Chianti Classico",https://www.wine21.com/13_search/wine_view.html?Idx=168190&lq=LIST,테누타 디 비비아노  Tenuta di Bibbiano,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) 100%,,Chianti Classico DOCG(DOP),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 다양한 치즈, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,"족발, 트러플","*Certified Organic*This wine is the expression of all the territorial features of the vineyard, using grapes grown on both exposures of the property",14~15 %
"테누타 디 비비아노, 키안티 클라시코 리제르바","Tenuta di Bibbiano, Chianti Classico Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=168191&lq=LIST,테누타 디 비비아노  Tenuta di Bibbiano,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) 100%,,Chianti Classico DOCG(DOP),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 다양한 치즈, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,3/5,,"족발, 트러플","*Robert Parker 91pts, VT 3 tralci + 1 tralcio argento, VB 4 stelle*Certified Organic*The Riserva is produced using grapes cultivated on both exposures of the property. It represents a tribute to the tradition of our territory.",14~15 %
"테누타 디 비비아노, 키안티 클라시코 그란 셀레지오네 비냐 델 카파니노","Tenuta di Bibbiano, Chianti Classico Gran Selezione Vigna del Capannino",https://www.wine21.com/13_search/wine_view.html?Idx=168192&lq=LIST,테누타 디 비비아노  Tenuta di Bibbiano,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 그로쏘  (Sangiovese Grosso) 100%,,Chianti Classico DOCG(DOP),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 다양한 치즈, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,4/5,,"족발, 트러플","*Certified Organic*wine produced using only the best vintages of Sangiovese grosso clone grapes, monopoly of the Capannino vineyard which overlooks Monteriggioni.",14~15 %
"테누타 디 비비아노, 키안티 클라시코 그란 셀레지오네 '비냐 디 몬토넬로'","Tenuta di Bibbiano, Chianti Classico Gran Selezione 'Vigne di Montornello'",https://www.wine21.com/13_search/wine_view.html?Idx=168193&lq=LIST,테누타 디 비비아노  Tenuta di Bibbiano,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese),,Chianti Classico DOCG(DOP),,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 다양한 치즈, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,3/5,,"족발, 트러플",*Certified Organic*Production size: 15.000 bottles*Produced with Sangiovese grapes grown on the Montornello exposure if the summer is cool and rainy this wine' s structure is diluited and devolpos a more ample complexity. It is a cru : Montornello Vineyards with exposition North East.,14~15 %
