와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급
"냅스테인, 더 인사이더 게브르츠트라미너","Knappstein, The Insider Gewurztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=175010&lq=LIST,냅스테인 엔터프라이즈 와이너리  Knappstein Enterprise Winery,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),게뷔르츠트라미너 (Gewurztraminer),,,9~10 %,8~10 ℃,"돼지고기, 꼬치구이, 베이컨, 오리로스, 치킨, 동남아요리, 아시아요리 등과 잘 어울린다.",(주)선인터내셔널,1/5,2/5,2/5,1/5,"시트러스, 감귤, 구아바, 열대과일, 리치, 장미, 꽃","베이컨, 꼬치구이, 돼지고기, 오리로스, 치킨, 조개구이, 만두, 수육, 오일파스타, 중국요리, 동남아요리, 아시아요리, 샐러드, 말린과일, 열대과일, 말린과일, 과일","* 2016 빈티지 컨디션 - 기록적인 비가 내린 11월의 습한 봄은 토양 수분 성장기에 좋은 날씨였습니다. 꽃이 피고 열매가 맺히는 동안 좋은 기후는 모든 품종의 품질과 수확량을 촉진했고, 12월과 1월의 서늘한 날씨는 오랫동안 안정적인 숙성 조건을 제공하여 다양한 과일 풍미를 만들기 완벽한 해였습니다.* Vineyard 정보 - 북부 포도원의 소규모 밭에서 이 지역은 The Insider 라인의 아로마와 섬세한 스타일의 와인을 생산하는 데 이상적인 빈야드 입니다.",,
"냅스테인, 스파클링 쉬라즈","Knappstein, Sparkling Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=175011&lq=LIST,냅스테인 엔터프라이즈 와이너리  Knappstein Enterprise Winery,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),시라/쉬라즈 (Syrah/Shiraz),,,13~14 %,8~10 ℃,,(주)선인터내셔널,2/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 체리, 자두, 복숭아, 구아바, 열대과일, 꽃, 후추, 감초, 허브","로스트비프, 까르파치오, 베이컨, 바비큐, 돼지고기, 양꼬치, 건육, 훈제오리, 닭고기, 치킨, 생선구이, 장어구이, 편육, 수육, 파스타, 햄버거, 서양요리, 피자, 중국요리, 중국음식, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 자두, 복숭아, 과일, 견과류, 치즈, 체다, 모짜렐라, 페스트리, 크로아상, 바게트",* 2023 Catavinum World Wine & Spirit Competition - 93 Points Gold,,
"보데가스 타론, 템프라니요 블랑코","Bodegas Taron, Tempranillo Blanco",https://www.wine21.com/13_search/wine_view.html?Idx=175012&lq=LIST,보데가스 타론  Bodegas Taron,스페인(Spain) / 리오하(Rioja),템프라니요 블랑코 (Tempranillo Blanco),평균 40년된 포도나무에서 재배된 포도로 양조. 스테인리스 스틸 탱크에서 발효. 다양한 아로마를 보존하고 버터리한 질감을 얻기위해 3개월 동안 리 컨택이 진행.,,13~14 %,8~10 ℃,"회, 해산물, 돼지고기, 가금류, 아시안 요리, 동남아 요리 등과 잘 어울린다.",,1/5,2/5,2/5,1/5,"청사과, 살구, 서양배, 시트러스, 흰꽃, 꽃, 미네랄, 버터","바비큐, 돼지고기, 양념치킨, 후라이드, 광어, 생선회, 해산물, 씨푸드, 편육, 순대, 중국요리, 동남아요리, 아시아요리, 튀김, 샐러드, 과일",,Spanish Rioja White,
"보데가스 타론, 크리안자","Bodegas Taron,Crianza",https://www.wine21.com/13_search/wine_view.html?Idx=175013&lq=LIST,보데가스 타론  Bodegas Taron,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) / 마주엘로 (Mazuelo),,평균 년수 1년인 아메리칸 오크통에서 12개월동안 오크통에서 숙성.,13~14 %,14~16 ℃,,,1/5,3/5,3/5,2/5,"블랙체리, 체리, 딸기, 자두, 붉은꽃, 꽃, 후추, 바닐라, 시나몬, 오크","로스트비프, 바비큐, 돼지고기, 양꼬치, 건육, 훈제오리, 불고기, 족발, 한식, 순대, 오일파스타, 햄버거, 중국요리, 치즈, 체다, 크림치즈",,Spanish Rioja Red,
"보데가스 타론, 리제르바","Bodegas Taron, Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=175014&lq=LIST,보데가스 타론  Bodegas Taron,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) / 마주엘로 (Mazuelo),,평균 년수  2년인 아메리칸 오크통에서 14개월동안 숙성.,13~14 %,16~18 ℃,,,1/5,3/5,3/5,3/5,"블랙체리, 라스베리, 자두, 말린자두, 미네랄, 후추, 감초, 타바코","로스트비프, 까르파치오, 바비큐, 돼지고기, 건육, 불고기, 양념갈비, 족발, 토마토파스타, 견과류, 치즈, 체다, 고다",,Spanish Rioja Red,
"도멘 뒤 샤르도네, 샤블리 프르미에 크뤼 몽 드 밀리우","Domaine du Chardonnay, Chablis 1er Cru Mont de Milieu",https://www.wine21.com/13_search/wine_view.html?Idx=175015&lq=LIST,도멘 뒤 샤르도네   Domaine du Chardonnay,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis) / 샤블리 프리미에 크뤼(Chablis Premier Cru),샤르도네 (Chardonnay),"탱크 안에서 알코올 발효 후 젖산 발효 (Malolactic)진행, 2차 발효 과정을 통해 보다 균형미 있는 산도감의 와인이 탄생.",발효 후 와인은 15-18개월간 온도조절이 가능한 탱크와 오크 배럴에서 숙성과정 후 정제 및 여과하여 완성.,,10~12 ℃,"오리로스, 회, 해산물, 굴, 숙성 치즈, 오일파스타 등과 잘 어울린다.",,1/5,5/5,2/5,1/5,"청사과, 복숭아, 라임, 레몬, 흰꽃, 꽃, 미네랄, 부싯돌, 밀싹, 허브","오리로스, 스시, 초밥, 생선회, 사시미, 해산물, 씨푸드, 생굴, 오일파스타, 서양요리, 동남아요리, 아시아요리, 아스파라거스, 샐러드, 리코타","* 토양: 쥐라기 때 생성된 점토와 석회암 하층토* 연간 5,000 여 병 소량 생산",Burgundy Chablis,"Chablis 1er Cru AOC(AOP), 'Mont de Milieu'"
"비올로 기마흐, 오뜨 꼬뜨 드 본 루즈","Violot Guillemard, Haute Côtes de Beaune Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=175016&lq=LIST,조애네스 비올로 기마흐  Joannes Violot Guillemard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir),유기농법으로 재배. 손 수확. 100% 줄기를 제거하여 부드러운 공기 압착 후 5~6일간 저온 침용. Wooden Vats에서 10일 동안 발효 후 안정화.,프렌치 오크배럴(100% Used Oak)에서 16개월 동안 숙성. 여과 과정 없이 그대로 병입.,,14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",,1/5,4/5,3/5,2/5,"레드커런트, 체리, 딸기, 라스베리, 제비꽃, 미네랄, 감초, 허브","로스트비프, 까르파치오, 돼지고기, 건육, 훈제오리, 찜닭, 참치, 족발, 편육, 수육, 오일파스타, 크림파스타, 난자완스, 송이버섯, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 콩테",* 70년 이상의 고목. 토양은 이회토와 석회암으로 구성.,Burgundy Côte de Beaune Red,Hautes-Côtes de Beaune AOC(AOP)
"비올로 기마흐, 볼네","Violot Guillemard, Volnay",https://www.wine21.com/13_search/wine_view.html?Idx=175017&lq=LIST,조애네스 비올로 기마흐  Joannes Violot Guillemard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir),유기농 포도 재배. 손 수확. 줄기 제거 후 부드럽게 공기 압착 후 5~6일간 저온 침용.  Wooden Vats에서 10일 동안 발효 후 안정화.,"프렌치 오크배럴 (20% New Oak, 80% Used Oak) 에서 16개월 동안 숙성. 여과 과정 없이 그대로 병입.",,14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",,1/5,4/5,3/5,2/5,"레드커런트, 딸기, 라스베리, 자두, 후추, 바닐라, 감초, 삼나무, 오크","송아지, 로스트비프, 까르파치오, 돼지고기, 건육, 오리고기, 훈제오리, 오리로스, 생선구이, 참치, 편육, 수육, 오일파스타, 크림파스타, 서양요리, 트러플, 송이버섯, 치즈, 파르미지아노, 체다, 테트드무안, 콩테",* 70년 이상의 고목. 이회토와 석회암으로 구성된 토양.,Burgundy Côte de Beaune Red,Volnay AOC(AOP)
"비올로 기마흐, 뽀마르 프르미에 크뤼 레 프르미에","Violot Guillemard, Pommard 1er Cru Les Fremiers",https://www.wine21.com/13_search/wine_view.html?Idx=175018&lq=LIST,조애네스 비올로 기마흐  Joannes Violot Guillemard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir),유기농 포도 재배. 손 수확. 줄기 제거 후 부드러운 공기 압착 후 5~6일 간 저온 침용. Wooden Vats에서 10일 동안 발효 후 안정화.,"프렌치 오크배럴 (50% New Oak, 50% Used Oak) 에서 16개월 동안 숙성. 여과 과정 없이 그대로 병입",,,,,1/5,4/5,3/5,2/5,"블랙베리, 체리, 크랜베리, 장미, 꽃, 미네랄, 후추","송아지, 로스트비프, 까르파치오, 돼지고기, 푸아그라, 훈제오리, 생선찜, 편육, 수육, 오일파스타, 크림파스타, 중국요리, 치즈, 파르메산, 그라노파다노, 테트드무안, 콩테","* Vivino - 4.4* 50년 이상의 고목. 자갈, 이회토, 석회암으로 구성된 토양.",Burgundy Côte de Beaune Red,"Pommard 1er Cru AOC(AOP), 'Les Fremiers'"
"비올로 기마흐, 꼬르통 그랑 크뤼","Violot Guillemard, Corton Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=175019&lq=LIST,조애네스 비올로 기마흐  Joannes Violot Guillemard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir),유기농 포도 재배. 손 수확. 100% 줄기 제거 후 부드러운 공기 압착 후 5~6일간 저온 침용. Wooden Vats에서 10일 동안 발효 후 안정호 과정.,"프렌치 오크배럴 (50% New Oak, 50% Used Oak) 에서 16개월 동안 숙성 후, 여과 과정 없이 그대로 병입.",,14~16 ℃,,,1/5,4/5,3/5,2/5,"레드커런트, 체리, 라스베리, 자두, 감초, 아니스, 삼나무, 에스프레소, 오크, 가죽, 버섯","송아지, 로스트비프, 까르파치오, 돼지고기, 건육, 훈제오리, 찜닭, 생선찜, 매운조림, 한식, 편육, 수육, 오일파스타, 크림파스타, 중국요리, 견과류, 치즈, 테트드무안, 콩테",* 70년 이상 고목. 이회토와 석회암으로 구성된 토양.,Burgundy Côte de Beaune Red,Corton Grand Cru AOC(AOP)
"보데가스 로다, 셀라","Bodegas Roda, Sela",https://www.wine21.com/13_search/wine_view.html?Idx=175020&lq=LIST,보데가스 로다  Bodegas Roda,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) / 가르나차  (Garnacha) / 그라시아노 (Graciano),,,,16~18 ℃,"소고기, 불고기, 갈비찜, 양갈비, 순대, 편육, 건육, 하몽, 햄버거, 피자, 한국음식 등과 잘 어울린다.",(주)인디펜던트리쿼코리아,1/5,3/5,3/5,3/5,"체리, 딸기, 라스베리, 미네랄, 후추, 시나몬, 삼나무, 연기, 오크","소고기, 돼지고기, 양갈비, 양고기, 살라미, 초리조, 편육, 순대, 수육, 토마토파스타, 햄버거, 피자, 치즈, 고다, 브리, 페타, 콩테, 모짜렐라",,Spanish Rioja Red,
"보데가스 로다, 로다","Bodegas Roda, Roda",https://www.wine21.com/13_search/wine_view.html?Idx=175021&lq=LIST,보데가스 로다  Bodegas Roda,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) / 그라시아노 (Graciano) / 가르나차  (Garnacha),,,,16~18 ℃,"소고기, 불고기, 갈비찜, 양갈비, 순대, 편육, 건육, 하몽, 햄버거, 피자, 한국음식 등과 잘 어울린다.",(주)인디펜던트리쿼코리아,1/5,3/5,4/5,3/5,"체리, 라스베리, 자두, 제비꽃, 꽃, 삼나무, 오크, 흙","소고기, 건육, 살라미, 생선찜, 편육, 순대, 수육, 햄버거, 피자, 자두, 치즈, 테트드무안",,Spanish Red,
"보데가스 로다, 로다 우노","Bodegas Roda, Roda I",https://www.wine21.com/13_search/wine_view.html?Idx=175022&lq=LIST,보데가스 로다  Bodegas Roda,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) / 그라시아노 (Graciano),,,,16~18 ℃,,(주)인디펜던트리쿼코리아,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 체리, 블루베리, 자두, 후추, 허브, 민트, 시가박스, 오크, 흙","소고기, 양꼬치, 건육, 하몽, 한식, 편육, 순대, 수육, 햄버거, 피자, 치즈, 체다, 브리",,Spanish Rioja Red,
"보데가스 로다, 시르시온","Bodegas Roda, Cirsion",https://www.wine21.com/13_search/wine_view.html?Idx=175023&lq=LIST,보데가스 로다  Bodegas Roda,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) / 그라시아노 (Graciano),,,,16~18 ℃,"소고기, 불고기, 갈비찜, 양갈비, 순대, 편육, 건육, 하몽, 햄버거, 피자, 한국음식 등과 잘 어울린다.",(주)인디펜던트리쿼코리아,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 자두, 제비꽃, 바닐라, 정향, 허브, 민트, 삼나무, 카카오, 오크","소고기, 돼지고기, 건육, 하몽, 불고기, 갈비찜, 족발, 한식, 편육, 순대, 수육, 햄버거, 서양요리, 피자, 견과류, 랑그르, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 콩테",,Spanish Rioja Red,
"보데가스 라 오라, 꼬림보","Bodegas La Horra, Corimbo",https://www.wine21.com/13_search/wine_view.html?Idx=175024&lq=LIST,보데가스 라 오라  Bodegas La Horra,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo),,,,16~18 ℃,"소고기, 불고기, 갈비찜, 양갈비, 순대, 편육, 건육, 하몽, 햄버거, 피자, 한국음식 등과 잘 어울린다.",(주)인디펜던트리쿼코리아,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 체리, 미네랄, 후추, 바닐라, 허브, 아몬드, 캐슈넛","소고기, 돼지고기, 건육, 살라미, 하몽, 불고기, 갈비찜, 한식, 편육, 순대, 수육, 햄버거, 피자, 견과류, 치즈, 파르미지아노, 체다, 그라노파다노, 테트드무안, 콩테",,Spanish Ribera Del Duero Red,
"보데가스 라 오라, 꼬림보 우노","Bodegas La Horra, Corimbo I",https://www.wine21.com/13_search/wine_view.html?Idx=175025&lq=LIST,보데가스 라 오라  Bodegas La Horra,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo),,,,16~18 ℃,,(주)인디펜던트리쿼코리아,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 체리, 블루베리, 자두, 미네랄, 후추, 허브, 민트, 오크","로스트비프, 까르파치오, 소고기, 스테이크, 돼지고기, 양고기, 살라미, 하몽, 불고기, 족발, 한식, 편육, 순대, 햄버거, 피자, 자두, 견과류, 치즈, 파르미지아노, 고다, 테트드무안, 콩테",,Spanish Ribera Del Duero Red,
"메튜 브루노, 카네로스 샤르도네","Mathew Bruno, Carneros Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175026&lq=LIST,메튜 브루노  Mathew Bruno,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay),"Los Carneros AVA의 양질의 포도만을 사용하여 연간 5,000 병 내외의 극소량만 생산",새 프렌치와 아메리칸 오크통에서 9개월 간 앙금과 숙성,,8~10 ℃,버터로 조리된 흰살 생선 그리고 각종 소스의 파스타류와 잘 어울린다.,신세계엘앤비,1/5,3/5,3/5,1/5,"배, 사과, 파인애플, 미네랄, 바닐라, 토스트","생선찜, 흰살생선, 만두, 라자냐, 파스타, 오일파스타, 토마토파스타, 크림파스타, 리조토, 리조또, 피자, 치즈, 리코타, 크림치즈",* 2019 빈티지 : Jeb Dunnuck 91점,Californian Chardonnay,California AVA
"더 프리즈너 와인 컴퍼니, 언쉐클드 까베르네 소비뇽","The Prisoner Wine Company, Unshackled Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175027&lq=LIST,더 프리즈너 와인 컴퍼니  The Prisoner Wine Company,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 시라  (Petite Sirah) / 쁘띠 베르도 (Petit Verdot) / 말벡 (Malbec) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot) / 따나 (Tannat),,"10% 새 아메리칸 오크, 15% 프렌치 오크 배럴에서 9개월간 숙성",,16~18 ℃,"소고기, 스테이크, 양갈비, 불고기, 햄버거와 잘 어울린다.",신세계엘앤비,1/5,3/5,4/5,4/5,"블랙커런트, 블랙베리, 정향, 허브","소고기, 스테이크, 양갈비, 불고기, 햄버거",,Californian Cabernet Sauvignon,California AVA
"가데, 브릿 트라디시옹","Gardet, Brut Tradition",https://www.wine21.com/13_search/wine_view.html?Idx=175028&lq=LIST,샴페인 가데  Champagne Gardet,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier) / 샤르도네 (Chardonnay),,,12~13 %,8~10 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",비노스와인,1/5,4/5,2/5,1/5,"라임, 레몬, 미네랄, 브리오슈, 아몬드","돼지고기, 스시, 생선회, 해산물, 생굴, 새우, 동그랑땡, 편육, 서양요리, 중국요리, 아시아요리, 튀김, 식전주, 샐러드, 견과류, 치즈, 리코타, 모짜렐라, 케이크, 크로아상, 브루스케타, 티라미슈",* 엘리제궁 공식만찬 샴페인* 영국 귀족원 공식 샴페인* 영국 하원의원 공식 샴페인,French Champagne,Champagne AOC(AOP)
"메튜 브루노, 나파밸리 까베르네 쏘비뇽","Mathew Bruno, Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175029&lq=LIST,메튜 브루노  Mathew Bruno,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon),,"새 프렌치 오크통과 아메리칸 오크에서 24개월 간 숙성, 최고의 배럴만을 골라 최종 블렌드 후 병입",,16~18 ℃,"스테이크, 양갈비 등 각종 육류 요리, 각종 경성 치즈와 잘 어울린다.",신세계엘앤비,1/5,3/5,4/5,3/5,"블랙체리, 블루베리, 붉은꽃, 삼나무","그릴요리, 등심, 소고기, 스테이크, 육류요리, 붉은육류, 양갈비, 양고기, 치즈, 파르미지아노, 체다, 그라노파다노, 콩테",* 2015 빈티지 : Jeb Dunnuck 95점,Napa Valley Cabernet Sauvignon,California AVA
"더 프리즈너 와인 컴퍼니, 언쉐클드 소비뇽 블랑","The Prisoner Wine Company, Unshackled Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=175030&lq=LIST,더 프리즈너 와인 컴퍼니  The Prisoner Wine Company,미국(U.S.A) / 캘리포니아(California),소비뇽 블랑 (Sauvignon Blanc) / 알바리뇨 (Albarino(Alvarinho)) / 말바시아 비앙카  (Malvasia Bianca) / 샤르도네 (Chardonnay),,,,6~8 ℃,"생선회, 광어, 생선구이, 해산물, 동남아요리와 잘 어울린다.",신세계엘앤비,1/5,4/5,1/5,1/5,"구즈베리, 배, 리치, 파인애플, 흰꽃","생선구이, 광어, 생선회, 해산물, 동남아요리",,Californian Sauvignon Blanc,California AVA
"가데, 밀레짐 엑스트라 브릿","Gardet, Millesine Extra-Brut",https://www.wine21.com/13_search/wine_view.html?Idx=175031&lq=LIST,샴페인 가데  Champagne Gardet,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,,12~13 %,8~10 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",비노스와인,1/5,5/5,3/5,1/5,"살구, 복숭아, 감귤, 꽃, 바닐라, 브리오슈, 토스트, 헤이즐넛, 호두, 카라멜","돼지고기, 건육, 가금류, 스시, 생선회, 해산물, 랍스터, 생굴, 새우, 한식, 서양요리, 중국요리, 아시아요리, 튀김, 식전주, 샐러드, 과일, 견과류, 치즈, 리코타, 모짜렐라, 디저트, 크로아상, 티라미슈",* 2013 빈티지 - 비비노 평점 4.2,French Champagne,Champagne AOC(AOP)
"가데, 프레스티지 찰스 가데 빈티지","Gardet, Prestige Gardet Charles Vintage",https://www.wine21.com/13_search/wine_view.html?Idx=175032&lq=LIST,샴페인 가데  Champagne Gardet,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,,12~13 %,8~10 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",비노스와인,1/5,5/5,3/5,1/5,"살구, 복숭아, 시트러스, 자몽, 말린과일, 미네랄, 로즈마리, 토스트, 헤이즐넛","돼지고기, 건육, 가금류, 스시, 생선회, 생선 까르파치오, 해산물, 생굴, 새우, 동그랑땡, 잡채, 한식, 오일파스타, 서양요리, 중국요리, 전가복, 아시아요리, 튀김, 식전주, 샐러드, 복숭아, 과일, 견과류, 치즈, 체다, 리코타, 모짜렐라, 타르트, 티라미슈",* 2006 빈티지 - Vivino 4.2* 2000 빈티지 - Vivino 4.2 / Gilbert & Gaillard- 90P,French Champagne,Champagne AOC(AOP)
"블랭크 캔버스, 홀더웨이 소비뇽 블랑","Blank Canvas, Holdaway Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=175033&lq=LIST,블랭크 캔버스  Blank Canvas,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),"싱글 빈야드 생산, 탱크 발효, 비건 인증",,,6~8 ℃,"생선회, 광어, 생선구이, 해산물, 새우, 샐러드, 동남아요리, 아시아요리, 튀김 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,3/5,1/5,"블랙커런트, 구아바, 패션프루트, 미네랄","생선구이, 광어, 생선회, 해산물, 새우, 동남아요리, 아시아요리, 아시아음식, 동남아음식, 튀김, 샐러드",,New Zealand Sauvignon Blanc,
"블랭크 캔버스, 앱스트랙트 소비뇽 블랑","Blank Canvas, Abstract Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=175034&lq=LIST,블랭크 캔버스  Blank Canvas,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),싱글 빈야드 중에서도 엄선된 3열의 밭 포도만을 손 수확,프랜치 오크에서 14개월 간 앙금과 숙성,,6~8 ℃,"생선회, 광어, 생선구이, 해산물, 새우, 샐러드, 동남아요리, 아시아요리, 튀김 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,3/5,1/5,"블랙커런트, 흰꽃, 미네랄, 부싯돌, 토스트","생선구이, 광어, 생선회, 해산물, 새우, 동남아요리, 동남아음식, 튀김, 샐러드",* 2019 빈티지 : Bob Campbell MW 95점,New Zealand Sauvignon Blanc,
"도멘 드 라 슈페트, 풀리니-몽라셰 프리미에 크뤼 '수르퓌'","Domaine de La Choupette, Puligny-Montrachet 1er Cru Sous le Puits",https://www.wine21.com/13_search/wine_view.html?Idx=175035&lq=LIST,도멘 드 라 슈페트  Domaine de la Choupette,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),,"올드 오크 50%, 뉴 오크 50% 숙성",13~14 %,10~12 ℃,,비노스와인,1/5,3/5,3/5,1/5,"서양배, 감귤, 열대과일, 후추, 바닐라, 페이스트리, 아몬드","돼지고기, 오리로스, 생선구이, 초밥, 참치, 생선 까르파치오, 해산물, 조개구이, 새우, 파스타, 서양요리, 중국요리, 치즈, 체다, 고다",,Burgundy Côte de Beaune White,"Puligny-Montrachet 1er Cru AOC(AOP), 'Sous le Puits'"
"로버트 몬다비, 트윈 오크스 샤도네이","Robert Mondavi, Twin Oaks Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175036&lq=LIST,로버트 몬다비  Robert Mondavi,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay) / 피노 그리지오 (Pinot Grigio) / 콜롱바르 (Colombard) / 베르멘티노 (Vermentino) / 비오니에 (Viognier) / 오렌지 뮈스까 (Orange Muscat),,4개월 간 오크에서 앙금과 숙성,,6~8 ℃,"치킨 요리, 트러플 리조또 등과 잘 어울린다.",신세계엘앤비,1/5,3/5,3/5,1/5,"복숭아, 배, 열대과일, 토스트","양념치킨, 닭강정, 닭볶음탕, 삼계탕, 후라이드, 닭고기, 치킨, 만두, 라자냐, 파스타, 오일파스타, 크림파스타, 리조또, 트러플, 복숭아",,Californian Chardonnay,California AVA
"로버트 몬다비, 트윈 오크스 까베르네 소비뇽","Robert Mondavi, Twin Oaks Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175037&lq=LIST,로버트 몬다비  Robert Mondavi,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 쉬라 (Petit Syrah) / 따나 (Tannat) / 시라/쉬라즈 (Syrah/Shiraz),수확 후 바로 줄기 제거 압착,"프렌치, 아메리칸 오크 숙성",,16~18 ℃,구운 육류와 토마토 베이스의 파스타 종류와 잘 어울린다.,신세계엘앤비,1/5,3/5,3/5,3/5,"구즈베리, 블랙베리, 체리, 블루베리, 크랜베리, 라스베리, 빌베리, 카라멜, 초콜릿","그릴요리, 로스트비프, 꼬치구이, 바비큐, 소시지, 항정살, 오겹살, 삼겹살, 양꼬치, 양갈비, 라자냐, 파스타, 토마토파스타, 피자",,Californian Red Blend,California AVA
"로버트 몬다비, 소비뇽 블랑","Robert Mondavi, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=175038&lq=LIST,로버트 몬다비  Robert Mondavi,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon),,,,6~8 ℃,"생선회, 해산물, 새우, 동남아 요리와 잘 어울린다.",신세계엘앤비,1/5,4/5,1/5,1/5,"복숭아, 시트러스, 레몬, 망고, 꽃, 민트","생선회, 해산물, 새우, 동남아요리",,Californian Sauvignon Blanc,Napa Valley AVA
"로버트 몬다비, 우드브릿지 피노 그리지오","Robert Mondavi, Woodbridge Pinot Grigio",https://www.wine21.com/13_search/wine_view.html?Idx=175039&lq=LIST,로버트 몬다비  Robert Mondavi,미국(U.S.A) / 캘리포니아(California),피노 그리지오 (Pinot Grigio) / 콜롱바르 (Colombard) / 베르멘티노 (Vermentino) / 비오니에 (Viognier) / 오렌지 뮈스까 (Orange Muscat),,,,6~8 ℃,"해산물과 태국 요리, 가벼운 음식과 잘 어울린다.",신세계엘앤비,1/5,4/5,2/5,1/5,"청사과, 배, 서양배, 시트러스, 오렌지, 라임, 레몬","해산물, 문어숙회, 조개구이, 새우, 부각, 나물, 어묵, 동남아요리, 동남아음식, 과일, 견과류, 치즈",,Californian Pinot Gris,California AVA
