와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급,추천음식
"베르타니, 발폴리첼라 클라시코 수페리오레 오니산티 디 노바레","Bertani, Valpolicella Classico Superiore Ognisanti di Novare",https://www.wine21.com/13_search/wine_view.html?Idx=177793&lq=LIST,베르타니  Bertani,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 론디넬라 (Rondinella),,"프랑스산 오크 배럴에서 1년, 병입 후 최소 6개월 숙성해 출시.",12~13 %,16~18 ℃,비티스,2/5,3/5,4/5,4/5,"체리, 라스베리, 제비꽃, 장미, 꽃, 정향, 감초, 허브","건육, 훈제오리, 오리로스, 가금류, 만두, 수육, 파스타, 서양요리, 중국요리, 치즈, 체다, 고다, 브리",,,,
베르타니 발폴리첼라 리파소 발판테나,"Bertani, Valpolicella Ripasso Valpantena",https://www.wine21.com/13_search/wine_view.html?Idx=177794&lq=LIST,베르타니  Bertani,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella),1차 발효 후 살짝 단맛이 든 아마로네 껍질과 함께 2차 발효해 만드는 전통적인 레치오토 와인.,나무배럴 및 콘크리트 탱크에서 숙성 후 3개월 더 병입 숙성해 출시.,13~14 %,16~18 ℃,비티스,2/5,3/5,4/5,4/5,"레드커런트, 체리, 잼, 꽃, 정향, 감초, 초콜릿","그릴요리, 육류요리, 바비큐, 양갈비, 건육, 라자냐, 파스타, 리조토, 서양요리, 중국요리, 치즈",,,,
"베르타니, 발폴리첼라 리파소 클라시코 수페리오레 카툴로","Bertani, Valpolicella Ripasso Classico Superiore Catullo",https://www.wine21.com/13_search/wine_view.html?Idx=177795&lq=LIST,베르타니  Bertani,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella),1차 발효 후 살짝 단맛이 든 아마로네 껍질과 함께 2차 발효해 만드는 전통적인 레치오토 와인.,"프랑스산 오크 배럴에서 12개월, 콘크리트 탱크에서 12개월, 병입 후 최소 6개월 숙성 후 출시.",13~14 %,16~18 ℃,비티스,2/5,3/5,4/5,4/5,"체리, 자두, 잼, 후추, 바닐라, 초콜릿","그릴요리, 육류요리, 바비큐, 양고기, 불고기, 갈비찜, 한식, 라자냐, 파스타, 서양요리, 치즈",,,,
"샴페인 보네르, 러브 스토리","Champagne Bonnaire, Love Story",https://www.wine21.com/13_search/wine_view.html?Idx=177796&lq=LIST,보네르  Bonnaire,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,,12~13 %,10~12 ℃,비티스,1/5,3/5,3/5,1/5,"청사과, 배, 시트러스, 흰꽃, 꽃, 미네랄, 브리오슈","생선구이, 초밥, 생선회, 해산물, 랍스터, 중국요리, 아시아요리, 식전주, 샐러드, 치즈",,French Champagne,Champagne AOC(AOP),
"샴페인 보네르, 브뤼 나튀르","Champagne Bonnaire, Brut Nature",https://www.wine21.com/13_search/wine_view.html?Idx=177797&lq=LIST,보네르  Bonnaire,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),,,12~13 %,10~12 ℃,비티스,1/5,3/5,3/5,1/5,"청사과, 시트러스, 레몬, 열대과일, 파인애플, 미네랄, 바닐라, 비스켓","생선구이, 생선회, 참치, 해산물, 랍스터, 오일파스타, 중국요리, 아시아요리, 아페리티프, 치즈",,French Champagne,Champagne AOC(AOP),
"샴페인 보네르, 크라망 빈티지","Champagne Bonnaire, Cramant Vintage",https://www.wine21.com/13_search/wine_view.html?Idx=177798&lq=LIST,보네르  Bonnaire,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),온도가 조절되는 스테인리스 스틸 탱크에서 1차 발효 후 효모와 함께 7년간 숙성.,,12~13 %,10~12 ℃,비티스,1/5,3/5,3/5,1/5,"복숭아, 배, 사과, 미네랄, 브리오슈, 아몬드, 버터","초밥, 생선회, 참치, 해산물, 랍스터, 생굴, 식전주, 치즈",,French Champagne,Champagne AOC(AOP),
"샴페인 보네르, 트라디씨옹 레스프리 뒤 텅","Champagne Bonnaire, Tradition L'Esprit du Temps",https://www.wine21.com/13_search/wine_view.html?Idx=177799&lq=LIST,보네르  Bonnaire,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),"크라망(Cramant) 그랑 크뤼와 베르제 레 베르투스(Bergeres-Les-Vertus) 프르미에 크뤼, 포소이(Fossoy) 밭에서 재배한 포도를 사용했으며, 보네르의 리저브 와인 15%를 블렌딩.",,12~13 %,10~12 ℃,비티스,1/5,3/5,3/5,1/5,"청사과, 시트러스, 감귤, 레몬, 흰꽃, 꽃, 미네랄","닭고기, 초밥, 생선회, 연어, 해산물, 전복, 랍스터, 전복, 생굴, 새우, 오일파스타, 중국요리, 아페리티프, 치즈",,French Champagne,Champagne AOC(AOP),
"샴페인 보네르, 떼루아 그랑 크뤼 블랑 드 블랑","Champagne Bonnaire, Terroirs Grand Cru Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=177800&lq=LIST,보네르  Bonnaire,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),"크라망(Cramant), 슈이(Chouilly), 오이리(Oiry) 세 군데 그랑크뤼에서 수확한 포도로 만든 블랑 드 블랑 샴페인. 최종 블렌드의 15%는 리저브 와인으로 구성.",,12~13 %,10~12 ℃,비티스,1/5,3/5,3/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄, 브리오슈, 아몬드","생선구이, 생선회, 연어, 장어구이, 해산물, 랍스터, 킹크랩, 오일파스타, 중국요리, 아페리티프, 샐러드, 치즈, 콩테",* NV - Bettane & Desseauve 19/20점,French Champagne,Champagne AOC(AOP),
"나티브, 루 델 인키오스트로","Nativ, Rue Dell'Inchiostro",https://www.wine21.com/13_search/wine_view.html?Idx=177801&lq=LIST,나티브  Nativ,이탈리아(Italy) / 깜빠니아(Campania),알리아니코 (Aglianico),,,,16~18 ℃,,1/5,4/5,5/5,5/5,"블랙베리, 블랙체리, 가죽","소고기, 양고기, 한식",,,,
"나티브, 에레모 산 퀴리코","Nativ, Eremo San Quirico",https://www.wine21.com/13_search/wine_view.html?Idx=177802&lq=LIST,나티브  Nativ,이탈리아(Italy) / 깜빠니아(Campania),알리아니코 (Aglianico),,,,16~18 ℃,,1/5,4/5,5/5,5/5,"블랙체리, 블랙베리, 바닐라, 다크초콜릿","소고기, 양고기, 건육, 한식",,,,
"나티브, 비센토","Nativ, Bicento",https://www.wine21.com/13_search/wine_view.html?Idx=177803&lq=LIST,나티브  Nativ,이탈리아(Italy) / 깜빠니아(Campania),알리아니코 (Aglianico),,,,16~18 ℃,,1/5,4/5,5/5,5/5,"블랙베리, 자두, 건포도, 초콜릿","소고기, 양고기, 한식",,,,
"글래쳐, 아이 오브 라 쉬라즈","Glaetzer Wines, Eye of Ra Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=177804&lq=LIST,글레쳐  Glaetzer,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),바로사 밸리 북단 에베네져(Ebenezer)에서 재배하는 110년 수령의 올드바인에서 수확한 포도로 양조.,100% 새 오크통에서 16개월 숙성.,14~15 %,16~18 ℃,비티스,1/5,3/5,5/5,4/5,"블랙베리, 자두, 후추, 바닐라, 허브","그릴요리, 소고기, 스테이크, 육류요리, 양갈비, 양고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 버섯, 치즈, 파르미지아노, 그라노파다노, 페타",,,,
"글래쳐, 왈라스 쉬라즈 그르나슈","Glaetzer Wines, Wallace Shiraz Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=177805&lq=LIST,글레쳐  Glaetzer,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),,,14~15 %,16~18 ℃,비티스,1/5,3/5,5/5,4/5,"블랙베리, 체리, 블루베리, 자두, 후추, 바닐라, 커피","소고기, 스테이크, 육류요리, 붉은육류, 양갈비, 양고기, 훈제오리, 양념갈비, 갈비찜, 족발, 라자냐, 자두, 치즈, 그라노파다노, 페타",,,,
"글래쳐, 비숍 쉬라즈","Glaetzer Wines, Bishop Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=177806&lq=LIST,글레쳐  Glaetzer,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),바로사 밸리 북단 에베네져(Ebenezer)에서 재배하는 35~120년 수령의 올드바인에서 수확한 포도로 양조.,16개월 간 오크배럴에서 숙성(새 오크의 비율을 40%).,14~15 %,16~18 ℃,비티스,1/5,3/5,5/5,4/5,"블루베리, 자두, 후추, 타바코, 커피","소고기, 스테이크, 육류요리, 붉은육류, 양갈비, 양고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 서양요리, 중국요리, 치즈, 그라노파다노",,,,
"글래쳐, 아나페르나 쉬라즈 까베르네 소비뇽","Glaetzer Wines, Anaperenna Shiraz Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=177807&lq=LIST,글레쳐  Glaetzer,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) / 카베르네 소비뇽 (Cabernet Sauvignon),30~100년 수령의 쉬라즈와 30~130년 수령의 까베르네 소비뇽 고목에서 수확한 포도로 양조.,16개월 간 100% 새 오크통에서 숙성. 필터링 없이 병입.,14~15 %,16~18 ℃,비티스,1/5,3/5,5/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 후추, 아니스, 허브, 오크","그릴요리, 소고기, 스테이크, 육류요리, 붉은육류, 양갈비, 양고기, 보쌈, 양념갈비, 갈비찜, 피자, 치즈, 고다, 그라노파다노",,,,
"메종 다라공, 뀌베 안티크 부브레","Maison Darragon, Cuvee Antique, Vouvray Brut",https://www.wine21.com/13_search/wine_view.html?Idx=177808&lq=LIST,메종 다라공  Maison Darragon,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine) / 부브레(Vouvray),슈냉 블랑 (Chenin Blanc),샴페인 전통 방식으로 양조.,,13~14 %,8~10 ℃,비티스,1/5,3/5,2/5,1/5,"배, 시트러스, 레몬, 열대과일, 미네랄, 토스트","꼬치구이, 양꼬치, 건육, 하몽, 프로슈토, 닭강정, 초밥, 연어, 아페리티프, 샐러드",,,,
"메종 다라공, 리네디 드 다비드 샤흐보니에 섹 부브레","Maison Darragon, L'Inedit De David Charbonnier Sec Vouvray",https://www.wine21.com/13_search/wine_view.html?Idx=177809&lq=LIST,메종 다라공  Maison Darragon,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine) / 부브레(Vouvray),슈냉 블랑 (Chenin Blanc),,,12~13 %,10~12 ℃,비티스,1/5,3/5,2/5,1/5,"복숭아, 시트러스, 오렌지, 꽃, 후추, 브리오슈","오리고기, 닭고기, 가금류, 해산물, 만두, 물냉면, 수육, 중국요리, 아시아요리, 샐러드, 치즈, 꽁떼",,,,
"메종 다라공, 헤리티지 드미 섹 부브레","Maison Darragon, Heritage Demi-Sec Vouvray",https://www.wine21.com/13_search/wine_view.html?Idx=177810&lq=LIST,메종 다라공  Maison Darragon,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine) / 부브레(Vouvray),슈냉 블랑 (Chenin Blanc),,,12~13 %,10~12 ℃,비티스,2/5,3/5,2/5,1/5,"청사과, 복숭아, 시트러스, 흰꽃, 꽃","건육, 닭강정, 닭고기, 오일파스타, 중국요리, 동남아요리, 아시아요리, 튀김",,,,
"메종 다라공, 시몬 미뇨 부브레 모엘르","Maison Darragon, Simon Mignot Vouvray Moelleux",https://www.wine21.com/13_search/wine_view.html?Idx=177811&lq=LIST,메종 다라공  Maison Darragon,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine) / 부브레(Vouvray),슈냉 블랑 (Chenin Blanc),,,12~13 %,10~12 ℃,비티스,4/5,3/5,3/5,1/5,"시트러스, 라임, 레몬, 꽃, 꿀","과일, 견과류, 치즈, 블루치즈, 타르트",,,,
도멘 나달 에노 뀌베 마리,Domaine Nadal Hainaut Cuvee Marie,https://www.wine21.com/13_search/wine_view.html?Idx=177812&lq=LIST,샤또 나달 에노  Chateau Nadal Hainaut,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay),"포도의 줄기를 제거하고 손으로 조심스럽게 수확한 다음 부드럽게 압착 후, 프렌치 오크통에서 알코올 발효가 끝날 때까지 숙성.",바토나쥬 작업을 하고 3개월 추가 숙성을 진행. 냉각 과정을 통해 주석산 침전시키고 여과 후 병입.,,,비노에이치,1/5,3/5,4/5,1/5,"복숭아, 구아바, 열대과일, 바나나, 미네랄, 페이스트리","초밥, 생선회, 참치, 해산물, 생굴, 오일파스타, 중국요리, 견과류, 치즈, 고다, 브리","* 밝고 멋진 할머니, 마리 나달에게 바치는 헌정 와인* 전세계 최대 유기농 박람회, 밀레짐 비오(Millesime Bio) '대상' 수상 와이너리* 독특한 디자인과 맛을 선보이는 비건 & 유기농 인증와인",,,
도멘 나달 에노 마카베오,Domaine Nadal Hainaut Macabeu,https://www.wine21.com/13_search/wine_view.html?Idx=177813&lq=LIST,샤또 나달 에노  Chateau Nadal Hainaut,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),마카베오 (Macabeo),"이른 시간에 수확. 줄기 제거. 섬세하게 압착. 온도 조절 발효를 통해 짧은 시간 동안만 발효,",,,,비노에이치,1/5,3/5,3/5,1/5,"배, 시트러스, 열대과일, 멜론, 패션프루트, 미네랄","초밥, 생선회, 해산물, 오일파스타, 중국요리, 아시아요리, 튀김, 식전주, 샐러드","* 열쇠모양의 라벨은 세대를 거쳐 내려온 양조 노하우를 전달하고자 하는* 나달 가문의 정체성을 의미하며 와인메이커의 노력과 오랜 가족 전통에 대한 경의를 표합니다.* 전세계 최대 유기농 박람회, 밀레짐 비오(Millesime Bio) '대상' 수상 와이너리* 독특한 디자인과 맛을 선보이는 비건 & 유기농 인증와인* 프랑스에서는 부동산 계약 완료 시 축하의 의미로 열쇠 라벨의 와인을 선물* 행복한 결혼과 영원한 사랑을 약속하는 열쇠를 의미* 승진 또는 성공의 가도를 열수 있는 행운의 열쇠를 의미",,,
도멘 나달 에노 시라,Domaine Nadal Hainaut Syrah,https://www.wine21.com/13_search/wine_view.html?Idx=177814&lq=LIST,샤또 나달 에노  Chateau Nadal Hainaut,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz),아침에 포도를 손 수확하여 선별. 저온 발효와 매우 짧은 침용  과정. 주석산 침전을 위해 냉각하고 병입 전 여과.,,,,비노에이치,1/5,3/5,3/5,3/5,"체리, 딸기, 라스베리, 바닐라, 감초, 허브","그릴요리, 로스트비프, 소고기, 육류요리, 바비큐, 건육, 훈제오리, 불고기, 족발, 파스타, 크림파스타, 중국요리, 동남아요리, 아시아요리, 치즈, 파르미지아노, 브리, 그라노파다노","* 열쇠모양의 라벨은 세대를 거쳐 내려온 양조 노하우를 전달하고자 하는 나달 가문의 정체성을 의미하며 와인메이커의 노력과 오랜 가족 전통에 대한 경의를 표합니다.* 전세계 최대 유기농 박람회, 밀레짐 비오(Millesime Bio) '대상' 수상 와이너리* 독특한 디자인과 맛을 선보이는 비건 & 유기농 인증와인* 프랑스에서는 부동산 계약 완료 시 축하의 의미로 열쇠 라벨의 와인을 선물* 행복한 결혼과 영원한 사랑을 약속하는 열쇠를 의미* 승진 또는 성공의 가도를 열수 있는 행운의 열쇠를 의미",,,
샤또 라 프랑스 가로스,Chateau la France Garros,https://www.wine21.com/13_search/wine_view.html?Idx=177815&lq=LIST,샤또 라 프랑스 가로스  Chateau la France Garros,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),온도 조절이 가능한 스테인리스 통에서 전통적 방법으로 양조.,젖산 발효 및 오크 숙성을 거친 후 병입.,,,비노에이치,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 자두, 제비꽃, 꽃, 바닐라, 정향, 감초","소고기, 스테이크, 육류요리, 양갈비, 양고기, 건육, 양념갈비, 갈비찜, 파스타, 서양요리, 버섯, 치즈, 파르미지아노, 체다, 고다, 그라노파다노, 테트드무안",,,,
"옐랜드, 말보로 피노누아 리저브","Yealands, Marlborough Pinot Noir Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=177816&lq=LIST,옐랜즈 [에랜즈]  Yealands,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir),1차 발효 후 스테인리스 스틸 탱크에서 침용.,프렌치 오크통에서 2차 숙성 후 병입.,,,비노에이치,1/5,3/5,3/5,3/5,"체리, 자두, 사과, 바닐라, 정향","로스트비프, 돼지고기, 양고기, 건육, 훈제오리, 불고기, 편육, 수육, 서양요리, 피자, 중국요리, 치즈",,,,
"옐랜드, 말보로 피노누아 싱글 빈야드","Yealands, Marlborough Pinot Noir Single Vineyard",https://www.wine21.com/13_search/wine_view.html?Idx=177817&lq=LIST,옐랜즈 [에랜즈]  Yealands,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir),완숙된 상태에서 수확하며 직후 바로 저온 침용 및 1차 발효.,"부드럽게 포도를 압착하고, 프렌치 오크통 숙성 및 병입 숙성 후 출시.",,,비노에이치,1/5,3/5,3/5,3/5,"블랙베리, 체리, 꽃, 허브, 오크","로스트비프, 바비큐, 돼지고기, 양고기, 건육, 훈제오리, 불고기, 족발, 라자냐, 피자, 치즈",* BEST IN SHOW - London Wine Competition 2023* GOLD - London Wine Competition 2023* SILVER - Marlborough Wine Show 2023* SILVER - National Wine Awards of Aotearoa 2023,,,
"도멘 폴 쉐리에, 상세르 블랑","Domaine Paul Cherrier, Sancerre Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=177818&lq=LIST,도멘 폴 쉐리에  Domaine Paul Cherrier,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc),스테인리스 통에서 양조.,12개월 동안 앙금 숙성 후 병입.,,,비노에이치,1/5,4/5,3/5,1/5,"백도, 배, 사과, 시트러스, 자몽, 라임, 레몬, 패션프루트, 미네랄, 허브","건육, 닭고기, 치킨, 초밥, 생선회, 소라, 해산물, 전복, 문어숙회, 전복, 한식, 물냉면, 수육, 오일파스타, 서양요리, 중국요리, 샐러드, 치즈, 페타","* 10~60년 수령의 나무에서 수확한 포도로 생산합니다.* 연간 생산량 : 60,000병* 2015 Vin, 90pts - Wine Advocate",,,
"도멘 폴 쉐리에, 상세르 '필리파'","Domaine Paul Cherrier, Sancerre 'Philippa'",https://www.wine21.com/13_search/wine_view.html?Idx=177819&lq=LIST,도멘 폴 쉐리에  Domaine Paul Cherrier,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc),스테인리스 통에서 양조.,12개월 동안 앙금 숙성 후 병입.,,,비노에이치,1/5,4/5,2/5,1/5,"시트러스, 자몽, 레몬, 열대과일, 멜론, 말린과일, 미네랄, 부싯돌, 허브","건육, 닭고기, 치킨, 생선회, 해산물, 전복, 전복, 새우, 한식, 어묵, 오일파스타, 중국요리, 아시아요리, 샐러드, 치즈, 리코타","* 필리파는 쉐리에의 증조 할머니 이름.* 화이트 얼쓰(White Earth)로 알려진 점토 구획, 10~60년 수령의 나무에서 수확한  포도로 생산합니다.* 연간 생산량 : 60,000병",,,
"도멘 폴 쉐리에, 상세르 '마들렌'","Domaine Paul Cherrier, Sancerre 'Madeleine'",https://www.wine21.com/13_search/wine_view.html?Idx=177820&lq=LIST,도멘 폴 쉐리에  Domaine Paul Cherrier,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc),1500L의 오크 통에서 양조.,12개월 동안 앙금 접촉을 통한 숙성 후 병입.,,,비노에이치,1/5,4/5,2/5,1/5,"구즈베리, 사과, 시트러스, 자몽, 레몬, 패션프루트, 키위, 미네랄, 잔디, 밀싹, 허브","닭고기, 치킨, 초밥, 생선회, 소라, 해산물, 문어숙회, 새우, 오일파스타, 중국요리, 아시아요리, 샐러드, 치즈, 페타","* 마들렌은 쉐리에의 할머니 이름입니다.* 그리오트(Griottes)로 알려진 부드러운 석회암 구획, 40~60년 수령의 나무에서 수확한 포도로 생산합니다.* 연간 생산량 : 1,300병",,,
"도멘 폴 쉐리에, 상세르 '라 벨 오레이'","Domaine Paul Cherrier, Sancerre 'La Belle Oreille'",https://www.wine21.com/13_search/wine_view.html?Idx=177821&lq=LIST,도멘 폴 쉐리에  Domaine Paul Cherrier,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc),1500L의 오크 통에서 양조가 진행.,12개월 동안 앙금 접촉을 통한 숙성 후 병입.,,,비노에이치,1/5,4/5,3/5,1/5,"살구, 복숭아, 시트러스, 흰꽃, 미네랄, 허브","건육, 닭고기, 치킨, 초밥, 생선회, 소라, 해산물, 전복, 전복, 오일파스타, 중국요리, 치즈","* 라 벨 오레이는 구획 이름입니다. 모든 포도는 벨 오레이 구획, 30~40년 수령의 나무에서 수확한 포도로 생산합니다.* 연간 생산량 : 2,000병",,,
"도멘 폴 쉐리에, 상세르 루즈","Domaine Paul Cherrier, Sancerre Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=177822&lq=LIST,도멘 폴 쉐리에  Domaine Paul Cherrier,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),피노 누아 (Pinot Noir),토종 효모를 사용하여 알코올 발효를 하고 25일 동안 천천히 부드럽게 원액을 추출.,"3,000~4,000L의 큰 오크 통에서 18개월 추가 숙성 후 병입.",,,비노에이치,1/5,3/5,3/5,3/5,"블랙베리, 체리, 자두, 시나몬, 허브","로스트비프, 육류요리, 바비큐, 양갈비, 건육, 훈제오리, 꽁피, 족발, 토마토파스타, 크림파스타, 중국요리, 버섯, 송이버섯, 치즈, 파르미지아노, 그라노파다노, 테트드무안","* 15~60년 수령의 나무에서 수확한 포도로 생산합니다.* 연간 생산량 : 17,000병",,,
"시슬다운, 바첼러스 블락 쉬라즈","Thistledown, Bachelor's Block Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=177823&lq=LIST,시슬다운 와인 컴퍼니  Thistledown Wine Company,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),"일차 발효는 조합에서 이루어지며, 스테인레스강 바트와 5톤 개방형 발효제를 사용한 후 와인을 제조, 탱크에 젖산 발효.",최소한으로 여과하여 병에 담기 전에 최대 12개월 동안 숙성.,14~15 %,16~18 ℃,비노스와인,1/5,3/5,4/5,4/5,"블랙체리, 라스베리, 자두, 후추, 허브, 다크초콜릿","소고기, 스테이크, 육류요리, 붉은육류, 양고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 피자, 치즈, 그라노파다노, 스모크, 그뤼에르","* 95 points - Halliday Wine Companion* 95 points - Robert Parker Wine Advocate* 94 points - The Wine Front* 93 points - Halliday Wine Companion* 93 points - The Vintage Journal* 93 points - Decanter* 93 points - The Real Review* Best Shiraz/Gold Medal Sommelier Challenge 2019* Gold Medal/92 Points Beverage Tasting Institute ""Stellar Cellar Selection"" 95 points* Sam Kim - Wine Orbit Feb 2021 외 다수",,,
"시슬다운, 풀 온 더 힐 그르나슈","Thistledown, Fool on the Hill Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=177825&lq=LIST,시슬다운 와인 컴퍼니  Thistledown Wine Company,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),그르나슈 (Grenache),"이른 아침에 손으로 수확한 후 와이넌리로 신속하게 운송, 20%의 전체 송이를 보관, 달걀 모양의 콘크리트 발효조에서 부드럽게 발효.",2년차 및 3년차 프렌치 오크로 압착.,14~15 %,16~18 ℃,비노스와인,1/5,3/5,3/5,3/5,"딸기, 라스베리, 꽃, 후추, 바닐라, 허브, 로즈마리","그릴요리, 육류요리, 바비큐, 건육, 훈제오리, 불고기, 족발, 서양요리, 치즈, 그라노파다노",* 96 points - Robert Parker Wine Advocate* 95 points - Vinous* 94 points - The Real Review* 93 points - Halliday Wine Companion* 93 points - JamesSuckling.com,,,
"시슬다운, 커닝 플랜 쉬라즈","Thistledown, The Cunning Plan Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=177826&lq=LIST,시슬다운 와인 컴퍼니  Thistledown Wine Company,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz),"포도밭에서 개별적으로 양조하여 손으로 수확, 콘크리트 피라미드 안에서 야생발효.",,14~15 %,16~18 ℃,비노스와인,1/5,3/5,4/5,4/5,"블랙베리, 자두, 붉은꽃, 꽃, 후추, 바닐라, 연기","소고기, 스테이크, 육류요리, 붉은육류, 바비큐, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 라자냐, 서양요리, 버섯, 치즈, 그라노파다노, 스모크, 그뤼에르","* BEST SHIRAZ McLaren Vale Wine Show* BEST YOUNG SHIRAZ McLaren Vale Wine Show* 93 points - Robert Parker Wine Advocate* 92 points - JamesSuckling.com* 91 points - The Real Review""",,,
"시슬다운, 그레이프 이스케이프 샤도네이","Thistledown, The Great Escape Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=177827&lq=LIST,시슬다운 와인 컴퍼니  Thistledown Wine Company,호주(Australia) / 사우스 오스트레일리아(South Australia) / 애들레이드 힐즈(Adelaide Hills),샤르도네 (Chardonnay),"가볍게 압착되고 자유롭게 흐르는 주스는 스테인리스 스틸 탱크로 옮겨져 찌꺼기와 분리되며, 소량은 프렌치 오크 배럴에 넣어 천연 효모로 발효.",,12~13 %,10~12 ℃,비노스와인,1/5,3/5,3/5,1/5,"살구, 복숭아, 망고, 파인애플, 정향, 허브, 헤이즐넛, 꿀","베이컨, 항정살, 건육, 오리고기, 닭고기, 오리로스, 가금류, 연어, 참치, 해산물, 생굴, 오일파스타, 중국요리, 치즈, 파르미지아노, 체다, 브리",* 93 points - Halliday Wine Companion* 93 points - JamesSuckling.com* 92 points Robert Parkers Wine Advocate,,,
