와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,기타정보,등급
"발 디 보떼, 로쏘 토스카노 IGT '콘타다'","Val di Botte, Rosso Toscano Igt 'Contada'",https://www.wine21.com/13_search/wine_view.html?Idx=171527&lq=LIST,발 디 보떼  Val di Botte [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),,,,,,,,0/5,0/5,0/5,0/5,,,,,Toscana IGT(IGP)
"발 디 보떼, 키안티 클라시코 DOCG","Val di Botte, Chianti Classico Docg",https://www.wine21.com/13_search/wine_view.html?Idx=171528&lq=LIST,발 디 보떼  Val di Botte [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),,,,,16~18 ℃,,,0/5,0/5,0/5,0/5,,,,,Chianti Classico DOCG(DOP)
"발 디 보떼, 키안티 클라시코 DOCG 리제르바","Val di Botte, Chianti Classico Docg Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=171529&lq=LIST,발 디 보떼  Val di Botte [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),,,,,16~18 ℃,,,0/5,0/5,0/5,0/5,,,,,Chianti Classico DOCG(DOP)
"빌라 트라비놀리, 키안티 보르고 산타 피오라 DOCG","Villa Travignoli, Chianti Borgo Santa Fiora D.O.C.G",https://www.wine21.com/13_search/wine_view.html?Idx=171530&lq=LIST,빌라 트라비놀리  Villa Travignoli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),,,,16~18 ℃,,,1/5,4/5,3/5,3/5,"블랙베리, 체리, 라스베리, 꽃","소고기, 양고기, 한식, 서양요리",13~14 %,,Chianti DOCG(DOP)
"빌라 트라비놀리, 키안티 루피나","Villa Travignoli, Chianti Rufina",https://www.wine21.com/13_search/wine_view.html?Idx=171531&lq=LIST,빌라 트라비놀리  Villa Travignoli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),,,,16~18 ℃,,,1/5,3/5,3/5,3/5,"체리, 라스베리, 꽃, 미네랄","소고기, 닭고기, 한식, 서양요리",13~14 %,,Chianti Rufina DOCG(DOP)
"빌라 트라비놀리, 키안티 루피나 고베르노 알우소","Villa Travignoli, Chianti Rufina Governo all'Uso",https://www.wine21.com/13_search/wine_view.html?Idx=171532&lq=LIST,빌라 트라비놀리  Villa Travignoli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),,,,,16~18 ℃,,,1/5,3/5,3/5,3/5,,,13~14 %,,Chianti Rufina DOCG(DOP)
"빌라 트라비놀리, 키안티 루피나 리제르바 테코라이아","Villa Travignoli, Chianti Rufina Riserva Tegolaia",https://www.wine21.com/13_search/wine_view.html?Idx=171533&lq=LIST,빌라 트라비놀리  Villa Travignoli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,,,16~18 ℃,,,1/5,3/5,3/5,3/5,,"소고기, 양고기, 한식, 서양요리",14~15 %,,
"빌라 트라비놀리, 칼리스 델 콘테","Villa Travignoli, Calice Del Conte",https://www.wine21.com/13_search/wine_view.html?Idx=171534&lq=LIST,빌라 트라비놀리  Villa Travignoli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),메를로 (Merlot),,,,16~18 ℃,,,1/5,3/5,3/5,3/5,"블루베리, 체리, 감초","소고기, 한식, 서양요리",14~15 %,,Toscana IGT(IGP)
"빌라 트라비놀리, 비앙코 가비나노","Villa Travignoli, Bianco Gavignano",https://www.wine21.com/13_search/wine_view.html?Idx=171535&lq=LIST,빌라 트라비놀리  Villa Travignoli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),샤르도네 (Chardonnay) 90% / 소비뇽 블랑 (Sauvignon Blanc) 10%,,,,8~10 ℃,,,1/5,3/5,2/5,1/5,,,12~13 %,,Toscana IGT(IGP)
"빌라 트라비놀리, 로제","Villa Travignoli, Rosé",https://www.wine21.com/13_search/wine_view.html?Idx=171536&lq=LIST,빌라 트라비놀리  Villa Travignoli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 메를로 (Merlot),,,,10~12 ℃,,,1/5,4/5,1/5,1/5,"딸기, 흰꽃","항정살, 생선회, 해산물, 한식, 식전주",12~13 %,,Toscana IGT(IGP)
"빌라 트라비놀리, 빈 산토 델 키안티 루피나 리제르바","Villa Travignoli, Vin Santo del Chianti Rufina Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=171537&lq=LIST,빌라 트라비놀리  Villa Travignoli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),,,,,8~10 ℃,,,0/5,0/5,0/5,0/5,,,,,Vin Santo del Chianti DOC(DOP)
"마르셀 다이스, 맘부르그 그랑크뤼 달자스","Marcel Deiss, Mambourg Grand Cru d'Alsace",https://www.wine21.com/13_search/wine_view.html?Idx=171538&lq=LIST,도멘 마르셀 다이스  Domaine Marcel Deiss,프랑스(France) / 알자스(Alsace) / 오 랭(Haut Rhin),피노 블랑 (Pinot Blanc) / 피노 베로 (Pinot Beurot) / 피노 뮈니에 (Pinot Meunier) / 피노 그리 (Pinot Gris) / 피노 누아 (Pinot Noir),,,,8~10 ℃,"크림 소스를 가미한 치킨 요리, 다양한 버섯 요리, 잘 숙성된 콩테 치즈 등과 잘 어울린다.",신세계엘앤비,2/5,3/5,4/5,1/5,"배, 꽃, 미네랄","치킨, 버섯",14~15 %,,Alsace Grand Cru AOC(AOP)
수리올 상 드 드락 울 드 예브레,Suriol Sang de Drac Ull de Llebre,https://www.wine21.com/13_search/wine_view.html?Idx=171541&lq=LIST,칸 수리올 델 카스텔  Can suriol del castell,스페인(Spain) / 페네데스(Penedes),템프라니요 (Tempranillo) 100%,,,"지하 탱크에서 8개월, 체스트넛 배럴에서 12개월 숙성",16~18 ℃,"그릴에 구운 육류 요리, 숙성 치즈, 샤퀴테리 등과 잘 어울린다.",신세계엘앤비,1/5,3/5,4/5,3/5,배,치즈,13~14 %,,
"코노수르, 싱글 빈야드 피노누아","Cono Sur, Single Vineyard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171542&lq=LIST,코노 수르  Cono Sur,칠레(Chile) / 아콩카구아(Aconcagua) / 산 안토니오 밸리(San Antonio Valley),피노 누아 (Pinot Noir) 100%,,,프랑스산 오크통에서 11개월 숙성 후 한 달 간 스테인리스 스틸 탱크에서 안정화 과정을 거쳐 병입,14~16 ℃,"붉은 육류 요리, 오리 고기, 숙성된 치즈",신세계엘앤비,1/5,3/5,4/5,3/5,"딸기, 오크",치즈,14~15 %,,
"칸티, 프리미엄 브라케토","Canti, Premium Brachetto",https://www.wine21.com/13_search/wine_view.html?Idx=171543&lq=LIST,칸티  Canti,이탈리아(Italy) / 피에몬테(Piemonte),브라케토 (Brachetto) 100%,,,,16~18 ℃,"신선한 딸기나 과일 케이크, 과일 샐러드, 페스츄리 등의 디저트 등과 잘 어울린다.",,4/5,3/5,3/5,3/5,"체리, 자두, 아몬드",샐러드,6~7 %,,
스트레브 모스카토 다스티 DOCG,Strev Moscato d'Asti DOCG,https://www.wine21.com/13_search/wine_view.html?Idx=171544&lq=LIST,마렌코  Marenco,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ) 100%,,,,8~10 ℃,"간단한 핑거 푸드나 애피타이저, 부드러운 치즈, 케이크나 쿠키 등의 디저트, 매콤한 해산물 요리 등과 잘 어울린다.",신세계엘앤비,3/5,3/5,3/5,1/5,꽃,"해산물, 치즈",5~6 %,,
"도멘 쁘띠장, 부르고뉴 피노누아","Domaine Petitjean, Les Boisseaux Bourgogne Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171545&lq=LIST,도멘 쁘띠장  Domaine Petitjean,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 100%,,50년 이상 수령의 고목에서 수확한 포도로 양조,,16~18 ℃,"참치 스테이크, 연어, 소금 후추 간으로 구워낸 담백한 육류 요리 등과 잘 어울린다.",신세계엘앤비,1/5,3/5,3/5,3/5,오크,스테이크,13~14 %,,
"도멘 쁘띠장, 부르고뉴 샤르도네","Domaine Petitjean, Terre Blanche Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171546&lq=LIST,도멘 쁘띠장  Domaine Petitjean,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,,,,8~10 ℃,"견과류를 가미한 샐러드, 삼겹살 구이, 로스트 치킨, 담백한 맛의 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"꽃, 효모","삼겹살, 치킨, 파스타, 샐러드, 견과류",13~14 %,,
"카바이, 히드라 화이트 펫낫","Kabaj, Hydra White Pet Nat",https://www.wine21.com/13_search/wine_view.html?Idx=171547&lq=LIST,카바이  Kabaj,슬로베니아(Slovenia) / Prekmurje(Prekmurje),말바시아 (Malvasia),,,,6~8 ℃,"신선한 해산물 요리, 생선 카르파쵸, 샐러드, 매콤한 맛의 요리, 튀김류 등과 잘 어울린다",신세계엘앤비,1/5,3/5,3/5,1/5,,"해산물, 튀김, 샐러드",13~14 %,,
"카바이, 코버스 레드 펫낫","Kabaj, Corvus Red Pet Nat",https://www.wine21.com/13_search/wine_view.html?Idx=171548&lq=LIST,카바이  Kabaj,슬로베니아(Slovenia),피노 누아 (Pinot Noir) / 메를로 (Merlot),,,,6~8 ℃,"신선한 치즈, 살라미를 곁들인 페스츄리, 스파이시한 아시아 요리, 해산물 요리 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,딸기,"살라미, 해산물, 치즈",13~14 %,*2022 대한민국 주류대상 내추럴와인 부문 대상 수상,
"카바이, 코퍼스 레드","Kabaj, Corpus Red",https://www.wine21.com/13_search/wine_view.html?Idx=171549&lq=LIST,카바이  Kabaj,슬로베니아(Slovenia),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon),,,,16~18 ℃,그릴에 구운 붉은 육류요리나 풍미가 진한 육류 등과 잘 어울린다.,신세계엘앤비,1/5,3/5,4/5,3/5,"타바코, 가죽",육류요리,13~14 %,*2022 대한민국 주류대상 Best of 2022 수상,
"키안티 트람버스티, 키안티 DOCG '곤팔로네'","Chianti Trambusti, Chianti docg 'Gonfalone'",https://www.wine21.com/13_search/wine_view.html?Idx=171550&lq=LIST,키안티 트람버스티  Chianti Trambusti,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),,,,,16~18 ℃,,,1/5,3/5,4/5,3/5,,,12~13 %,,Chianti DOCG(DOP)
"키안티 트람버스티, 키안티 DOCG 리제르바","Chianti Trambusti, Chianti docg Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=171551&lq=LIST,키안티 트람버스티  Chianti Trambusti,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),,,,,16~18 ℃,,,1/5,3/5,3/5,3/5,,,12~13 %,,Chianti DOCG(DOP)
"키안티 트람버스티, IGT 토스카나 '르 메르라이'","Chianti Trambusti, Igt Toscana 'Le Merlaie'",https://www.wine21.com/13_search/wine_view.html?Idx=171553&lq=LIST,키안티 트람버스티  Chianti Trambusti,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),,,,,16~18 ℃,,,1/5,3/5,3/5,3/5,,,12~13 %,,Toscana IGT(IGP)
"키안티 트람버스티, 키안티 클라시코 리제르바 '테누타 포지오 만돌리'","Chianti Trambusti, Chianti Classico Riserva 'Tenuta Poggio ai Mandorli'",https://www.wine21.com/13_search/wine_view.html?Idx=171554&lq=LIST,키안티 트람버스티  Chianti Trambusti,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),,,,,16~18 ℃,,,1/5,3/5,3/5,3/5,,,14~15 %,,Chianti Classico DOCG(DOP)
"발비르지니오, 로쏘","Valvirginio, Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=171555&lq=LIST,발비르지니오 와이너리  Valvirginio Winery [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo) / 콜로리노 (Colorino) / 말바시아 네라 (Malvasia nera),,,,16~18 ℃,,,1/5,3/5,4/5,3/5,,,12~13 %,,
"발비르지니오, 키안티 DOCG","Valvirginio, Chianti DOCG",https://www.wine21.com/13_search/wine_view.html?Idx=171556&lq=LIST,발비르지니오 와이너리  Valvirginio Winery [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo) / 콜로리노 (Colorino),,,,16~18 ℃,,,1/5,3/5,3/5,3/5,,,13~14 %,,
"발비르지니오, 키안티 DOCG 올가닉","Valvirginio, Chianti DOCG Organic",https://www.wine21.com/13_search/wine_view.html?Idx=171557&lq=LIST,발비르지니오 와이너리  Valvirginio Winery [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),,,,,16~18 ℃,,,0/5,0/5,0/5,0/5,,,,,
"발비르지니오, 키안티 콜리 피오렌티니 DOCG '콜레로쏘'","Valvirginio, Chianti Colli Fiorentini DOCG 'Collerosso'",https://www.wine21.com/13_search/wine_view.html?Idx=171558&lq=LIST,발비르지니오 와이너리  Valvirginio Winery [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),,,,,16~18 ℃,,,0/5,0/5,0/5,0/5,,,,,
"발비르지니오, 벨레 데이지 키안티 클라시코","Valvirginio,  Belle Daisy Chianti Classico",https://www.wine21.com/13_search/wine_view.html?Idx=171559&lq=LIST,발비르지니오 와이너리  Valvirginio Winery [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) / 메를로 (Merlot),,,,16~18 ℃,,,1/5,3/5,3/5,3/5,,,13~14 %,,
"일 팔라지오, 웬 위 댄스","Il Palagio, When We Dance",https://www.wine21.com/13_search/wine_view.html?Idx=171560&lq=LIST,일 팔라지오  Il palagio,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 90% / 콜로리노 (Colorino) / 카나이올로 (Canaiolo),,,"스테인리스 스틸 탱크에서 6개월, 병입 후 3개월 숙성",16~18 ℃,"피자, 파스타, 토마토 소스가 가미된 다양한 음식 등과 잘 어울린다.",신세계엘앤비,1/5,3/5,4/5,3/5,"무화과, 허브",,13 %,,
"발비르지니오, 비앙코","Valvirginio, Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=171561&lq=LIST,발비르지니오 와이너리  Valvirginio Winery [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),트레비아노 (Trebbiano) / 말바시아 비앙카  (Malvasia Bianca),,,,8~10 ℃,,,1/5,3/5,1/5,1/5,,,12~13 %,,
"발비르지니오, 로사토","Valvirginio, Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=171562&lq=LIST,발비르지니오 와이너리  Valvirginio Winery [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),,,,,12~14 ℃,,,2/5,3/5,2/5,2/5,,,12~13 %,,
"발비르지니오, 베르멘티노 IGT '발비르지니오'","Valvirginio, Vermentino IGT 'Valvirginio'",https://www.wine21.com/13_search/wine_view.html?Idx=171563&lq=LIST,발비르지니오 와이너리  Valvirginio Winery [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),,,,,16~18 ℃,,,0/5,0/5,0/5,0/5,,,,,
"일 팔라지오, 뉴 데이 로사토","Il Palagio, New Day Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=171564&lq=LIST,일 팔라지오  Il palagio,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) 100%,,,,8~10  ℃,"참치 등 붉은 살 생선, 해산물, 토마토 소스를 베이스로 한 요리 등과 잘 어울린다.",신세계엘앤비,1/5,3/5,3/5,2/5,"배, 장미","참치, 해산물",12.5 %,,
"날리 헤드, 어센틱 블랙","Gnarly Head, Authentic Black",https://www.wine21.com/13_search/wine_view.html?Idx=171565&lq=LIST,델리카토 패밀리 빈야드  Delicato Family Vineyards - DFV,미국(U.S.A) / 캘리포니아(California),블렌드 (Blend ),,,프렌치 및 아메리칸 오크통 최소 5개월 숙성,16~18 ℃,"돼지 갈비, 소갈비 등 진한 양념 육류, 양고기, 한우 등 육즙이 풍부한 육류 등과 잘 어울린다.",,1/5,3/5,3/5,2/5,커피,"돼지, 양고기",14.5 %,,
"블랙 스탈리온, 리미티드 릴리즈 포세이돈 샤르도네","Black Stallion, Limited Release Poseidon Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171566&lq=LIST,델리카토 패밀리 빈야드  Delicato Family Vineyards - DFV,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay) 100%,,,프렌치 및 헝가리안 오크 배럴 20개월 숙성 (47% 새 오크 배럴),8~10 ℃,"식전주로 즐기기 좋고, 치즈, 샐러드, 게, 랍스터, 새우, 치킨 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"꽃, 생강, 크림","치킨, 식전주, 샐러드, 치즈",14.5 %,,
"투핸즈, 찰리스 가든 쉬라즈","Two Hands, Charlie's Garden Eden Valley Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=171567&lq=LIST,투 핸즈 와인즈  Two Hands Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 에덴 밸리(Eden Valley),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,,,16~18 ℃,"양갈비구이, 스테이크 등 다양한 육류요리와 잘 어울린다.",신세계엘앤비,1/5,3/5,4/5,3/5,"배, 꽃",양갈비,14~15 %,,
"얄리, 그랑 레세르바 샤르도네","Yali, Gran Reserva Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171568&lq=LIST,얄리  Yali,칠레(Chile) / 아콩카구아(Aconcagua) / 레이다 밸리(Leyda Valley),샤르도네 (Chardonnay) 100%,,,"프렌치 오크 10개월 (60% 스테인리스 탱크, 40% 오크 베럴)",8~10 ℃,"생선, 회, 굴, 닭고기와 잘 맞고, 한식 요리 중에서 육회, 동태전, 파전, 오리구이 등과 잘 맞는다.",레뱅,2/5,4/5,3/5,1/5,"미네랄, 오크","육회, 닭고기, 한식",12.5 %,*2023 대한민국 주류대상 '신대륙 화이트 와인부문 대상' 수상,
"얄리, 스페셜 셀렉션 샤르도네","Yali, Special Selection Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171569&lq=LIST,얄리  Yali,칠레(Chile) / 센트럴 밸리(Central Valley),샤르도네 (Chardonnay) 100%,,,,8~10 ℃,"오일 파스타, 해물 파전, 구운 닭요리 등과 잘 어울린다.",레뱅,1/5,4/5,3/5,1/5,"바닐라, 오크",파스타,12 %,,
"또스띠, 버터플라이 스파클링","Tosti, Butterfly Sparkling",https://www.wine21.com/13_search/wine_view.html?Idx=171570&lq=LIST,또스띠  Tosti,이탈리아(Italy) / 피에몬테(Piemonte),모스카토 비앙코  (Moscato Bianco) 40% / 샤르도네 (Chardonnay) 60%,,,,8~10 ℃,"식전주로도 좋으며 각종 샐러드, 까나페, 크래커 등과 잘 어울린다.",레뱅,1/5,4/5,4/5,1/5,시트러스,"식전주, 샐러드",9.5 %,* 2021 대한민국 주류대상 구대륙 스파클링 대상,
"또스띠, 모스까또 블랙에디션","Tosti, Moscato Black Edition",https://www.wine21.com/13_search/wine_view.html?Idx=171571&lq=LIST,또스띠  Tosti,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ),,,,8~10 ℃,"과일 타르트, 케이크, 디저트 류와 잘 맞고 한식 요리 중에서 떡, 과일 등 디저트 류와 잘 어울린다.",레뱅,2/5,3/5,2/5,1/5,열대과일,"한식, 과일",6.5 %,,
"도멘 라로쉬, 샤블리 프리미에 크뤼 '라 샹트리'","Domaine Laroche, Chablis Premier Cru 'La Chantrerie'",https://www.wine21.com/13_search/wine_view.html?Idx=171572&lq=LIST,라로쉬    Domaine Laroche,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay),,,,8~10 ℃,전통적으로 굴 요리 등과 잘 어울린다.,,1/5,3/5,2/5,1/5,"꽃, 미네랄, 아몬드, 크림",,12 %,*2017 Decanter World Wine Awards Silver*2017 International Wine Challenge Bronze,
라로쉬 레 3 그라페 블랑셰,Laroche Les 3 Grappes Blanches,https://www.wine21.com/13_search/wine_view.html?Idx=171573&lq=LIST,라로쉬    Domaine Laroche,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay) 33.3% / 소비뇽 블랑 (Sauvignon Blanc) 33.3% / 테레 블랑 (Terret Blanc) 33.3%,,,스테인리스 탱크 숙성,8~10 ℃,"식전주로도 좋으며, 조개류, 해산물, 흰살 고기, 부드러운 치즈 등과 어울린다.",레뱅,2/5,4/5,3/5,1/5,"파인애플, 꽃","해산물, 식전주, 치즈",12.5 %,,Pays d'Oc IGP
"도츠, 윌리엄 도츠","Deutz, William Deutz",https://www.wine21.com/13_search/wine_view.html?Idx=171574&lq=LIST,도츠   Deutz [Champagne Deutz],프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 65% / 샤르도네 (Chardonnay) 30% / 피노 뮈니에 (Pinot Meunier) 5%,,,병입 후 10년의 숙성,8~10 ℃,"아페르티프, 캐비어나 푸아그라, 흰 육류, 농어 요리 등과 잘 맞는다.",레뱅,2/5,4/5,3/5,1/5,"체리, 아몬드","푸아그라, 농어",12 %,* 2022 Korea Wine Challenge Trophy* 2007 빈티지:Meninger 94점* 2007 빈티지:Grandi Champagne 94점,
"도츠, 아모르 드 도츠 로제","Deutz, Amour de Deutz Rose",https://www.wine21.com/13_search/wine_view.html?Idx=171575&lq=LIST,도츠   Deutz [Champagne Deutz],프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 70% / 샤르도네 (Chardonnay) 30%,,,2차 발효 후 8~10년 숙성,6~8 ℃,약간의 스파이시한 음식과 구운 랍스터 또는 생선 요리 등과 잘 어울린다.,,1/5,4/5,2/5,1/5,"딸기, 리치, 잼, 꽃, 미네랄",랍스터,12 %,,
샤또 물랑 드 타파드 메독,Chateau Moulin de Taffard Medoc,https://www.wine21.com/13_search/wine_view.html?Idx=171576&lq=LIST,샤또 물랑 드 타파드  Chateau Moulin de Taffard,프랑스(France) / 보르도(Bordeaux) / 메독(Medoc),메를로 (Merlot) 61% / 카베르네 소비뇽 (Cabernet Sauvignon) 37% / 카베르네 프랑 (Cabernet Franc) 2%,,,,16~18 ℃,"돼지고기 수육, 중화식 닭볶음 요리 등과 잘 어울린다.",,2/5,2/5,4/5,4/5,"토스트, 아몬드",수육,13.5 %,*2016 Concours de Bordeaux 동메달,
들라스 에르미타주 도멘 데 뚜레뜨,Delas Hermitage Domaine des Tourettes,https://www.wine21.com/13_search/wine_view.html?Idx=171577&lq=LIST,들라스  Delas,프랑스(France) / 론(Rhone) / 에르미타주(Hermitage),시라/쉬라즈 (Syrah/Shiraz) 100%,,,"18개월 오크 숙성 (30-60% New 오크, 40-70% 1-2 year 오크)",16~18 ℃,"전통적인 프랑스 요리와 잘 어울리며, 고기, 스튜 등과 잘 매칭되는 와인이다.",레뱅,1/5,3/5,5/5,5/5,"블루베리, 미네랄",스튜,14 %,* VIVINO 4.3 (4451 ratings)* 2023 korea Wine Challenge Bronze (3년 연속 수상)* 2022 Korea Wine Challenge Gold* 2021 Korea Wine Challenge Silver,Hermitage AOC(AOP)
"알타 비스타, 비베 레드 블렌드","Alta Vista, Vive Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=171578&lq=LIST,알타 비스타  Alta Vista,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 45% / 카베르네 프랑 (Cabernet Franc) 35% / 시라/쉬라즈 (Syrah/Shiraz) 20%,,,프렌치 오크통에서 6개월 숙성,,"토시살 같은 붉은 고기류, 토마토 파스타, 단단한 치즈류 등과 잘 어울린다.",레뱅,2/5,3/5,4/5,3/5,,"파스타, 치즈",13.5 %,,
"알타 비스타, 아템포랄 블렌드","Alta Vista, Atemporal Blend",https://www.wine21.com/13_search/wine_view.html?Idx=171579&lq=LIST,알타 비스타  Alta Vista,아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),말벡 (Malbec) / 카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot),,,프렌치 오크통에서 12개월 숙성,16~18 ℃,"그릴에 구운 육류, 양고기, 경성 치즈 등과 잘 어울린다.",레뱅,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 제비꽃, 정향, 후추","양고기, 치즈",14~15 %,*2021 Wine Spectator TOP 100 선정 (80위),
"알타 비스타, 싱글 빈야드 테미스","Alta Vista, Single Vineyard Temis",https://www.wine21.com/13_search/wine_view.html?Idx=171580&lq=LIST,알타 비스타  Alta Vista,아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),말벡 (Malbec) 100%,,,14개월 100% 프렌치 오크 숙성 (50% 새 오크통),16~18 ℃,"붉은 육류, 소스가 진한 파스타류, 피자류, 치즈류, 한식의 제육볶음, 삼겹살, 돼지갈비찜, 소갈비찜, 불고기류, 곱창 등과 잘 어울린다.",레뱅,1/5,4/5,4/5,4/5,"라스베리, 자두, 오크","자두, 치즈",14 %,* 2018 빈티지:Tim Atkin 95점* 2020 Top 아르헨티나 와인 20위 선정,
"파고 드 아일레스, L 드 아일레스","Pago de Ayles, L de Ayles",https://www.wine21.com/13_search/wine_view.html?Idx=171581&lq=LIST,파고 아일레스  Pago Ayles,스페인(Spain),가르나차  (Garnacha) 50% / 카베르네 소비뇽 (Cabernet Sauvignon) 50%,,,,16~18 ℃,"각종 육류 요리를 비롯해 피자, 치즈 등과 잘 어울린다.",레뱅,1/5,4/5,2/5,1/5,허브,"피자, 치즈",14.5 %,,
"보데가스 까레, 트리오 레드 블렌드","Bodegas Care, Trio Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=171582&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까리네냐(Carinena),가르나차  (Garnacha) 50% / 시라/쉬라즈 (Syrah/Shiraz) 40% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,,,,16~18 ℃,"삼겹살, 목살 구이, 목살 스테이크와 잘 맞고, 한식 요리 중에서 떡갈비, 돼지 불고기, 잡채 등과 잘 어울린다.",레뱅,2/5,3/5,4/5,4/5,,스테이크,14 %,*2020 빈티지: 87점 Peñin Guide*2019 빈티지: Decanter 동메달,
"보데가스 까레, 블랑코 소브레 리아스","Bodegas Care, Blanco Sobre Lias",https://www.wine21.com/13_search/wine_view.html?Idx=171583&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까리네냐(Carinena),가르나차 블랑카  (Garnacha Blanca) 60% / 샤르도네 (Chardonnay) 40%,,,,8~10 ℃,"치킨 샐러드, 새우구이, 생선회와 잘 맞고, 한식 요리 중에서 해물파전, 월남쌈, 보쌈 등과 잘 어울린다.",레뱅,1/5,4/5,3/5,1/5,파인애플,"치킨, 생선회, 새우, 샐러드",13 %,*2020 빈티지: Peñin Guide 87점*2019 빈티지: CIVAS 90점,
