와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급
"큐레이터 와인, 카베르네 소비뇽 마라난가 빈야드","Curator Wine, Cabernet Sauvignon Marananga Vineyard",https://www.wine21.com/13_search/wine_view.html?Idx=170193&lq=LIST,큐레이터 와인  Curator Wine,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Australian Cabernet Sauvignon,석회암 위에 적갈색 점토로 뒤덮인 토양에서 재배된 포도를 이른 아침 서늘한 날씨에 손 수확하여 2~3일의 안정화,"60%는 New French oak, 40%는 Used French oak에서 3~4주 동안 2차 발효 후 24개월 동안 숙성",,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"블랙커런트, 타바코, 치즈","양갈비, 치즈",2017 Vin – Sam Kim MW : 96 / 1002017 Vin – The Wine Front : 93 / 100,
"비냐 마퀴스, 그랑 리제르바 로제","Vina Maquis, Gran Reserva Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170194&lq=LIST,비냐 마퀴스  Viña Maquis,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),말벡 (Malbec) 65% / 카베르네 프랑 (Cabernet Franc) 35%,,"100% 손 수확, 12ºC - 16ºC 에서 20일간 발효",프렌치 오크통에서 5개월 숙성,12~13 %,10~12 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",레드와인앤제이와이,1/5,3/5,2/5,2/5,"딸기, 크랜베리, 배","건육, 살라미, 프로슈토, 연어, 참치, 게살, 새우, 파스타, 햄버거, 체다, 에멘탈, 브리, 카망베르","*2020 빈티지: Descorchados 2020 in Chile91점, Tim Atkin92점*2019 빈티지: Tim Atkin92점",
"보데가스 까레, 핀카 반칼레스","Bodegas Care, Finca Bancales",https://www.wine21.com/13_search/wine_view.html?Idx=170195&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까리네냐(Carinena),가르나차  (Garnacha) 100%,Spanish Grenache,,프렌치 오크 12개월 숙성,14~15 %,16~18 ℃,"구운 육류, 양고기, 치킨, 파스타와 리조또 등과 잘 어울린다.",레뱅,1/5,3/5,3/5,3/5,,"양고기, 치킨",2021 Concours Mounal Bruxelles GOLDVivino 3.9pts (836ratings)*2023 대한민국 주류대상 '레드와인 구대륙 부문 대상',
"이노와인, 세파주 리브레 루즈","Innowine, Cepage Libre Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=170197&lq=LIST,이노와인  Innowine,프랑스(France),그르나슈 (Grenache) / 무르베드르 (Mourvedre) / 칼라독 (Caladoc) / 시라/쉬라즈 (Syrah/Shiraz) / 마르셀란 (Marselan) / 까리냥 (Carignan/Carignane),,아황산염 (sulfite)이 전혀 첨가되지 않은 전통적인 방법으로 양조,,14~15 %,16~18 ℃,"구운 양고기, 타파스 및 오리가슴살 같은 요리와 잘 어울린다.",레드와인앤제이와이,1/5,3/5,3/5,3/5,,양고기,,
"아나이, 오너스 컬렉션 까베르네 소비뇽","Anay, Owner's Collection Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=170198&lq=LIST,비냐 마퀴스  Viña Maquis,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카베르네 소비뇽 (Cabernet Sauvignon) 90% / 카베르네 프랑 (Cabernet Franc) 7% / 쁘띠 베르도 (Petit Verdot) 3%,Chilean Cabernet Sauvignon,"100% 손으로 수확 및 선별, 22 ~ 25도에서 온도조절하며 발효",프랑스 오크통 (100%) 24개월 숙성,13.5~14.5 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",레드와인앤제이와이,1/5,4/5,4/5,4/5,,"양갈비, 치즈",,
알루아도 샤르도네,Aluado Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=170199&lq=LIST,DFJ 비노스  DFJ Vinhos,포르투갈(Portugal),샤르도네 (Chardonnay) 100%,,,,13~14 %,8~10 ℃,"aperitif (식전주)로 perfect하며 seafood, fish류의 요리와 잘 어울린다.",레드와인앤제이와이,1/5,3/5,1/5,1/5,라임,식전주,* Bronze at IWSC 2020 – 2020 vintage* GOLD at Gilbert et Gaillard 2020,
알루아도 알리칸테 부쉐,Aluado Alicante Bouschet,https://www.wine21.com/13_search/wine_view.html?Idx=170200&lq=LIST,DFJ 비노스  DFJ Vinhos,포르투갈(Portugal),알리칸테 부쉐 (Alicante Bouschet) 100%,,,,13~14 %,16~18 ℃,"aperitif (식전주)로도 좋으며 육류, 리조또, 피자, 카레 및 spicy food와도 좋은 매칭이 되며 약간 찬 온도에서는 연어 및 oily한 생선류와도 잘 어울린다.",레드와인앤제이와이,1/5,3/5,3/5,4/5,자두,"연어, 식전주, 자두",* GOLD at Singapore Wine Awards 2020* GOLD at Gilbert et Gaillard 2020* GOLD at JapanWine Awards,
"알프레드 그라티엔, 밀레짐 브뤼","Alfred Gratien, Millesime Brut",https://www.wine21.com/13_search/wine_view.html?Idx=170201&lq=LIST,알프레드 그라티엔  Alfred Gratien,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 60% / 피노 누아 (Pinot Noir) 25% / 피노 뮈니에 (Pinot Meunier) 15%,French Champagne,"선별된 포도의 hand picking, 전통적인 방법의 양조",작은 228리터 오크에서 숙성,12~13 %,8~10 ℃,"근채류 (무, 당근, 우엉같은 뿌리채소)를 동반하지 않고 조리한 육류 또는 생선류 (송아지, 농어, 대구 등)와 같은 우아 한 음식과 잘 어울린다.",레드와인앤제이와이,1/5,4/5,1/5,1/5,"복숭아, 망고, 후추","송아지, 농어, 채소","*Palstaff Awards 2015 ""93 point"" - 07 vin",Champagne AOC(AOP)
"알프레드 그라티엔, 퀴베 파라다이스 브뤼","Alfred Gratien, Cuvee Paradis Brut",https://www.wine21.com/13_search/wine_view.html?Idx=170202&lq=LIST,알프레드 그라티엔  Alfred Gratien,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 65% / 피노 누아 (Pinot Noir) 35%,French Champagne,"선별된 포도의 hand picking, 전통적인 방법의 양조",작은 228리터 오크에서 숙성 (젖산발효 X),12~13 %,8~10 ℃,"너무 짜거나 달고, 매운 음식이 아닌 전채요리와 잘 어울린다.",레드와인앤제이와이,1/5,4/5,1/5,1/5,"파인애플, 브리오슈, 아몬드, 버터",전채요리,"*Palstaff Awards 93 point – '13 vin*Mundus Vini 2020 ""Gold Medal"" – '13 vin*Berliner Wein Award 2020 ""Gold Medal"" – '13 vin",Champagne AOC(AOP)
"알프레드 그라티엔, 클래식 브뤼","Alfred Gratien, Classic Brut",https://www.wine21.com/13_search/wine_view.html?Idx=170203&lq=LIST,알프레드 그라티엔  Alfred Gratien,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 46% / 피노 누아 (Pinot Noir) 24% / 피노 뮈니에 (Pinot Meunier) 30%,French Champagne,"선별된 포도의 hand picking, 전통적인 방법의 양조",작은 228리터 오크에서 숙성 (젖산발효 X),12~13 %,6~8 ℃,"너무 짜거나 달고, 매운 음식이 아닌 전채요리와 잘 어울린다.",레드와인앤제이와이,1/5,4/5,1/5,1/5,"감귤, 버터",전채요리,"*Berliner Wein Award 2020 ""Gold Medal""*Tom Cannavan ""92 point""",Champagne AOC(AOP)
"라바날 와인, 까발로 도라도 샤도네이","Ravanal Wines, Caballo Dorado Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=170204&lq=LIST,라바날 와인  Ravanal Wine,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),샤르도네 (Chardonnay),Chilean Chardonnay,250미터 고도에서 지중해의 건조하고 따뜻한 온도. 낮은 대기 습도와 낮 밤의 심한 열 변화와 높은 주간 태양열과 밤에 산맥에서 오는 상쾌한 바람으로 빚어지는 와인,프랑스와 미국의 오크 배럴에서 8 - 10 개월 동안 숙성,13~14 %,8~10 ℃,"연어와 송어와 같은 랍스터, 게 및 생선과 잘 어울린다.",와인토피아,1/5,3/5,1/5,1/5,열대과일,"연어, 랍스터",,
"라바날 와인, 까발로 도라도 카르미네르","Ravanal Wine, Caballo Dorado Carmenere",https://www.wine21.com/13_search/wine_view.html?Idx=170205&lq=LIST,라바날 와인  Ravanal Wine,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카르메네르 (Carmenere),Chilean Carménère,지중해의 건조하고 따뜻한 온도. 낮은 대기 습도와 낮 밤의 심한 열변화 와 높은 주간 태양 복사와 밤에 산맥에서 오는 상쾌한 바람으로 익은 포도로 빚어짐,프랑스와 미국의 오크 배럴에서 8-10개월 동안 숙성,13~14 %,16~18 ℃,"화이트 치즈, 파스타, 리조또, 고기와 잘 어울린다.",와인토피아,1/5,3/5,3/5,3/5,"체리, 배, 후추",치즈,,
"라바날 와인, 까발로 도라도 카베르네 소비뇽","Ravanal Wine, Caballo Dorado Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=170206&lq=LIST,라바날 와인  Ravanal Wine,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카베르네 소비뇽 (Cabernet Sauvignon),Chilean Cabernet Sauvignon,"지중해의 건조하고 따뜻한 온도, 낮은 대기습도와 낮 밤의 심한 열변화, 높은 한낮의 태양열 과 밤에 산맥에서 오는 상쾌한 바람들의 모든 요소들이 어우러져 성숙된 포도로 만듬",프랑스와 아메리칸 오크 배럴에서 8-10개월 동안 숙성,13~14 %,16~18 ℃,"붉은 고기, 바베큐, 잘 익은 치즈와 잘 어울린다.",와인토피아,1/5,3/5,4/5,4/5,,치즈,,
"카테나 자파타, 디.브이 카테나 카베르네 히스토리코","Catena Zapata, D.V Catena Cabernet Historico",https://www.wine21.com/13_search/wine_view.html?Idx=170207&lq=LIST,까테나 자파타  Catena Zapata,아르헨티나(Argentina),카베르네 소비뇽 (Cabernet Sauvignon) 97% / 카베르네 프랑 (Cabernet Franc) 3%,Argentinian Cabernet Sauvignon,26-28 일 동안 마세라시옹,18개월 프렌치 오크통에서 숙성,13~14 %,16~18 ℃,"그릴 스테이크, 아르헨티나식 샌드위치 엠파나다, 바비큐, 채끝 등심 스테이크, 토마토 소스의 파스타 및 가지 라자냐 등의 음식과 잘 어울린다",신세계엘앤비,1/5,3/5,4/5,4/5,"토스트, 가죽",바비큐,,
"카테나 자파타, 디.브이 카테나 틴토 히스토리코 스페셜 에디션","Catena Zapata, D.V Catena Tinto Historico Special Edition",https://www.wine21.com/13_search/wine_view.html?Idx=170208&lq=LIST,까테나 자파타  Catena Zapata,아르헨티나(Argentina),말벡 (Malbec) / 보나르다 (Bonarda) / 쁘띠 베르도 (Petit Verdot),Argentinian Malbec,,,13~14 %,16~18 ℃,양고기 스테이크는 물론이고 염소 치즈나 샤퀴테리와도 잘 어울린다,신세계엘앤비,1/5,4/5,5/5,5/5,"체리, 자두","스테이크, 양고기, 치즈",,
"카테나 자파타, 디.브이 카테나 말벡 히스토리코","Catena Zapata, D.V Catena Malbec Historico",https://www.wine21.com/13_search/wine_view.html?Idx=170209&lq=LIST,까테나 자파타  Catena Zapata,아르헨티나(Argentina),말벡 (Malbec) 75% / 보나르다 (Bonarda) 19% / 쁘띠 베르도 (Petit Verdot) 6%,Argentinian Malbec,5일동안 8.8도 낮은 온도에서 마세라시옹 작업을 거쳐 향을 극대화,두번째 및 세번째 사용한 오크통을 선별하여 12-14개월 동안 숙성,13~14 %,16~18 ℃,"숙성된 치즈, 스튜, 양고기 스테이크 등 풍미가 진한 음식과 잘 어울린다.",신세계엘앤비,1/5,4/5,4/5,4/5,"체리, 자두, 토스트","양고기, 치즈",,
"안젤리카 자파타, 카베르네 소비뇽","Angelica Zapata, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=170210&lq=LIST,까테나 자파타  Catena Zapata,아르헨티나(Argentina),카베르네 소비뇽 (Cabernet Sauvignon),Argentinian Cabernet Sauvignon,최대 28-30도의 온도에서 발효,프렌치 오크 배럴에 18개월 숙성,14~15 %,16~18 ℃,"숙성된 치즈, 스튜, 양고기 스테이크 등 풍미가 진한 음식과 잘 어울린다.",신세계엘앤비,1/5,3/5,4/5,4/5,"체리, 자두, 토스트","양고기, 치즈",,
"카네타 자파타, 안젤리카 자파타 말벡","Catena Zapata, Angelica Zapata Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=170211&lq=LIST,까테나 자파타  Catena Zapata,아르헨티나(Argentina),말벡 (Malbec) 100%,Argentinian Malbec,10도 이하의 차가운 온도에서 침용 과정을 거쳐 향을 추출,18개월 프랑스 오크 배럴에 숙성을 하며 배럴은 포도밭과 빈티지에 따라 선별하여 사용,14~15 %,16~18 ℃,"그릴에 구운 육류, 양고기 로스트, 램챱 등 다양한 육류요리, 숙성한 치즈와 곁들이면 잘 어울린다.",신세계엘앤비,1/5,4/5,4/5,5/5,"자두, 미네랄","육류요리, 양고기, 치즈","*올드 바인 말벡 포도로 양조한 와인*아메리칸 에어라인 퍼스트 클래스 기내 와인*아르헨티나, 브라질 내 $50 리테일 브랜드 와인",
"카테나 자파타, 안젤리카 자파타 메를로","Catena Zapata, Angelica Zapata Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=170212&lq=LIST,까테나 자파타  Catena Zapata,아르헨티나(Argentina),메를로 (Merlot) 100%,Argentinian Merlot,"엄선한 이스트로 최대 29도에서 12일 동안 발효, 30일 동안 마세라씨옹 과정",프랑스 오크통 16개월 숙성,13~14 %,16~18 ℃,"스테이크, 훈제오리, 치킨, 바비큐, 소시지, 숙성치즈와 잘 어울린다.",신세계엘앤비,1/5,3/5,4/5,3/5,"블랙베리, 바닐라, 오크","스테이크, 치즈","Wine Spectator 2012: Distinguished Service Award 2012 – Nicolás CatenaRobert Parker 2007: 100 BEST WINE ESTATES only Winery from SouthAmerica listed in “Greatest Wine Estates of the World”Decanter 2009: Decanter Man Of The Year, Nicolas Catena",
"카테나 자파타, 안젤리카 자파타 샤도네이","Catena Zapata, Angelica Zapata Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=170213&lq=LIST,까테나 자파타  Catena Zapata,아르헨티나(Argentina),샤르도네 (Chardonnay),Argentinian Chardonnay,19도 온도에서 24시간 발효,14개월 프렌치 오크통 (40% 새 오크통) 숙성,13~14 %,8~10 ℃,"6℃로 차갑게 보관해 가벼운 소스를 가미한 닭고기, 신선한 샐러드, 담백한 해산물요리, 오일 파스타, 다양한 종류의 회와 잘 어울린다.",신세계엘앤비,1/5,3/5,1/5,1/5,"꽃, 바닐라","닭고기, 해산물, 파스타, 샐러드","*Wine Spectator 2012: Distinguished Service Award 2012 – Nicolás Catena*Robert Parker 2007: 100 BEST WINE ESTATES only Winery from South*America listed in “Greatest Wine Estates of the World”*Decanter 2009: Decanter Man Of The Year, Nicolas Catena",
"에스꼬리후엘라 가스콘, 록키 말벡","Escorihuela Gascon, Rocky Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=170214&lq=LIST,에스꼬리후엘라 가스콘  Escorihuela Gascon,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 100%,Argentinian Malbec,,,13~14 %,16~18 ℃,"파스타, 피자, 치즈, 구운 고기와 잘 어울린다.",바쿠스,1/5,2/5,4/5,4/5,,치즈,,
"에스꼬리후엘라 가스콘, 서커스 레드 블렌드","Escorihuela Gascon, Circus Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=170215&lq=LIST,에스꼬리후엘라 가스콘  Escorihuela Gascon,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec) 40% / 시라/쉬라즈 (Syrah/Shiraz) 15% / 보나르다 (Bonarda) 30% / 메를로 (Merlot) 15%,Argentinian Malbec,,,14~15 %,16~18 ℃,"스테이크, 삼겹살, 양고기와 잘 어울린다.",바쿠스,1/5,2/5,4/5,3/5,자두,"스테이크, 삼겹살, 양고기, 자두",,
"에스콜리후엘라 가스콘, 서커스 토론테스","Escorihuela Gascon, Circus Torrontes",https://www.wine21.com/13_search/wine_view.html?Idx=170216&lq=LIST,에스꼬리후엘라 가스콘  Escorihuela Gascon,아르헨티나(Argentina) / 멘도사(Mendoza),토론테스 (Torrontes) 100%,Argentinian Torrontés,,,11~12 %,8~10 ℃,"초밥, 해산물과 잘 어울린다.",바쿠스,1/5,4/5,2/5,1/5,"살구, 복숭아, 시트러스, 흰꽃, 꽃","초밥, 생선회, 생선 까르파치오, 해산물, 나물, 물냉면, 오일파스타, 중국요리, 동남아요리, 아시아요리, 샐러드, 과일",,
"칸티나 꼴리 에오가네이, 피노 그리지오 델레 베네치에","Cantina Colli Euganei, Pinot Grigio delle Venezie",https://www.wine21.com/13_search/wine_view.html?Idx=170217&lq=LIST,칸티나 콜리 에우가네이   Cantina Colli Euganei,이탈리아(Italy) / 베네토(Veneto),피노 그리지오 (Pinot Grigio),Northern Italy Pinot Grigio,Euganei 언덕은 1억 3천만년전 화산섬 군도로 해양화석의 기원을 알수 있듯이 오래된 조각난 화산암과 충적토에서 포도를 생산,,12~13 %,8~10 ℃,"이탈리안 에피타이저, 파스타 및 리조또, 갑각류와 오븐에 구운 생선과 잘 어울린다.",레드와인앤제이와이,1/5,3/5,1/5,1/5,,,*Palstaff Magazine 89 point - 2018 vintage,
유미의 가르고뜨 카베르네 소비뇽,Yumi's Gargotte Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=170218&lq=LIST,레 프로듀퇴르 뤠니  Les Producteurs Reunis,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Languedoc-Roussillon Red,,,,16~18 ℃,맛있게 요리된 홈메이드 음식과 잘 어울린다.,국순당,1/5,3/5,4/5,4/5,"블랙커런트, 커피",,,
"유미의 가르고뜨, 샤도네이","Yumi's Gargotte, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=170219&lq=LIST,레 프로듀퇴르 뤠니  Les Producteurs Reunis,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay) 100%,Languedoc-Roussillon White,,,,8~10 ℃,"풍부하고, 맛있게 요리된 홈메이드 음식과 잘 어울린다.",국순당,1/5,3/5,1/5,1/5,미네랄,,,
"칸티네 산 마르코, 프로그 비노 로쏘","Cantine San Marco, Frog Vino Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=170220&lq=LIST,칸티네 산 마르코  Cantine San Marco,이탈리아(Italy) / 라치오(Lazio),몬테풀치아노 (Montepulciano) / 칠리에졸로 (Ciliegiolo) / 산지오베제 (Sangiovese) / 체사네세 (Cesanese),,,,12~13 %,16~18 ℃,붉은색 계열의 meats와 치즈와 잘 어울린다.,레드와인앤제이와이,1/5,3/5,3/5,3/5,,치즈,,
"칸티네 산 마르코, 프로그 비노 비안코","Cantine San Marco, Frog Vino Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=170221&lq=LIST,칸티네 산 마르코  Cantine San Marco,이탈리아(Italy) / 라치오(Lazio),말바시아 (Malvasia) / 트레비아노 (Trebbiano) / 그레케토 비앙코 (Grechetto Bianco),,,,12~13 %,8~10 ℃,아페리티프 (aperitif) 및 생선요리와 white meats 와 잘 어울린다.,레드와인앤제이와이,1/5,3/5,1/5,1/5,,아페리티프,,
"프라텔리 세리오 & 바티스타 보르고뇨, 가비","Fratelli Serio & Battista Borgogno, Gavi",https://www.wine21.com/13_search/wine_view.html?Idx=170222&lq=LIST,프라텔리 세리오 & 바티스타 보르고뇨  Fratelli Serio & Battista Borgogno,이탈리아(Italy) / 피에몬테(Piemonte),코르테제 (Cortese),,매년 10월 손으로 수확,,12~13 %,8~10 ℃,아페리티프의 seafood와 채소류 / fresh한 치즈 및 white meat 파스타와 잘 어울린다.,레드와인앤제이와이,1/5,3/5,1/5,1/5,,"파스타, 아페리티프, 채소, 치즈",,
"프라텔리 세리오 & 바티스타 보르고뇨, 바롤로 칸누비 리제르바","Fratelli Serio & Battista Borgogno, Barolo Cannubi Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=170223&lq=LIST,프라텔리 세리오 & 바티스타 보르고뇨  Fratelli Serio & Battista Borgogno,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo) / 칸누비(Cannubi),네비올로 (Nebbiolo) 100%,Italian Barolo,매년 10월 손으로 수확,대형 오크통에서 52개월이상 숙성,14~15 %,14~16 ℃,"트러플, 양갈비, 스튜, 그릴요리, 바비큐, 포크, 버섯, 프로슈토, 라자냐, 이탈리안 음식과 잘 어울린다.",레드와인앤제이와이,1/5,4/5,4/5,3/5,잼,"양갈비, 프로슈토, 라자냐",,
"나바로 로페즈,  다레 아레그리아 상그리아","Navarro Lopez, Dale Alegria Sangria",https://www.wine21.com/13_search/wine_view.html?Idx=170224&lq=LIST,나바로 로페즈  Navarro Lopez,스페인(Spain),블렌드 (Blend ),,,,8~9 %,6~8 ℃,"치킨, 닭강정, 튀김, 동남아요리, 아시아요리, 매운요리, 중국요리 등과 잘 어울린다.",와인토피아,3/5,3/5,2/5,2/5,,"중국요리, 튀김",,
"나바로 로페즈, 돈 바로소","Navarro Lopez, Don Barroso",https://www.wine21.com/13_search/wine_view.html?Idx=170225&lq=LIST,나바로 로페즈  Navarro Lopez,스페인(Spain),템프라니요 (Tempranillo) 100%,Spanish Red,,,11~12 %,16~18 ℃,"육류요리, 한식요리와 잘 어울린다.",와인토피아,1/5,3/5,3/5,3/5,,"육류요리, 한식",,
샤또 베사먼 보르도,Chateau Verthamon Bordeaux,https://www.wine21.com/13_search/wine_view.html?Idx=170226&lq=LIST,카브 드 퀸스  Cave de Quins,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux Red,,,13~14 %,16~18 ℃,"붉은 육류요리와 각종 치즈, 불고기 등 한식과도 잘 어울린다.",와인토피아,1/5,3/5,4/5,3/5,,"육류요리, 치즈",*질베르 가이야르(Gilbert & Gaillard) 금메달 수상 와인,
샤또 크로젤 보르도,Chateau Clauzel,https://www.wine21.com/13_search/wine_view.html?Idx=170227&lq=LIST,카브 드 퀸스  Cave de Quins,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) 70% / 카베르네 소비뇽 (Cabernet Sauvignon) 20% / 카베르네 프랑 (Cabernet Franc) 10%,Bordeaux Red,,,13~14 %,16~18 ℃,"붉은 육류요리와 각종 치즈, 불고기 등 한식과도 잘 어울린다.",와인토피아,1/5,3/5,4/5,4/5,,"육류요리, 치즈",*질베르 가이야르(Gilbert & Gaillard) 금메달 수상 와인,
아마란테 스위트,Amarante Sweet,https://www.wine21.com/13_search/wine_view.html?Idx=170228&lq=LIST,씨아 유러피아 익스포타도라 드 비노스  Cia. Europea Exportadora de vinos,스페인(Spain),가르나차  (Garnacha),,,,11~12 %,8~10 ℃,"과일, 쿠키, 디저트류와 잘 어울린다.",와인토피아,3/5,3/5,2/5,2/5,체리,"과일, 디저트",,
"판티니, 깔라렌따 페코리노","Fantini, Calalenta Pecorino",https://www.wine21.com/13_search/wine_view.html?Idx=170229&lq=LIST,판티니 그룹  Fantini Group,이탈리아(Italy) / 아브루쪼(Abruzzo),페코리노 (Pecorino) 100%,,"포도의 분쇄 및 줄기 제거, 압착 및 냉각 과정은 신선도 유지를 위해 최저 -1°C의 불활성 환경에서 단시간에 수행","80%는 스테인레스 스틸 탱크에서, 나머지 20%는 40hl 사이즈의 오크 배럴에서 진행",,10~12 ℃,"신선한 에피타이저, 다양한 생선과 갑각류 요리, 중간 정도의 숙성을 거친 치즈와 잘 어울린다.",(주)와이넬,1/5,3/5,1/5,1/5,"살구, 배, 서양배, 시트러스, 꽃, 감초, 허브","생선구이, 생선찜, 생선회, 연어, 해산물, 바닷가재, 랍스터, 씨푸드, 새우, 편육, 나물, 식전주, 샐러드, 치즈, 파마산, 그라노파다노, 꽁떼",*2021 Korea Wine Challenge - Bronze Medal(Vint.2020),
"바타시올로, 랑게 샤르도네 세르바토","Batasiolo, Langhe Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=170230&lq=LIST,바타시올로   Batasiolo [Beni di Batasiolo],이탈리아(Italy) / 피에몬테(Piemonte),샤르도네 (Chardonnay) 100%,,"<랑게 샤르도네 세르바토>의 포도는 바롤로가 생산되는 지역의 싱글 빈야드인 Bricco di Vergne, Zonchetta, Morino, Bussia에서 수확하여 양조",온도 조절이 가능한 스테인레스 스틸 탱크에서 발효 후 숙성을 위해 스테인레스 스틸에서 lees와 함께 주기적으로 바또나쥬(bâtonnage),,6~8 ℃,"다양한 에피타이저, 파스타, 야채 스프, 생선과 조개 등과 잘 어울린다.",(주)와이넬,1/5,3/5,2/5,1/5,"사과, 감귤, 열대과일, 꽃, 세이지","파스타, 야채",,
"바타시올로, 로에로 아르네이스","Batasiolo, Roero Arneis",https://www.wine21.com/13_search/wine_view.html?Idx=170231&lq=LIST,바타시올로   Batasiolo [Beni di Batasiolo],이탈리아(Italy) / 피에몬테(Piemonte),아르네이스 (Arneis) 100%,,9월 중순 손 수확한 아르네이스 포도를 부드럽게 압착하여 온도 제어가 가능한 스테인레스 스틸 탱크에서 발효를 진행,스테인레스 스틸 탱크에서 숙성 후 병입,,8~10 ℃,"다양한 에피타이저, 섬세한 파스타와 리조또, 생선과 흰살 고기류의 메인요리와 잘 어울린다.",(주)와이넬,1/5,3/5,2/5,1/5,미네랄,,*2021/2019 Korea Wine Challenge(KWC) – Silver Medal(Vint.2020/2017)*DECANTER ASIA WINE AWARD – 91점(Vint.2016),
"바타시올로, 랑게 네비올로","Batasiolo, Langhe Nebbiolo",https://www.wine21.com/13_search/wine_view.html?Idx=170232&lq=LIST,바타시올로   Batasiolo [Beni di Batasiolo],이탈리아(Italy) / 피에몬테(Piemonte),네비올로 (Nebbiolo) 100%,Italian Nebbiolo,"100% 손 수확된 포도는 와이너리로 옮겨져 부드럽게 압착 후, 온도 조절이 가능한 스테인레스 스틸 탱크에서 정기적인 펌핑 오버(Pumping-over)를 거치며 침용과 발효가 진행",약 6개월 간 슬라보니아 산 대형 배럴에서 숙성 후 스테인레스 스틸 탱크로 옮겨 추가 숙성을 진행해 섬세함을 더한 후 병입,,14~16 ℃,"파스타, 리조또, 흰살 혹은 붉은 육류 요리, 중간 정도 숙성된 치즈와 잘 어울린다.",(주)와이넬,1/5,3/5,4/5,3/5,"체리, 딸기, 크랜베리, 말린자두, 장미, 꽃, 후추, 바닐라, 삼나무","그릴요리, 등심, 로스트비프, 소고기, 스테이크, 육류요리, 붉은육류, 베이컨, 바비큐, 돼지고기, 양꼬치, 양갈비, 건육, 하몽, 프로슈토, 라자냐, 파스타, 오일파스타, 토마토파스타, 크림파스타, 리조또, 피자, 탕수육, 난자완스, 치즈, 파르미지아노, 체다, 브리, 그라노파다노, 꽁떼",,Langhe DOC(DOP)
