포도품종,설명,당도,산도,바디,타닌,아로마,추천 음식
비안케타Bianchetta,"비안케타(Bianchetta)는 이탈리아 품종에 많이 사용되는 이름으로 비안케타 트레비지아나(Bianchetta Trevigiana)로 가장 많이 알려져 있다. 그외에 시칠리아에서 재배되는 알바롤라(Albarola)로 알려진 비안케타 비앙카(Bianchetta Bianca)와 Bianchetta Casaco, Bianchetta Castelli Monfumo, Bianchetta di Bacedasco,Bianchetta di Diolo 등과 같은 이름에도 사용된다.",1/5,4/5,2/5,1/5,,
로시뇰라Rossignola,"로시뇰라(Rossignola)는 이탈리아 베로나 지방이 원산지인 레드 품종이다. 그것은 주로 Bardolino와 Valpolicella의 지역에 재배되며,이 지역의 주요 이름의 일부이다. 베리는 검은 색, 중간이며 얇고 붉은 보라색 껍질을 가진다. Rossignola는 규칙적인 생산량을 가진다. Rossignola 포도는 보라색 색조, 강렬한 향기, 매우 복잡하고 중간 정도의 맛, 신선하고 좋은 맛의 루비 색상의 와인을 제공한다. 일반적으로 그것은 단",1/5,3/5,4/5,4/5,"커런트, 구운 토마토, 라즈베리, 포푸리, 자두, 후추향","블루 치즈 버거, 볼레네제 파스타, 바베큐, 칠면조 요리, 만체고 치즈"
네그라라Negrara,"네그라라(Negrara)는 이탈리아의 레드 품종이다. 마이너한 블렌딩 품종으로 Valpolicella and Bardolino에서 사용된다. 주로 Veneto and Trentino-Alto Adige에서 재배되고, 네그라라는 하위 품종들이 많은데 가장 흔한 것은 Negrara Trentina이다. 베로나의 Negrar 마을의 이름을 따서 이름이 지어진건지 불확실하다. 중간 크기의 베리 사이즈를 가지며 검청색이다. 이 품종은 특히 파우더리 밀듀와 다우니 밀듀, botrytis에",2/5,3/5,3/5,1/5,"체리, 토마토, 검은 올리브, 향신료, 연기, 흙","비프, 연한 돼지고기, 칠면조, 호박, 파르미기아노 레기아노 치즈, 가금류"
말라가Malaga,"말라가(Malaga)는 말라가에서 유래된 화이트 품종이다. 주정강화와인으로 사용되며, Pedro Ximénez와 Moscatel로 만들어졌다. 말라가의 생산지는 Sierra de Almijara, Antequera, Archidona, San Pedro Alcantara, Velez Malaga and Competa가 있는데, 말라가 DOP 지역이다. 유럽의 가장 오래된 산맥 근처에서 재배된 역사가 있다. 17, 18세기에 생산량이 높은 지역이었고 스페인에서 두번째로 큰 와인 산지였다. 20세기 들어와서",2/5,4/5,2/5,1/5,"복숭아, 망고, 장미","샐러드, 해산물, 치즈"
딘다렐라Dindarella,"딘다렐라(Dindarella)는 이탈리아 베네토 지역의 레드 품종이다. 옅은 색깔, 높은 산미, 그리고 스파이시한 아로마를 지닌다.",3/5,4/5,0/5,0/5,,"연어 테린, 버섯 룰라드, 고르곤졸라 피자"
말바시아 비앙카Malvasia Bianca,말바시아(Malvasia) 참조.,2/5,3/5,3/5,1/5,"복숭아, 살구, 화이트, 커런트, 훈연향, 견과류","케이준 음식, 아시아 음식, 과일 살사, 해산물 요리"
페코리노Peccorino,"Peccorino(페코리노)는 Marche , Abruzzo , Tuscany , Umbria 및 Lazio 지역에서 재배하는 이탈리아 화이트 와인 포도 품종이다. Marche가 이 포도의 원산지일 가능성이 있고 아주 오래된 품종이다. Pecorino 치즈와는 연관성이 없다. 수확량은 적으며 조기 숙성 품종이다. 껍질은 밝으며, 페코리노로 만든 와인은 노란 짚 색을 띠며 아카시아와 자스민의 우아하고 강한 꽃 향이 나는 숙성 향을 갖는다.",2/5,4/5,3/5,1/5,"아카시아, 자스민, 살구, 복숭아","호두 빵, 생강과 함께 찐 생선, 구운 적후추와 양파를 얹은 치킨 넓적다리"
틴토 벨라스코Tinto Velasco,​틴토 벨라스코(Tinto Velasco)는 알리칸테 부쉐(Alicante Bouschet)의 동의어.,2/5,3/5,5/5,4/5,"커피, 블랙베리, 초콜릿","꿩 요리, 블루 치즈, 만체고 치즈"
포츄기저Portugieser,"포츄기저(Portugieser)는 독일 레드 품종이다. 이 품종은 이름에서 알 수 있듯이 포르투갈에서 유래했으며, 1770년 오스트리아에 전해졌다. 독일 외 체코, 헝가리, 루마니아, 슬로베니아 그리고 크로아티아에서 재배된다. 포츄기저 와인은 가벼운 바디를 지니며, 산미도 낮은 편이다. 오스트리아에서 포츄기저는 니더외스터라이하(Niederosterreich)지역에 허용된 13종의 레드 품종에 포함된다. 독일에서는 아르(Ahr), 라인헤센(Rheinhessen), 팔츠(Pfalz)지역에서 재배된다. 헝가리에서는 빌라니(Villany)지역에서 주로 재배되며 '황소의 피(Egri Bikaver)'와인에 쓰인다.",0/5,1/5,1/5,2/5,"레드 커런트, 라즈 베리, 딸기, 신 체리","소시지, 해산물, 뿌팟퐁커리"
켁프란코스Kekfrankos,"켁프란코스(Kekfrankos) 는 헝가리에서 생산되는 레드 품종으로 오스트리아의 블라우프랜키쉬(Blaufränkisch)와 동일한 품종이다. 부드러운 타닌과 매우 진하고 풍미가 있는 레드 와인으로 스파이시 향과 블루베리, 블랙페퍼 등과 같은 향이 대표적이다.",1/5,3/5,3/5,2/5,"스파이스, 후추, 다크 초콜릿, 블랙 체리","구운 치킨, 라타투유, 구운 적후추와 양파를 얹은 치킨 넓적다리"
리즐링Rizling,리즐링(Rizling)은 독일 화이트 품종이다. 사과와 나무 열매(교목성 과수) 노트가 있음. 종종 스모키하고 꿀이 있는 노트를 지닌 와인으로 발전. 숙성이 진행된 독일 리슬링의 경우 특히 페트롤 캐릭터를 지님.,3/5,5/5,1/5,1/5,"풋사과, 청사과","스파이시 푸드, 연어나 참치 요리, 달콤한 디저트 음식"
카사베키아Casavecchia,"카사베키아(Casavecchia)는 이탈리아 레드 품종이다. 짙은 색깔, 미디엄 바디, 강하지만 유연한 타닌, 그리고 마른 허브, 검은과일류, 가죽, 야채계열의 아로마 를 지닌다.",0/5,0/5,3/5,4/5,"검은 과일, 가죽, 허브, 야채","양 고기 요리, 버섯 라구, 베트남 분짜"
마투라나 틴타Maturana Tinta,"마투라나 틴타(Maturana Tinta)는 스페인에서도 잘 찾아보기 힘든 품종이다. 포도알이 아주 작고 귀부병과 추위에 약한 편이다. 싹이 늦게 트지만 상당히 빨리 익는다. 풋고추, 향신료, 검은 과일(블랙베리, 블랙체리, 플럼 등)향이 풍부하게 느껴지며, 색상이 진한게 특징이다. * 트루소 (Trousseau) 참고",2/5,4/5,4/5,3/5,"그린 페퍼, 스파이시, 발사믹, 검은 과일, 풋고추","사슴고기, 레네제 파스타, 라자냐, 브루스케타, 파히타"
칼라독Caladoc,"칼라독(Caladoc)은 남아메리카, 포르투갈에서 재배되는 레드 품종이다. 이 품종은 그르나슈와 말벡 접합종으로 로간베리향을 내며, 휘발성 향이 좀 느껴지며, 바디가 좋다. 어두운 붉은 색깔, 확연한 타닌, 과일류(로간베리) 와 스파이시 한 아로마를 지님",2/5,2/5,4/5,4/5,"로간베리, 유칼립투스, 커피, 아몬드","양고기, 돼지고기 스테이크"
틴타 프란카Tinta Franca,투리가 프란카(Touriga Franca)참조,1/5,2/5,4/5,4/5,"장미, 야생 꽃, 블랙 베리","검은 콩, 소시지, 렌틸 캐서롤, 브리스킷, 비프 스튜"
세르프리뇨Serprino,"세르프리뇨(Serprino)는 이탈리아 베네토 지역에서 주로 재배되는 화이트 품종으로, 주로 스파클링 와인 생산에 사용된다. 세르프리뇨(Serprino)로 만든 와인은 일반적으로 가벼운 바디와 신선한 과일 맛을 가지며, 당도는 드라이하거나 세미 드라이 스타일이 많고, 산도는 높아 상쾌한 느낌을 준다. 타닌감은 거의 없으며, 주로 여름철에 즐기기 좋은 상쾌한 와인이다.",2/5,4/5,1/5,1/5,"풋사과, 허니듀 멜론, 배, 복숭아, 인동덩굴, 크림, 꽃 향, 미네랄","샐러드, 해산물, 치즈, 그릴드 야채"
투르체타Turchetta,"투르체타(Turchetta)는 베네토의 토착 레드 품종이다. 열매는 검고, 중간 크기이다. 포도나무가 거칠고, 질병과 해충에 저항력이 무척 강하다. 생산량은 보통이다. 투르체타로 생산된 와인은 매우 강렬하고 빨갛고 루비색을 띤다. 향은 강렬하고 복잡하며, 바이올렛, 체리의 향을 가진다.",2/5,3/5,4/5,3/5,"코코아, 바이올렛, 스파이시, 체리, 담배","폭찹, 등갈비, 사슴, 볶은 돼지고기"
코르비넬라Corbinella,"코르비넬라(Corbinella)는 Corvina, Veronese, Cruina와 같은 품종이다. 이탈리아의 베네토 지역에서 거의 다 재배하고 있으며, 아르헨티나에서 소량 재배하고 있다. 다른 와인 품종과 블렌딩하여 색을 밝게 만들어주기도 한다. 열매는 작고 타닌이 적으며, 건조와 포도가 썩지 않게 보호하는 것에 이상적인 두꺼운 껍질을 가지고 있다.",1/5,4/5,3/5,3/5,"짙은 자두, 신 체리","스파이시한 해산물 스튜, 그릴에 구운 연어, 볼로네제 소스, 스파이시한 바베큐"
파모소Famoso,"파모소(Famoso)는 로마냐 (Romagna) 의 토착 화이트 품종이다. 포도 나무는 강하고 쉽게 거친 토양에 적응하며 추운 날씨도 견뎌낸다. 그러나 생산량은 꽤 낮다. 주로 Forlì, Bertinoro, Faenza, Brisighella and Bagnacavallo 에서 재배된다. Moscato 품종과 비슷하게 꽃향과 이국적이고 말린 과일의 향이 난다.",,,,,"틸리아, 오렌이, 쟈스민, 열대 과일","생선 요리, 스시, 라비지올로나 스쿠아쿠아로네 치즈, 주키니 찜"
클레렛 블랑슈Clairette Blanche,클레렛(Clairette) 참조.,1/5,4/5,2/5,1/5,"사과, 감귤류, 스톤 프루트","가벼운 샐러드, 생선요리찜, 염소 치즈, 해산물이나 흰살 고기"
르카치텔리Rkatsiteli,"리켓사이텔리(Rkatsiteli)는 조지아와 러시아에서 생산되는 화이트 품종이다. 이름은 '붉은 줄기'로 르카(Rka)가 '줄기', 치텔리(Tsilteli)가 '붉은'이다. 재배가 쉽고 산도를 유지하면서 비교적 높은 당도를 얻을 수 있어서 와인 생산자들이 선호하기에 조지아 전역에서 재배된다. 이 품종은 석회질 토양에서 가장 우수한 품질로 생산되고, 건식 농법으로 기르면 포도가 분홍색을 띤다.",2/5,4/5,3/5,1/5,"라임, 꿀, 열대 과일, 회향","파스타, 가벼운 생선과 새우 혹은 해산물, 바질, 생선요리찜"
키시Kisi,"키시(Kisi)는 조지아의 화이트 와인 품종이다. 카헤티 지역에서 유래했고 거의 그 지역에서 재배된다. 잎 모양이고, 리켓사이텔리 (Rkatsiteli) 와 매우 유사하다. 키시는 르카치텔리보다 2주 앞서 수확하며, 유럽 및 전통 방식으로 양조 된다. 종종 주정 강화 와인으로 생산된다. 유럽 스타일로 만들어지면 짚 색깔을 갖고 배, 시트러스, 녹차의 풍미와 함께 꽤 많은 꽃 향을 발산한다. 크베브리로 만든 키시는 타라곤(Tar",3/5,2/5,3/5,1/5,"배, 시트러스, 녹차, 타라곤, 살구, 라임","가벼운 샐러드, 생선요리찜, 염소 치즈"
사르가 무스코탈리Sarga muskotaly,"사르가 무스코탈리(Sarga Muskotaly)는 헝가리에서 기원한 포도 품종이다. 이 포도는 주로 달콤한 화이트 와인을 만드는 데 사용되며, 그 특징적인 풍미와 향기로 유명하다. '머스캣(Muscat)' 포도의 일종으로, 강렬한 꽃 향기와 과일 맛이 특징이다. 이 포도는 햇볕이 잘 드는 지역에서 잘 자라며, 주로 가벼운, 달콤하며 과일 맛이 강한 와인을 만드는 데 사용된다.",1/5,3/5,3/5,1/5,"살구, 꿀, 인동덩굴, 레몬, 리치, 복 숭아, 배, 모과, 익은 멜론, 바닐라빈","블루 치즈, 인도 음식, 스파이시한 요리, 애플 파이, 바닐라 아이스크림"
코베르스졸로koverszolo,그라샤 데 코트나리(Grasă de Cotnari)와 동일 품종이다. * 그라샤 데 코트나리(Grasă de Cotnari) 참고,4/5,3/5,3/5,1/5,"익은 배, 파인애플, 꿀, 크림","구운 굴, 푸딩, 라비지올로 치즈, 소고기 찜, 치즈 버거, 라자냐"
카바르Kabar,"카바르(Kabar)는 헝가리 화이트 품종이다. 높은 산미, 그리고 부드러운 꿀의 풍미를 지닌다.",4/5,4/5,0/5,1/5,"꿀, 시트러스, 스톤 프루트","푸아 그라, 고기 만두, 카라멜 버터크림 케이크"
시노마브로Xynomavro,"시노마브로(Xynomavro)는 그리스 레드 품종이다. 시노마브로라는 이름은 '검고 시큼한'이라는 의미다. 시노마브로 와인은 산미가 높고, 색이 짙으며, 탄닌이 많아 장기 숙성이 가능하다. 풀바디에 스파이시함이 있으며, 대개 5~12년 정도 숙성해서 즐긴다. 그리스 카메도니아 지역에서 주로 재배되며, 해발 고도가 높은 곳에서 난 시노마브로는 스파클링 와인을 만드는 데 쓰인다. 높은 알코올 도수를 지닌 과실향이 아주 풍부한 와인",,,,,"말린자두, 체리, 말린토마토, 검은 올리브, 향신료, 연기, 흙",
므스바네Mtsvane,므스바네(Mtsvane)는 조지아(Georgia)에서 생산되는 화이트 품종이다. 향기와 산미 그리고 균형감을 주기 위해 Rkatsiteli 품종과 블랜딩할때 사용된다.,0/5,3/5,0/5,0/5,"시트러스, 열대 과일",
포글리아 톤다Foglia Tonda,포글리아 톤다(Foglia Tonda)는 이탈리아 토스카나 레드 품종이다. 색이 진하다.,1/5,3/5,3/5,1/5,"바이올렛, 레드 베리, 프룬","후라이드 치킨, 토끼고기 스튜, 소고기 밀라네사"
푸니텔로Pugnitello,"푸니텔로(Pugnitello)는 이탈리아 토스카나의 고대 레드 품종이다. 푸니텔로는 '작은 주먹(Little fist)'를 의미하는 이탈리아어로 포도 나무가 작고, 알이 빽빽한 송이가 작은 주먹과 닮아 붙여진 이름이다. 플로렌스 대학(University of Florence)에서 멸종 위기에 처한 품종에 새 시대를 열어줬다. 토스카나 산 펠리체(San Felice)대학에서 자신들의 포도원에서 자라는 포도 품종 분석을 의뢰해 연구하다 푸니텔로 품종이 발견된 것이다. 푸니텔로는 껍질이 매우 두꺼우며, 주로 단일 품종 와이으로 재배되는 데 이 경우 IGT등급을 받는다. 와인은 짙은 붉은 빛을 내며, 감칠맛이 느껴지며, 달콤한 체리와 블랙베리 향을 느낄 수 있다. 또한 가죽과 흙내음도 느낄 수 있다.",2/5,3/5,4/5,4/5,"바이올렛, 체리, 가죽","구운 닭고기, 양고기 요리"
바르사글리나Barsaglina,"바르사글리나(Barsaglina)는 이탈리아 레드 품종이다. 짙은 색깔과 타닌, 그리고 어두운 과일과 제비꽃 아로마를 지니고 있다. 주로 색깔과 타닌을 추가하는 블렌드 용으로 쓰인다.",0/5,2/5,0/5,4/5,"제비꽃, 어두운 과일","구운 양고기, 사슴고기 랩, 올리브 오일을 곁들인 토끼고기 스튜"
피노 베로Pinot Beurot,피노그리(Pinot Gris)와 동일한 의미. 프랑스 버건디에서는 피노그리(Pinot Gris)를 피노베로(Pinot Beurot)라 부른다.,2/5,3/5,2/5,1/5,"레몬, 노란 사과, 멜론, 복숭아, 배","가벼운 생선 요리, 게, 크림 치즈와 같이 부드러운 우유 치즈"
모스카토 네로Moscato Nero,모스카토 네로(Moscato Nero)는 주로 이탈리아 피에몬테 지역에서 많이 재배된다. 모스카토 네로는 전체 모스카토 재배 면적 중 일부에 해당하는 소규모 품종이다.,4/5,4/5,2/5,2/5,"장미, 복숭아, 라즈베리, 스파이시, 허브","디저트, 과일타르트, 치즈"
말바지아 네라 디 리체Malvasia Nera di Lecce,"말바지아 네라 디 리체(Malvasia Nera di Lecce)는 이탈리아의 레드 품종이다. 보통 이 품종의 부모격인 네그로아마로와 블렌딩된다. Malvasia Nera di Brindisi와 동일 품종이며, 네그로아마로와 Malvasia Bianca Lunga를 교배해서 만든 품종이다. 부모격인 두 품종 모두 수세기동안 Puglia에서 재배됐기 때문에 교배 또한 그곳에서 일어났을 확률이 높다. * 다음 품종과 같다 : Malvasia Negra, Malvasia Nera (Alberes",0/5,4/5,0/5,0/5,,"구운 오리고기, 프룬과 뇨끼"
인크로시오 브루니 54Incrocio Bruni 54,"인크로시오 브루니 54(Incrocio Bruni 54)는 이탈리아의 화이트 품종이다. 중앙 이탈리아의 마르케에서 주로 재배된다. 페코리노, 트레비아노 토스카노, 베르디키오 비앙코와 블랜딩되기도 한다. 소비뇽 블랑과 베르디키오 비앙코를 사용하여 만들어진 품종이다. 귀부균에 대한 저항력이 좋아서 늦게 수확하거나 파씨토 스타일의 와인에 적합하다.",0/5,0/5,2/5,1/5,"열대 과일, 꽃","파스타, 피자, 흰 살 생선 요리"
말보 젠틸Malbo Gentile,말보 젠틸(Malbo Gentile)은 이탈리아의 에밀리아 로마냐(Emilia-Romagna) 지역에서 재배되는 레드 품종이다. 이 곳에서 람브루스코(Lambrusco) 스파클링 와인을 만들때 소량 블랭딩될때 사용된다. 또한 스틸 와인을 만들기도 한다. 매우 타닉하면서도 드라이할 수 있으며 포도를 반건조하여 파시또(Passito) 방식의 달콤한 와인을 만들기도 한다.,1/5,4/5,3/5,1/5,"망고, 인동덩굴, 장미","렌틸 수프, 타르타르 소스와 샐러드, 치즈와 마카로니와 같은 가벼운 음식"
람브루스코 그라스파로사Lambrusco Grasparossa,람브루스코 그라스파로사 (Lambrusco Grasparossa)는 람브루스코 (Lambrusco)의 동의어로 이탈리아의 에밀리아 로마냐와 롬바르디 지역에서 일컷는다.,3/5,5/5,2/5,3/5,"딸기, 체리, 보이젠베리, 루바브, 히비스커스","크림 파스타, 페코리노나 그라나 파다노 치즈, 살루메, 뇨코 프리토(에밀리아-로마냐의 대표 음식), 달콤한 체리파이"
안첼로타Ancellota,안첼로타(Ancellotta)는 이탈리아 레드 품종이다. 이 품종은 아르헨티나에서도 소량 재배된다. 안첼로타는 와인에 진한 색과 잘 익은 과실향을 더해줘서 람브루스코 혹은 산지오베제 품종에 혼합된다. 부드러우면서 꽃향기와 잘익은 베리류의 과일 풍미를 지님,,,,,"꽃 향기, 베리류","훈제 프로슈토, 스테이크, 소시지 캐서롤, 족발"
렌스키 리슬링Renski Rizling,"렌스키 리슬링(Renski Rizling)은 슬로베니아의 화이트 품종이며, 리슬링과 같은 품종이다. * 리슬링 (Riesling) 참고",3/5,5/5,1/5,1/5,"라임, 풋사과, 밀랍, 자스민, 석유","탄두리 치킨, 스파이시한 오리 고기, 하와이안 피자, 훈제 소시지"
그라우부르군더Grauburgunder,피노 그리(Pinot Gris)와 동일 품종이다. * 피노 그리(Pinot Gris) 참고,4/5,3/5,5/5,3/5,"구아바, 레몬, 사과, 복숭아","틸라피아, 가리비, 송어, 그라나 파다노와 뮌스터 치즈"
토르바토Torbato,"토르바토(Torbato)는 이탈리아 사르데냐 화이트 품종이다. 20세기 거의 멸종 직전에 이르렀다가 부활했으며, 구조, 바디가 좋은 드라이한 와인으로 버터 같은 느낌이 특징적인 와인이 된다. 스모키한 노트를 포함한 독특한 아로마를 지닌 풀바디 와인.",3/5,0/5,5/5,1/5,스모키,"바게트 빵 요리, 송어 요리, 구운 닭고기"
비오리카Viorica,"비오리카(Viorica)는 몰도바의 토착 화이트 품종이다. 매우 아로마틱 한 품종으로 무스캇 품종처럼 흰 꽃, 아카시아 꽃, 자스민, 시트러스 과일, 노란 사과, 절인 살구의 맛이 느껴진다. 동시에 바질, 타임 같은 말린 허브의 아로마도 느껴지는 품종이다.",0/5,0/5,0/5,1/5,"흰 꽃, 아카시아 꽃, 자스민, 시트러스 과일, 노란 사과, 절인 살구, 말린 허브","파프리카 볶음 요리, 감자전"
트레익사두라Treixadura,"트레익사두라(Treixadura)는 포르투갈 북부 화이트 품종이다. 이 품종은 비뉴 베르데에서 잘 자라며, 주로 다른 품종들과 혼합된다. 이 품종은 일찍 수확한 경우, 산미가 매우 좋다. 가벼운 레몬 아로마",2/5,4/5,3/5,1/5,"꿀, 말린 과일, 익은 멜론, 마르멜루","조개 수프, 치즈 음식, 허브 샐러드, 가리비 음식"
라도Lado,라도(Lado)는 스페인 화이트 품종이다. 강하게 상쾌한 감귤류와 희미한 연기향과 약간의 스파이시한 아로마를 지닌다.,0/5,4/5,0/5,1/5,"스파이시, 감귤류","누들, 생선 튀김"
타브크베리Tavkveri,"타브크베리(Tavkveri)는 조지아의 카헤티와 카르틀리의 토착 레드 품종이다. 가볍고 톡 쏘는 신선한 체리향을 내는 레드 와인으로 만들어진다. 베리 크기가 큰 편이고, 늦게 익는다. 조지아의 따뜻한 지역에서 재배된다. 중간 바디를 지닌 레드, 로제, 스파클링, 주정 강화 또는 디저트 와인 등 다양한 스타일로 완성된다. 타브크베리는 붉은 과실, 설탕에 절인 사과, 체리, 분명한 흙 내음, 허브 풍미를 지닌다.",2/5,3/5,3/5,2/5,"붉은 과실, 설탕에 절인 사과, 체리, 분명한 흙 내음, 허브","새우나 게 요리, 가벼운 조개류 음식, 레몬 리조또, 까망베르 치즈"
알비요 마요르Albino Mayor,"알비요 마요르는 스페인 중북부 리베라 델 두에로에서 재배되는 품종이다. 알비요(Albillo)는 별다른 구별과 관련이 없이 알비요 레알(Albillo Real)과 알비요 마요르(Albillo Mayor)에 사용되는 명칭이다. 2010년 분석 결과에 따르면, 알비요 마요르는 리오하(Rioja)지역 템프라니요(Tempranillo)와 말라가(Málaga)지역 도라디야(Doradilla)와 친인척 관계일 가능성이",1/5,3/5,2/5,1/5,"회향, 배, 시트러스","타르트, 가리비, 송어, 그라나 파다노와 뮌스터 치즈"
돈젤리노 브랑코Donzelinho Branco,"돈젤리노 브랑코(Donzelinho Branco)는 포르투갈 화이트 품종이다. 레몬 계열의 노란 색깔과 라이트 바디, 상쾌한 산미, 그리고 확연한 라벤더 아로마를 가진다.",0/5,4/5,1/5,1/5,라벤더,"대구 요리, 랍스터 요리, 해산물"
쁘띠 꾸르부Petit Courbu,"쁘띠 꾸르부(Petit Courbu)는 프랑스 남서부 가스코뉴(Gascongne) 지방 화이트 품종이다. 다른 품종과 주로 블렌딩되며, 와인은 레몬과 꿀 풍미를 더해준다. 와인에 바디감과 감귤류, 꿀 아로마를 부여한다. * 코우루부 블랑(Courbu Blanc) 참고",2/5,0/5,3/5,1/5,"레몬, 꿀, 사과","키슈 파이, 가리비 요리, 치즈 케이크"
코르비나 그로사Corvina Grossa,"코르비나 그로사(Corvina Grossa)는 주로 이탈리아 북부, 특히 베네토 지역에서 재배되는 레드 와인용 포도 품종이다.",1/5,4/5,3/5,4/5,,
틴틸리아Tintilia,틴틸리아(Tintilia)는 이탈리아 레드 품종이다. 와인은 스파이시하고 집중도가 높으며 드라이하고 조화로우며 부드러운 맛을 낸다.스파이시하고 집중도가 높으며 드라이하고 조화로우며 부드러운 독특한 특징이 있는 와인.,1/5,4/5,5/5,4/5,"아티초크(국화과 식물), 아스파라거스, 자두, 블랙 베리","햄 프로슈토, 불고기 피자, 양갈비"
말바시아 델 라치오Malvasia del Lazio,"말바지아 델 라치오(Malvasia del Lazio)는 이탈리아 라치오 지역에서 주로 재배되는 백포도 품종이다. 말바지아는 그리스 모넴바시아에서 이탈리아로 전파된 품종인데, 말바지아 라치오는 1825년 아케르비(Acerbi)가 도입했으나 1888년 멘가리니(Meagarini)에 의해 그 출신에 대해 공식 인정을 받았다. 말바지아 델 라치오는 송이가 원뿔형이며, 종종 어깨가 조금 넓거나 피라미드 형태를 띠기도 한다. 말바지아 델 라치오 와",1/5,4/5,3/5,1/5,"꿀, 쟈스민, 허브, 레몬","파스타, 샐러드, 파스타, 해산물, 아시아 누들"
말바시아 디 칸디아Malvasia di Candia,말바시아 디 칸디아(Malvasia di Candia)는 동의어 말바시아 디 칸디다(Malvasia di Candida)를 참조.,,,,,"오렌지, 시트러스","조개류찜, 퀴노아 샐러드, 루꼴라 링귀네"
티모라쏘Timorasso,"티모라쏘(Timorasso)는 이탈리아 화이트 품종이다. 이 품종은 피에몬테 남동쪽 콜리 코르토네지(Colli Tortonese)지역에서 재배된다. 이 고대 품종은 1970~1980년대 거의 멸종 위기에 처했다가 월터 마싸(Walter Massa)라는 사람에 의해 보존됐다. 와인은 산미가 높으며, 살구, 복숭아, 라임 등의 향을 내며, 숙성되면 견과류 풍미를 낸다. 숙성 잠재력을 지닌 아로마틱한 와인",4/5,5/5,0/5,1/5,"살구, 복숭아, 라임, 견과류","카르보나라, 구운 닭고기 요리"
토스카노Toscano,,1/5,4/5,3/5,3/5,,
아자엘Azael,,,,,,,
바카레스Vaccarese,"바카레스(Vaccarèse)는 프랑스 론 밸리 레드 품종이다. 와인은 구조가 좋고 후추향이 강하다. 후추향이 강하며 구조감이 좋고, 타닌이 강한 와인을 만든다.",1/5,3/5,4/5,4/5,"후추, 자두, 삼나무, 커런트","베이컨, 비프 립, 구운 양고기, 블루 치즈, 안심살, 미트로프"
메를로 블랑Merlot Blanc,,2/5,4/5,3/5,1/5,"시트러스, 사과, 배, 허브, 라임, 미네랄리티","해산물, 샐러드, 흰 살 생선"
프로카니코Procanico,프로카니코(Procanico)는 우니 블랑(Ugni Blanc)의 동의어이다. 와인과 발사믹 식초 재료로 많이 사용된다. * 우니 블랑(Ugni Blanc) 참고,2/5,4/5,3/5,1/5,"아카시아, 레몬, 흰복숭아, 배, 라벤더","가벼운 파스타, 가벼운 생선과 새우 혹은 해산물, 바질, 생선요리찜, 염소 치즈"
그로펠로Groppello,그로펠로(Groppello)는 이탈리아 레드 품종이다. 미디엄 바디 그리고 약간은 쓴 견과류의 아로마를 지닌다.,0/5,3/5,3/5,2/5,"견과, 아몬드","참치 샐러드, 치킨 퀘사디아, 돼지고기립"
비기리에가Vigiriega,,,,,,,
샤도넬Chardonel,"샤도넬(Chardonel)은 미국에서 생산되는 레드 품종이다. 호박색깔, 높은 자연스러운느낌의 산미, 그리고 상쾌한 녹색사과의 풍미를 지니고 있다. Chardonnay 과 Seyval Blanc 품종의 교배종이다",4/5,4/5,2/5,1/5,녹색 사과,"로스트 치킨, 구운 버섯 요리, 생선 타코"
리스탄 네그로Listan Negro,"리스탄 네그로(Listan Negro)는 스페인 카나리아 제도(Canary Islands)의 레드 품종이다. 리스탄(Listan)품종은 화이트와 레드 품종이 있는데, 리스탄 네그로는 레드 품종을 의미한다. 이 품종은 검은 색 화산 토양으로 된 구덩이에서 자라며, 이 구덩이는 강한 바람으로부터 포도 나무를 지켜준다. 와인은 대부분 부드럽고 매력적이며, 오크 숙성을 통해 무게가 느껴지는 와인이 되거나, 탄삼 침용 방법(Carbonic Maceration)으로 부드럽고 가벼운 와인으로 양조될 수 있다. 소량이긴 하지만 리스탄 네그로는 달콤한 와인으로도 양조된다. 미디엄 바디 그리고 부드러우면서 강한 과일향의 아로마를 지님",0/5,4/5,3/5,0/5,"다크 베리, 장미, 바이올렛, 미네랄","구운 감자, 오리 튀김, 샐러스, 양고기 음식"
로모랑땅Romorantin,로모랑땅(Romorantin)은 프랑스 레드 품종이다. 집중도가 높고 미네랄이 풍부하다.,3/5,5/5,0/5,1/5,"살구, 자두, 아카시아, 꿀","염소 치즈, 살구 파운드 케이크"
판사 블랑카Pansa Blanca,,1/5,4/5,2/5,1/5,,
수몰Sumoll,수몰(Sumoll)는 스페인 카탈루냐 지방에서 발견되는 레드 품종이다. 이 품종은 페네데스 토착 품종으로 다소 거친 와인으로 완성된다.,0/5,4/5,3/5,0/5,"라즈 베리, 블랙 베리, 코코아, 흙","생선 스튜, 오리고기 요리, 구운 채소"
테란Teran,"테란(Teran)은 슬로베니아의 크라스(Kras) 지역에서 주로 재배되는 레드 품종이다. 이 지역의 독특한 테루아인 테라 로사는 철분 함량이 높은 붉은색 토양으로, 포도에 미네랄리티와 독특한 풍미를 부여한다.",1/5,4/5,4/5,3/5,"산딸기, 블랙베리, 붉은 체리, 흙, 스파이시, 미네랄리티, 초콜릿, 허브","양고기, 쇠고기, 숙성된 치즈, 토마토 파스타, 스튜"
