와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,숙성,양조
"라이징, 야라밸리 피노 누아","Rising, Yarra Valley Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=169377&lq=LIST,라이징 와인즈  Rising Wines,호주(Australia) / 빅토리아(Victoria),피노 누아 (Pinot Noir) 100%,Australian Pinot Noir,,,12~14 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,2/5,2/5,,"파스타, 버섯, 치즈",,
"카스텔 다쥐, 프래그먼츠 로제","Castell D'age, Fragments Rosat",https://www.wine21.com/13_search/wine_view.html?Idx=169378&lq=LIST,카스텔 다쥐  Castell d'Age,스페인(Spain) / 페네데스(Penedes),그르나슈 (Grenache),Spanish Grenache,,,16~18 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,2/5,2/5,,"파스타, 치즈",,
"카스텔 다쥐, 100% 미라클 오렌지","Castell D'age, 100% Miracle Orange",https://www.wine21.com/13_search/wine_view.html?Idx=169379&lq=LIST,카스텔 다쥐  Castell d'Age,스페인(Spain) / 페네데스(Penedes),소비뇽 블랑 (Sauvignon Blanc),,,12~13 %,10~12 ℃,"돼지고기, 삼겹살, 베이컨, 치킨, 피자, 파스타, 다양한 치즈, 동남아요리, 아시아요리, 전, 편육, 한국요리 등과 잘 어울린다.",* 비비노 평점 - 4.0* 이산화황 무첨가,모멘텀와인컴퍼니,1/5,3/5,2/5,2/5,"살구, 사과, 자몽, 오렌지, 감귤, 패션프루트, 말린살구, 허브","베이컨, 삼겹살, 돼지고기, 치킨, 편육, 파스타, 피자, 동남아요리, 아시아요리, 샐러드, 치즈",,"손 수확. 5일간 저온 침용. 자연 효모. 스테인리스 탱크에서 14일 간 발효. 여과, 청징 없이 병입."
"페드라롱가, 테라 데 고도스","Pedralonga, Terra de Godos",https://www.wine21.com/13_search/wine_view.html?Idx=169380&lq=LIST,페드라롱가  Pedralonga,스페인(Spain) / 리아스 바이사스(Rias Baixas),알바리뇨 (Albarino(Alvarinho)),Spanish Albariño,,13~14 %,8~10 ℃,"회, 스시, 해산물, 샐러드, 야채, 파스타 등과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,1/5,1/5,,"스시, 해산물, 파스타",6개월간 추가숙성,6개월간 리와 함께 젖산 발효
"페드라롱가, 알바리뇨","Pedralonga, Albarino",https://www.wine21.com/13_search/wine_view.html?Idx=169381&lq=LIST,페드라롱가  Pedralonga,스페인(Spain) / 리아스 바이사스(Rias Baixas),알바리뇨 (Albarino(Alvarinho)),Spanish Albariño,,13~14 %,8~10 ℃,"회, 스시, 해산물, 샐러드, 야채, 파스타 등과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,1/5,1/5,,"스시, 해산물, 파스타",,
"페드라롱가, 도우미아 바리까","Pedralonga, DoUmia Barrica",https://www.wine21.com/13_search/wine_view.html?Idx=169382&lq=LIST,페드라롱가  Pedralonga,스페인(Spain) / 리아스 바이사스(Rias Baixas),멘시아 (Mencia) / 카이노 틴토 (Caino Tinto) / 에스파데이루 (Espadeiro),Spanish Red,,12~13 %,16~18 ℃,"쵸리조, 바비큐, 양고기, 스튜, 칠면조, 로스트비프, 피자, 파스타와 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,3/5,3/5,,"바비큐, 양고기, 칠면조",,
"무따르, 케스 크 쎄 알리고떼","Champagne Moutard & Domaine Moutard, Quest-ce que c'est Aligote",https://www.wine21.com/13_search/wine_view.html?Idx=169383&lq=LIST,무따르  Champagne Moutard & Domaine Moutard,프랑스(France) / 부르고뉴(Bourgogne),알리고테 (Aligote),Burgundy White,,,8~10 ℃,"참치, 연어, 새우, 해산물, 하몽, 프로슈토, 다양한 치즈, 파스타 등과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,1/5,1/5,,"파스타, 치즈",,
"무따르, 부르고뉴 샤도네이","Champagne Moutard & Domaine Moutard, Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=169384&lq=LIST,무따르  Champagne Moutard & Domaine Moutard,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay),Burgundy White,,,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,1/5,1/5,,"해산물, 수육, 탕수육, 치즈",,
"무따르, 부르고뉴 피노 누아","Champagne Moutard & Domaine Moutard, Bourgogne Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=169385&lq=LIST,무따르  Champagne Moutard & Domaine Moutard,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir),Burgundy Red,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,2/5,2/5,,"파스타, 버섯, 치즈",,
"호튼, 스트라이프 카베르네 소비뇽","Houghton, Stripe Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=169386&lq=LIST,호튼  Houghton,호주(Australia) / 웨스턴 오스트레일리아(Western Australia),카베르네 소비뇽 (Cabernet Sauvignon),Australian Cabernet Sauvignon,,13~14 %,16~18 ℃,"구운 양고기나 소고기, 그릴드 머쉬룸 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"체리, 배, 바닐라","소고기, 양고기",12개월 동안 프렌치 오크에서 숙성,
"호튼, 스트라이프 쉬라즈","Houghton, Stripe Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=169387&lq=LIST,호튼  Houghton,호주(Australia) / 웨스턴 오스트레일리아(Western Australia),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,,13.5~14.5 %,16~18 ℃,"소고기, 하드 치즈 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,"체리, 배, 바닐라","소고기, 치즈",12개월 동안 프렌치 오크에서 숙성,
"호튼, 스트라이프 샤르도네","Houghton, Stripe Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=169388&lq=LIST,호튼  Houghton,호주(Australia) / 웨스턴 오스트레일리아(Western Australia),샤르도네 (Chardonnay),Australian Chardonnay,,13~14 %,10~12 ℃,"그릴드 치킨, 크리미한 파스타 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,"시트러스, 바닐라, 브리오슈, 헤이즐넛","치킨, 파스타",,
"마소트, 마르나 블루","Masot, Marna Blu Prosecco D.O.C Brut",https://www.wine21.com/13_search/wine_view.html?Idx=169389&lq=LIST,마소트  Masot,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),Italian Prosecco,,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,4/5,1/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,
"마소트, 콜 폰도","Masot, Col Fondo",https://www.wine21.com/13_search/wine_view.html?Idx=169390&lq=LIST,마소트  Masot,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera),,Colli Trevigiani IGT(IGP),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,4/5,1/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,
"모란딘, 렌티코","Morandin, Lentico Frizzante Col Fondo",https://www.wine21.com/13_search/wine_view.html?Idx=169391&lq=LIST,모란딘  Morandin,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) / 페레라 (Perera) / 베르디소 (Verdiso) / 비안케타 (Bianchetta),,,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,4/5,1/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,
"에노즈, 일 레 에누도","Enoz, Il Re e undo Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=169392&lq=LIST,에노즈  Enoz,이탈리아(Italy) / 깜빠니아(Campania),프리미티보 (Primitivo) 100%,,Roccamonfina IGT(IGP),12~13 %,14~16 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,2/5,2/5,"체리, 딸기, 라스베리, 제비꽃, 미네랄","건육, 살라미, 프로슈토, 연어, 참치, 해산물, 새우, 파스타, 치즈, 파르미지아노, 그라노파다노",온도 조절 없이 암포라에서 7개월간 숙성 후 청징 여과 과정 없이 병입 후 1개월 추가 숙성.,암포라에서 추출 과정 없이 포도 송이채 압착 후 껍질과 과육을 제고하고 발효.
"에노즈, 라띠모","Enoz, L'attomo",https://www.wine21.com/13_search/wine_view.html?Idx=169393&lq=LIST,에노즈  Enoz,이탈리아(Italy) / 깜빠니아(Campania),팔랑기나 (Falanghina) 100%,,Roccamonfina IGT(IGP),13~14 %,8~10 ℃,"로스트 치킨, 훈제 연어, 해산물, 다양한 치즈, 파스타 등과 잘 어울린다.",* 비비노 평점 - 4.0,모멘텀와인컴퍼니,1/5,3/5,1/5,1/5,"복숭아, 서양배, 사과, 오렌지, 레몬, 파인애플, 파파야, 엘더플라워, 꽃","건육, 치킨, 연어, 해산물, 파스타, 복숭아, 치즈",암포라에서 6개월간 추가 숙성 후 청징 여과 과정 없이 병입 후 1개월 추가 숙성 진행,암포라에서 6일간 추출과 발효 후 압착해 온도 조절 없이 수차례 플런징 진행
"에노즈, 라 모나데","Enoz, La Monade",https://www.wine21.com/13_search/wine_view.html?Idx=169394&lq=LIST,에노즈  Enoz,이탈리아(Italy) / 깜빠니아(Campania),피아노 (Fiano) 100%,Southern Italy White,Roccamonfina IGT(IGP),12~13 %,8~10 ℃,"전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,1/5,1/5,"황도, 복숭아, 서양배, 사과, 오렌지, 레몬, 멜론, 파인애플, 파파야, 아카시아, 자스민","스시, 해산물, 전채요리, 복숭아, 스낵",암포라에서 7개월간 추가 숙성 후 청징 여과 과정 없이 병입 후 1개월 추가 숙성 진행,암포라에서 10일간 추출과 발효 후 압착해 온도 조절없이 수 차례 플런징 진행
"에노즈, 일 카오스","Enoz, Il Chaos",https://www.wine21.com/13_search/wine_view.html?Idx=169395&lq=LIST,에노즈  Enoz,이탈리아(Italy) / 깜빠니아(Campania),프리미티보 (Primitivo) 100%,Southern Italy Primitivo,Roccamonfina IGT(IGP),13~14 %,14~16 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,모멘텀와인컴퍼니,1/5,3/5,2/5,2/5,"블랙체리, 블랙베리, 체리, 라스베리, 자두, 제비꽃","소고기, 스테이크, 양갈비, 양고기, 살라미, 불고기, 양념갈비, 갈비찜, 한식, 라자냐, 파스타, 서양요리, 리조또, 자두, 견과류, 치즈, 파르미지아노, 그라노파다노, 미몰레트, 꽁떼",암포라에서 10개월간 추가 숙성 후 청징 여과 과정 없이 병입 후 6개월 추가 숙성 진행,암포라에서 15일간 추출과 발효 후 압착해 온도 조절 없이 수 차례 플런징 진행
"파토리아 파가노, 로제","Fattoria Pagano, Rose Roccamonfina",https://www.wine21.com/13_search/wine_view.html?Idx=169396&lq=LIST,파토리아 파가노  Fattoria Pagano,이탈리아(Italy) / 깜빠니아(Campania),알리아니코 (Aglianico) / 피에디로쏘 (Piedirosso) / 메를로 (Merlot),,,11~12 %,14~16 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",* 비비노 평점 - 3.8* 해발 300 미 터에 위치한 로카몬피나 화산의 칼슘이 풍부한 화산토 토양에서 유기농법으로 포도 재배.,모멘텀와인컴퍼니,1/5,3/5,2/5,2/5,"레드커런트, 체리, 석류, 살구, 백도, 복숭아, 꽃, 허브","햄, 건육, 초밥, 생선회, 해산물, 씨푸드, 파스타, 중국요리, 동남아요리, 아시아요리, 샐러드, 복숭아, 치즈, 리코타","병입 후,2개월의 추가 숙성.",9월 2~3주차에 100% 손 수확. 프리-런 주스와 첫 번째 압착 주스를 섞어 스테인리스 탱크에서 12시간 정도 접촉  후 발효.
"깜빠로, 퀴 에 오라","Camparo, Quie Ora Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=169397&lq=LIST,깜빠로  Azienda Agricola Camparo,이탈리아(Italy) / 피에몬테(Piemonte) / 알바(Alba),네비올로 (Nebbiolo),Italian Nebbiolo,,,14~16 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",* 비비노 평점 - 4.0,모멘텀와인컴퍼니,1/5,3/5,2/5,2/5,"체리, 딸기, 라스베리, 자두, 붉은꽃, 꽃, 허브","까르파치오, 꼬치구이, 건육, 닭고기, 연어, 참치, 해산물, 새우, 순대, 만두, 수육, 파스타, 중국요리, 자두, 치즈",,
"로제 꿀롱, 레 오 파르따 그랑 크뤼","Roger Coulon, Les Hauts Partas Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=169399&lq=LIST,로제 꿀롱  Roger Coulon,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,,,8~10 ℃,"흰살 생선, 랍스타등의 요리와 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,4/5,3/5,1/5,"복숭아, 배, 서양배, 바닐라, 꿀","농어, 연어, 참치, 한식, 견과류",,
"로제 꿀롱, 에리띠지","Roger Coulon, Heritage",https://www.wine21.com/13_search/wine_view.html?Idx=169400&lq=LIST,로제 꿀롱  Roger Coulon,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 80% / 피노 누아 (Pinot Noir) 20%,French Champagne,,12~13 %,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,4/5,1/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",말로라틱 발효 후 작은 오크통에서 약 18개월 간 숙성한다. 이후 샴페인은 10년 간 셀러에서 숙성,브히늬의 프리미어 크뤼인 Champs de Vallier 포도원에서 자란 포도로 양조
"베누아 당보, 샴페인 엑스트라 브룻","Benoit Dinvaut, Champagne extra brut",https://www.wine21.com/13_search/wine_view.html?Idx=169401&lq=LIST,베누아 당보  Benoit Dinvant,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 20% / 피노 뮈니에 (Pinot Meunier) 80%,French Champagne,,12~13 %,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,4/5,1/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",천연 효모와 함께 450-600리터 오크통에서 조기 발효,
"베누아 당보, 샴페인 뉘앙스 드 솔레라","Benoit Dinvaut, Champagne Nuances de Solera",https://www.wine21.com/13_search/wine_view.html?Idx=169402&lq=LIST,베누아 당보  Benoit Dinvant,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier),French Champagne,,12~13 %,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,4/5,1/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",발효는 스테인레스 스틸(70%) 및 오크(30%)에서 진행하며 숙성은 24개월 동안 오크 배럴에서 진행,"포도는 손 수확하여 셀러로 이동되고, 전체 포도 다발을 압착"
"귀냉, 이플로래이종 브뤼","Guenin, Effloraison brut",https://www.wine21.com/13_search/wine_view.html?Idx=169403&lq=LIST,귀냉  Guenin,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 70% / 샤르도네 (Chardonnay) 30%,French Champagne,,12~13 %,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,4/5,1/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",숙성은 24개월 동안 오크배럴에서  진행,손 수확하여 셀러로 옮겨진다. 포도 다발 전체를 압착
"귀냉, 나뚜르 다 브뤼 나뚜르","Guenin, Nature d'A Brut Nature",https://www.wine21.com/13_search/wine_view.html?Idx=169404&lq=LIST,귀냉  Guenin,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 100%,French Champagne,,12~13 %,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,4/5,1/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",발효는 스테인레스 스틸(70%) 및 오크(30%)에서 진행하며 숙성은 24개월 동안 오크 배럴에서 이어짐,"손 수확하여 셀러로 이동되고, 전체 포도 다발을 압착"
"도멘 데 뜨로띠에르, 크레망 라 삐에르 꾸베르","Domaine des Trottieres, Cremant La pierre Couverte",https://www.wine21.com/13_search/wine_view.html?Idx=169405&lq=LIST,도멘 데 뜨로띠에르  Domaine des Trottieres,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc) 80% / 샤르도네 (Chardonnay) 20%,,,12~13 %,6~8 ℃,"훈제 생선, 조개, 굴, 연어와 궁합이 잘 맞으며 오믈렛, 타르트, 머랭 파이 등과 같은 디저트와 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,4/5,1/5,1/5,,연어,24개월 동안 숙성,천연 포도당에서 거품을 만들어내는 전통적인 양조법으로 제조
"도멘 드 뜨로띠에르, 크레망 르와르 앤 셍스 브뤼 나뚜르","Domaine des Trottieres, Cremant Loire & Sens Brut Nature",https://www.wine21.com/13_search/wine_view.html?Idx=169406&lq=LIST,도멘 데 뜨로띠에르  Domaine des Trottieres,프랑스(France) / 루아르(Loire),샤르도네 (Chardonnay) 100%,French Champagne,,12~13 %,8~10 ℃,"치즈, 햄, 크로와상, 연어, 조개, 생선 요리와 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,4/5,1/5,1/5,,"햄, 연어, 치즈",24개월 동안 숙성,천연 포도당에서 거품을 만들어내는 전통적인 양조법으로 제조
"도멘 데 호슈 네브, 크레망 불 드 호쉬","Domaine des Roches Neuves, Cremant Bulles de Roche",https://www.wine21.com/13_search/wine_view.html?Idx=169407&lq=LIST,도멘 데 호슈 네브  Domaine des Roches Neuves,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc) 90% / 샤르도네 (Chardonnay) 5% / 카베르네 프랑 (Cabernet Franc) 5%,French Crémant,,12~13 %,8~10 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,4/5,1/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",토착 효모로 발효 된 다음 228 리터 사용된 오크통에서 3 개월 숙성,"전통적인 방식의 이 스파클링 와인은 바이오다이나믹 공법을 사용하여 재배한 석회암과 점토에 뿌리를 둔 60년 수령의 포도나에서 추출한 포도들(Chenin Blanc-90 %), (Cabernet Franc-5 %) 및 (Chardonnay-5 %)을 혼합"
"도멘 가씨에르, 이페르비쑝 블랑","Domaine Gassier, Effervescent Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=169408&lq=LIST,도멘 가씨에르  Domaine Gassier,프랑스(France) / 론(Rhone) / 꼬스띠에르 드 님(Costieres de Nîmes),그르나슈 블랑 (Grenache Blanc),,,,,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,
"콘트라토, 블랑 드 블랑","Contratto, Blanc de Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=169409&lq=LIST,콘트라또  Contratto,이탈리아(Italy) / 피에몬테(Piemonte),샤르도네 (Chardonnay) 100%,,,12~13 %,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,삼나무,"스시, 해산물, 식전주, 전채요리, 스낵",병입 후 약 4년간 숙성,"포도 밭에 따라 엄선하여 분리되어 관리되며, 저온 침용 단계를 거친 뒤 분쇄의 과정에서 자연스럽게 낙하된 포도 주스만 사용"
"콘트라토, 스페셜 뀌베","Contratto, Special Cuvee",https://www.wine21.com/13_search/wine_view.html?Idx=169410&lq=LIST,콘트라또  Contratto,이탈리아(Italy) / 피에몬테(Piemonte),피노 네로 (Pinot Nero) 90% / 샤르도네 (Chardonnay) 10%,,,12~13 %,8~10 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,"파인애플, 페이스트리, 헤이즐넛, 치즈","스시, 해산물, 식전주, 전채요리, 스낵","첫 발효 후 샤도네이는 프렌치 오크통에서 7개월을 숙성하고, 피노누아는 수확 후 여름까지 스테인레스 스틸에서 안정",포도는 자유낙하 된 과육만 수집
"콘트라토, 잉글랜드 로제 브뤼","Contratto, England Rose Brut",https://www.wine21.com/13_search/wine_view.html?Idx=169411&lq=LIST,콘트라또  Contratto,이탈리아(Italy) / 피에몬테(Piemonte),피노 누아 (Pinot Noir),,,12~13 %,8~10 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,"딸기, 레몬, 미네랄","스시, 해산물, 식전주, 전채요리, 스낵","토착 천연 효모에 의해 1차, 2차 발효시켜 병입 후 4년 간 숙성",오래된 포도 나무로 부터 수확한 포도를 인위적인 줄기제거 등의 작업을 거치지 않은 채  자연스럽게 떨어진 천연 포도 주스만 사용
"보르고 마라그리아노, 프란체스코 갈리아노 블랑 드 블랑","Borgo Maragliano, Francesco Galliano Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=169413&lq=LIST,보르고 마갈리아노  Borgo Maragliano,이탈리아(Italy) / 피에몬테(Piemonte),샤르도네 (Chardonnay) 100%,,,12~13 %,8~10 ℃,"모든 에피타이저 요리와 잘 어울리며, 생선, 갑각류, 수프, 신선한 치즈와 특히 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,"라임, 아카시아, 허브, 아몬드, 버터",치즈,수확 후 포도즙을 얻은 뒤 다음 년도 3월 까지 1차로 숙성한다. 그리고 효모를 주입 한 뒤 병입하여 2차 숙성의 과정을 거친다. 이후 최소 20~24개월의 성숙과정을 거쳐 출하,해발 410m 동쪽경사에 위치한 점토질과 석회질의 포도밭에서 자라난 샤도네이로 양조
"카드갈, 아스티 스푸만테","Cadgal, Asti Spumante",https://www.wine21.com/13_search/wine_view.html?Idx=169414&lq=LIST,카디갈  Cadgal,이탈리아(Italy) / 피에몬테(Piemonte),모스카토  (Moscato ) 100%,,,7~8 %,8~10 ℃,"식전주, 샐러드, 과일, 말린과일, 디저트, 케이크, 스낵 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),3/5,3/5,1/5,1/5,,"식전주, 샐러드",16-17℃ 온도의 스테인리스 탱크에서 알코올 도수 7%가 될 때까지 발효,9월 첫 주쯤 손수확
"몬테베르디, 프로세코 스푸만테","Monteverdi, Prosecco Spumante",https://www.wine21.com/13_search/wine_view.html?Idx=169415&lq=LIST,몬테베르디  Monteverdi,이탈리아(Italy) / 베네토(Veneto),프로세코 (Prosecco),Italian Prosecco,,,8~10 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),2/5,3/5,1/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,
"칸티네 콰트로 밸리 SRL, 보르고 풀비아 돌체","Cantine Quattro Valli SRL, Borgo Fulvia Dolce",https://www.wine21.com/13_search/wine_view.html?Idx=169416&lq=LIST,칸티네 콰트로 밸리 SRL  Cantine Quattro Valli SRL,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),모스카토  (Moscato ) 100%,,,9~10 %,6~8 ℃,생선류나 해산물이 들어간 에피타이저 요리와 잘 어울린다.,,루벵코리아 (루뱅쿱),3/5,3/5,1/5,1/5,"오렌지, 꿀",해산물,,"수확한 포도를 오토클레이브에서 부드럽게 프레싱하여 포도즙을 얻은 뒤, 저온 발효"
"칸티네 콰트로 밸리 SRL, 보르고 풀비아 브뤼","Cantine Quattro Valli SRL, Borgo Fulvia Brut",https://www.wine21.com/13_search/wine_view.html?Idx=169417&lq=LIST,칸티네 콰트로 밸리 SRL  Cantine Quattro Valli SRL,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),샤르도네 (Chardonnay) 100%,,,11~12 %,8~10 ℃,생선 전채요리와 해산물 또는 생선이 들어간 첫 코스 요리와 잘 어울린다,,루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,"장미, 꿀","해산물, 전채요리",저온 발효 과정과 함께 고급 스파클링 공정,수확한 포도를 오토클레이브에서 부드럽게 프레싱
"칸티네 콰트로 밸리 SRL, 보르고 풀비아 로사토","Cantine Quattro Valli SRL, Borgo Fulvia Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=169418&lq=LIST,칸티네 콰트로 밸리 SRL  Cantine Quattro Valli SRL,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),피노 네로 (Pinot Nero) 100%,,,11~12 %,8~10 ℃,"웰컴 드링크, 에피타이저, 연어, 수프, 치즈, 가벼운 생선요리와 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,,"연어, 치즈","16-18 ℃의 온도에서 선택된 효모로 1차 발효, 2차 발효는 오토클레이브에서 약 6개월 동안 효모와의 접촉을 유지하면서 숙성",수확한 포도를 부드럽게 프레싱하여 포도즙을 얻음
"돈호프, 삐노 젝트","Donnhoff, Pinot Sekt",https://www.wine21.com/13_search/wine_view.html?Idx=169419&lq=LIST,된호프  Donnhoff,독일(Germany) / 나헤(Nahe),피노 누아 (Pinot Noir),,,,8~10 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,
