와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,숙성,양조,스타일
"하디스, 리저브 샤도네이 3L","Hardys, Reserve Chardonnay 3L",https://www.wine21.com/13_search/wine_view.html?Idx=167131&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 오스트레일리아(South Australia),샤르도네 (Chardonnay),13~14 %,8~10 ℃,"알리오 올리오, 크림 소스 파스타, 치킨 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,,"치킨, 파스타",,,,
"하디스, 리저브 샤도네이 5L","Hardys, Reserve Chardonnay 5L",https://www.wine21.com/13_search/wine_view.html?Idx=167132&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 오스트레일리아(South Australia),샤르도네 (Chardonnay),13~14 %,8~10 ℃,"알리오 올리오, 크림 소스 파스타, 치킨 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,,"치킨, 파스타",,,,
"하디스, 더 리들 카베르네 메를로","Hardys, The Riddle Cabernet Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=167133&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 오스트레일리아(South Australia),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),13~14 %,16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,블랙베리,"소시지, 스모크",,,,
"하디스, 더 리들 쉬라즈","Hardys, The Riddle Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=167134&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 오스트레일리아(South Australia),시라/쉬라즈 (Syrah/Shiraz),13~14 %,16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",,,1/5,3/5,3/5,3/5,삼나무,"소시지, 스모크",,,,
"소마리바, 꼬넬리아노 발도비아데네 프로세코 수페리오레 드라이","Sommariva, Conegliano Valdobbiadene Prosecco Superiore Dry",https://www.wine21.com/13_search/wine_view.html?Idx=167135&lq=LIST,소마리바  Sommariva,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 100%,11 %,6~8 ℃,식전주나 가벼운 카나페 등과 잘 어울린다.,,동원와인플러스,1/5,3/5,3/5,1/5,"오렌지, 멜론, 아몬드, 삼나무",식전주,Conegliano Valdobbiadene Prosecco Superiore DOCG(DOP),,,
하디스 챠르 넘버 쓰리 카베르네 쇼비뇽,Hardys Char No.3 Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=167136&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),카베르네 소비뇽 (Cabernet Sauvignon),13~14 %,16~18 ℃,"소고기 등심, 채끝, 바베큐 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"블랙커런트, 초콜릿",,,,,
하디스 챠르 넘버 쓰리 쉬라즈,Hardys Char No.3 Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=167137&lq=LIST,하디스  Hardys,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz),14~15 %,16~18 ℃,"소갈비, 돼지갈비, 갈비찜, 뵈프 부르기뇽 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,,"돼지, 갈비찜",,,,
"제라드 듀플레시스, 샤블리","Gerard Duplessis, Chablis",https://www.wine21.com/13_search/wine_view.html?Idx=167138&lq=LIST,도멘 제라드 듀플레시스  Domaine Gerard Duplessis,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay) 100%,13~14 %,8~10 ℃,"아페리티프, 조개, 갑각류 등의 해산물 요리 등과 잘 어울린다.",*2015 빈티지: Wine & Spirits 90점*2011 빈티지: Robert Parker 90점 - 일반 샤블리에서 보기 힘든 깊이감과 뛰어난 질감을 가진 샤블리*포도나무 평균수령 45년,동원와인플러스,1/5,4/5,3/5,1/5,"배, 미네랄","해산물, 아페리티프",Chablis AOC(AOP),,,
"샬론 빈야드, 에스테이트 피노 누아","Chalone Vineyard, Estate Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=167139&lq=LIST,샬론 빈야드  Chalone Vineyard,미국(U.S.A) / 캘리포니아(California) / 몬터레이 카운티(Monterey County) / 몬터레이(Monterey),피노 누아 (Pinot Noir) 100%,14~15 %,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,동원와인플러스,1/5,3/5,3/5,2/5,"미네랄, 오크","파스타, 버섯, 치즈",Monterey AVA,,,
"샬론 빈야드, 에스테이트 샤도네이","Chalone Vineyard, Estate Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167140&lq=LIST,샬론 빈야드  Chalone Vineyard,미국(U.S.A) / 캘리포니아(California) / 몬터레이 카운티(Monterey County) / 몬터레이(Monterey),샤르도네 (Chardonnay) 100%,12 %,10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",*2016 빈티지: Wine & Sprits 90점*파리의 심판 2차 화이트 와인 전체 1위*1976년 파리의 심판 화이트 와인 부문 3위 차지,동원와인플러스,1/5,4/5,4/5,1/5,"레몬, 미네랄, 오크","해산물, 샐러드, 치즈",Monterey AVA,,,
"바슐레 모노, 바타르 몽라셰","Bachelet Monnot, Batard Montrachet",https://www.wine21.com/13_search/wine_view.html?Idx=167141&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),14~15 %,10~12 ℃,"숙성된 치즈, 샐러드, 돼지고기 등과 잘 어울린다.","*2017 빈티지: Robert Parker: 93-95점, Vinous 94점",크리스탈와인,1/5,4/5,3/5,1/5,오크,"샐러드, 치즈",Bâtard-Montrachet Grand Cru AOC(AOP),,,
"바슐레 모노, 퓔리니 몽라셰 1er 레폴라티에르","Bachelet Monnot, Puligny Montrachet 1er Les Folatieres",https://www.wine21.com/13_search/wine_view.html?Idx=167142&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),13~14 %,10~12 ℃,"숙성된 치즈, 샐러드, 브리오슈 등과 잘 어울린다.","*2017 빈티지: Robert Parker 92~94점, Vinous 93+점",크리스탈와인,1/5,4/5,3/5,1/5,오크,샐러드,"Puligny-Montrachet 1er Cru AOC(AOP), 'Les Folatières'",,,
"바슐레 모노, 퓔리니 몽라셰1er 아모드블라니","Bachelet Monnot, Puligny Montrachet 1er Hameaude Blagny",https://www.wine21.com/13_search/wine_view.html?Idx=167143&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),13~14 %,10~12 ℃,"치즈를 얹은 샐러드, 숙성된 치즈, 돼지 고기 등과 잘 어울린다.","*2017 빈티지: Robert Parker 88-90점, Vinous 89-91점",크리스탈와인,1/5,4/5,3/5,1/5,오크,"돼지, 샐러드, 치즈","Puligny-Montrachet 1er Cru AOC(AOP), 'Hameau de Blagny'",,,
"바슐레 모노, 퓔리니몽라셰","Bachelet Monnot, Puligny Montrachet",https://www.wine21.com/13_search/wine_view.html?Idx=167144&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),13~14 %,10~12 ℃,"아보카도 샐러드, 숙성된 치즈, 돼지 고기 요리등과 잘 어울린다.","*2017 빈티지: Robert Parker 88-90점, Vinous 90점",크리스탈와인,1/5,4/5,3/5,1/5,오크,"돼지, 샐러드, 치즈",Puligny-Montrachet AOC(AOP),,,
"바슐레 모노, 마랑쥬 1er 끌로 드 라 부티에르","Bachelet Monnot, Maranges1er Clos de la Boutiere",https://www.wine21.com/13_search/wine_view.html?Idx=167145&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 마랑쥬(Maranges),피노 누아 (Pinot Noir),13~14 %,14~16 ℃,"오리고기, 숙성된 치즈, 타르타르 등과 잘 어울린다.",*2017 빈티지: Robert Parker 89-91점,크리스탈와인,1/5,4/5,3/5,3/5,오크,"오리고기, 치즈","Maranges 1er Cru AOC(AOP), 'Clos de la Boutière'",,,
"바슐레 모노, 부르고뉴 샤르도네","Bachelet Monnot, Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167146&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),12~13 %,10~12 ℃,"치즈, 돼지고기, 카나페 등과 잘 어울린다.",*2017 빈티지: Robert Parker 87점,크리스탈와인,1/5,4/5,2/5,1/5,오크,치즈,Bourgogne AOC(AOP),,,
"바슐레 모노, 부르고뉴 피노누아","Bachelet Monnot, Bourgogne Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=167147&lq=LIST,바슐레 모노  Bachelet Monnot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir),12~13 %,14~16 ℃,"오리고기, 숙성된 치즈, 식전 요리 등과 잘 어울린다.",*2017 빈티지: Robert Parker 88점,크리스탈와인,1/5,4/5,3/5,3/5,"배, 오크","오리고기, 치즈",Bourgogne AOC(AOP),,,
"리샤 세갱, 즈브레 샹베르땅","Richard Seguin, Gevrey Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=167148&lq=LIST,리샤 세갱  Richard Seguin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),,14~16 ℃,"오리고기, 숙성된 치즈, 오일 파스타 등과 잘 어울린다.",,크리스탈와인,1/5,4/5,3/5,3/5,,"오리고기, 파스타, 치즈",Gevrey-Chambertin AOC(AOP),"350L 오크통에서 16개월간 숙성, 여과를 하지 않은 와인",,
"앙리 지로, 퓌드셴 브뤼 MV14","Henri Giraud, Fut de Chene Brut MV14",https://www.wine21.com/13_search/wine_view.html?Idx=167149&lq=LIST,샹파뉴 앙리 지로  Champagne Henri Giraud,프랑스(France) / 샹빠뉴(Champagne) / 발레 드 라 마른(Vallee de la Marne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,6~8 ℃,"숙성된 치즈, 식전요리, 해산물 샐러드 등과 잘 어울린다.","*MV13: Robert Parker 96점, Vinous 97점*MV12: Robert Parker 92점, Vinous 96점",크리스탈와인,1/5,5/5,3/5,1/5,오크,"해산물, 샐러드, 치즈",Champagne AOC(AOP),,,
"도멘 드 트리엔느, 트리엔느 로제","Domaine de Triennes, Triennes Rose",https://www.wine21.com/13_search/wine_view.html?Idx=167150&lq=LIST,도멘 드 트리엔느  Domaine de Triennes,프랑스(France) / 서던 프랑스(Southern France) / 프로방스(Provence) / 꼬또 닥상 프로방스(Côteaux d'Aix en Provence),쌩쏘 (Cinsault) / 그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot),,8~10 ℃,"돼지고기, 카나페, 샐러드 등과 잘 어울린다.",,크리스탈와인,1/5,3/5,2/5,1/5,,샐러드,Coteaux d'Aix-en-Provence AOC(AOP),,,
"레오나르드 커리쉬, 리슬링 빈 168","Leonard Kreusch, Riesling Bin 168",https://www.wine21.com/13_search/wine_view.html?Idx=167151&lq=LIST,레오나르드 커리쉬   Leonard Kreusch,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling) 100%,11~12 %,8~10 ℃,"생선요리, 해산물, 아시아 음식과 잘 어울린다.",*2019 Wine Enthusiast Best Buy - 87점,레뱅,2/5,3/5,2/5,1/5,,해산물,,,,
"나탈리 팔메, 팍셀 블랑 드 누아 ZH318 엑스트라 브뤼","Nathalie Falmet, Parcelle ZH 318",https://www.wine21.com/13_search/wine_view.html?Idx=167152&lq=LIST,나탈리 팔메  Nathalie Falmet,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 바(Côte des Bar),피노 누아 (Pinot Noir),,6~8 ℃,"숙성된 치즈, 카나페, 캐비어 요리 등과 잘 어울린다.",,크리스탈와인,1/5,5/5,3/5,1/5,,치즈,Champagne AOC(AOP),,,
"라포스톨, 넘버 세븐","Lapostolle, NO.7",https://www.wine21.com/13_search/wine_view.html?Idx=167153&lq=LIST,라포스톨 [까사 라포스톨]  Lapostolle [Casa Lapostolle],칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley) / 아팔타 밸리(Apalta Valley),카베르네 소비뇽 (Cabernet Sauvignon) 78% / 메를로 (Merlot) 19% / 카르메네르 (Carmenere) 3%,14~15 %,16~18 ℃,"육류요리, 양념이 강한 요리, 다양한 치즈 등과 잘 어울린다.","*10주년 기념 12,000병 한정 와인",레뱅,1/5,3/5,4/5,4/5,타바코,"육류요리, 치즈",,,,
"델리카토, 1924 버번 배럴 에이지드 까베르네 소비뇽","Delicato, 1924 Bourbon Barrel Aged Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167154&lq=LIST,델리카토 패밀리 빈야드  Delicato Family Vineyards - DFV,미국(U.S.A) / 캘리포니아(California) / 샌 호아퀸 카운티(San Joaquin County) / 로다이(Lodi),카베르네 소비뇽 (Cabernet Sauvignon) 78% / 쁘띠 시라  (Petite Sirah) 14% / 말벡 (Malbec) 6% / 기타 품종 (Other Grapes) 2%,14.5~15.5 %,17~19 ℃,"메이플 피칸이 들어가 있는 고구마가 들어있는 베이컨 필레, 구운 쇠고기 안심 등과 잘 어울린다.","*2023 대한민국 주류대상 '레드와인 신대륙 부문 대상'*2021 Korea Wine Challenge Gold*2019 Mundus Vini Summer Tasting 2021 Gold*2018 Monterey International Wine Competition Gold, 92점*2018 Winemaker Challenge International Wine Competition Platinum 94점*미국 스피리츠 배럴 와인 열풍의 주역!",레뱅,1/5,3/5,5/5,4/5,"블랙베리, 잼, 바닐라, 허브, 토스트","베이컨, 피칸",,원액의 일부 버번 배럴 최소 2개월 숙성,,Californian Cabernet Sauvignon
"끌로 아마도르, 까바 브뤼 델리까 레제르바","Clos Amador, Cava Brut Delicat Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=167155&lq=LIST,뻬레 벤뚜라   Pere Ventura,스페인(Spain) / 페네데스(Penedes),마카베오 (Macabeo) / 자렐로 (Xarel.lo) / 빠레야다 (Parellada),,6~8 ℃,"치즈, 타파스, 샐러드 등과 잘 어울린다.",,크리스탈와인,1/5,4/5,2/5,1/5,,"샐러드, 치즈",Cava DO(DOP),,,
"샤를 뒤푸, 비스트로따쥬 B.13 엑스트라 브뤼 (프랑수와즈 마티노)","Charles Dufour, Bistrotage B.13 Extra Brut (Francoise Martinot)",https://www.wine21.com/13_search/wine_view.html?Idx=167156&lq=LIST,샴페인 샤를 뒤푸  Champagne Charles Dufour,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 바(Côte des Bar),피노 누아 (Pinot Noir),,6~8 ℃,"숙성된 치즈, 샐러드, 전채요리 등과 잘 어울린다.","* 비스트로따쥬는 블랑 드 누아 샴페인으로 샤를 뒤푸의 어머니인 프랑수와즈 마르티노로부터 공급받은 피노 누아를 사용했다. 그녀의 포도밭은 샤를 뒤푸가 위치한 Landreville의 바로 윗 동네인 Chervey에 위치하고 있다. 샤를 뒤푸와 마찬가지로 유기농으로 재배된다. 양조는 샤를 뒤푸가 맡았으나 레이블은 도멘 프랑수와즈 마티노의 이름으로 출시된다. 비스트로따쥬 Affinage Prolonge는 동일한 와인이지만 기존 와인보다 리스 숙성이 더 되었다는 점에서 차이가 있다.B.14 Affinage Prolonge은 7년, B.10 Affinage Prolonge는 10년 더 숙성 되었다.",크리스탈와인,1/5,5/5,3/5,1/5,오크,치즈,Champagne AOC(AOP),"12 months on lees in used oak (14+1 > 24 months on less in used oak)  /  2 months in stainless steel tank  /  No fining, no filtration  /  No SO2 added after disgorgement",Wild yeast  /  Vinified in oak barrel(50%) and stainless steel tank(50%) without blocking  /  MLF,
"샤를 뒤푸, 뷜드 꼼뜨와 #7 아썽블라주 엑스트라 브뤼","Charles Dufour, Bullesde Comptoir #7 Assemblage",https://www.wine21.com/13_search/wine_view.html?Idx=167157&lq=LIST,샴페인 샤를 뒤푸  Champagne Charles Dufour,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 바(Côte des Bar),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 피노 블랑 (Pinot Blanc),,6~8 ℃,"샐러드, 숙성된 치즈, 생선 카르파치오 등과 잘 어울린다.","* 뷜 드 꼼뜨와에서 뷜은 거품, 즉 샴페인을 이야기하고 꼼뜨와는 계산대나 Bar 테이블같이 길다란 수납식 테이블을 의미한다. 즉, Bar 테이블에 놓인 샴페인을 상상해 보면 될 것이다.뷜 드 꼼뜨와의 일곱번째 출시 와인은 #7 아썽블라주(Assemblage)로 레이블의 일러스트가 힌트를 주듯 혼합, 블렌딩이라는 뜻을 가지고 있다. 뷜 드 꼼뜨와는 로제를 제외하고 피노 누아, 샤르도네, 피노 블랑을 블렌딩하며 포도의 80%는 그 해에 수확한 포도를, 나머지 20%는 2010년부터 저장해 오고 있는 리저브 와인을 블렌딩하여 생산한다.",크리스탈와인,1/5,5/5,3/5,1/5,오크,"샐러드, 치즈",Champagne AOC(AOP),"12 months on lees in used oak  /  2 months in stainless steel tank  /  No fining, no filtration  /  No SO2 added","Wild yeast  /  Alcohol, malolactic fermentation in large wooden vat(foudre",
"샤를 뒤푸, 뷜 드 꼼뜨와 오랑주 상귄 로제 엑스트라 브뤼","Charles Dufour, Face B Orange Sanguine",https://www.wine21.com/13_search/wine_view.html?Idx=167158&lq=LIST,샴페인 샤를 뒤푸  Champagne Charles Dufour,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 바(Côte des Bar),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 피노 블랑 (Pinot Blanc),,6~8 ℃,"생선 카르파치오, 브리오슈, 샐러드 등과 잘 어울린다.","* 뷜 드 꼼뜨와에서 뷜은 거품, 즉 샴페인을 이야기하고 꼼뜨와는 계산대나 Bar 테이블같이 길다란 수납식 테이블을 의미한다. 즉, Bar 테이블에 놓인 샴페인을 상상해 보면 될 것이다.샤를 뒤푸는 매해 뷜 드 꼼뜨와(Bulles de Comptoir) 라인에서 로제 와인을 출시하고 있는데, 로제익스프레스14, 15를 이어 출시된 와인이 오랑주 상귄이다. 오랑주 상귄(Orange Sanguine)은 지중해에서 나는 오렌지 계열의 과일인데 자몽처럼 과육이 붉다는 것에서 로제 와인의 이름으로 따왔다.",크리스탈와인,1/5,5/5,3/5,1/5,오크,"샐러드, 브리",Champagne AOC(AOP),"12 months on lees in used oak  /  2 months in stainless steel tank  /  No fining, no filtration  /  No SO2 added","Wild yeast /  7 days of semi carbonic maceration  /  Alcohol, malolactic fermentation in large wooden vat(foudre)",
"도멘 드니 까레, 오쎄 뒤레스 '레 비로'","Domaine Denis Carre, Auxey Duresses 'Les Vireux'",https://www.wine21.com/13_search/wine_view.html?Idx=167159&lq=LIST,도멘 드니 까레  Domaine Denis Carre,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 오쎄-뒤레쓰(Auxey-Duresses),샤르도네 (Chardonnay),,10~12 ℃,"샐러드, 잘 익은 치즈 등과 잘 어울린다.",,더블유에스통상,1/5,4/5,3/5,1/5,"복숭아, 감귤, 미네랄, 헤이즐넛","샐러드, 복숭아, 치즈",Auxey-Duresses AOC(AOP),,,
"도멘 드니 까레, 샤비니 레 본 비에이 비뉴","Domaine Denis Carre, Savigny Les Beaune Vieilles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=167160&lq=LIST,도멘 드니 까레  Domaine Denis Carre,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 사비니-레-본(Savigny-les-Beaune),피노 누아 (Pinot Noir),,14~16 ℃,"오리고기, 돼지 고기, 치즈 등과 잘 어울린다.",,더블유에스통상,1/5,4/5,3/5,3/5,"꽃, 바닐라, 오크","돼지, 오리고기, 치즈",Savigny-Lès-Beaune AOC(AOP),,,
"도멘 드니 까레, 포마르 레 샤르모","Domaine Denis Carre, Pommard 1er Cru Les Charmots",https://www.wine21.com/13_search/wine_view.html?Idx=167161&lq=LIST,도멘 드니 까레  Domaine Denis Carre,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir),,14~16 ℃,"오리고기, 숙성된 치즈 등과 잘 어울린다.",,더블유에스통상,1/5,4/5,3/5,3/5,체리,"오리고기, 치즈",,,,
"까스텔 미미, 로제 드 불보아카","Castel MiMi, Rose de Bulboaca",https://www.wine21.com/13_search/wine_view.html?Idx=167162&lq=LIST,카스텔 미미  Castel MiMi,몰도바(Moldova),카베르네 소비뇽 (Cabernet Sauvignon) / 피노 누아 (Pinot Noir),13~14 %,10~12 ℃,"해산물, 가재요리, 그릴에 구운 생선요리 등과 잘 어울린다.",,,1/5,3/5,2/5,2/5,"딸기, 자몽, 잼, 꽃, 바닐라",해산물,,,,
"휴 해밀턴, 블랙 블러드 III","Hugh Hamilton, Black Blood III Single Vineyard Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=167163&lq=LIST,휴 해밀턴  Hugh Hamilton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz),14~15 %,16~18 ℃,"스테이크, 햄버거, 머쉬룸 소테와 잘 어울린다.","*2017 빈티지: James Halliday 95점,",한산더블유앤비,1/5,3/5,4/5,4/5,"체리, 가죽","스테이크, 햄, 햄버거",,,,
키싱 부스 쇼비뇽 블랑,Kissing Booth Sauvignon Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=167164&lq=LIST,앙고브  Angove,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),13~14 %,8~10 ℃,"샐러드, 아보카도, 신선한 과일과 잘 어울린다.",,한산더블유앤비,1/5,3/5,2/5,1/5,"감귤, 열대과일","샐러드, 과일",,,,
"앙고브, 머슬맨 쉬라즈","Angove, Muscle Man Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=167165&lq=LIST,앙고브  Angove,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz),14~15 %,16~18 ℃,"그릴에 구운 고기, 프로슈토, 치즈 등과 잘 어울린다.",,한산더블유앤비,1/5,3/5,4/5,2/5,블랙베리,"프로슈토, 치즈",,,,
"앙고브, 위즈뱅 쉬라즈","Angove, Whiz Bang Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=167166&lq=LIST,앙고브  Angove,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),14~15 %,16~18 ℃,"그릴에 구운 고기, 살라미, 소세지 등과 잘 어울린다.",,한산더블유앤비,1/5,3/5,4/5,3/5,"블랙베리, 후추, 오크",살라미,,,,
"앙고브, 그랜드 토니 10년","Angove, Grand Tawny 10years",https://www.wine21.com/13_search/wine_view.html?Idx=167167&lq=LIST,앙고브  Angove,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),블렌드 (Blend ),19~20 %,16~18 ℃,"블루치즈, 살라미, 견과류 등과 잘 어울린다.",*James Halliday Wine companion 2017 90점*Royal Melbourne Wine Show 2017 Silver Medal,한산더블유앤비,5/5,2/5,5/5,2/5,건포도,"살라미, 견과류",,,,
"앙고브, 레어 토니 15년","Angove, Rare Tawny 15 years",https://www.wine21.com/13_search/wine_view.html?Idx=167168&lq=LIST,앙고브  Angove,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),블렌드 (Blend ) / 팔로미노 (Palomino) / 트레비아노 (Trebbiano),19~20 %,16~18 ℃,"블루치즈, 하몽, 견과류 등과 잘 어울린다.","*James Halliday Wine companion 2017 94점, Sydney International Wine Competition 2017 Gold Medal",한산더블유앤비,5/5,2/5,5/5,2/5,"건포도, 꽃, 바닐라","하몽, 견과류",,,,
"마운틴 브레이브, 카베르네 소비뇽","Mt. Brave, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167171&lq=LIST,마운틴 브레이브  Mt. Brave,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 마운틴 비더(Mt. Veeder),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 말벡 (Malbec) / 쁘띠 베르도 (Petit Verdot),,16~18 ℃,"스테이크, 스튜, 양갈비 등과 잘 어울린다.","*2016 빈티지: Robert Parker 95점, Wine Spectator 94점*2015 빈티지: Robert Parker 96점*2014 빈티지: Robert Parker 95+점",나라셀라,1/5,4/5,5/5,5/5,"감초, 오크",양갈비,Mount Veeder AVA,,,
"패너 애쉬, 쉐이 빈야드 피노 누아","Penner Ash, Shea Vineyard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=167172&lq=LIST,패너 애쉬  Penner-Ash,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley) / 얌힐-칼튼(Yamhill-Carlton),피노 누아 (Pinot Noir),,12~14 ℃,"오리고기, 중국 요리 등과 잘 어울린다.",*2015 빈티지: Robert Parker 93+점,나라셀라,1/5,4/5,3/5,3/5,"배, 꽃, 오크, 흙",오리고기,Yamhill-Carlton AVA,,,
"아나코타, 헬레나 몬타나","Anakota, Helena Montana",https://www.wine21.com/13_search/wine_view.html?Idx=167174&lq=LIST,아나코타  Anakota,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 나이츠 밸리(Knights Valley),카베르네 소비뇽 (Cabernet Sauvignon),,16~18 ℃,"스테이크, 라자냐, 붉은 소스를 곁들인 파스타 등과 잘 어울린다.",*2015 빈티지: Robert Parker 96점*9000병 생산,나라셀라,1/5,4/5,5/5,5/5,"블랙베리, 흙",스테이크,Knights Valley AVA,,,
"비에티, 바롤로 크뤼 '라자리토'","Vietti, Barolo Cru Lazzarito",https://www.wine21.com/13_search/wine_view.html?Idx=167175&lq=LIST,비에티  Vietti,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo),네비올로 (Nebbiolo),,16~18 ℃,"스테이크, 버섯 요리, 숙성된 치즈 등과 잘 어울린다.","*2016 빈티지: Vinous 98점, Robert Parker 95점*2015 빈티지: Robert Parker 96+점*2014 빈티지: Robert Parker 95점",나라셀라,1/5,4/5,4/5,5/5,오크,"스테이크, 버섯, 치즈",Barolo DOCG(DOP),,,
