와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,알코올,기타정보,숙성,양조
"세르보 피스, 까르떼 누아","Serveaux Fils, Carte Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162877&lq=LIST,세르보 피스 샹파뉴  Serveaux Fils Chmapagne,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) 50% / 피노 누아 (Pinot Noir) 50%,French Champagne,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"꽃, 꿀","스시, 샐러드, 과일, 치즈, 디저트",Champagne AOC(AOP),,*Silver Medal CONCOURS des Vignerons Indendants 2017,,
쿼드런트 와인,Quadrant Wine,https://www.wine21.com/13_search/wine_view.html?Idx=162878&lq=LIST,브로큰 어스 와이너리  Broken Earth Winery,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),메를로 (Merlot) 34% / 카베르네 소비뇽 (Cabernet Sauvignon) 26% / 쁘띠 시라  (Petite Sirah) 25% / 쁘띠 베르도 (Petit Verdot) 15%,Californian Red Blend,16~18 ℃,"스테이크, 로스트비프, 훈제오리, 바비큐, 소시지, 수육, 숙성 치즈, , 파스타, 피자 와 잘 어울린다.",,1/5,2/5,4/5,3/5,삼나무,"훈제오리, 수육, 치즈",Paso Robles AVA,12.8 %,*SILVER - Houston Live Stock Show and Rodeo*SILVER - San Francisco Chronicle Wine,,
맥매니스 로제,Mcmanis Rose,https://www.wine21.com/13_search/wine_view.html?Idx=162879&lq=LIST,맥매니스 와이너리  McManis Winery,미국(U.S.A) / 캘리포니아(California) / 샌 호아퀸 카운티(San Joaquin County) / 로다이(Lodi),피노 누아 (Pinot Noir) 100%,,11~13 ℃,"회, 샐러드, 야채, 튀김, 다양한 치즈, 건육, 동남아요리, 파스타 등과 잘 어울린다.",와인투유코리아,1/5,2/5,2/5,1/5,,"건육, 파스타, 동남아요리, 튀김, 치즈",Lodi AVA,11.5 %,*Double Gold/Best of Region - 2017 California State Fair Wine Competition,,
"러스트 엔 브레데, 에스테이트 레드","Rust en Vrede, Estate Red",https://www.wine21.com/13_search/wine_view.html?Idx=162880&lq=LIST,러스트 엔 브레데 에스테이트  Rust en Vrede Estate,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 스텔렌보쉬(Stellenbosch),카베르네 소비뇽 (Cabernet Sauvignon) 62% / 시라/쉬라즈 (Syrah/Shiraz) 31% / 메를로 (Merlot) 7%,,16~18 ℃,"스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 양념갈비, 족발, 피자, 파스타, 한국음식과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"바비큐, 양갈비",,,*Wine Spectator 92점*닐 비케트의 죽기전에 꼭 마셔봐야 할 와인 1001 선정,,
"러스트 엔 브레데, 카베르네 소비뇽","Rust en Vrede, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162881&lq=LIST,러스트 엔 브레데 에스테이트  Rust en Vrede Estate,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 스텔렌보쉬(Stellenbosch),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"배, 오크","양갈비, 치즈",,,*Platter Wine Guide 4.5Stars*Wine Spectator 88점,,
"러스트엔 브레데, 쉬라","Rust en Vrede, Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=162882&lq=LIST,러스트 엔 브레데 에스테이트  Rust en Vrede Estate,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 스텔렌보쉬(Stellenbosch),시라/쉬라즈 (Syrah/Shiraz) 100%,,16~18 ℃,쇠고기 등의 스테이크 및 양념이 강한 한식과도 잘 어울린다.,,1/5,3/5,4/5,3/5,,한식,,,*2017년 Wine Spectator Top 100 선정 와인,,
데이비드 핀레이슨 카미노 아프리카나 슈냉 블랑,David Finlayson Camino Africana Chenin Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=162883&lq=LIST,엣지바스톤  Edgebaston,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 스텔렌보쉬(Stellenbosch),슈냉 블랑 (Chenin Blanc),,10~12 ℃,"치킨, 훈제연어, 참치, 샐러드, 숙성 치즈, 피자, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,배,"치킨, 샐러드, 치즈",,13~13.5 %,"*Platter Wine Guide, 2017 - 5 Stars*올드바인 싱글 반야드",,
GS 카베르네 소비뇽,GS Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=162884&lq=LIST,엣지바스톤  Edgebaston,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 스텔렌보쉬(Stellenbosch),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 버섯, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,5/5,,"스테이크, 양갈비, 버섯",,15~15.5 %,*Tim Atkin 93점,,
"가디언 피크, 프론티어 카베르네 소비뇽","Guardian Peak, Frontier Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162885&lq=LIST,가디언 피크  Guardian Peak,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 스텔렌보쉬(Stellenbosch),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,치즈 및 육류와 잘 어울린다.,,1/5,3/5,3/5,3/5,오크,치즈,,,,,
"가디언 피크, 쉬라즈","Guardian Peak, Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=162886&lq=LIST,가디언 피크  Guardian Peak,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 스텔렌보쉬(Stellenbosch),시라/쉬라즈 (Syrah/Shiraz) 100%,,16~18 ℃,치즈 및 육류와 잘 어울린다.,,1/5,3/5,4/5,3/5,,치즈,,,,,
"가디언 피크, 라파 카베르네 소비뇽","Guardian Peak, Lapa Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162887&lq=LIST,가디언 피크  Guardian Peak,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 스텔렌보쉬(Stellenbosch),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,"쇠고기, 양고기 등의 붉은 육류와 가장 잘 어울린다.",,1/5,3/5,4/5,4/5,"오크, 가죽","쇠고기, 양고기",,,,,
"가디언 피크, 써밋 SMG","Guardian Peak, Summit SMG",https://www.wine21.com/13_search/wine_view.html?Idx=162888&lq=LIST,가디언 피크  Guardian Peak,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 스텔렌보쉬(Stellenbosch),시라/쉬라즈 (Syrah/Shiraz) 66% / 무르베드르 (Mourvedre) 25% / 그르나슈 (Grenache) 9%,,17~19 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,4/5,,"스테이크, 양갈비",,,,,
"뷰샤르 핀레이슨, 크로커다일즈 레어 카이만스가 샤도네이","Bouchard Finlayson, Crocodile's Lair Kaaimansgat Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162889&lq=LIST,뷰샤르 핀레이슨  Bouchard Finlayson,남아프리카(South Africa) / 케이프 사우스 코스트(Cape South Coast) / 오버버그(Overberg),샤르도네 (Chardonnay) 100%,,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,4/5,1/5,오크,"바비큐, 수육, 탕수육, 치즈",,,"*Tim Atkin, South African Report, 2016 - 91점*Neal Martin, The Wine Advocate, 2017 - 90점*International Wine Challenge, 2017 - Gold Medal*James Suckling, 2017 - 91점*Tim Atkin MW, South Africa Report, 2017 - 95점",,
"뷰샤르 핀레이슨, 갈핀 피크 피노 누아","Bouchard Finlayson, Galpin Peak Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162890&lq=LIST,뷰샤르 핀레이슨  Bouchard Finlayson,남아프리카(South Africa) / 웨스턴 케이프(Western Cape),피노 누아 (Pinot Noir) 100%,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,3/5,3/5,2/5,오크,"파스타, 버섯, 치즈",,,"*닐 비케트의 죽기전에 꼭 마셔봐야 할 와인 1001 선정*International Wine Challenge, 2017 - Gold Medal & Regional Trophy*James Suckling, 2017 - 93점*Tim Atkin MW, South Africa Special Report, 2017 - 93점*Veritas, 2017 - Double Gold*Platter Wine Guide, 2018 - 5 Stars",,
"뷰샤르 핀레이슨, 한니발","Bouchard Finlayson, Hannibal",https://www.wine21.com/13_search/wine_view.html?Idx=162891&lq=LIST,뷰샤르 핀레이슨  Bouchard Finlayson,남아프리카(South Africa) / 웨스턴 케이프(Western Cape),산지오베제 (Sangiovese) 46% / 피노 누아 (Pinot Noir) 18% / 네비올로 (Nebbiolo) 16% / 시라/쉬라즈 (Syrah/Shiraz) 11% / 바르베라 (Barbera) 5% / 무르베드르 (Mourvedre) 4%,,16~18 ℃,"스테이크, 로스트비프, 포크, 바비큐, 그릴요리, 프로슈토, 라자냐, 파스타, 피자, 수육 과 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,"프로슈토, 수육",,,"*James Suckling, 2017 - 92점*Tim Atkin MW, South Africa Special Report, 2017 - 92점",,
"크리에이션, 샤도네이","Creation, Chardoanny",https://www.wine21.com/13_search/wine_view.html?Idx=162892&lq=LIST,크리에이션  Creation,남아프리카(South Africa) / 케이프 사우스 코스트(Cape South Coast) / 워커 베이(Walker Bay),샤르도네 (Chardonnay) 100%,,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,오크,"바비큐, 수육, 탕수육, 치즈",,14 %,,,
크리에이션 비오니에,"Creation, Viognier",https://www.wine21.com/13_search/wine_view.html?Idx=162893&lq=LIST,크리에이션  Creation,남아프리카(South Africa) / 케이프 사우스 코스트(Cape South Coast),비오니에 (Viognier) 100%,,9~11 ℃,"해산물은 물론 크림파스타에서 탄두리 치킨 등 여러가지 요리에 다재다능하게 어울리며, 한식과도 잘 어울린다.",,1/5,4/5,3/5,1/5,"복숭아, 오크","치킨, 해산물, 한식",,14 %,,,
크리에이션 소비뇽 블랑,Creation Sauvignon Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=162894&lq=LIST,크리에이션  Creation,남아프리카(South Africa) / 케이프 사우스 코스트(Cape South Coast) / 워커 베이(Walker Bay),소비뇽 블랑 (Sauvignon Blanc) 100%,,8~10 ℃,"생선회, 연어, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"열대과일, 미네랄, 오크",,,14 %,,,
"크리에이션, 피노 누아","Creation, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162895&lq=LIST,크리에이션  Creation,남아프리카(South Africa) / 케이프 사우스 코스트(Cape South Coast) / 워커 베이(Walker Bay),피노 누아 (Pinot Noir),,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,3/5,3/5,2/5,오크,"파스타, 버섯, 치즈",,13.8 %,,,
"크리에이션, 시라-그르나슈","Creation, Syrah-Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=162896&lq=LIST,크리에이션  Creation,남아프리카(South Africa) / 케이프 사우스 코스트(Cape South Coast) / 워커 베이(Walker Bay),시라/쉬라즈 (Syrah/Shiraz) 80% / 그르나슈 (Grenache) 20%,,16~18 ℃,"스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 양념갈비, 족발, 한국음식과 잘 어울린다.",,1/5,2/5,4/5,3/5,"자두, 오크","바비큐, 양갈비",,14.5 %,,,
"스프링필드, 라이프 프롬 스톤 소비뇽 블랑","Springfield, Life from Stone Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=162897&lq=LIST,스프링필드 에스테이트  Springfield Estate,남아프리카(South Africa) / 브리드 리버 밸리(Breede River Valley) / 로버트슨(Robertson),소비뇽 블랑 (Sauvignon Blanc) 100%,,8~10 ℃,"샐러드, 생선초밥, 해산물 요리 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"초밥, 해산물, 샐러드",,,,,
"스프링필드, 홀 베리 카베르네 소비뇽","Springfield, Whole Berry Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162898&lq=LIST,스프링필드 에스테이트  Springfield Estate,남아프리카(South Africa) / 브리드 리버 밸리(Breede River Valley) / 로버트슨(Robertson),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,치즈 및 육류와 잘 어울린다.,,1/5,3/5,4/5,3/5,오크,치즈,,,,,
"스프링필드, 와일드 이스트 샤도네이","Springfield, Wild Yeast Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162899&lq=LIST,스프링필드 에스테이트  Springfield Estate,남아프리카(South Africa) / 브리드 리버 밸리(Breede River Valley) / 로버트슨(Robertson),샤르도네 (Chardonnay) 100%,,10~12 ℃,"기름기가 있는 연어, 참치등의 생선회, 샐러드나 생선구이 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"시트러스, 파인애플, 미네랄",샐러드,,,,,
"스프링필드, 워크 오브 타임","Springfield, Work of Time",https://www.wine21.com/13_search/wine_view.html?Idx=162900&lq=LIST,스프링필드 에스테이트  Springfield Estate,남아프리카(South Africa) / 브리드 리버 밸리(Breede River Valley) / 로버트슨(Robertson),메를로 (Merlot) 40% / 카베르네 프랑 (Cabernet Franc) 23% / 카베르네 소비뇽 (Cabernet Sauvignon) 21% / 쁘띠 베르도 (Petit Verdot) 16%,,16~18 ℃,치즈 및 육류와 잘 어울린다.,,1/5,3/5,4/5,3/5,"블랙베리, 오크, 효모",치즈,,,,,
"스피링필드, 미스 루씨","Springfield, Miss Lucy",https://www.wine21.com/13_search/wine_view.html?Idx=162901&lq=LIST,스프링필드 에스테이트  Springfield Estate,남아프리카(South Africa) / 브리드 리버 밸리(Breede River Valley) / 로버트슨(Robertson),소비뇽 블랑 (Sauvignon Blanc) 38% / 피노 그리 (Pinot Gris) 32% / 세미용 (Semillon) 30%,,9~11 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"시트러스, 오크","바비큐, 수육, 탕수육, 치즈",,12.5 %,,,
"스피링필드, 피노 누아","Springfield, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162902&lq=LIST,스프링필드 에스테이트  Springfield Estate,남아프리카(South Africa) / 브리드 리버 밸리(Breede River Valley) / 로버트슨(Robertson),피노 누아 (Pinot Noir) 100%,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,1/5,2/5,3/5,2/5,,"파스타, 버섯, 치즈",,,,,
"테누타 디 트리노로, 캄포 디  테날리아","Tenuta di Trinoro, Campo di Tenaglia",https://www.wine21.com/13_search/wine_view.html?Idx=162903&lq=LIST,테누타 디 트리노로  Tenuta di Trinoro,이탈리아(Italy) / 토스카나(Toscana),카베르네 프랑 (Cabernet Franc) 100%,Central Italy Red,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,"배, 감초, 허브, 타르","스테이크, 양갈비",Toscana IGT(IGP),14~15 %,"*2015 빈티지: Wine Spectator 95점*총생산량: 1,800병",,
"테누타 디 티리노로, 캄포 디 카마지","Tenuta di Trinoro, Campo di Camagi",https://www.wine21.com/13_search/wine_view.html?Idx=162904&lq=LIST,테누타 디 트리노로  Tenuta di Trinoro,이탈리아(Italy) / 토스카나(Toscana),카베르네 프랑 (Cabernet Franc) 100%,Central Italy Red,16~18 ℃,"오리고기, 오리로스. 치킨, 바비큐, 소시지, 수육, 토마토파스타, 피자와 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,5/5,"배, 미네랄",수육,Toscana IGT(IGP),,"*총생산량: 2,600병*2015 빈티지: Wine Spectator 94점*2014 빈티지: Robert Parker 95점",,
"파소피시아로, 파소 비앙코","Passopisciaro, Passo Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=162905&lq=LIST,파소피시아로  Passopisciaro,이탈리아(Italy) / 시칠리아(Sicilia),샤르도네 (Chardonnay) 100%,Southern Italy White,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,3/5,1/5,미네랄,"바비큐, 수육, 탕수육, 치즈",Sicilia IGT(IGP),13~14 %,"*2014 빈티지: Wine Spectator 90점, Robert Parker 92점*2013 빈티지: Wine Spectator 90점, Wine Enthusiast 88점, Vinous 90점*2010 빈티지: Wine Spectator 90점",,
"인허리트 더 쉽, 까베르네 쇼비뇽","Inherit The Sheep, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162906&lq=LIST,인허리트 더 쉽  Inherit The Sheep,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,2/5,4/5,4/5,,"양갈비, 치즈",California AVA,14.3 %,*총생산량: 250케이스,,
"라 코르사, 두에 루글리오","La Corsa, Due luglio",https://www.wine21.com/13_search/wine_view.html?Idx=162907&lq=LIST,라 코르사  La Corsa,이탈리아(Italy) / 토스카나(Toscana),베르멘티노 (Vermentino) 100%,,9~11 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"스시, 해산물, 파스타, 치즈",,,,,
"라 코르사, 세테피네스트레","La Corsa, Settefinestre",https://www.wine21.com/13_search/wine_view.html?Idx=162908&lq=LIST,라 코르사  La Corsa,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 100%,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,3/5,3/5,2/5,,족발,,,,,
"라 코르사, 모렐리노 디 스칸사노","La Corsa, Morellino di Scansano",https://www.wine21.com/13_search/wine_view.html?Idx=162909&lq=LIST,라 코르사  La Corsa,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 90% / 메를로 (Merlot) 5% / 카베르네 소비뇽 (Cabernet Sauvignon) 5%,,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,3/5,4/5,3/5,,"양고기, 치즈",Morellino di Scansano DOCG(DOP),,,,
"라 코르사, 아기로로","La Corsa, Aghiloro",https://www.wine21.com/13_search/wine_view.html?Idx=162910&lq=LIST,라 코르사  La Corsa,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 34% / 쁘띠 베르도 (Petit Verdot) 33% / 테롤데고 (Teroldego) 33%,,16~18 ℃,"스테이크, 로스트비프, 포크, 바비큐, 그릴요리, 프로슈토, 라자냐, 파스타, 피자, 수육 과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"프로슈토, 수육",,,,,
"라 코르사, 테롤데고","La Corsa, Teroldego",https://www.wine21.com/13_search/wine_view.html?Idx=162911&lq=LIST,라 코르사  La Corsa,이탈리아(Italy) / 토스카나(Toscana),테롤데고 (Teroldego) 100%,,16~18 ℃,"바비큐, 햄, 베이컨, 다양한 치즈, 건육, 살리미, 프로슈토, 순대, 편육 등 과 잘 어울린다.",,1/5,3/5,3/5,3/5,,치즈,,,,,
"라 코르사, 바르바돈나","La Corsa, Barbadonna",https://www.wine21.com/13_search/wine_view.html?Idx=162912&lq=LIST,라 코르사  La Corsa,이탈리아(Italy) / 토스카나(Toscana),쁘띠 베르도 (Petit Verdot) 100%,,17~19 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 양념갈비, 파스타, 한국음식 등과 잘 어울린다.",,1/5,3/5,5/5,4/5,,"바비큐, 양갈비, 파스타",,,,,
"칸티나 디 모고로, 아나스타시아","Cantina di Mogoro, Anastasia",https://www.wine21.com/13_search/wine_view.html?Idx=162913&lq=LIST,칸티나 디 모고로  Cantina di Mogoro,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",세미다노 (Semidano) 100%,,10~12 ℃,"흰살생선, 샐러드, 치즈, 동남아요리, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"흰살생선, 파스타, 동남아요리, 샐러드, 치즈",,,,,
"칸티나 디 모고로, 레 지아레","Cantina di Mogoro, Le Giare",https://www.wine21.com/13_search/wine_view.html?Idx=162914&lq=LIST,칸티나 디 모고로  Cantina di Mogoro,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",베르멘티노 (Vermentino) 100%,,9~11 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"스시, 해산물, 파스타, 치즈",,,,,
"칸티나 디 모고로, 돈 지오반니","Cantina di Mogoro, Don Giovanni",https://www.wine21.com/13_search/wine_view.html?Idx=162915&lq=LIST,칸티나 디 모고로  Cantina di Mogoro,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",베르멘티노 (Vermentino) 100%,,10~12 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"스시, 해산물, 파스타, 치즈",,,,,
"칸티나 디 모고로, 네로 사르도","Cantina di Mogoro, Nero Sardo",https://www.wine21.com/13_search/wine_view.html?Idx=162916&lq=LIST,칸티나 디 모고로  Cantina di Mogoro,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",칸노나우 (Cannonau) 100%,,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈, 탕수육 과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"바비큐, 탕수육, 치즈",,,,,
"칸티나 디 모고로, 비냐루자","Cantina di Mogoro, Vignaruja",https://www.wine21.com/13_search/wine_view.html?Idx=162917&lq=LIST,칸티나 디 모고로  Cantina di Mogoro,"이탈리아(Italy) / 사르데냐,  사르디니아(Sardegna, Sardinia )",칸노나우 (Cannonau) 100%,,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈, 탕수육 과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"바비큐, 탕수육, 치즈",,,,,
"포지오 토르셀리, 키안티 클라시코","Poggio Torselli, Chianti Classico",https://www.wine21.com/13_search/wine_view.html?Idx=162918&lq=LIST,포지오 토르셀리  Poggio Torselli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) 100%,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,족발,Chianti Classico DOCG(DOP),14~15 %,*2019 빈티지: Wines critic 92점,,
"포지오 토르셀리, 키안티 클라시코 리제르바","Poggio Torselli, Chianti Classico Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=162919&lq=LIST,포지오 토르셀리  Poggio Torselli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) 100%,,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,3/5,,"양고기, 치즈",Chianti Classico DOCG(DOP),14~15 %,*2019 빈티지: Wines critic 96점,,
"포지오 토르셀리, 키안티 클라시코 그란 셀레지오네","Poggio Torselli, Chianti Classico Gran Selezione",https://www.wine21.com/13_search/wine_view.html?Idx=162920&lq=LIST,포지오 토르셀리  Poggio Torselli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) 100%,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,4/5,4/5,4/5,,양갈비,Chianti Classico DOCG(DOP),14~15 %,,,
"포지오 토르셀리, 토르셀리노 델 포지오","Poggio Torselli, Torsellino del Poggio",https://www.wine21.com/13_search/wine_view.html?Idx=162921&lq=LIST,포지오 토르셀리  Poggio Torselli [B2B],이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 50% / 메를로 (Merlot) 50%,,16~18 ℃,"스테이크, 로스트비프, 포크, 바비큐, 그릴요리, 오리고기, 프로슈토, 라자냐, 파스타, 피자, 수육 과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"프로슈토, 오리고기, 수육",Toscana IGT(IGP),,,,
"포지오 토르셀리, 라니에로","Poggio Torselli, Raniero",https://www.wine21.com/13_search/wine_view.html?Idx=162922&lq=LIST,포지오 토르셀리  Poggio Torselli [B2B],이탈리아(Italy) / 토스카나(Toscana),메를로 (Merlot) 100%,,16~18 ℃,"붉은육류, 로스트비프, 훈제오리, 바비큐, 소시지, 수육, 다양한 치즈, 파스타, 피자 와 잘 어울린다.",,1/5,3/5,3/5,3/5,,"훈제오리, 수육, 치즈",Toscana IGT(IGP),,,,
"포지오 토르셀리, 티에리 델 푸라","Poggio Torselli, Tieri del Fula",https://www.wine21.com/13_search/wine_view.html?Idx=162923&lq=LIST,포지오 토르셀리  Poggio Torselli [B2B],이탈리아(Italy) / 토스카나(Toscana),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,17~19 ℃,"스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 양념갈비, 족발, 살라미, 프로슈토, 파스타, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"바비큐, 양갈비, 파스타",Toscana IGT(IGP),,,,
"포지오 토르셀리, 빈 산토 델 키안티 클라시코","Poggio Torselli, Vin Santo del Chianti Classico",https://www.wine21.com/13_search/wine_view.html?Idx=162924&lq=LIST,포지오 토르셀리  Poggio Torselli [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),트레비아노 (Trebbiano) 50% / 말바시아 (Malvasia) 50%,,7~9 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",,5/5,3/5,5/5,1/5,,샐러드,Vin Santo del Chianti Classico DOC(DOP),,,,
