와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,추천음식
"도멘 라파주, 미라플로어 로제","Domaine Lafage, Miraflors Rose",https://www.wine21.com/13_search/wine_view.html?Idx=174680&lq=LIST,도멘 라파주  Domaine Lafage,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 그리 (Grenache Gris) / 그르나슈 누아  (Grenache Noir) / 무르베드르 (Mourvedre),,Cotes Catalanes IGP,16℃에서 발효를 진행하고 과실향을 극대화 하기 위해 공기 접촉을 최소화. 4개월 동안 lees 컨택 후 병입.,,8~10 ℃,,,1/5,3/5,1/5,2/5,"딸기, 크랜베리, 시트러스, 오렌지, 감귤, 미네랄, 허브","베이컨, 건육, 닭강정, 후라이드, 치킨, 해산물, 조개구이, 떡볶이, 만두, 볶음밥, 수육, 오일파스타, 중국요리, 동남아요리, 아시아요리, 과일",,
"라인 39, 쁘띠 시라","Line 39, Petite Sirah",https://www.wine21.com/13_search/wine_view.html?Idx=174681&lq=LIST,라인 39  Line 39,미국(U.S.A) / 캘리포니아(California),쁘띠 시라  (Petite Sirah),Californian Petite Sirah,,스테인레스 스틸 탱크 발효,프렌치 오크 배럴 숙성,16~18 ℃,,,1/5,3/5,4/5,4/5,"구즈베리, 블랙체리, 블루베리, 자두, 밀싹, 바닐라, 허브, 오크","소고기, 바비큐, 돼지고기, 양갈비, 보쌈, 불고기, 양념갈비, 갈비찜, 파스타, 고다, 브리, 까망베르",13~14 %,
"슬램 덩크, 레드","Slam Dunk, Red",https://www.wine21.com/13_search/wine_view.html?Idx=174682&lq=LIST,슬램 덩크  Slam Dunk,미국(U.S.A) / 캘리포니아(California),쁘띠 시라  (Petite Sirah) / 진판델 (Zinfandel),Californian Red Blend,,,,16~18 ℃,,롯데칠성음료,1/5,2/5,5/5,3/5,"블랙체리, 블랙베리, 라스베리, 자두, 제비꽃, 바닐라, 토스트, 초콜릿","소고기, 스테이크, 육류요리, 바비큐, 양갈비, 불고기, 양념갈비, 족발, 햄버거, 피자, 치즈, 브리, 스모크",14~15 %,
벅셱 버번 배럴 레드 블렌드,Buck Shack Bourbon Barrel Red Blend,https://www.wine21.com/13_search/wine_view.html?Idx=174683&lq=LIST,샤논 릿지  Shannon Ridge,미국(U.S.A) / 캘리포니아(California) / 레이크 카운티(Lake County),쁘띠 시라  (Petite Sirah) / 시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot) / 바르베라 (Barbera) / 카베르네 프랑 (Cabernet Franc),Californian Red Blend,,,,16~18 ℃,,,1/5,3/5,5/5,3/5,"블랙베리, 체리, 블루베리, 바닐라, 정향, 초콜릿, 오크","스테이크, 육류요리, 바비큐, 양갈비, 불고기, 양념갈비, 갈비찜, 파스타, 치즈, 고다, 브리, 콩테, 스모크",14~15 %,
"오드랏, 쁘띠 시라 쁘띠 베르도","Odd Lot, Petite Sirah Petit Verdot",https://www.wine21.com/13_search/wine_view.html?Idx=174684&lq=LIST,오드랏 와인  Odd Lot Wine,미국(U.S.A) / 캘리포니아(California) / 몬터레이 카운티(Monterey County),쁘띠 베르도 (Petit Verdot) / 쁘띠 시라  (Petite Sirah),Californian Petite Sirah,,,,16~18 ℃,* VIVINO – 3.8* 2016 빈티지 - IWSC 2019 – Bronze Medal,,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 무화과, 자두, 연기","스테이크, 육류요리, 양고기, 불고기, 양념갈비, 갈비찜, 파스타, 햄버거, 자두, 치즈, 파르미지아노, 고다, 브리, 그라노파다노",13~14 %,
"실레누스 와이너리, 타이로스 까베르네 소비뇽","Silenus Winery, Tyros Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=174685&lq=LIST,실레누스 와이너리  Silenus Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),Californian Cabernet Sauvignon,,,"50% 새 프렌치 오크통, 10% 새 아메리칸 오크통, 40% 재사용 오크통에서 22개월간 숙성.",16~18 ℃,,동원와인플러스,1/5,3/5,4/5,3/5,"블랙체리, 무화과, 자두, 바닐라, 삼나무, 코코아, 오크","소고기, 스테이크, 양갈비, 양고기, 건육, 불고기, 갈비찜, 파스타, 햄버거, 피자, 치즈, 파르미지아노, 체다, 고다, 그라노파다노, 콩테",14~15 %,
"로저 구라트, 엑스트라 브륏 아트인더글라스","Roger Goulart, Extra Brut Art in The Glass",https://www.wine21.com/13_search/wine_view.html?Idx=174686&lq=LIST,로저 구라트  Roger Goulart,스페인(Spain) / 페네데스(Penedes),자렐로 (Xarel.lo) / 마카베오 (Macabeo) / 빠레야다 (Parellada),Spanish Cava,Cava DO(DOP),전통 방식 사용,최소 24개월 숙성해 깊은 풍미를 더하는 리제르바 등급,6~8 ℃,* 순수 미술 작가 Jason Kim의 「Mind Scape」 – Spiral 작품을 콜라보로 만든 Art in the Glass 1st 스페셜 & 리미티드 까바,(주)와이넬,1/5,4/5,2/5,1/5,"시트러스, 오렌지, 감귤, 흰꽃, 꽃, 페이스트리","베이컨, 건육, 양념치킨, 닭강정, 후라이드, 치킨, 초밥, 생선회, 해산물, 만두, 식전주, 샐러드, 과일, 치즈, 리코타, 크림치즈",,"다양한 에피타이저, 후라이드 치킨, 스시, 만두 등과 잘 어울린다."
"알랭 좀므, 따벨 '르 크레타쎄'","Alain Jaume, Tavel 'Le Cretace'",https://www.wine21.com/13_search/wine_view.html?Idx=174687&lq=LIST,알랭 좀므 에 피스  Alain Jaume & Fils,프랑스(France) / 론(Rhone) / 따벨(Tavel),그르나슈 누아  (Grenache Noir) / 시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre),Southern Rhône Rosé,Tavel AOC(AOP),"스테인리스 탱크를 사용. 100% 제경 후 24시간 저온 침용. 알코올 발효 18도 온도에서 진행, 젖산 발효 하지 않음.",,10~12 ℃,,하이트진로,1/5,3/5,3/5,2/5,"체리, 딸기, 장미, 허브","바비큐, 건육, 닭강정, 훈제오리, 닭고기, 생선구이, 생선조림, 장어구이, 조개구이, 편육, 만두, 수육, 중국요리, 동남아요리, 아시아요리, 치즈, 리코타",,"매콤하게 구워낸 닭 요리, 구운 생선 요리, 그리고 다양한 아시안 음식과 잘 어울린다."
"몽무쏘, 크레망 드 루아르 브뤼","Monmousseau, Cremant de Loire Brut",https://www.wine21.com/13_search/wine_view.html?Idx=174688&lq=LIST,몽무쏘  Monmousseau,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine),카베르네 프랑 (Cabernet Franc) 40% / 샤르도네 (Chardonnay) 30% / 피노 누아 (Pinot Noir) 10% / 슈냉 블랑 (Chenin Blanc) 10% / 피노 도니 (Pineau d'Aunis) 10%,French Crémant,Crémant de Loire AOC(AOP),,24개월 숙성,8~10 ℃,* Non Vintage -  루아르 바이어 셀렉션 (LOIRE BUYERS' SELECTION) 96 pts* Non Vintage -  DECANTER SILVER MEDAL,(주)인디펜던트리쿼코리아,1/5,4/5,2/5,1/5,"살구, 사과, 시트러스, 오렌지, 미네랄, 페이스트리, 토스트","소시지, 건육, 가금류, 초밥, 생선회, 해산물, 동남아요리, 아시아요리, 튀김, 식전주, 치즈, 콩테",,
"몽무쏘, 브뤼 에뚜알","Monmousseau, Brut Etoile",https://www.wine21.com/13_search/wine_view.html?Idx=174690&lq=LIST,몽무쏘  Monmousseau,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine),슈냉 블랑 (Chenin Blanc) / 기타 품종 (Other Grapes),French Crémant,Crémant de Loire AOC(AOP),,12 개월 숙성,8~10 ℃,,(주)인디펜던트리쿼코리아,1/5,4/5,2/5,1/5,"모과, 서양배, 사과, 오렌지, 흰꽃, 꽃, 꿀","꼬치구이, 소시지, 건육, 후라이드, 가금류, 초밥, 생선회, 해산물, 오일파스타, 중국요리, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 견과류, 치즈, 리코타",,
"보데가스 이시드로 밀라그로, 엘 뿔뽀 오르가닉 샤르도네","Bodegas Isidro Milagro, El Pulpo Organic Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=174691&lq=LIST,보데가스 이시드로 밀라그로  Bodegas Isidro Milagro,스페인(Spain) / 라 만차(La Mancha),샤르도네 (Chardonnay) 100%,Spanish Chardonnay,,,,8~10 ℃,,레드와인앤제이와이,1/5,3/5,3/5,1/5,"살구, 복숭아, 배, 감귤, 꽃","꼬치구이, 돼지고기, 건육, 가금류, 연어, 참치, 해산물, 편육, 피자, 중국요리, 복숭아",12~13 %,"참치, 연어, 해산물, 문어, 돼지고기, 가금류와 잘 어울린다."
"보데가스 라라, 트레스 제네라시오네스 엘 아르키텍토","Bodegas Lara, Tres Generaciones El Arquitecto",https://www.wine21.com/13_search/wine_view.html?Idx=174692&lq=LIST,보데가스 라라  Bodegas Lara,스페인(Spain) / 시에라 데 말라가(Sierras de Malaga),카베르네 소비뇽 (Cabernet Sauvignon) / 시라/쉬라즈 (Syrah/Shiraz) / 템프라니요 (Tempranillo),Spanish Cabernet Sauvignon,Sierras de Málaga DO(DOP),,프렌치 오크 12개월 숙성,16~18 ℃,,,1/5,3/5,4/5,4/5,"체리, 라스베리, 자두, 오렌지, 레몬껍질, 건포도, 미네랄, 후추, 로즈마리, 페이스트리, 토스트","소고기, 스테이크, 양갈비, 양고기, 불고기, 갈비찜, 족발, 한국음식, 라자냐, 리조토, 치즈",14 %,"스테이크, 양고기, 한국음식, 치즈 등과 잘 어울린다."
"트레스 제네라시오네스, 라데파","Tres Generaciones, La Depa",https://www.wine21.com/13_search/wine_view.html?Idx=174693&lq=LIST,보데가스 라라  Bodegas Lara,스페인(Spain) / 말라가(Malaga),가르나차  (Garnacha) 100%,Spanish Grenache,,스테인리스스틸 발효,,16~18 ℃,* 2019빈티지 : H&T Wine Award Best Young Wine,국순당 / 레드와인앤제이와이,1/5,3/5,3/5,3/5,"블랙베리, 딸기, 라스베리, 건포도, 젖은흙","소고기, 스테이크, 바비큐, 돼지고기, 건육, 불고기, 한국음식, 순대, 피자, 치즈, 체다, 고다",14~15 %,"소고기, 스테이크, 한국음식과 잘 어울린다."
"프라텔리 세리오 & 바티스타  보르고뇨, 그라파 디 바롤로 칸누비","Fratelli Serio & Battista Borgogno, Grappa di Barolo Cannubi",https://www.wine21.com/13_search/wine_view.html?Idx=174694&lq=LIST,프라텔리 세리오 & 바티스타 보르고뇨  Fratelli Serio & Battista Borgogno,이탈리아(Italy) / 피에몬테(Piemonte) / 바롤로(Barolo) / 칸누비(Cannubi),네비올로 (Nebbiolo),,,,,16~18 ℃,"* 1차: 특수 증류기(Disalcolatore)에서 향, 알코올을 분리한 Flemma(20% Vol.)을 만들어 냄.* 2차: 연속 증류 장치를 통과하여 부정적인 휘발성 물질을 제거한 76% 의 순수 그라파 원액 생산.* 숙성: 강철 통에서 몇 달 보관 후 4,000~6,000리터의 대형 오크통에서 12개월, 작은 오크(토노)로 옮겨 추가 12개월 숙성.",레드와인앤제이와이,1/5,2/5,5/5,2/5,"삼나무, 오크","스튜, 스테이크, 양갈비, 건육, 양념갈비, 갈비찜, 중국요리, 버섯, 트러플, 과일, 견과류, 치즈",40 %,"양갈비, 스테이크, 스튜, 갈비찜, 양념갈비, 버섯, 트러플, 건육, 라자냐, 리조또, 숙성 치즈 등과 잘 어울린다."
"파스칼 클레멍, 부르고뉴 샤도네이","Masion Pascal Clement, Bourgogne Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=174695&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,Burgundy White,,,오크 배럴 10개월 숙성.,10~12 ℃,,동원와인플러스,1/5,3/5,3/5,1/5,"청사과, 서양배, 아카시아, 흰꽃, 미네랄, 부싯돌, 허브, 헤이즐넛, 버터, 꿀","꼬치구이, 돼지고기, 건육, 생선구이, 흰살생선, 해산물, 만두, 오일파스타, 중국요리, 고다, 브리, 까망베르",,"흰살생선구이, 양파파이, 미트파이와 잘 어울린다."
"파스칼 클레멍, 사비니 레 본","Masion Pascal Clement, Savigny Les Beaune",https://www.wine21.com/13_search/wine_view.html?Idx=174696&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 사비니-레-본(Savigny-les-Beaune),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,Savigny-Lès-Beaune AOC(AOP),,,14~16 ℃,,동원와인플러스,1/5,4/5,3/5,2/5,"블랙베리, 체리, 크랜베리, 자두, 제비꽃, 후추, 타임","로스트비프, 까르파치오, 스테이크, 건육, 하몽, 오리고기, 가금류, 치킨, 불고기, 수육, 오일파스타, 크림파스타, 자두, 견과류, 치즈, 파르미지아노, 그라노파다노, 꽁떼",,"등심 스테이크, 하몽 플레이트, 양념치킨, 깐풍기와 잘 어울린다."
"파스칼 클레멍, 샤사뉴 몽라셰 프리미에 크뤼 라 말트루아","Pascal Clement, Chassagne-Montrachet 1er Cru La Maltroie",https://www.wine21.com/13_search/wine_view.html?Idx=174697&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,"Chassagne-Montrachet 1er Cru AOC(AOP), 'La Maltroie'",오가닉 재배를 통해 손 수확한 포도를 송이 째 직접 압착. 10~12시간동안 스테인리스 스틸 탱크에서 정제.,11개월 간 오크 배럴 숙성을 한 뒤 병 숙성.,8~10 ℃,,동원와인플러스,1/5,4/5,3/5,1/5,"라임, 레몬, 멜론, 꽃, 미네랄, 바닐라, 토스트, 크림","로스트비프, 까르파치오, 건육, 오리고기, 생선구이, 생선찜, 농어, 해산물, 랍스터, 어묵, 오일파스타, 중국요리, 아시아요리, 리코타, 크림치즈, 콩테",13~14 %,"농어 구이, 금태구이, 버터 랍스터찜, 오리꽁피와 잘 어울린다."
"파스칼 클레멍, 사비니 레 본 '귀에또뜨'","Pascal Clement, Savigny Les Beaune 'Guetottes'",https://www.wine21.com/13_search/wine_view.html?Idx=174698&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 사비니-레-본(Savigny-les-Beaune),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,Savigny-Lès-Beaune AOC(AOP),바토나쥬를 하지 않으며 MLF를 차단.,Lee 를 압축하여 배럴의 바닥에 자리 잡게 하여 앙금 숙성 실시.,12~14 ℃,,동원와인플러스,1/5,4/5,3/5,1/5,"배, 서양배, 사과, 레몬, 호두, 꿀","꼬치구이, 건육, 닭고기, 가금류, 생선구이, 해산물, 조개구이, 수육, 오일파스타, 중국요리, 동남아요리, 아시아요리, 체다, 고다, 브리",,"감자전, 클램차우더, 고르곤졸라피자, 유린기와 잘 어울린다."
"파스칼 클레멍, 사비니 레 본 프리미에 크뤼 오 세펑티에","Masion Pascal Clement, Savigny Les Beaune 1er Cru Aux Serpentieres",https://www.wine21.com/13_search/wine_view.html?Idx=174699&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 사비니-레-본(Savigny-les-Beaune),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,"Savigny-Lès-Beaune 1er Cru AOC(AOP), 'Aux Serpentières'",,프렌치 오크배럴 18개월,14~16 ℃,,동원와인플러스,1/5,4/5,3/5,2/5,"블랙커런트, 블랙베리, 체리, 라스베리, 제비꽃, 붉은꽃","그릴요리, 로스트비프, 스테이크, 꼬치구이, 푸아그라, 오리고기, 불고기, 족발, 크림파스타, 송이버섯, 치즈, 고다, 브리, 콩테",13~14 %,"채끝 스테이크, 팬에 구운 푸아그라, 오리꽁피와 잘 어울린다."
"파스칼 클레멍, 뫼르소 레 비레이","Masion Pascal Clement, Meursault Les Vireuils",https://www.wine21.com/13_search/wine_view.html?Idx=174700&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,"Meursault AOC(AOP), 'Les Vireuils'","송이째 직접압착, 10~12시간 스테인리스 스틸 탱크 정제, 배럴에서 알코올 발효.",,8~10 ℃,,동원와인플러스,1/5,3/5,3/5,1/5,"구즈베리, 청사과, 시트러스, 라임, 미네랄, 토스트, 아몬드","꼬치구이, 건육, 푸아그라, 오리고기, 닭고기, 가금류, 생선구이, 랍스터, 편육, 수육, 오일파스타, 중국요리, 동남아요리, 아시아요리, 샐러드",13~14 %,"푸아그라 무스, 숯불 생선구이, 닭갈비 구이와 잘 어울린다."
"파스칼 클레멍, 퓔리니 몽라셰 프리미에 크뤼 레 샬루모","Pascal Clement, Puligny-Montrachet 1er Cru Les Chalmeaux",https://www.wine21.com/13_search/wine_view.html?Idx=174701&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,"Puligny-Montrachet 1er Cru AOC(AOP), 'Les Chalumaux'",,배럴에서 16개월 숙성.,14~16 ℃,,동원와인플러스,1/5,3/5,3/5,1/5,"서양배, 레몬, 흰꽃, 꽃, 미네랄, 부싯돌, 아몬드","꼬치구이, 돼지고기, 푸아그라, 가금류, 생선구이, 흰살생선, 해산물, 랍스터, 만두, 볶음밥, 오일파스타, 중국요리, 아시아요리, 샐러드, 과일, 고다, 리코타, 모짜렐라",13~14 %,"푸아그라, 랍스터, 해산물요리와 잘 어울린다."
"파스칼 클레멍, 사샤뉴 몽라셰 프리미에 크뤼 레 보디네","Masion Pascal Clement, Chassagne Montrachet 1er Cru Les Baudines",https://www.wine21.com/13_search/wine_view.html?Idx=174702&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,"Chassagne-Montrachet 1er Cru AOC(AOP), 'Les Baudines'",,뉴 오크 배럴에서 30% 가량의 주스를 16개월 간 숙성. 젖산 발효 미실시.,12~14 ℃,* 2017 빈티지 - Anthony Gismondi 92점,동원와인플러스,1/5,4/5,3/5,1/5,"청사과, 서양배, 시트러스, 레몬껍질, 미네랄, 부싯돌, 헤이즐넛","꼬치구이, 오리로스, 가금류, 치킨, 장어구이, 해산물, 조개구이, 부각, 오일파스타, 중국요리, 새우튀김, 오징어튀김, 치즈",13~14 %,"관자버터구이, 가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타, 부각과  잘 어울린다."
"파스칼 클레멍, 부르고뉴 피노누아","Pascal Clement, Bourgogne Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=174703&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir) 100%,Burgundy Red,,,10개월 오크통 숙성.,14~16 ℃,,동원와인플러스,1/5,4/5,3/5,2/5,"체리, 딸기, 블루베리, 자두, 후추, 동물, 버섯, 나무이끼","로스트비프, 까르파치오, 꼬치구이, 건육, 하몽, 훈제오리, 꽁피, 불고기, 족발, 수육, 오일파스타, 크림파스타, 서양요리, 자두, 치즈, 파르미지아노, 그라노파다노, 콩테",,"하몽 샐러드, 미트파이, 오리꽁피와 잘 어울린다."
"파스칼 클레멍, 즈브레 샹베르땅","Pascal Clement, Gevrey Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=174704&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Nuits Red,Gevrey-Chambertin AOC(AOP),,18개월 배럴 숙성,14~16 ℃,,동원와인플러스,1/5,4/5,3/5,2/5,"딸기, 라스베리, 제비꽃, 장미, 붉은꽃, 감초, 삼나무, 가죽","송아지, 로스트비프, 까르파치오, 비프, 꼬치구이, 양꼬치, 양고기, 건육, 훈제오리, 불고기, 족발, 한식, 파스타, 피자, 치즈, 파르미지아노, 그라노파다노, 에뿌아쓰, 꽁떼",13~14 %,"비프 부르기뇽, 구운 양고기, 암소 요리와 잘 어울린다."
"피에르 베시굿, 생따무르 그항 드 풀리","Pierre Vessigaud, Saint-Amour Grain de Folio",https://www.wine21.com/13_search/wine_view.html?Idx=174705&lq=LIST,도멘 피에르 베시굿  Domaine Pierre Vessigaud,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 생-따무르(Saint-Amour),가메이 (Gamay),Beaujolais Red,,"오가닉 포도, 손 수확,  약 10일간 탄산침용. 이산화황 무첨가.",약 12개월 간 10년 산 올드 배럴에서 숙성.,14~16 ℃,,동원와인플러스,1/5,4/5,2/5,2/5,"체리, 딸기, 라스베리, 꽃","로스트비프, 까르파치오, 붉은육류, 바비큐, 소시지, 양꼬치, 건육, 찜닭, 가금류, 생선구이, 해산물, 한식, 편육, 만두, 수육, 오일파스타, 피자, 아시아요리, 리코타, 모짜렐라",13~14 %,"가금류 구이, 찜닭, 스테이크, 소고기, 갈비찜, 체다치즈, 파르미지아노치즈, 그라노파다노치즈, 콩테치즈와 잘 어울린다."
"마운트 플레젠트, 러브데일 세미용","Mount Pleasant, Lovedale Semillon",https://www.wine21.com/13_search/wine_view.html?Idx=174706&lq=LIST,마운트 플레젠트  Mount Pleasant,호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 헌터 밸리(Hunter Valley),세미용 (Semillon),,,,,8~10 ℃,,,1/5,3/5,2/5,1/5,"시트러스, 오렌지, 열대과일, 흰꽃, 미네랄","과일, 견과류, 치즈",11~12 %,
"파스칼 클레멍, 샤사뉴 몽라셰 프리미에 크뤼 레 비드 부스","Masion Pascal Clement, Chassagne-Montrachet 1er Cru Les Vide Bourse",https://www.wine21.com/13_search/wine_view.html?Idx=174707&lq=LIST,파스칼 클레멍  Pascal Clement,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,"Chassagne-Montrachet 1er Cru AOC(AOP), 'Vide Bourse'","송이째 직접압착, 스테인리스 스틸 탱크 10~12시간 정제. 천연효모 사용.","12~16개월 1차 숙성, 스테인리스 스틸 숙성분과 오크배럴분 혼합 후 1~2개월 추가 숙",8~10 ℃,,동원와인플러스,1/5,4/5,3/5,2/5,"배, 사과, 시트러스, 미네랄, 부싯돌, 아몬드","로스트비프, 까르파치오, 꼬치구이, 건육, 오리로스, 농어, 참치, 해산물, 만두, 어묵, 오일파스타, 중국요리, 아시아요리, 샐러드, 견과류, 치즈, 리코타, 모짜렐라",13~14 %,"농어구이, 해산물, 초당 옥수수를 활용한 요리와 잘 어울린다."
"다리우쉬, 레이트 하비스트 샤파르","Darioush, Late Harvest Shahpar",https://www.wine21.com/13_search/wine_view.html?Idx=174708&lq=LIST,다리우쉬  Darioush,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon),,,,,8~10 ℃,,와인투유코리아,4/5,2/5,3/5,1/5,"살구, 배, 오렌지, 잼, 꽃, 레몬그라스","동남아요리, 아시아요리, 매운음식, 샐러드, 과일, 견과류, 크림치즈, 모짜렐라, 타르트, 초콜릿, 푸딩, 티라미슈",11~12 %,디저트 류와 잘 어울린다.
"마담 뵈브 포인트, 부르고뉴 샤르도네","Madame Veuve Point, Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=174710&lq=LIST,마담 뵈브 포인트  Madame Veuve Point,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,Burgundy White,Bourgogne AOC(AOP),자연적인 미네랄리티를 보존하기 위해 스테인리스 스틸에서 온도 조절하여 발효.,,8~10 ℃,* 2015 빈티지 - International Wine Challenge Bronze 수상* 각기의 아펠라시옹에서 백악질(Chalky)과 석회암(Limestone)으로 구성된 토양에서 자란 샤르도네의 열매만을 수확하여 만든 와인이다. 자연적인 미네랄리티를 보존하기 위해 스테인리스 스틸에서 온도 조절하여 발효시킨다.,동원와인플러스,1/5,4/5,2/5,2/5,"청사과, 서양배, 레몬, 아카시아, 미네랄, 부싯돌","건육, 오리로스, 치킨, 생선구이, 해산물, 동그랑땡, 한식, 편육, 파스타, 아시아요리, 브리, 크림치즈, 모짜렐라",12~13 %,"바질 페스토 파스타, 동태전, 생선구이, 해산물 플레이트, 양파 타르트, 브리 치즈, 동그랑땡과 잘 어울린다."
"마담 뵈브 포인트, 룰리 블랑","Madame Veuve Point, Rully Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=174711&lq=LIST,마담 뵈브 포인트  Madame Veuve Point,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 륄리(Rully),샤르도네 (Chardonnay) 100%,Burgundy White,,섬세하게 온도 조절하는 양조조에서 발효.,절반은 오크 배럴에서 숙성.,12~14 ℃,* 2020 빈티지 - International Wine Challenge Bronze 수상.,동원와인플러스,1/5,4/5,3/5,2/5,"청사과, 살구, 복숭아, 서양배, 레몬, 아카시아, 꽃, 삼나무","오리고기, 가금류, 생선구이, 스시, 해산물, 부각, 만두, 복숭아, 꽁떼",12~13 %,"팬프라잉한 생선, 크림 소스를 곁들인 가금류 요리, 스시, 꽁떼 치즈, 부각, 만두와 잘 어울린다."
"마담 뵈브 포인트, 상트네 프리미에 크뤼 보르페르 블랑","Madame Veuve Point, Santenay 1er Cru Beaurepaire Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=174712&lq=LIST,마담 뵈브 포인트  Madame Veuve Point,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 상트네(Santenay),샤르도네 (Chardonnay),Burgundy Côte de Beaune White,Santenay 1er Cru AOC(AOP),손 수확.,오크 배럴에서 서서히 숙성.,12~14 ℃,"* Beaurepaire 포도밭은 상트네의 중심부에 위치해있다. 남동쪽 방향에 위치해 있어 포도가 완벽하게 숙성될 수 있으며, 자갈, 이회토, 석회석으로 구성된 토양에서는 포도에 구조감과 풍성함을 부여한다. 손 수확한 후 최상의 것만을 철저히 분류하며, 오크 배럴을 이용해 서서히 숙성시킨다.",동원와인플러스,1/5,4/5,3/5,2/5,"시트러스, 레몬, 아카시아, 꽃, 미네랄, 헤이즐넛, 삼나무","로스트비프, 까르파치오, 바비큐, 건육, 닭고기, 오리로스, 가금류, 치킨, 해산물, 랍스터, 조개구이, 편육, 순대, 수육, 오일파스타, 피자, 중국요리, 아시아요리, 치즈, 리코타, 크림치즈",12~13 %,"닭가슴살 스테이크, 고기스튜(Fricasses), 크림소스를 곁들인 랍스터 구이, 리코타치즈, 크림치즈, 순대와 잘 어울린다."
