와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급,알코올,숙성,양조
"아그리베르드, 몬테풀치아노 다브루쪼 피아네 디 마찌오","Agriverde, Montepulciano d'Abruzzo Piane di Maggio",https://www.wine21.com/13_search/wine_view.html?Idx=166204&lq=LIST,아그리베르드  Agriverde,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 양고기, 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,4/5,,"양고기, 치즈",,Montepulciano d'Abruzzo DOC(DOP),,,
"아그리베르드, 몬테풀치아노 다브루쪼 솔라리아","Agriverde, Montepulciano d'Abruzzo Solarea",https://www.wine21.com/13_search/wine_view.html?Idx=166205&lq=LIST,아그리베르드  Agriverde,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 양고기, 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,4/5,,"양고기, 치즈",,Montepulciano d'Abruzzo DOC(DOP),,,
"아그리베르드, 몬테풀치아노 다브루쪼 플라테오 리제르바","Agriverde, Montepulciano d'Abruzzo Plateo Ris.",https://www.wine21.com/13_search/wine_view.html?Idx=166206&lq=LIST,아그리베르드  Agriverde,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 양고기, 훈제오리, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,3/5,4/5,3/5,,"양고기, 훈제오리, 치즈",,Montepulciano d'Abruzzo DOC(DOP),,,
"아그리베르드, 몬테풀치아노 다브루쪼 에이코스","Agriverde, Montepulciano d'Abruzzo Eikos",https://www.wine21.com/13_search/wine_view.html?Idx=166207&lq=LIST,아그리베르드  Agriverde,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 양고기, 훈제오리, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,3/5,,"양고기, 훈제오리, 치즈",,Montepulciano d'Abruzzo DOC(DOP),,,
"안드레올라, 발도비아데네 리베 디 콜 산 마르티노 브뤼 26 프리모","Andreola, Valdobbiadene Rive di Col San Martino Brut 26 Primo",https://www.wine21.com/13_search/wine_view.html?Idx=166208&lq=LIST,안드레올라  Andreola,이탈리아(Italy) / 베네토(Veneto) / 발도비아데네(Valdobbiadene),글레라 (Glera),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"안드레올라, 피 디 트레비소 베르브 익스트라 드라이","Andreola, P. di Treviso Verv Extra Dry",https://www.wine21.com/13_search/wine_view.html?Idx=166209&lq=LIST,안드레올라  Andreola,이탈리아(Italy) / 트레비조(Treviso),글레라 (Glera),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"안드레올라, 발도비아데네 브뤼 디루포","Andreola, Valdobbiadene Brut Dirupo",https://www.wine21.com/13_search/wine_view.html?Idx=166210&lq=LIST,안드레올라  Andreola,이탈리아(Italy) / 베네토(Veneto) / 발도비아데네(Valdobbiadene),글레라 (Glera),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"안드레올라, 발도비아데네 리베 디 솔리고 엑스트라 드라 마스 데 페르이","Andreola, Valdobbiadene Rive di Soligo Extra Dry Mas de Fer",https://www.wine21.com/13_search/wine_view.html?Idx=166211&lq=LIST,안드레올라  Andreola,이탈리아(Italy) / 베네토(Veneto) / 발도비아데네(Valdobbiadene),글레라 (Glera),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"바롤로, 프랭크!","Barollo, Frank!",https://www.wine21.com/13_search/wine_view.html?Idx=166212&lq=LIST,바롤로  Barollo,이탈리아(Italy) / 베네토(Veneto),카베르네 프랑 (Cabernet Franc),,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"스테이크, 양갈비",,,,,
"바롤로, 샤르도네","Barollo, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=166213&lq=LIST,바롤로  Barollo,이탈리아(Italy) / 베네토(Veneto),샤르도네 (Chardonnay),,10~12 ℃,"흰살생선, 생선구이, 해산물, 샐러드, 건육, 하몽, 프로슈토, 동남아요리, 파스타 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"해산물, 파스타, 동남아요리, 샐러드",,,,,
"바롤로, 프로세코 디 트레비소 브뤼","Barollo, Prosecco di Treviso Brut",https://www.wine21.com/13_search/wine_view.html?Idx=166214&lq=LIST,바롤로  Barollo,이탈리아(Italy) / 트레비조(Treviso),글레라 (Glera),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"바롤로, 베네지아 메를로 프라터","Barollo, Venezia Merlot Frater",https://www.wine21.com/13_search/wine_view.html?Idx=166215&lq=LIST,바롤로  Barollo,이탈리아(Italy) / 베네토(Veneto),메를로 (Merlot),,16~18 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,,"붉은육류, 파스타, 치즈",,,,,
"바타시올로, 바르베라 달바 소브라나","Batasiolo, Barbera d'Alba Sovrana",https://www.wine21.com/13_search/wine_view.html?Idx=166216&lq=LIST,바타시올로   Batasiolo [Beni di Batasiolo],이탈리아(Italy) / 피에몬테(Piemonte) / 알바(Alba),바르베라 (Barbera),,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,3/5,3/5,2/5,,족발,,Barbera d'Alba DOC(DOP),,,
"바타시올로, 네비올로 달바 수페리오레","Batasiolo, Nebbiolo d'Alba Sup.",https://www.wine21.com/13_search/wine_view.html?Idx=166217&lq=LIST,바타시올로   Batasiolo [Beni di Batasiolo],이탈리아(Italy) / 피에몬테(Piemonte) / 알바(Alba),네비올로 (Nebbiolo),,16~18 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,3/5,4/5,,"붉은육류, 파스타, 치즈",,Nebbiolo d'Alba DOC(DOP),,,
"바르톨로미올, 발도비아데네 브뤼 프리오","Bortolomiol, Valdobbiadene Brut Prior",https://www.wine21.com/13_search/wine_view.html?Idx=166218&lq=LIST,바르톨로미올  Bortolomiol,이탈리아(Italy) / 베네토(Veneto) / 발도비아데네(Valdobbiadene),글레라 (Glera),,7~9 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"바르톨로미올, 발도비아데네 익스트라 드라이 반다 로싸","Bortolomiol, Valdobbiadene Extra Dry Banda Rossa",https://www.wine21.com/13_search/wine_view.html?Idx=166219&lq=LIST,바르톨로미올  Bortolomiol,이탈리아(Italy) / 베네토(Veneto) / 발도비아데네(Valdobbiadene),글레라 (Glera),,7~9 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"바르톨로미올, 발도비아데네 브뤼 리베 산 피에트로 디 바르보짜 그란데 퀴베 델 폰다토레 모터스 비타이","Bortolomiol, Valdobbiadene Brut Rive San Pietro di Barbozza Grande Cuvee del Fondatore Motus Vitae",https://www.wine21.com/13_search/wine_view.html?Idx=166220&lq=LIST,바르톨로미올  Bortolomiol,이탈리아(Italy) / 베네토(Veneto) / 발도비아데네(Valdobbiadene),글레라 (Glera),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,,
"바르톨로미올, 카르티제","Bortolomiol, Cartizze",https://www.wine21.com/13_search/wine_view.html?Idx=166221&lq=LIST,바르톨로미올  Bortolomiol,이탈리아(Italy) / 베네토(Veneto) / 발도비아데네(Valdobbiadene),글레라 (Glera),,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,2/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,Valdobbiadene Superiore di Cartizze DOCG(DOP),,,
"칸티나 톨로, 트레비아노 다브로쪼 트레","Cantina Tollo, Trebbiano d'Abruzzo Tre",https://www.wine21.com/13_search/wine_view.html?Idx=166222&lq=LIST,칸티나 톨로  Cantina Tollo,이탈리아(Italy) / 아브루쪼(Abruzzo),트레비아노 (Trebbiano),,10~12 ℃,"생선회, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,,,,,,
"칸티나 톨로, 체라수올로 다브루쪼 헤도스","Cantina tollo, Cerasuolo d'Abruzzo Hedos",https://www.wine21.com/13_search/wine_view.html?Idx=166223&lq=LIST,칸티나 톨로  Cantina Tollo,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,11~13 ℃,"돼지고기, 닭고기, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"닭고기, 치즈",,,,,
"칸티네 세테솔리, 시칠리아 만드라로싸 카르타호","Cantine Settesoli, Sicilia Mandrarossa Cartagho",https://www.wine21.com/13_search/wine_view.html?Idx=166225&lq=LIST,칸티네 세테솔리  Cantine Settesoli,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 육포, 초리조, 프로슈토, 난자완스, 불고기, 족발, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,"바비큐, 양갈비, 훈제오리, 파스타, 난자완스",,,,,
"칸티네 세테솔리, 시칠리아 네로 다볼라 떼레 델 소마꼬","Cantine Settesoli, Sicilia Nero d'Avola Terre del Sommacco",https://www.wine21.com/13_search/wine_view.html?Idx=166226&lq=LIST,칸티네 세테솔리  Cantine Settesoli,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 육포, 초리조, 프로슈토, 난자완스, 불고기, 족발, 파스타와 잘 어울린다.",,1/5,4/5,4/5,3/5,,"바비큐, 양갈비, 훈제오리, 파스타, 난자완스",,,,,
"칸티네 세테솔리, 시칠리아 만드라로싸 보네라","Cantine Settesoli, Sicilia Mandrarossa Bonera",https://www.wine21.com/13_search/wine_view.html?Idx=166227&lq=LIST,칸티네 세테솔리  Cantine Settesoli,이탈리아(Italy) / 시칠리아(Sicilia),카베르네 소비뇽 (Cabernet Sauvignon) / 네로 다볼라 (Nero d'Avola),,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 육포, 초리조, 프로슈토, 난자완스, 불고기, 족발, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,"바비큐, 양갈비, 훈제오리, 파스타, 난자완스",,,,,
"칸티네 세테솔리, 코스타두네 만드라로싸 네로 다볼라","Cantine Settesoli, Costadune Mandrarossa Nero d'Avola",https://www.wine21.com/13_search/wine_view.html?Idx=166228&lq=LIST,칸티네 세테솔리  Cantine Settesoli,이탈리아(Italy) / 시칠리아(Sicilia),네로 다볼라 (Nero d'Avola),,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 육포, 초리조, 프로슈토, 난자완스, 불고기, 족발, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,"바비큐, 양갈비, 훈제오리, 파스타, 난자완스",,,,,
"콜레 마사리, 몬테쿠코 산지오베제 포지오 롬브로네 리제르바","Colle Massari, Montecucco Sangiovese Poggio Lombrone Ris.",https://www.wine21.com/13_search/wine_view.html?Idx=166229&lq=LIST,콜레 마사리  Colle Massari,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 훈제오리, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,"양고기, 훈제오리, 치즈",,Montecucco DOC(DOP),,,
"코피, 시니스칼코 프리미티보","Coppi, Siniscalco Primitivo",https://www.wine21.com/13_search/wine_view.html?Idx=166230&lq=LIST,코피  Coppi,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,2/5,2/5,5/5,3/5,,"살라미, 견과류, 치즈",,Gioia del Colle DOC(DOP),,,
"쿠수마노, 메를로","Cusumano, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=166231&lq=LIST,쿠수마노  Cusumano,이탈리아(Italy) / 시칠리아(Sicilia),메를로 (Merlot),,16~18 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,,"붉은육류, 파스타, 치즈",,,,,
"체키, 키안티 클라시코 그란 셀레지오네 빌라 로사","Cecchi, Chianti Cl. Gran Selezione Villa Rosa",https://www.wine21.com/13_search/wine_view.html?Idx=166232&lq=LIST,체키  Cecchi,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 훈제오리, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,3/5,,"양고기, 훈제오리, 치즈",,Chianti Classico DOCG(DOP),,,
"체키, 몬테팔코 사그란티노 라 깜파나","Cecchi, Montefalco Sagrantino La Campana",https://www.wine21.com/13_search/wine_view.html?Idx=166233&lq=LIST,체키  Cecchi,이탈리아(Italy) / 움브리아(Umbria) / 몬테팔코(Montefalco),사그란티노 (Sagrantino),,17~19 ℃,"로스트비프, 수육, 족발, 라자냐, 리조토, 파스타, 다양한 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,,치즈,,Montefalco Sagrantino DOCG(DOP),,,
"파밀리아 코타렐라, 소다레 메를로","Famiglia Cotarella, Sodale Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=166234&lq=LIST,파밀리아 코타렐라  Famiglia Cotarella,이탈리아(Italy) / 라치오(Lazio),메를로 (Merlot),,17~19 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,"붉은육류, 파스타, 치즈",,,,,
"페우디 디 산 그레고리오, 팔랑기나 델 사니오","Feudi di San Gregorio, Falanghina del Sannio",https://www.wine21.com/13_search/wine_view.html?Idx=166236&lq=LIST,페우디 [페우디 디 산 그레고리오]  Feudi [Feudi di San Gregorio],이탈리아(Italy) / 깜빠니아(Campania),팔랑기나 (Falanghina),,10~12 ℃,"로스트 치킨, 훈제 연어, 해산물, 다양한 치즈, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"치킨, 연어, 해산물, 파스타, 치즈",,Falanghina del Sannio DOC(DOP),,,
"프레스코발디, 페라노 키안티 클라시코 그란 셀레지오네 ' 리알지'","Frescobaldi, Perano Chianti Classico Gran Selezione 'Rialzi'",https://www.wine21.com/13_search/wine_view.html?Idx=166238&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese),,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 족발, 라자냐, 파스타와 잘 어울린다.",신세계엘앤비,1/5,4/5,4/5,4/5,,족발,"*생산량: 15,000병",Chianti Classico DOCG(DOP),14~15 %,,
"프레스코발디, 포미노 베네피치오 리제르바","Frescobladi, Pomino Benefizio Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=166239&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay),,8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,2/5,1/5,,"해산물, 수육, 탕수육, 치즈",,Pomino DOC(DOP),14~15 %,,
"르 몽드, 프리울리 피노 비앙코","Le Monde, Friuli Pinot Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=166241&lq=LIST,르 몽드  Le Monde,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),피노 블랑 (Pinot Blanc),,10~12 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,Friuli Grave DOC(DOP),,,
"르 몽드, 그라베 레포스코 P. R 이나코 리제르바","Le Monde, Grave Refosco P. R Inaco Ris.",https://www.wine21.com/13_search/wine_view.html?Idx=166242&lq=LIST,르 몽드  Le Monde,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),레포스코 (Refosco),,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,"양고기, 치즈",,Friuli Grave DOC(DOP),,,
"레 로께 말라테스티아네, 산지오베제 수페리오레 트레 미라콜리","Le Rocche Malatestiane, Sangiovese Sup. Tre Miracoli",https://www.wine21.com/13_search/wine_view.html?Idx=166243&lq=LIST,레 로께 말라테스티아네   Le Rocche Malatestiane,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),산지오베제 (Sangiovese),,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 훈제오리, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,"양고기, 훈제오리, 치즈",,,,,
"레 로께 말라테스티아네, 스푸만테 브뤼 M 클라시코","Le Rocche Malatestiane, Spumante Brut M. Cl.",https://www.wine21.com/13_search/wine_view.html?Idx=166244&lq=LIST,레 로께 말라테스티아네   Le Rocche Malatestiane,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),그레케토 비앙코 (Grechetto Bianco),,6~8 ℃,"전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"스시, 해산물, 전채요리, 스낵",,Rubicone IGT(IGP),,,
"리본, 콜리오 소비뇽 발부인스","Livon, Collio Sauvignon Valbuins",https://www.wine21.com/13_search/wine_view.html?Idx=166245&lq=LIST,리본  Livon,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),소비뇽 블랑 (Sauvignon Blanc),,8~10 ℃,"회, 스시, 연어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,,,Collio DOC(DOP),,,
"리본, 브라이데 알테","Livon, Braide Alte",https://www.wine21.com/13_search/wine_view.html?Idx=166246&lq=LIST,리본  Livon,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),피콜리 (Picolit) / 샤르도네 (Chardonnay) / 소비뇽 블랑 (Sauvignon Blanc) / 모스카토 지알로 (Moscato Giallo),,10~12 ℃,"참치, 연어, 해산물, 새우, 다양한 치즈, 프로슈토, 피자, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"프로슈토, 치즈",,,,,
보르고 살체티노 키안티 클라시코 루카렐로 리제르바,Borgo Salcetino Chianti Cl. Lucarello Ris.,https://www.wine21.com/13_search/wine_view.html?Idx=166247&lq=LIST,리본  Livon,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 훈제오리, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,3/5,3/5,,"양고기, 훈제오리, 치즈",,Chianti Classico DOCG(DOP),,,
파토리아 콜산토 몬테팔코 사그란티노,Fattoria Colsanto Montefalco Sagrantino,https://www.wine21.com/13_search/wine_view.html?Idx=166248&lq=LIST,리본  Livon,이탈리아(Italy) / 움브리아(Umbria) / 몬테팔코(Montefalco),사그란티노 (Sagrantino),,17~19 ℃,"로스트비프, 수육, 족발, 라자냐, 리조토, 파스타, 다양한 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,,치즈,,Montefalco Sagrantino DOCG(DOP),,,
"몬테 델레 비네, 콜리 디 파르마 로쏘 MDV","Monte delle Vigne, Colli di Parma Rosso MDV",https://www.wine21.com/13_search/wine_view.html?Idx=166249&lq=LIST,몬테 델레 비네  Monte delle Vigne,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),바르베라 (Barbera),,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,2/5,2/5,,족발,,Colli di Parma DOC(DOP),,,
"파올로 레오, 타코로쏘 네그로아마로","Paolo Leo, Taccorosso Negroamaro",https://www.wine21.com/13_search/wine_view.html?Idx=166250&lq=LIST,파올로 레오  Paolo Leo,이탈리아(Italy) / 뿔리아(Puglia),네그로아마로 (Negroamaro),,16~18 ℃,"양갈비, 양고기, 스테이크, 살라미, 견과류, 말린과일 과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"스테이크, 살라미, 견과류",,Puglia IGT(IGP),,,
"파올로 레오, 프리미티보 디 만두리아 파쏘 델 카디날레","Paolo Leo, Primitivo di Manduria Passo del Cardinale",https://www.wine21.com/13_search/wine_view.html?Idx=166251&lq=LIST,파올로 레오  Paolo Leo,이탈리아(Italy) / 뿔리아(Puglia) / 만두리아(Manduria),프리미티보 (Primitivo),,17~19 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,1/5,3/5,5/5,3/5,,"살라미, 견과류, 치즈",,Primitivo di Manduria DOC(DOP),,,
"파올로 레오, 알투레 미누톨로","Paolo Leo, Alture Minutolo",https://www.wine21.com/13_search/wine_view.html?Idx=166252&lq=LIST,파올로 레오  Paolo Leo,이탈리아(Italy) / 뿔리아(Puglia),미누톨로  (Minutolo),,10~12 ℃,"참치, 연어, 회, 스시, 해산물, 건육, 살라미, 하몽, 피자, 스낵 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"해산물, 피자, 스낵",,,,,
"파스쿠아, 발폴리첼라 수페리오레 마이 디레 마이","Pasqua, Valpolicella Sup. Mai dire Mai",https://www.wine21.com/13_search/wine_view.html?Idx=166253&lq=LIST,파스쿠아  Pasqua,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),론디넬라 (Rondinella) / 몰리나라 (Molinara) / 코르비나 (Corvina),,16~18 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,,"붉은육류, 파스타, 치즈",,Valpolicella DOC(DOP),,,
"파스쿠아, 파씨멘토 로쏘","Pasqua, Passimento Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=166254&lq=LIST,파스쿠아  Pasqua,이탈리아(Italy) / 베네토(Veneto),메를로 (Merlot) / 코르비나 (Corvina) / 크로아티나 (Croatina),,16~18 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 파스타, 치즈",,,,,
"포데레 라 레골라, 레 레골라","Podere La Regola, Le Regola",https://www.wine21.com/13_search/wine_view.html?Idx=166255&lq=LIST,포데레 라 레골라  Podere La Regola,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 훈제오리, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",,1/5,3/5,3/5,3/5,,"양고기, 훈제오리, 치즈",,,,,
"포데레 라 레골라, 발리노","Podere La Regola, Vallino",https://www.wine21.com/13_search/wine_view.html?Idx=166256&lq=LIST,포데레 라 레골라  Podere La Regola,이탈리아(Italy) / 토스카나(Toscana),카베르네 소비뇽 (Cabernet Sauvignon) / 산지오베제 (Sangiovese) / 시라/쉬라즈 (Syrah/Shiraz),,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 족발, 라자냐, 파스타와 잘 어울린다.",,1/5,4/5,4/5,3/5,,"족발, 트러플",,,,,
"포데레 라 레골라, 리구스트로","Podere La Regola, Ligustro",https://www.wine21.com/13_search/wine_view.html?Idx=166257&lq=LIST,포데레 라 레골라  Podere La Regola,이탈리아(Italy) / 토스카나(Toscana),메를로 (Merlot),,16~18 ℃,"붉은육류, 훈제오리, 치킨, 바비큐, 소시지, 파스타, 치즈와 잘 어울린다.",,1/5,3/5,3/5,3/5,,"붉은육류, 파스타, 치즈",,Toscana IGT(IGP),,,
"포지오 레 볼피, 로마 말바지아 푸티나타","Poggio Le Volpi, Roma Malvasia Putinata",https://www.wine21.com/13_search/wine_view.html?Idx=166258&lq=LIST,포지오 레 볼피  Poggio Le Volpi,이탈리아(Italy) / 라치오(Lazio),말바시아 (Malvasia),,10~12 ℃,"전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,2/5,3/5,1/5,,"스시, 해산물, 전채요리, 스낵",,,,,
"포지오 레 볼피, 바 도베 티 포르타 일 벤토 수수마니엘로","Masca del Tacco, Va dove ti porta il Vento Susumaniello",https://www.wine21.com/13_search/wine_view.html?Idx=166259&lq=LIST,포지오 레 볼피  Poggio Le Volpi,이탈리아(Italy) / 뿔리아(Puglia),수수마니엘로 (Susumaniello),,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"살라미, 견과류, 치즈",,,,,
