와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,음용온도,추천음식,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,수입사,스타일,알코올,숙성,양조
"토마스 슈미트, 프라이빗 컬렉션 카비넷","Thomas Schmitt, Private Collection Kabinett",https://www.wine21.com/13_search/wine_view.html?Idx=173816&lq=LIST,토마스 슈미트  Thomas Schmitt,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),8~10 ℃,,1/5,4/5,2/5,1/5,"서양배, 사과, 시트러스, 자몽, 레몬, 꽃, 허브","베이컨, 꼬치구이, 햄, 돼지, 양꼬치, 건육, 양념치킨, 후라이드, 생선구이, 초밥, 해산물, 새우, 편육, 순대, 떡볶이, 물냉면, 오일파스타, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 과일",,* 잔당 : 42~50g/l,,German Riesling,9~10 %,,
"버나드 롱클라스, 블랑 드 블랑 브뤼","Bernard Lonclas, Blanc de Blancs Brut",https://www.wine21.com/13_search/wine_view.html?Idx=173817&lq=LIST,버나드 롱클라스  bernard lonclas,프랑스(France) / 샹빠뉴(Champagne) / 몽따뉴 드 랭스(Montagne de Reims),샤르도네 (Chardonnay),8~10 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"복숭아, 서양배, 감귤, 레몬껍질, 흰꽃, 미네랄, 허브, 비스켓","돼지고기, 양꼬치, 건육, 생선구이, 초밥, 생선회, 장어구이, 해산물, 씨푸드, 조개구이, 편육, 떡볶이, 비빔밥, 오일파스타, 크림파스타, 중국요리, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 복숭아, 과일, 견과류, 파르미지아노, 콩테, 모짜렐라, 크로아상, 바게트",,*2023 대한민국 주류대상 '스파클링 와인 Best of 2023' 수상*2023 대한민국 주류대상 '스파클링 와인부문 대상' 수상* Non Vintage - Decanter 2020 Gold,,French Champagne,12~13 %,4년간 앙금 숙성 진행.,손 수확. 스테인리스통에서 1차 발효. 병에서 2차 발효.
"라 콘레리아, 레스 브루게레스 프리오랏 블랑","La Conreria, Les Brugueres Priorat Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173819&lq=LIST,라 콘레리아 디스칼라 데이  La Conreria d'Scala Dei,스페인(Spain) / 까탈루냐(Cataluna) / 프리오랏(Priorat),가르나차 블랑카  (Garnacha Blanca),8~10 ℃,,1/5,3/5,3/5,1/5,"살구, 복숭아, 서양배, 열대과일, 패션프루트, 흰꽃, 민트","베이컨, 소시지, 돼지고기, 후라이드, 오리로스, 해산물, 편육, 비빔밥, 물냉면, 오일파스타, 탕수육, 동남아요리, 아시아요리, 튀김, 샐러드, 복숭아, 크림치즈, 모짜렐라",Priorat DOCa(DOQ),,하이트진로,,,9개월간 쉬르-리(sur-lie) 방식 숙성.,발효 전 사전 껍질 침용. 17-18ºC로 스테인리스에서 저온 발효.
"포틴 핸즈, 소비뇽 블랑","14 Hands, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173820&lq=LIST,포틴 핸즈  14 Hands,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),소비뇽 블랑 (Sauvignon Blanc),8~10 ℃,,1/5,4/5,2/5,1/5,"구즈베리, 자몽, 감귤, 구아바, 열대과일, 꽃, 허브","초밥, 생선회, 씨푸드, 나물, 비빔밥, 오일파스타, 동남아요리, 아시아요리, 튀김, 샐러드, 치즈",Columbia Valley AVA,"* 2020 빈티지는 기온이 평균보다 따뜻하여 긴 숙성시간을 통해 좋은 향미를 자아내고, 최소의 강우량으로 평균보다 수확량이 낮아 풍미가 고농축된 고품질의 포도를 수확.",,Washington State Sauvignon Blanc,13~14 %,,스테인리스 스틸 탱크에서 발효.
"포틴 핸즈, 핫 투 트롯 레드블렌드","14 Hands, Hot to Trot Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=173821&lq=LIST,포틴 핸즈  14 Hands,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),메를로 (Merlot) / 시라/쉬라즈 (Syrah/Shiraz) / 카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,,1/5,3/5,4/5,3/5,"레드커런트, 블랙체리, 체리, 자두, 바닐라, 비스켓, 오크","그릴요리, 스테이크, 바비큐, 불고기, 갈비찜, 족발, 파스타, 햄버거, 서양요리, 피자, 버섯, 치즈",Columbia Valley AVA,,,Washington State Red Blend,14~15 %,"10개월 동안 스테인리스 스틸, 중성 프렌치 오크. 아메리칸 오크의 조합에서 숙성.",
"파워스, 쉐리던 까베르네 소비뇽 리저브","Powers, Sheridan Cabernet Sauvignon Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=173822&lq=LIST,파워스 와이너리   Powers Winery,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley) / 야키마 밸리(Yakima Valley),카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,,1/5,3/5,4/5,3/5,"블랙커런트, 블랙베리, 체리, 블루베리, 미네랄, 바닐라, 아니스, 허브, 삼나무, 오크, 흑연","소고기, 스테이크, 양고기, 오리고기, 불고기, 갈비찜, 족발, 치즈, 파르미지아노, 그라노파다노, 콩테",Yakima Valley AVA,,비니더스코리아,Washington State Cabernet Sauvignon,14~15 %,"와인의 50%는 새 프렌치 오크 배럴에서 30개월, 나머지는 은은한 프렌치 오크로 숙성 .",PDM 효모를 사용하여 프렌치 오크 배럴에서100% 젖산 발효를 하였고 펌프 언더 방식으로 발효를 완성.
"필립 델메, 레 슈ㄴ낭스 오 부아 에 라 카라빈 파스","Philippe Delmee, Les ch'nins on Boit et la Caravane Passe",https://www.wine21.com/13_search/wine_view.html?Idx=173823&lq=LIST,필립 델메  Philippe Delmee,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc),10~12 ℃,"샐러드, 해산물과 잘 어울린다.",1/5,4/5,3/5,1/5,"살구, 복숭아, 시트러스, 꽃, 미네랄, 허브","해산물, 샐러드",,,,,,,
"필립 델메, 로제토","Philippe Delmee, Rozetto",https://www.wine21.com/13_search/wine_view.html?Idx=173824&lq=LIST,필립 델메  Philippe Delmee,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc) / 그롤로 그리 (Grolleau Gris),12~14 ℃,"해산물, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"체리, 딸기, 시트러스, 꽃","해산물, 치즈",,,,,,,
"필립 델메, 카 페이 12","Philippe Delmee, Ca Faye 12",https://www.wine21.com/13_search/wine_view.html?Idx=173825&lq=LIST,필립 델메  Philippe Delmee,,카베르네 프랑 (Cabernet Franc) / 그롤로 그리 (Grolleau Gris),14~16 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"딸기, 크랜베리, 피망, 오크","소고기, 돼지고기",,,,,,,
"필립 델메, 오피디움 루즈","Philippe Delmee, Oppidum Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173826&lq=LIST,필립 델메  Philippe Delmee,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc),14~16 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"딸기, 체리, 피망, 허브, 오크","소고기, 돼지고기",,,,,,,
"필립 델메, 카 페이 13","Philippe Delmee, Ca Paye 13",https://www.wine21.com/13_search/wine_view.html?Idx=173827&lq=LIST,필립 델메  Philippe Delmee,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc),14~16 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 꽃, 피망, 허브, 오크","소고기, 돼지고기",,,,,,,
"필립 델메, 레 뷔 드 라 비일레","Philippe Delmee, Les Vieux de la Vieille",https://www.wine21.com/13_search/wine_view.html?Idx=173828&lq=LIST,필립 델메  Philippe Delmee,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc),14~16 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 꽃, 미네랄, 허브, 오크","소고기, 돼지고기",,,,,,,
"필립 델메, 니 루즈 니 블랑","Philippe Delmee, Ni Rouge Ni Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173829&lq=LIST,필립 델메  Philippe Delmee,프랑스(France) / 루아르(Loire),그롤로 누아 (Grolleau Noir) / 슈냉 블랑 (Chenin Blanc),12~14 ℃,"돼지고기, 튀김 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"라스베리, 체리","돼지고기, 튀김",,,,,,,
"르 쁘띠 지미오스, 뮈스카 섹 데 루마니","Le Petit Gimios, Muscat Sec des Roumanis",https://www.wine21.com/13_search/wine_view.html?Idx=173830&lq=LIST,르 쁘띠 지미오스  Le Petit Gimios,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),뮈스까 로소 쁘띠 그랑 (Muscat Rose a Petits),10~12 ℃,"샐러드, 과일, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"살구, 복숭아, 시트러스, 열대과일, 꽃, 미네랄","샐러드, 과일, 치즈",,,,,,,
"코렌틴 우이용, 베로네 블랑","Corentin Houillon, Veronnet Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173831&lq=LIST,코렌틴 우이용  Corentin Houillon,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),알테스 (Altesse) / 자쿠에레 (Jacquere),10~12 ℃,"해산물, 샐러드 등과 잘어울린다.",1/5,4/5,3/5,1/5,"복숭아, 배, 시트러스, 꽃, 미네랄","해산물, 샐러드, 복숭아",,,,,,,
"코렌틴 우이용, 포스 오브 나뚜르 블랑","Corentin Houillon, Force of Nature Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173832&lq=LIST,코렌틴 우이용  Corentin Houillon,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),알테스 (Altesse),10~12 ℃,"해산물, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"배, 복숭아, 시트러스, 꽃, 미네랄","해산물, 치즈",,,,,,,
"코렌틴 우이용, 몬티 피유즈 블랑","Corentin Houillon, Montee Furieuse Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173833&lq=LIST,코렌틴 우이용  Corentin Houillon,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),자쿠에레 (Jacquere),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 배, 시트러스, 꽃, 미네랄, 허브","샐러드, 치즈",,,,,,,
"코렌틴 우이용, 제니스 오렌지","Corentin Houillon, Zenith Orange",https://www.wine21.com/13_search/wine_view.html?Idx=173834&lq=LIST,코렌틴 우이용  Corentin Houillon,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),알테스 (Altesse) / 자쿠에레 (Jacquere),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 시트러스, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"코렌틴 우이용, 베로네 로제","Corentin Houillon, Veronnet Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173835&lq=LIST,코렌틴 우이용  Corentin Houillon,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),가메이 (Gamay),12~14 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"체리, 라스베리, 꽃, 후추, 오크","소고기, 돼지고기",,,,,,,
"코렌틴 우이용, 베로네 루즈","Corentin Houillon, Veronnet Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173836&lq=LIST,코렌틴 우이용  Corentin Houillon,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),가메이 (Gamay),14~16 ℃,"닭고기, 샐러드 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 후추, 오크","닭고기, 샐러드",,,,,,,
"코렌틴 우이용, 아칸느 루즈","Corentin Houillon, Arcane Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173837&lq=LIST,코렌틴 우이용  Corentin Houillon,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),피노 누아 (Pinot Noir),14~16 ℃,"소고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 미네랄, 허브, 오크, 흙","소고기, 닭고기",,,,,,,
"코렌틴 우이용, 뷰 푸그 루즈","Corentin Houillon, Vieux Foug Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173838&lq=LIST,코렌틴 우이용  Corentin Houillon,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),가메이 (Gamay),14~16 ℃,"소고기, 닭고기 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 후추, 오크, 흙","소고기, 닭고기",,,,,,,
"코렌틴 우이용, 코스모스 루즈","Corentin Houillon, Cosmos Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173839&lq=LIST,코렌틴 우이용  Corentin Houillon,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),몽두즈 누아 (Mondeuse Noire),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"라스베리, 딸기, 말린자두, 허브, 오크","소고기, 돼지고기",,,,,,,
"바인굿 베를리치, 벨쉬리슬링 봄 오폭","Weingut Werlitsch, Welschriesling Vom Opok",https://www.wine21.com/13_search/wine_view.html?Idx=173840&lq=LIST,바인굿 베를리치  Weingut Werlitsch,오스트리아(Austria),벨쉬리슬링 (Welschriesling),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"시트러스, 꽃, 미네랄, 허브","해산물, 샐러드, 치즈",,,,,,,
"바인굿 베를리치, 모릴론 봄 오폭","Weingut Werlitsch, Morillon Vom Opok",https://www.wine21.com/13_search/wine_view.html?Idx=173841&lq=LIST,바인굿 베를리치  Weingut Werlitsch,오스트리아(Austria),모릴론 (Morillon),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄, 오크","샐러드, 치즈",,,,,,,
"바인굿 베를리치, 엑스 베로 1","Weingut Werlitsch, Ex vero I",https://www.wine21.com/13_search/wine_view.html?Idx=173842&lq=LIST,바인굿 베를리치  Weingut Werlitsch,오스트리아(Austria),소비뇽 블랑 (Sauvignon Blanc) / 모릴론 (Morillon),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 배, 시트러스, 꽃, 미네랄, 허브","해산물, 샐러드, 복숭아, 치즈",,,,,,,
"바인굿 베를리치, 소비뇽 블랑 봄 오폭","Weingut Werlitsch, Sauvignon Blanc Vom Opok",https://www.wine21.com/13_search/wine_view.html?Idx=173843&lq=LIST,바인굿 베를리치  Weingut Werlitsch,오스트리아(Austria),소비뇽 블랑 (Sauvignon Blanc) / 모릴론 (Morillon),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 배, 시트러스, 꽃, 미네랄, 허브","해산물, 샐러드, 복숭아, 치즈",,,,,,,
"바인굿 베를리치, 엑스 베로 3 필룽","Weingut Werlitsch, Ex vero III S 2te Fullung",https://www.wine21.com/13_search/wine_view.html?Idx=173844&lq=LIST,바인굿 베를리치  Weingut Werlitsch,오스트리아(Austria),소비뇽 블랑 (Sauvignon Blanc) / 모릴론 (Morillon),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 배, 시트러스, 꽃, 미네랄, 허브","샐러드, 치즈",,,,,,,
"바인굿 베를리치, 글룩","Weingut Werlitsch, Gluck",https://www.wine21.com/13_search/wine_view.html?Idx=173845&lq=LIST,바인굿 베를리치  Weingut Werlitsch,오스트리아(Austria),소비뇽 블랑 (Sauvignon Blanc),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"배, 시트러스, 꽃, 미네랄, 잔디, 허브","해산물, 샐러드, 치즈",,,,,,,
"레스티냑, 블리자드","Lestignac, Blizzard",https://www.wine21.com/13_search/wine_view.html?Idx=173846&lq=LIST,레스티냑  Lestignac,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 베르쥬악(Bergerac),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 시트러스, 미네랄, 허브, 오크","샐러드, 치즈",,,,,,,
"레스티냑, 바 테 페르 부아르","Lestignac, Va Te Faire Boire",https://www.wine21.com/13_search/wine_view.html?Idx=173847&lq=LIST,레스티냑  Lestignac,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 베르쥬악(Bergerac),메를로 (Merlot),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,3/5,"블랙베리, 체리, 라스베리, 꽃, 피망, 오크, 흙","소고기, 돼지고기",,,,,,,
"레스티냑, 템페트","Lestignac, Tempete",https://www.wine21.com/13_search/wine_view.html?Idx=173848&lq=LIST,레스티냑  Lestignac,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 베르쥬악(Bergerac),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,3/5,"체리, 딸기, 꽃, 피망, 허브, 오크, 흙, 흑연","소고기, 돼지고기",,,,,,,
"레스티냑, 골고스","Lestignac, Golgoth",https://www.wine21.com/13_search/wine_view.html?Idx=173849&lq=LIST,레스티냑  Lestignac,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 베르쥬악(Bergerac),시라/쉬라즈 (Syrah/Shiraz) / 메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 카르메네르 (Carmenere),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,3/5,"블랙베리, 체리, 라스베리, 말린과일, 꽃, 미네랄, 후추, 허브, 오크","소고기, 돼지고기",,,,,,,
"도멘 벨루아드, 에포님","Domaine Belluard, Eponyme",https://www.wine21.com/13_search/wine_view.html?Idx=173850&lq=LIST,도멘 벨루아드  Domaine Belluard,프랑스(France) / 사부아 뷔게이(Savoie-Bugey),그린겟 (Gringet),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"배, 서양배, 시트러스, 꽃, 미네랄","해산물, 샐러드, 치즈",,,,,,,
"장 깅글링거, 오쎄후아","Jean Ginglinger, Auxerrois",https://www.wine21.com/13_search/wine_view.html?Idx=173851&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),오쎄후와 (Auxerrois),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,4/5,3/5,"블랙베리, 체리, 라스베리, 말린과일, 꽃, 후추, 오크","소고기, 돼지고기",,,,,,,
"장 깅글링거, 리슬링","Jean Ginglinger, Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=173852&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),리슬링 (Riesling),10~12 ℃,"해산물, 치즈 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄, 허브, 석유","해산물, 치즈",,,,,,,
"장 깅글링거, 리슬링 리저브","Jean Ginglinger, Riesling Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=173853&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),리슬링 (Riesling),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,5/5,3/5,1/5,"배, 시트러스, 미네랄, 허브, 석유","해산물, 샐러드, 치즈",,,,,,,
"장 깅글링거, 뮈스까","Jean Ginglinger, Muscat",https://www.wine21.com/13_search/wine_view.html?Idx=173854&lq=LIST,장 깅글링거  Jean Ginglinger,프랑스(France) / 알자스(Alsace),뮈스까 (Muscat),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"복숭아, 살구, 열대과일, 꽃","해산물, 샐러드, 치즈",,,,,,,
"안델루나, 라데라 화이트 블렌드","Andeluna, Ladera White Blend",https://www.wine21.com/13_search/wine_view.html?Idx=173855&lq=LIST,안델루나  Andeluna [Bodega Andeluna],아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),샤르도네 (Chardonnay) 57% / 소비뇽 블랑 (Sauvignon Blanc) 32% / 토론테스 (Torrontes) 11%,8~10 ℃,,1/5,3/5,3/5,1/5,"사과, 시트러스, 열대과일, 파인애플, 흰꽃, 꽃","베이컨, 닭강정, 닭고기, 초밥, 해산물, 씨푸드, 편육, 비빔밥, 오일파스타, 탕수육, 튀김, 식전주, 샐러드",,* 2019 빈티지 - Tim Atkin 89 점,(주)와이넬,Argentinian Chardonnay,,,
"안델루나, 라데라 레드 블렌드","Andeluna, Ladera Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=173856&lq=LIST,안델루나  Andeluna [Bodega Andeluna],아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),말벡 (Malbec) 53% / 카베르네 소비뇽 (Cabernet Sauvignon) 25% / 메를로 (Merlot) 22%,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 육두구, 후추, 바닐라","소고기, 스테이크, 양갈비, 양고기, 건육, 양념갈비, 갈비찜, 햄버거, 피자, 견과류, 치즈, 파르미지아노, 그라노파다노",,,(주)와이넬,Argentinian Malbec,,,
"안델루나, 엘레바시옹 레드 블렌드","Andeluna, Elevacion Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=173857&lq=LIST,안델루나  Andeluna [Bodega Andeluna],아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),말벡 (Malbec) 50% / 카베르네 소비뇽 (Cabernet Sauvignon) 50%,16~18 ℃,"양고기, 양갈비, 소고기, 스테이크, 갈비찜, 양념갈비, 햄버거, 다양한 치즈 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙커런트, 블랙베리, 블루베리, 육두구, 후추, 정향, 허브","그릴요리, 소고기, 스테이크, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 햄버거, 피자, 랑그르, 치즈, 파르미지아노, 그라노파다노, 콩테",,* 2019 빈티지 - Tim Atkin MW 91점* 2018 빈티지 - Tim Atkin MW 91점,(주)와이넬,Argentinian Cabernet Sauvignon - Malbec,,오크 배럴에서 8개월 동안 숙성 .,세심하게 손 수확한 포도로 저온 침용하여 스테인리스 스틸 탱크에서 천연 효모를 이용해 발효.
"안델루나, 델 꽈르텔 까베르네 프랑","Andeluna, Del Cuartel Cabernet Franc",https://www.wine21.com/13_search/wine_view.html?Idx=173858&lq=LIST,안델루나  Andeluna [Bodega Andeluna],아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley) / 투푼가토(Tupungato),카베르네 프랑 (Cabernet Franc) 100%,16~18 ℃,,1/5,4/5,3/5,2/5,"블랙체리, 딸기, 라스베리, 자두, 꽃, 후추, 감초, 허브","그릴요리, 소고기, 스테이크, 양갈비, 찜닭, 갈비찜, 족발, 크림파스타, 햄버거, 피자, 버섯, 자두, 치즈, 파르미지아노, 그라노파다노",,* 2019 빈티지 - Tim Atkin MW 93점,(주)와이넬,,,9개월 동안 프렌치 오크 배럴에서 숙성.,"저온 침용 후 온도 조절이 가능한 스테인리스 스틸 탱크에서 천연 효모를 이용해 발효. 머스트는 양조 과정에서 매일 리프팅을 거쳐, 필요시 하루에 1~2회의 델레스타쥐 (Delestage)를 진행."
"안델루나, 엠블레마스 말벡","Andeluna, Emblemas Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=173859&lq=LIST,안델루나  Andeluna [Bodega Andeluna],아르헨티나(Argentina) / 멘도사(Mendoza) / 이스턴 멘도사(Eastern Mendoza),말벡 (Malbec) 100%,16~18 ℃,,1/5,3/5,4/5,4/5,"레드커런트, 체리, 잼, 제비꽃, 꽃, 바닐라, 시나몬","소고기, 양갈비, 양고기, 건육, 양념갈비, 갈비찜, 햄버거, 피자, 체더, 치즈, 파르미지아노, 그라노파다노",,,(주)와이넬,Argentinian Malbec,,"50%는 뉴-프렌치 오크, 25%는 1회 사용된, 25%는 2회 사용된 프렌치 오크 배럴에서 12개월 동안 숙성을 진행하여 블렌딩 후 와인의 안정화를 위해 최소 8개월 동안의 병 숙성을 거쳐 출시.",손 수확. 발효 전 저온 침용을 진행.
"툴록, 셀라 도어 릴리즈 프로세코","Tulloch, Cellar Door Release Prosecco",https://www.wine21.com/13_search/wine_view.html?Idx=173860&lq=LIST,툴록 와인즈  Tulloch Wines,호주(Australia) / 빅토리아(Victoria) / 킹 밸리(King Valley),글레라 (Glera),6~8 ℃,,3/5,2/5,2/5,1/5,"복숭아, 배, 서양배, 장미, 아몬드, 캐슈넛","베이컨, 꼬치구이, 소시지, 건육, 닭강정, 생선조림, 씨푸드, 편육, 순대, 떡볶이, 나물, 파스타, 중국음식, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 복숭아, 과일, 견과류, 리코타, 티라미수",,,,,11~12 %,,
"헨틀리 팜, 에덴 밸리 리슬링","Hently Farm, Eden Valley Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=173861&lq=LIST,헨틀리 팜  Hentley farm,호주(Australia) / 사우스 오스트레일리아(South Australia) / 에덴 밸리(Eden Valley),리슬링 (Riesling) 100%,8~10 ℃,"갑각류, 해산물, 크림소스 요리 와 잘 어울린다.",1/5,4/5,2/5,1/5,"청사과, 시트러스, 라임, 레몬, 열대과일, 자스민, 꽃, 허브, 레몬그라스","오겹살, 돼지고기, 건육, 양념치킨, 후라이드, 생선구이, 초밥, 생선회, 해산물, 족발, 편육, 비빔밥, 오일파스타, 피자, 중국요리, 탕수육, 아시아요리, 튀김, 샐러드, 과일, 견과류, 리코타, 크림치즈",,"* 2021 빈티지 - Barossa Wine Show - Gold, 95점* 2016 빈티지 - Canberra International Riesling Challenge Gold",에르네스 주식회사,Australian Riesling,11~12 %,,
"쿠용, 파라고 샤르도네","Kooyong, Farrago Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=173862&lq=LIST,쿠용 에스테이트  Kooyong Estate,호주(Australia) / 빅토리아(Victoria) / 모닝턴 페닌슐라(Mornington Peninsula),샤르도네 (Chardonnay),10~12 ℃,,1/5,3/5,3/5,1/5,"모과, 복숭아, 자몽, 감귤, 부싯돌, 바닐라, 아몬드, 오크","꼬치구이, 건육, 후라이드, 오리고기, 치킨, 생선구이, 편육, 수육, 크림파스타, 중국요리, 탕수육, 샐러드, 치즈",,,,Australian Chardonnay,13~14 %,11개월간 앙금 숙성.,"송이째 압착, 프렌치 오크 바리크에서 발효."
