와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,숙성,양조
투핸즈 클레어 밸리 싱글빈야드 쉬라즈 아트레이블,Two Hands Clare Valley Single Vineyard shiraz Art Label,https://www.wine21.com/13_search/wine_view.html?Idx=164045&lq=LIST,투 핸즈 와인즈  Two Hands Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 클레어 밸리(Clare Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,14.7 %,15~17 ℃,"붉은 육류요리, 치즈, 야생 가금류 요리 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,4/5,4/5,"배, 오크","육류요리, 가금류, 치즈",,,,
"캐슬러, 스톤호스 그르나슈/쉬라즈","Kaesler, Stonehorse Grenache/Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=164046&lq=LIST,캐슬러  Kaesler Wines,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),그르나슈 (Grenache) 84% / 시라/쉬라즈 (Syrah/Shiraz) 16%,Australian Rhône Blend Red,,16~18 ℃,"스테이크, 양갈비, 그릴요리, 불고기, 훈제오리, 바비큐, 갈비찜, 햄버거, 파스타, 한국음식 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,"양갈비, 훈제오리",,*Robert Parker Great Value Wines,,
"눈, 리저브 쉬라즈",Noon Reserve Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=164047&lq=LIST,눈  Noon,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,,15~16 %,16~18 ℃,"갈비찜이나 파스타, 각종 치즈류 등 다양한 요리들과도 매칭하여 마실 수 있다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,간장,"갈비찜, 파스타, 치즈",,,,
"눈, 리저브 까베르네 쇼비뇽","Noon, Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164048&lq=LIST,눈  Noon,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,15~16 %,16~18 ℃,스테이크와 같은 육류 요리와 곁들이면 더욱 좋다.,루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,"크랜베리, 미네랄, 치즈",스테이크,,,,
"눈, 이클립스",Noon Eclipse,https://www.wine21.com/13_search/wine_view.html?Idx=164049&lq=LIST,눈  Noon,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),그르나슈 (Grenache) 90% / 시라/쉬라즈 (Syrah/Shiraz) 3% / 그라시아노 (Graciano) 7%,,15.5~16.5 %,16~18 ℃,"스테이크, 양갈비, 그릴요리, 불고기, 훈제오리, 바비큐, 갈비찜, 햄버거, 파스타, 한국음식 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,"양갈비, 훈제오리",,,,
"바스 필립, 크라운 프린스 피노누아","Bass Phillip, Crown Prince Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164051&lq=LIST,바스 필립  Bass Phillip,호주(Australia) / 빅토리아(Victoria) / 깁스랜드(Gippsland),피노 누아 (Pinot Noir) 100%,Australian Pinot Noir,13~14 %,16~18 ℃,"체리 소스를 곁들인 오리 가슴살 요리, 그릴에 구운 육류요리, 각종 샤퀴테리, 연성 치즈 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,3/5,2/5,자두,"육류요리, 치즈",,,,
"바스 필립, 프리미엄 샤도네이","Bass Phillip, Premium Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164052&lq=LIST,바스 필립  Bass Phillip,호주(Australia) / 빅토리아(Victoria) / 깁스랜드(Gippsland),샤르도네 (Chardonnay) 100%,Australian Chardonnay,13~14 %,8~10 ℃,"푸아그라, 크림소스로 요리한 해산물, 담백한 돼지고기 요리, 섬세한 풍미의 소스를 가미한 가금류 요리 등과 잘 어을린다.",루벵코리아 (루뱅쿱) / 신세계엘앤비,1/5,3/5,3/5,1/5,"복숭아, 시트러스, 브리오슈, 헤이즐넛","해산물, 복숭아",,,,
"야라 예링, 피노 누아","Yarra Yering, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164053&lq=LIST,야라 예링  Yarra Yering,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),피노 누아 (Pinot Noir) 100%,,12.5~13.5 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,2/5,2/5,체리,"파스타, 버섯, 치즈",,,,
"야라 예링, 언더힐 쉬라즈","Yarra Yering, Underhill Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=164054&lq=LIST,야라 예링  Yarra Yering,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,,13~14 %,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈, 탕수육 과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,"자두, 오크","바비큐, 탕수육, 치즈",,,,
"샹동 드 브리아이, 뻬르낭 베르즐레스 일 데 베르즐레스 블랑 프르미에 크뤼","Chandon de Briailles, Pernand Vergelesses Ill des Vergelesses Blanc 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=164055&lq=LIST,도멘 샹동 드 브리아이  Domaine Chandon de Briailles,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뻬르낭-베르즐레스(Pernand-Vergelesses),샤르도네 (Chardonnay) 100%,,,12~14 ℃,"전체 요리,생선요리, 흰살 고기요리 등과 잘 어울린다.",국순당,1/5,4/5,4/5,1/5,"시트러스, 미네랄",,,"*2015 빈티지: Wine Advocate 90점, Wine Spectator 92점",,
"샹동 드 브리아이, 꼬르똥 끌로 뒤 루아 그랑 크뤼",Chandon de Briailles Corton Clos du Roi Grand Cru,https://www.wine21.com/13_search/wine_view.html?Idx=164056&lq=LIST,도멘 샹동 드 브리아이  Domaine Chandon de Briailles,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir) 100%,,,16~18 ℃,구운 붉은 육류요리 또는 야생고기 등과 잘 어울린다.,국순당,1/5,4/5,3/5,2/5,"체리, 장미, 미네랄",육류요리,"Corton Grand Cru AOC(AOP), 'Le Clos du Roi'","*2015 빈티지: Wine Advocate 96점, Wine Spectator 94점",,
"브라비움, 샤르도네","Bravium, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164057&lq=LIST,브라비움  Bravium,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay) 100%,Californian Chardonnay,13.5 %,10~12 ℃,"돼지고기, 갑각류, 생선구이, 브리치즈 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"망고, 아카시아, 미네랄, 바닐라, 토스트, 오크",생선구이,Russian River Valley AVA,*2016 빈티지: Wine Enthusiast 91점,,
"브라비움, 피노 누아","Bravium, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164058&lq=LIST,브라비움  Bravium,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,12~13 %,14~16 ℃,"돼지고기, 오리고기, 소고기 안심, 닭다리 등과 잘 어울린다.",,1/5,4/5,3/5,2/5,"체리, 미네랄, 오크",오리고기,Anderson Valley AVA,"*2015 빈티지: Wine Enthusiast 92점, Editor's Choice Wine",,
"패튼 밸리, 에스테이트 피노 누아","Patton Valley, Estate Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164059&lq=LIST,패튼 밸리  Patton Valley,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 누아 (Pinot Noir) 100%,Oregon Pinot Noir,13.8 %,14~16 ℃,"돼지고기, 오리고기, 소고기 안심, 닭다리 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,오크,오리고기,Willamette Valley AVA,*2012 빈티지: Wine Spectator 92점*2014 빈티지: Wine Enthusiast 92점,,
"패튼 밸리, 로나 마리에 피노 누아","Patton Valley, Lorna Marie Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164060&lq=LIST,패튼 밸리  Patton Valley,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 누아 (Pinot Noir) 100%,Oregon Pinot Noir,13.8 %,14~16 ℃,"돼지고기, 오리고기, 소고기 안심, 닭다리 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,오크,오리고기,Willamette Valley AVA,*2012 빈티지: Wine Spectator 94점*2013 빈티지: Wine Spectator 93점*2014 빈티지: Wine Enthusiast 93점,,
"포멈 셀라, 레드 와인","Pomum Cellars, Red Wine",https://www.wine21.com/13_search/wine_view.html?Idx=164061&lq=LIST,포멈 셀라  Pomum Cellars,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot) / 말벡 (Malbec) / 쁘띠 베르도 (Petit Verdot),,14.5 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,4/5,5/5,4/5,"체리, 자두","양갈비, 치즈",Columbia Valley AVA,*2013 빈티지: Wine Enthusiast 89점*2014 빈티지: Wine Enthusiast 88점,,
"포멈 셀라, 샤이아 레드 카베르네 소비뇽","Pomum Cellars, Shya Red Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164062&lq=LIST,포멈 셀라  Pomum Cellars,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley) / 야키마 밸리(Yakima Valley),카베르네 소비뇽 (Cabernet Sauvignon) 82% / 메를로 (Merlot) 18%,Washington State Cabernet Sauvignon,14.3 %,16~18 ℃,"소고기, 양고기, 갈비찜, 대창 등과 잘 어울린다.",,1/5,4/5,5/5,4/5,체리,"소고기, 양고기, 갈비찜",Yakima Valley AVA,*2013 빈티지: Wine Spectator 90점,,
"도멘 뉘당, 부르고뉴 샤르도네","Domaine Nudant, Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164063&lq=LIST,도멘 뉘당  Domaine Nudant,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay),Burgundy White,12.5 %,10~12 ℃,"오일 파스타, 돼지 수육, 브리 치즈, 생선구이, 랍스터 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"레몬, 꽃, 미네랄, 바닐라, 오크, 크림","돼지, 생선구이, 랍스터, 수육, 파스타",,,,
"도멘 뉘당, 알록스 코르통 '레 발로지에르'","Domaine Nudant, Aloxe-Corton 'Les Valozieres'",https://www.wine21.com/13_search/wine_view.html?Idx=164064&lq=LIST,도멘 뉘당  Domaine Nudant,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir) 100%,,13 %,13~15 ℃,"오리고기, 소 안심. 돼지 고기 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,"체리, 꽃, 미네랄","안심, 돼지, 오리고기",Aloxe-Corton AOC(AOP),,,
"도멘 뉘당, 꼬르통 브레상드 그랑 크뤼","Domaine Nudant, Corton-Bressandes Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=164065&lq=LIST,도멘 뉘당  Domaine Nudant,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir) 100%,,13 %,15~17 ℃,"오리고기, 소 안심. 돼지 고기 등과 잘 어울린다.",,1/5,5/5,3/5,3/5,"바닐라, 오크, 흙","안심, 돼지, 오리고기","Corton Grand Cru AOC(AOP), 'Les Bressandes'",,,
"도멘 뉘당, 퓔리니 몽라쉐 프리미에 크뤼 '레 폴라티에르'","Domaine Nudant, Puligny Montrachet 1er Cru 'Les Folatieres'",https://www.wine21.com/13_search/wine_view.html?Idx=164066&lq=LIST,도멘 뉘당  Domaine Nudant,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,,13.5 %,10~12 ℃,"오일 파스타, 돼지 수육, 브리 치즈, 생선구이, 랍스터 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"복숭아, 레몬, 꽃, 미네랄, 바닐라, 토스트","돼지, 생선구이, 랍스터, 수육, 파스타","Puligny-Montrachet 1er Cru AOC(AOP), 'Les Folatières'",,,
"도멘 뉘당, 알록스 코르통 프리미에 크뤼 '라 꾸띠에르'","Domaine Nudant, Aloxe Corton 1er Cru 'La Coutieres'",https://www.wine21.com/13_search/wine_view.html?Idx=164067&lq=LIST,도멘 뉘당  Domaine Nudant,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir) 100%,,13 %,13~15 ℃,"오리고기, 소 안심. 돼지 고기",,1/5,4/5,3/5,3/5,"체리, 꽃, 미네랄","안심, 돼지, 오리고기",Aloxe-Corton 1er Cru AOC(AOP),,,
"도멘 뒤 클로 데 락, 푸이 로셰 '캬트르 세종'","Domaine du Clos des Rocs, Pouilly Loche '4 Saisons'",https://www.wine21.com/13_search/wine_view.html?Idx=164068&lq=LIST,도멘 뒤 클로 데 락  Domaine du Clos des Rocs,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 뿌이-로슈(Pouilly-Loche),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,13~14 %,10~12 ℃,"생선구이, 돼지고기, 전, 잡채, 브리 치즈 등과 잘 어울린다.",,1/5,4/5,4/5,1/5,"레몬, 바닐라, 토스트, 오크","생선구이, 잡채",Pouilly-Loché AOC(AOP),,,
"도멘 뒤 클로 데 락, 푸이 로셰 '엉 샹토네'","Domaine du Clos des Rocs, Pouilly-Loche 'En Chantone'",https://www.wine21.com/13_search/wine_view.html?Idx=164069&lq=LIST,도멘 뒤 클로 데 락  Domaine du Clos des Rocs,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 뿌이-로슈(Pouilly-Loche),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,13~14 %,10~12 ℃,"생선구이, 돼지고기, 전, 잡채, 브리 치즈 등과 잘 어울린다.",,1/5,4/5,4/5,1/5,"레몬, 미네랄, 바닐라, 토스트, 오크","생선구이, 잡채",Pouilly-Loché AOC(AOP),,,
"도멘 뒤 클로 데 락, 푸이 로셰 '클로 데 락' 모노폴","Domaine du Clos des Rocs, Pouilly Loche 'Clos des Rocs' Monopole",https://www.wine21.com/13_search/wine_view.html?Idx=164070&lq=LIST,도멘 뒤 클로 데 락  Domaine du Clos des Rocs,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 뿌이-로슈(Pouilly-Loche),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,13~14 %,10~12 ℃,"생선구이, 돼지고기, 전, 잡채, 브리 치즈 등과 잘 어울린다.",,1/5,4/5,4/5,1/5,"레몬, 미네랄, 바닐라, 토스트, 오크","생선구이, 잡채",Pouilly-Loché AOC(AOP),,,
"도멘 레미 조바르, 부르고뉴 블랑","Domaine Remi Jobard, Bourgogne Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=164071&lq=LIST,도멘 레미 조바르  Domaine Remi Jobard,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,Burgundy White,13 %,10~12 ℃,"갑각류, 흰 살 육류, 브리 치즈, 생선구이 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"레몬, 미네랄, 바닐라, 토스트, 오크, 크림",생선구이,,,,
"도멘 레미 조바르, 뫼르소 프리미에 크뤼 '레 제네브리에르'","Domaine Remi Jobard, Meursault 1er Cru 'Les Genevriere'",https://www.wine21.com/13_search/wine_view.html?Idx=164072&lq=LIST,도멘 레미 조바르  Domaine Remi Jobard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,,13 %,10~12 ℃,"갑각류, 흰 살 육류, 브리 치즈, 생선구이 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"레몬, 꽃, 미네랄, 바닐라, 토스트, 아몬드, 오크, 크림",생선구이,"Meursault 1er Cru AOC(AOP), 'Genevrières'",,,
"도멘 베그 마티오, 샤블리","Domaine Begue Mathiot, Chablis",https://www.wine21.com/13_search/wine_view.html?Idx=164073&lq=LIST,도멘 베그 마티오  Domaine Begue Mathiot,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay) 100%,Burgundy Chablis,12.5 %,8~10 ℃,"해산물, 굴, 염소 치즈, 샐러드, 생선회 등과 잘 어울린다.",,1/5,5/5,2/5,1/5,"꽃, 미네랄, 허브","생선회, 해산물, 샐러드, 치즈",,,,
"도멘 베그 마티오, 샤블리 프리미에 크뤼 '보쿠팽'","Domaine Begue Mathiot, Chablis 1er Cru 'Vaucopins'",https://www.wine21.com/13_search/wine_view.html?Idx=164074&lq=LIST,도멘 베그 마티오  Domaine Begue Mathiot,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay) 100%,Burgundy Chablis,12.5 %,10~12 ℃,"해산물, 굴, 염소 치즈, 샐러드, 생선회 등과 잘 어울린다.",,1/5,5/5,2/5,1/5,"꽃, 미네랄, 허브","생선회, 해산물, 샐러드, 치즈",,,,
"도멘 앙리 들라그랑쥬, 부르고뉴 오뜨 꼬뜨 드 본 피노 누아","Domaine Henri Delagrange, Bourgogne Hautes Cotes de Beaune Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164075&lq=LIST,도멘 앙리 들라그랑쥬  Domaine Henri Delagrange,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 부르고뉴 오뜨 꼬뜨 드 본(Bourgogne Hautes Côtes de Beaune),피노 누아 (Pinot Noir) 100%,Burgundy Red,13 %,13~15 ℃,"갈비찜, 불고기, 고기산적, 오리고기, 소 안심 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,"바닐라, 오크, 흙","안심, 오리고기",,,,
"도멘 앙리 들라그랑쥬, 부르고뉴 샤르도네","Domaine Henri Delagrange, Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164076&lq=LIST,도멘 앙리 들라그랑쥬  Domaine Henri Delagrange,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,Burgundy White,13 %,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"레몬, 미네랄, 토스트, 오크","해산물, 수육, 탕수육, 치즈",,,,
"도멘 앙리 들라그랑쥬, 볼네 프리미에 크뤼 '클로 데 쉔'","Domaine Henri Delagrange, Volnay 1er Cru 'Clos des Chenes'",https://www.wine21.com/13_search/wine_view.html?Idx=164077&lq=LIST,도멘 앙리 들라그랑쥬  Domaine Henri Delagrange,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir) 100%,,13~14 %,14~16 ℃,"갈비찜, 불고기, 고기산적, 오리고기, 소 안심 등과 잘 어울린다.",,1/5,4/5,4/5,2/5,"바닐라, 오크, 흙","안심, 오리고기","Volnay 1er Cru AOC(AOP), 'Clos des Chênes'","*2014 빈티지: Wine Enthusiast 92점, Wine Spectator 92점",,
"도멘 앙리 들라그랑쥬, 볼네 비에이 비뉴","Domaine Henri Delagrange, Volnay Vieilles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=164078&lq=LIST,도멘 앙리 들라그랑쥬  Domaine Henri Delagrange,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir) 100%,,13.5 %,13~15 ℃,"갈비찜, 불고기, 고기산적, 오리고기, 소 안심 등과 잘 어울린다.",,1/5,4/5,3/5,2/5,"바닐라, 오크, 흙","안심, 오리고기",Volnay AOC(AOP),,,
"도멘 카스타니에, 부르고뉴 알리고떼","Domaine Castagnier, Bourgogne Aligote",https://www.wine21.com/13_search/wine_view.html?Idx=164079&lq=LIST,도멘 카스타니에  Domaine Castagnier,프랑스(France) / 부르고뉴(Bourgogne),알리고테 (Aligote) 100%,Burgundy White,12 %,8~10 ℃,"샐러드, 염소 치즈, 초밥, 닭 백숙, 해산물 등과 잘 어울린다.",,1/5,5/5,2/5,1/5,허브,"초밥, 해산물, 샐러드, 치즈",,,,
"도멘 피에르 다무아, 부르고뉴 루즈","Domaine Pierre Damoy, Bourgogne Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=164080&lq=LIST,도멘 피에르 다무아  Domaine Pierre Damoy,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 100%,Burgundy Red,12.5 %,13~15 ℃,"오리고기, 돼지고기, 소 안심, 불고기 등과 잘 어울린다.",,1/5,5/5,3/5,3/5,"체리, 바닐라","안심, 오리고기, 불고기",,,,
"도멘 피에르 다무아, 부르고뉴 블랑 '레 라브리'","Domaine Pierre Damoy, Bourgogne Blanc 'les Ravry'",https://www.wine21.com/13_search/wine_view.html?Idx=164081&lq=LIST,도멘 피에르 다무아  Domaine Pierre Damoy,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,Burgundy White,12.5 %,10~12 ℃,"생선구이, 갑각류, 오일 파스타, 크림 파스타, 돼지고기 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"복숭아, 레몬, 꽃, 미네랄, 바닐라, 오크","생선구이, 파스타",,,,
"레 제리티에르 생 쥬니, 메르퀴리 프리미에 크뤼 '클로 막시' 루즈 모노폴","les Heritiers St.Genys, Mercurey 1er Cru 'Cols Marcilly' Rouge Monopole",https://www.wine21.com/13_search/wine_view.html?Idx=164082&lq=LIST,레 제리티에르 생 쥬니  les Heritiers St.Genys,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),피노 누아 (Pinot Noir) 100%,Burgundy Côte Chalonnaise Red,13 %,13~15 ℃,"오리고기, 돼지고기, 소 안심, 불고기 등과 잘 어울린다.",,1/5,5/5,3/5,3/5,"꽃, 바닐라, 흙","안심, 오리고기, 불고기",,,,
"레 제리티에르 생 쥬니, 메르퀴리 프리미에 크뤼 '클로 막시' 블랑 모노폴","les Heritiers St.Genys, Mercurey 1er Cru 'Cols Marcilly' Blanc Monopole",https://www.wine21.com/13_search/wine_view.html?Idx=164083&lq=LIST,레 제리티에르 생 쥬니  les Heritiers St.Genys,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 샬로네즈(Côte Chalonnaise) / 메르퀴레(Mercurey),샤르도네 (Chardonnay) 100%,Burgundy Côte Chalonnaise White,13 %,13~15 ℃,"생선구이, 갑각류, 오일 파스타. 크림 파스타. 돼지고기 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"복숭아, 레몬, 망고, 바닐라, 오크","생선구이, 파스타",,,,
"바라 마쏭, 플뢰흐 드 크레 블랑 드 블랑 엑스트라 브뤼","Barrat Masson, Fleur de Craie Blanc de Blanc Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=164084&lq=LIST,바라 마쏭  Barrat Masson,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,12 %,8~10 ℃,"카나페, 샐러드, 캐비어, 다양한 전체요리 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"복숭아, 레몬, 꽃, 미네랄, 효모",,,,,
"바라 마쏭, 그항 다쥘르 엑스트라 브뤼","Barrat Masson, Grain d'Argile Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=164085&lq=LIST,바라 마쏭  Barrat Masson,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 70% / 피노 누아 (Pinot Noir) 30%,French Champagne,12 %,8~10 ℃,"다양한 전체요리, 돼지고기, 닭고기 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"복숭아, 레몬, 꽃, 미네랄, 효모","닭고기, 전체요리",,,,
"바라 마쏭, 레 마르간느 블랑 드 블랑 브뤼 나뛰르","(Barrat Masson, les Margannes Brut Nature N/V",https://www.wine21.com/13_search/wine_view.html?Idx=164086&lq=LIST,바라 마쏭  Barrat Masson,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,12 %,8~10 ℃,"카나페, 샐러드, 캐비어, 돼지고기, 닭고기, 다양한 전체요리 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"복숭아, 레몬, 꽃, 미네랄, 비스켓, 효모",닭고기,,,,
"바인굿 브룬들마이어, 캄프탈 테라센 리슬링","Weingut Brundlmayer, Riesling Kamptal Terrassen",https://www.wine21.com/13_search/wine_view.html?Idx=164087&lq=LIST,바인굿 브룬들마이어  Weingut Brundlmayer,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 캄프탈(Kamptal),리슬링 (Riesling) 100%,Austrian Riesling,12.5 %,8~10 ℃,"해산물, 차가운 전채요리, 생선구이. 돼지고기, 닭고기, 아시안 푸드 등과 잘 어울린다.",,1/5,5/5,2/5,1/5,"레몬, 미네랄","닭고기, 생선구이, 해산물, 전채요리",,,,
"바인굿 브룬들마이어, 로이저베르크 그뤼너 벨트리너","Weingut Brundlmayer, Loiserberg Gruner Veltliner",https://www.wine21.com/13_search/wine_view.html?Idx=164088&lq=LIST,바인굿 브룬들마이어  Weingut Brundlmayer,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 캄프탈(Kamptal),그뤼너 벨트리너 (Gruner Veltliner) 100%,Austrian Grüner Veltliner,12.5 %,8~10 ℃,"훈제연어, 해산물, 소시지, 돼지고기 등과 잘 어울린다.",,1/5,5/5,2/5,1/5,"꽃, 후추","연어, 해산물",,*2017 빈티지: James Suckling 94점,,
"바인굿 브룬들마이어, 그뤼너 벨트리너 알테 레벤","Weingut Brundlmayer, Gruner Veltliner Alte Reben",https://www.wine21.com/13_search/wine_view.html?Idx=164089&lq=LIST,바인굿 브룬들마이어  Weingut Brundlmayer,오스트리아(Austria) / 니더외스터라이히(Niederosterreich) / 캄프탈(Kamptal),그뤼너 벨트리너 (Gruner Veltliner) 100%,Austrian Grüner Veltliner,13 %,10~12 ℃,"프라이드 치킨, 슈니첼, 소스를 곁들인 생선, 훈제 연어, 송어 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"레몬, 허브, 토스트, 오크","치킨, 연어",,,,
