생산지역,설명
꼬뜨 도르Cote d'Or,"꼬뜨 도르(Côte d'Or)는 프랑스 부르고뉴 지역의 중심부에 위치한 중요한 와인 생산지로, 분류된 와인 중에서도 가장 권위 있는 프랑스 와인 지역 중 하나이다. 주로 피노 누아와 샤르도네 품종을 사용하여 레드와 화이트 와인을 생산한다. 이 지역은 프랑스의 와인 역사와 문화에서 중요한 역할을 한다."
오렌지Orange,"오렌지(Orange)는 호주의 뉴 사우스 웨일즈에 위치한 와인 산지다. 이 지역은 사람들에게 덜 알려져 있지만, 샤르도네, 쉬라즈, 카베르네 소비뇽으로 만든 와인이 많이 생산된다."
멋지Mudgee,"멋지(Mudgee)는 호주의 뉴 사우스 웨일즈에 위치한 와인 산지다. 몬트로스 와이너리(Montrose Winery) 뒤의 작은 언덕에 서서 바라보면 왜 이 지역에 살았던 원주민들이 이 지역을 멋지 즉, '언덕 안의 둥지' 라고 이름 붙였는지 바로 이해할 수 있다. 멋지의 포도재배 역사는 1853년으로 거슬러 올라간다."
패더웨이Padthaway,패더웨이(Padthaway)는 호주의 와인 산지다. 패더웨이는 원래는 케포크(Keppoch)로 불렸던 지역이다. 1944년 남호주 농림부가 진행한 연구에 근거 1963년 칼 세펠트(Karl Seppelt)가 이 지역을 포도 재배 지역으로 인정했다.
카우케네스Cauquenes,
로다이Lodi,"로디(Lodi)는 미국 캘리포니아 센트럴 밸리에 속하는 와인 산지다. 이곳은 1850년대부터 칼라베라스 강을 따라 포도를 키워 이 강의 남쪽은 와인개울 이라 불렸다. 지중해성 기후를 지니며, 프랑스 론 지방의 둥글고 큰 자갈 토양으로 구성되어 있다. 오랜 수령의 진판델이 잘 알려져 있으며, 메를로, 샤르도네, 카베르네 소비뇽, 소비뇽 블랑도 성공적으로 재배된다."
쉐나Chenas,"쉐나(Chenas)는 프랑스 보졸레 지역의 와인 산지다. 보졸레의 물랭-아-방(Moulin-à-Vent) 다음으로 작은 285 헥타르 규모의 지역이다. 쉐나는 프랑스어로 참나무, 즉 오크(Oak)를 의미하며, 지역에 많이 자라는 나무의 이름을 따랐다."
남아프리카 공화국the Republic of South Africa,"남아프리카 공화국(South Africa)의 포도 재배와 와인 양조 역사는 1659년으로 거슬러 오를 정도로 오래되었지만, 이 사실을 아는 사람은 적다. 왜냐하면, 남아공 와인 산업이 국영화에서 자유로워진 지 얼마 되지 않아 대부분의 사람들은 신세계 와인 생산국으로 생각하기 때문이다. 와인 산업의 본격적인 발전은 1994년 스텔렌보쉬(Stellenbosh)지역을 중심으로 급속도로 발전됐다."
생-브리Saint-Bris,"생 브리 AOC(Saint-Bris AOC)는 프랑스 부르고뉴 와인 지역, 특히 샤블리가 위치한 욘(Yonne)에 있는 독특한 AOC이다. 2003년 AOC로 지정된 생 브리는 소비뇽 블랑과 소비뇽 그리 포도 품종만을 사용하여 화이트 와인을 생산할 수 있는 지역으로, 부르고뉴 내에서도 독특한 위치를 차지하고 있다."
이랑시Irancy,"이랑시(Irancy)는 프랑스 부르고뉴 지역의 와인 산지다. 이랑시는 샤블리 서편에 자리하며, 1999년 원산지 명칭 통제 아펠라시옹(AOC)등급을 받았다."
꼬또 뒤 랑그독Coteaux du Languedoc,꼬또 뒤 랑드독(Côteaux du Languedoc)은 남프랑스의 와인 산지다. 꼬또 뒤 랑그독은 생산량의 90%이상이 레드 와인과 로제 와인인 매우 흥미로운 와인 산지다. 지중해성 기후에 해안과 접하고 있어 더운 지역이지만 신선한 풍미를 지닌 와인이 생산된다
앙쥬-소뮈르Anjou-Saumur,"앙쥬-소뮈르(Anjou-Saumur)는 프랑스 루아르 밸리에 속하는 와인 산지다. 이 지역의 대표 포도 품종은 슈냉 블랑(Chenin Blanc), 카베르네 프랑(Cabernet Franc), 가메이(Gamay), 그롤로(Grolleau)이다. 특히 앙쥬(Anjou)지역은 로제로 유명하다. 미디엄 스위트한 향과 맛을 가진 부드러운 로제가 대표적이다."
꼬스띠에르 드 님Costieres de Nîmes,"꼬스띠에르 드 님은 프랑스 론 밸리 와인산지다. 이곳은 레드 와인을 주로 생산하며, 로제와 화이트도 만든다. 토양은 론 강과 뒤랑스 강에서 유래한 자갈로 구성되며, 기후는 포도 재배에 적합하다. 주요 품종은 그르나슈, 시라와 무르베르드이며, 와인은 잘 익은 과실향에 부드러우며, 탄닌 구조가 좋고, 산미가 잘 살아있다. 화이트 품종으로는 그르나슈 블랑, 루산느, 마르산느를 주로 재배한다."
바덴Baden,바덴(Baden)은 독일의 와인 산지다. 바덴은 독일 남부 보덴제(Bodensee)에서 시작하여 라인강을 따라 하이델베르그(Heidelberg)까지 약 400여 킬로미터에 걸쳐 위치해 따뜻하고 햇빛이 잘 든다.
아소르스Azores,
가띠나라Gattinara,"가띠나라(Gattinara)는 이탈리아의 와인 산지로 피에몬테에 속한다. 가띠나라는 1967년 DOC 등급을 받았고, 1990년 DOCG 등급을 획득했다. 가띠나라는 네비올로 품종으로 레드 와인을 만드는데, 이곳 사람들은 네비올로를 스빠나(Spanna)라 부른다. 네비올로는 블렌딩에서 90%이상 사용되야 하고, 보나르다 품종이 혼합된다."
헝가리Hungary,헝가리(Hungary)의 와인들은 국내에서는 달콤한 디저트 와인 토카이(Tokay-혹은 헝가리어로 토케이Tokaji)로 잘 알려져 있다. 헝가리의 와인 역사는 고대 로마 시대로 거슬러 올라간다.
아로요 세코Arroyo Seco,"아로요 세코(Arroyo Seco)는 캘리포니아 몬터레이 카운티에 위치한 아메리칸 비티컬처럴 에어리어(AVA)로, 그 이름은 ""건조한 시내""라는 스페인어에서 유래한 지역이다. 이곳은 독특한 지형, 기후, 토양 조건 덕분에 고품질 와인을 생산하는 중요한 산지로 알려져 있다."
머레이 달링Murray Darling,"머레이 달링(Murray Darling)은 Murray Darling은 호주의 주요 와인 생산지 중 하나로, 주로 뉴사우스웨일스와 빅토리아 주에 걸쳐 있는 지역이다. 이 지역은 호주의 가장 큰 강 중 하나인 머리강과 달링강을 중심으로 형성된 넓은 평야지대에 위치해 있다. 이 지역의 와인은 주로 대량 생산을 목표로 하며, 호주의 와인 수출에서 중요한 역할을 하고 있다."
차콜리 디 비즈카야 비즈카이코 차콜리나Chacoli de Vizcaya,"차콜리 디 비즈카야(Chacoli de Vizcaya)는 스페인 북부 바스크 지방에 위치한 독특한 와인 산지이다. 이 지역은 ""비즈카이코 차콜리나"" (Bizkaiko Txakolina)로도 알려져 있으며, 이곳에서 생산되는 와인들은 독특한 특성을 지닌다. 비스케이만(Bay of Biscay) 해안에 위치한 언덕과 계곡으로 이루어져 있다. 이 지역은 전통적으로 차콜리(Chacoli)라고 불리는 청량하고 신선한 화이트 와인을 생산하는 데 중점을 두고 있다."
꼬뜨 드 프로방스Cotes de Provence,"꼬뜨 드 프로방스(Côtes de Provence)는 프랑스 프로방스에 속하는 와인 산지다. 이곳 포도 재배자들은 항상 3가지 기준을 염두 해두고 꼼꼼하게 포도 품종을 선별하고 있다. 첫째, 떼루아와의 완벽한 조화를 이루는 지, 둘째, 포도밭의 특색을 최대한 살릴 수 있는지, 마지막으로는 와인을 구성하고 있는 서로 다른 요소들 즉 바디, 부케, 빛깔 이 완벽하게 균형을 이룰 수 있는 지이다."
서던 플러리어Southern Fleurieu,"서던 플러리어(Southern Fleurieu)는 호주의 와인 산지다. 서던 플러리어는 아름다운 언덕들, 모래사장, 와이너리, 유명한 레스토랑이 즐비한 관광지 이기도 하다."
스트래스보기 레인지스Strathbogie Ranges,"스트래스보기 레인지스(Strathbogie Ranges)는 호주 빅토리아주의 와인 산지다. 스트래스보기 레인지스는 멜버른 남동쪽에 위치하며 해발 고도 1033m에 달하는 산악 지대다. 1970년대 중반 피터 티스달(Dr. Peter Tisdall)이 헬렌산에 포도원을 만들면서 와인 생산이 시작됐다. 25개 와이너리가 있으며, 이들은 해발 490m~2130m에 위치한다."
루장 드 꾸요Lujan de Cuyo,"루한 데 쿠요​​​​(Lujan de Cuyo)는 아르헨티나에 위치한 와인 산지다. 아르헨티나에서 원산지 명칭 통제 등급을 받은 지역이다. 눈 덮인 산정상, 완만한 언덕을 따라 조성된 포도원이 아름다운 풍광을 자아낸다. 이곳의 말벡은 100년이 넘어 깊은 맛을 준다. 보데가 노통(Bodega Norton), 카테나 자파타(Catena Zapata) 등 국내에 잘 알려진 와이너리가 위치한 곳이다."
살타Salta,살타(Salta)는 아르헨티나 북부에 위치한 가장 오래된 와인 산지다. 17세기 선교사들에 의해 포도나무가 심어졌다. 19세기 유럽에서 온 이민들이 까파야떼 계곡(Cafayata Valley) 일대에 와인 경작을 했다.
부야스Bullas,"부야스(Bullas)는 스페인 무르시아에 속하는 와인 산지다. 고대 로마 시대부터 와인 생산 역사가 있으며, 1980년대까지 벌크 와인 생산을 주로 하다 최근 투자가 집중되고 있다. 모나스트렐을 주로 키우며,템프라니요, 카베르네 소비뇽, 시라 등의 레드 품종과 마카베오, 아이렌 등의 화이트 품종도 재배한다."
쥐랑송Jurancon,"쥐랑송(Jurancon)은 보르도 남서부 지역의 와인 산지로 피레네 산기슭에 자리한다. 드라이한 화이트 와인과 달콤한 와인이 주로 생산된다. 그로 만생, 쁘띠 만생, 꾸르부 등의 품종으로 만든 와인은 열대 과실향이 풍부하다."
산타 크루즈 마운틴스Santa Cruz Mountains,"산타 크루즈 마운틴스(Santa Cruz Mountains)는 캘리포니아 북부 해안에 위치한 독특한 와인 산지이다. 1981년에 AVA로 지정된 이곳은 태평양과 산맥이 어우러진 환경에서 고품질 와인을 생산하는 것으로 유명하다. 산타 크루즈 시와 실리콘 밸리, 몬터레이 만을 아우르는 지리적 특성 때문에 와이너리는 상대적으로 소규모지만, 개성과 품질 면에서 높은 평가를 받고 있다."
욘트빌Yountville,"욘트빌(Yountville)은 캘리포니아 나파밸리(Napa Valley) 중심부에 위치한 소규모 AVA(American Viticultural Area)로, 뛰어난 품질의 와인을 생산하는 지역으로 잘 알려져 있다. 나파밸리 내에서도 북쪽의 Stags Leap District와 남쪽의 Oak Knoll District 사이에 자리 잡고 있다."
덴마크Danmark,
카헤티Kakheti,"카헤티(Kakheti)는 조지아의 대표 와인 산지로 조지아 동쪽에 위치한다. 이 카헤티 지역은 코카서스 지방 대표적인 웰빙 라이프 스타일로 살아가고 있으며, 해마다 와인 수확이 끝나면 풍성한 잔치와 지역 전통 축제를 열어 와인 생산을 자축하고 있다. 카헤티 지역의 기후는 와인 생산에 가장 적합하고 비옥한 토양은 최상품의 와인을 생산할 수 있게 해 준다. 그루지아 와인 문화와 제조법의 비밀은 수천년을 이어져 내려오는"
스프링 마운틴 디스트릭트Spring Mountain district,"스프링 마운틴 디스트릭트(Spring Mountain district)는 미국 캘리포니아 나파 밸리(Napa Valley) 북서쪽에 위치한 고유한 와인 생산지로, 산악 지형과 독특한 기후 덕분에 개성 넘치는 와인을 생산하는 지역이다. Spring Mountain District는 해발 120m에서 700m까지 고도에 걸쳐 있으며, 해양성 기후와 대륙성 기후의 영향을 모두 받는다."
마데라Madera,마데라(Madera)는 미국 캘리포니아 중심부 프레즈노 카운티와 마데라에 걸쳐 자리한 와인 산지다. 생산량은 캘리포니아 센트럴 밸리 전체 생산량의 10%를 차지한다. 과거엔 저품질의 값싼 포도를 생산했으나 엄청난 투자와 노력으로 고품질 포도 생산지로 탈바꿈했다.
래튼불리Wrattonbully,래튼불리(Wrattonbully)는 호주의 와인 산지다. 래튼불리는 남호주 라인스톤 코스트에 자리한다. 토양은 석회암 위 테라로사로 구성되어 있다. 세계적으로 유명한 소고기가 생산되는 지역으로 음식과 와인을 즐기려는 사람들의 관심을 많이 받는 지역이다.
꼬뜨 드 루씨용 빌라쥬Côtes du Roussillon Villages,"꼬뜨 뒤 루씨용(Côtes du Roussillon Villages)은 프랑스 남부의 랑그도크-루시옹(Languedoc-Roussillon) 지역에 위치한 와인 산지이다. 이 지역은 지중해성 기후를 가지고 있어, 여름에는 뜨겁고 건조하며, 겨울에는 온화하고 습한 날씨가 특징이다. 이러한 기후는 포도 재배에 이상적이며, 특히 와인 생산에 적합한 환경을 제공한다."
,
콜롬비아 고지오리건,"콜롬비아 고지(Columbia Gorge) AVA는 포틀랜드에서 동쪽으로 60마일정도에 위치한다. 워싱턴주와 공유되는 산지로 동쪽은 매우 건조하고, 서쪽은 비가 많이 내려 관개 농법을 하지 않고 포도 농사를 지을 수 있는 지역도 있다. 2004년에 정식으로 AVA에 지정되었으며, 연평균 강수량은 동쪽 254mm, 서쪽 914mm 정도이다."
비레-클레쎄Vire-Clesse,"비레-클레쎄(Vire-Clesse)는 프랑스 부르고뉴 지역의 마코네에 위치한, 와인 애호가들 사이에서 잘 알려진 명성을 가진 와인 생산 지역이다. 이 지역은 특히 풍부하고 섬세한 풍미의 화이트 와인을 생산하는 것으로 유명하다. Vire-Clesse의 와인은 주로 샤르도네 포도 품종으로 만들어지며, 이 포도는 이 지역의 기후와 토양 조건에 완벽하게 적응해 특별한 특성을 발휘한다."
물리Moulis,"물리(Moulis)는 프랑스 보르도의 와인 산지다. 메독에서 아주 작은 와인 산지에 속하지만, 매우 다양한 테루아를 지니고 있다. 대서양에 인접하고 있으며, 언덕 지형에 토양은 자갈, 석회암, 그리고 진흙으로 구성된다. 물리 와인은 유혹적인 향을 내며, 강렬하지만 부담을 주지 않고, 유연하고 살아 있는 듯한 젊음과 생기를 보여준다."
꼬뜨 드 본Côte de Beaune,"꼬뜨 드 본(Côte de Beaune)은 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 본은 해발 고도 400m이상 높은 곳에 위치하며, 습한 바람이 불어와 건조한 지역과는 다른 맛을 내는 와인이 생산된다."
리베이로Ribeiro,"리베이로(Ribeiro)는 스페인 북서부에 위치한 와인 산지다. 이곳은 기원전 2세기부터 와인을 생산한 기록이 있으며, 이후 시토 수도회에 의해 와인 생산이 이어졌다. 토스타도스(Tostados) 혹은 리바다비아(Rivadavia) 와인은 햇빛에 건조 시킨 포도로 만든 와인으로 산티아고 순례길에 오르는 사람들이 주로 마셨으며, 17~18세기 영국에서 큰 유행을 했다."
부르고뉴 오뜨 꼬뜨 드 본Bourgogne Hautes Côtes de Beaune,"부르고뉴 오뜨 꼬뜨 드 본(Bourgogne Hautes Côtes de Beaune)은 프랑스 부르고뉴(Bourgogne) 지역의 서부에 위치한 와인 생산 지역이다. 이 지역은 주로 샤르도네(Chardonnay)와 피노 누아(Pinot Noir) 포도 품종으로 잘 알려져 있으며, 다양한 테루아에서 영향을 받는 특색 있는 와인을 생산한다."
아민데오Amindeo,아민데오(Amindeo)는 북부 그리스의 와인 산지로 시노마브로로 만든 레드 와인만 생산한다. 그리스에서 가장 추운 포도원으로 대륙성 기후로 겨울엔 눈이 많이 온다. 아민데오에는 5개의 호수가 있는데 이 호수가 주는 독특한 영향이 와인의 품질을 좌우한다.
생 베랑Saint Veran,"생 베랑(Saint Veran)은 프랑스 부르고뉴 내 마꼬네에 속하는 와인 산지다. 샤르도네 로만 와인을 만들며, 와인은 창백한 금빛에 복숭아, 사과, 배, 꽃 등의 복합적인 풍미를 지닌다. 숙성되면서 헤즐넛, 아몬드, 살짝 꿀 향이 스치기도 한다. 크림 소스를 곁들인 닭고기와 주로 매칭된다."
이머레티Imereti,"이머레티(Imereti)는 조지아(과거 그루지아)의 중요 와인 산지 중 하나이다. 조지아에서 가장 다양한 와인을 생산하는 와인 산지다. 그 이유는 기후와 토양 구성이 부분별로 많이 다르기 때문이다. 이메레티 전체 면적의 70%는 산악 지대이며, 흑해 쪽은 습윤한 아열대 기후에 가깝고, 토양은 점토와 석회암이 섞여 척박하다. 다양한 와인이 생산되지만, 스비리 크라후나(Sviri Krakhuna), 오브추리 촐리쿠리(Obchuri Tsolikouri)"
카틀리Kartli,"카르틀리(Kartli)는 조지아(과거 그루지아)의 중요 와인 산지 중 하나이다. 조지아에서 유명한 와인 산지 중 하나로 사방이 산으로 둘러싸인 카르틀리는 극단적이고 다양한 기후 조건을 지녀, 섬세한 화이트, 레드, 스파클링 와인 생산에 이상적이다."
카스텔리나Castellina,"Castellina 카스텔리나(Castellina) UGA는 포도밭에 아주 가장 넓게 포도가 심어져 있는 카스텔리나 키안티(Castellina in Chianti) 지역의 마을과 일치한다. 지도에서 알 수 있듯이, 포도밭의 분포는 훨씬 덜 균일하다. 그리고 무엇보다도, 경사에 따라 달라진다. SP76 도로의 동쪽으로와 SR222 도로의 산 도나토(San Donato in Poggio)에서 폰테루톨리(Fonterutoli) 지역까지, 포도밭은 라 피아자(La Piazza) 마을의 주변"
조지아Georgia,"조지아(Georgia)는 과거 러시아명 그루지아로 불리던 곳이다. 조지아 와인 역사는 기원전 5천년 전으로 거슬러 오른다. 조지아 와인은 먼 과거부터 수출 상품으로서 제 역할을 해냈으며, 기원전 7세기경에는 페르시아와 그리스 등지로 수출됐다는 기록도 그리스 신화에 남겨져 있다. 조지아는 유럽과 아시아의 교차로에 해당하며, 대코카서스산맥 중서부, 흑해 분지와 카스피해 분지 사이에 위치한다. 조지아는 러시아, 라제르"
라 만차La Mancha,"라 만차(D.O. La Mancha)는 스페인 와인 산지다. 라 만차는 스페인의 중심부에 위치하고 있으며, 매우 광대한 범위의 면적 규모를 가지고 있다. 아직까지는 주목할 만한 와인을 배출해내고 있지 않지만 리오하나 리베라 델 두에로 다음으로 성공적인 와인들이 나올 가능성이 있는 지역으로 주목 받고 있는 지역이기도 하다."
산타 루치아 하이랜즈Santa Lucia Highlands,"산타 루치아 하이랜즈(Santa Lucia Highlands)는 미국 캘리포니아 몬터레이 카운티에 속하는 와인 산지다. 몬터레이만에서 불어오는 해풍의 영향으로 서늘한 지역에 속한다. 강수량이 반사막에 가까울 정도로 적으며 긴 생육 기간을 거친다. 사양토와 석회를 포함한 이암을 지닌다. 주요 품종은 피노 누아, 샤르도네, 약간의 리슬링, 피노 그리, 비오니에, 시라가 재배된다."
샤블리 프리미에 크뤼Chablis Premier Cru,샤블리 프리미에 크뤼(Chablis Premier Cru)는 73종에 달하며 17개의 명칭으로 불린다.
몰리제Molise,"몰리제(Molise)는 이탈리아의 와인 산지다. 몰리제는 아브루쪼, 라치오, 깜빠니아, 아쀨리아에 둘러 쌓여 있다. 몰리제의 음식과 와인 문화는 아브루쪼와 아주 밀접한 관련이 있다. 포도원은 언덕에 위치해 햇빛을 충분히 받으며, 레드, 화이트, 로제 와인을 모두 생산한다."
비첸차vicenza,
앙주Anjou,"앙주(Anjou)는 프랑스 루아르 밸리에 속하는 와인 산지다. 드라이한 화이트 와인과 레드 와인을 생산한다. 샤르도네 혹은 소비뇽 블랑으로 만든 화이트 와인은 사과와 모과향이 특징이며, 미네랄 풍미가 풍부하다. 때때로 이 두 품종이 블렌딩 되기도 한다. 레드 와인의 경우 카베르네 프랑으로 만들며 부드럽다."
리바테주Ribatejo,"리바테주(Ribatejo)는 포르투갈 북부의 와인 산지로 6개의 세부 산지를 두루 아우르는 명칭이다. 주정 강화에 사용되는 스피릿(고도주)을 주로 생산하는 지역이다. 최근 들어 투리가 나시오날과 같은 토착 품종과 더불어 카베르네 소비뇽, 메를로, 시라 등의 국제 품종 재배가 늘고 있다."
까리네냐Carinena,"까리레나(Carinena)는 스페인 아라곤 지역 내 가장 큰 와인 산지다. 대륙성 기후와 시에르조(Cierzo)라 불리는 차고 건조한 바람이 부는 지역이다. 가르나차, 템프라니요, 마주엘라, 카베르네 소비뇽의 레드 품종과 마카베오와 모스카텔 등의 화이트 품종을 주로 재배한다."
샤또네프 뒤 빠쁘Chateauneuf du Pape,샤또네프-뒤-빠쁘 (Châteauneu-du-pape)는 프랑스 론 밸리의 와인 산지다. 1309년 교황이 로마 법왕청의 분열로 인하여 로마로 부임하지 못하고 아비뇽 (Avignon)에 유배되었을 때 샤또네프 뒤 빠쁘 (Châteauneu-du-pape :교황의 새로운 집) 지역에 별장을 지어 놓고 지낸 데서 이 이름이 붙여졌다.
우루과이Urguay,우루과이(Urguay)는 남아메리카 4대 와인 생산국이다. 우루과이 와인은 17세기 스페인 정복자들이 본토에서 가져온 포도를 심기 시작하면서 그 역사가 시작됐다. 1825년 산업 혁명이 일어나기 전까지 우루과이 와인 산업은 큰 변화 없이 유지됐다. 1870년 돈 파스쿠알이 따나(Tannat)품종의 와인을 세상에 내놓으며 와인 산업이 대규모가 진행된다.
꼬뜨 드 뉘-빌라쥬Côte de Nuits-Villages,"꼬뜨 드 뉘-빌라쥬(Côte de Nuits-Villages)는 프랑스 부르고뉴 지역의 와인 생산지로, 코트 드 뉘(Côte de Nuits) 남부와 코트 드 본(Côte de Beaune) 북부 사이에 위치해 있어. 이 지역은 뛰어난 품질의 레드 와인으로 유명하며, 주로 피노 누아(피노 누아) 포도 품종이 재배된다."
부조Vougeot,"부조(Vougeot)는 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 뉘에 속하며, 끌로 드 부조(Clos de Vougeot)라는 그랑 크뤼 포도원이 있다. 이 포도원은 1336년 시토회 수도승에 의해 포도 재배가 시작되었으며, 돌로 쌓인 담으로 둘러져 있다."
비야 알레그레Villa Alegre,
꼬뜨 드 부르그Côtes de Bourg,"꼬뜨 드 부르그(Côtes de Bourg)는 프랑스 보르도 내 블라예 남쪽의 작은 와인 산지다. 도르도뉴강이 갸론느 강과 만나 지롱드에 합류하는 지점이다. 와인은 메를로 중심으로 풍만하며, 탄닌이 있어 숙성 후 즐기기 좋다."
샌 루카스San Lucas,
꼬뜨 드 세잔느Côte de Sezanne,꼬뜨 드 세잔느(Côte de Sezanne)는 프랑스 샹파뉴 지역의 와인 산지다. 꼬뜨 드 세잔느는 급성장한 와인 산지로 1360 헥타르 규모다. 점토와 점토와 섞인 석회질 토양으로 구성되며 남동향이다.
꼬또 뒤 랑그독Côteaux du Languedoc,꼬또 뒤 랑드독(Côteaux du Languedoc)은 남프랑스의 와인 산지다. 꼬또 뒤 랑그독은 생산량의 90%이상이 레드 와인과 로제 와인인 매우 흥미로운 와인 산지다. 지중해성 기후에 해안과 접하고 있어 더운 지역이지만 신선한 풍미를 지닌 와인이 생산된다
꼬뜨 샬로네즈Côte Chalonnaise,"꼬뜨 샬로네즈(Côte Chalonnaise)는 프랑스 부르고뉴 지역의 와인 산지다. 이 지역은 꼬뜨 도르와 마꼬네 사이에 자리하며, 부즈롱(Bouzeron), 륄리(Rully), 메르큐리(Mercuray), 지브리(Givry), 몽따니(Montagny)의 5개 지역으로 구성된다."
사모스Samos,"사모스(Samos)는 그리스의 에게해 북부에 위치한 섬으로, 그리스에서 가장 유명한 디저트 와인을 생산하는 산지 중 하나이다. 이 섬은 고대부터 와인 생산지로 명성을 쌓아왔으며, 특히 모스카토(Moschato, 뮈스카) 품종을 중심으로 한 달콤한 와인으로 유명하다. 사모스 섬은 에게해의 아름다운 경치와 함께 다양한 고지대를 자랑하는 산악 지형이 특징이다."
아르데슈Ardeche,"아르데슈(Ardeche)는 론 북부에 위치한 와인 산지로 IGP등급을 받았다. 그르나슈, 시라 등을 주로 사용해 레드와 로제 와인을 만들고, 소량 화이트 와인도 생산한다."
알레야Alella,"알레야(Alella)는 스페인 까탈루냐에 속하는 와인 산지다. 이 지역엔 사울로(Saulo)라 불리는 표토가 덮혀 있는데, 구멍이 많고 축열 기능이 탁월해 포도를 잘 익게 하고 배수가 용이하다. 가르나차 블랑, 자렐로, 샤르도네, 슈냉 블랑 등의 화이트 품종, 가르나차, 카베르네 소비뇽, 메를로, 모나스트렐 등의 레드 품종이 잘 자란다."
바뉠스Banyuls,"바뉠스(Banyuls)는 프랑스 남부 랑그독-루씨용 지방의 코트 베르메유의 해안 지대에 위치하고 있다. 이 지역의 기후는 지중해성 기후로, 따뜻하고 건조한 여름과 온화한 겨울을 경험한다. 이러한 기후 조건은 포도의 성숙을 돕고, 과일 맛이 진하게 응축되게 만든다."
따벨Tavel,"따벨(Tavel)은 프랑스 론 밸리 남부에 위치하며, 주로 로제 와인을 생산하는 것으로 유명하다. 이 지역의 기후는 지중해성 기후로, 따뜻하고 건조하며 많은 햇빛을 받는다. 이런 기후 조건은 포도의 성숙을 돕고, 과일의 풍미를 집중시켜 풍부한 아로마를 와인에 전달한다."
프랑켄Franken,"프랑켄(Franken)은 독일의 와인 산지다. 프랑켄은 구불구불한 마인 강을 따라 형성되어 있으며, 프랑크푸르트 동쪽에 있다."
코르시카Corsica,"코르시카(Corsica)는 프랑스의 와인 산지다. 코르시카(Corsica) 혹은 꼬르스(Corse)라고도 부르는 코르시카 섬은 이탈리아에서 들여온 품종이나 자체 토속 품종을 많이 사용하며 와인 양조 방식도 프랑스 방식 보다는 이탈리아 스타일이다. 국내에서는 만나기 힘든, 잘 알려지지 않은 와인 산지이다."
쥐드부르겐란트Sudburgenland,쥐드부르겐란트(Sudburgenland)는 오스트리아의 와인 산지다. 쥐드부르겐란트에는 487헥타르의 포도원이 있으며 블라우프랜키쉬를 주품종으로 재배한다. 과거 블라우프랜키쉬로 만든 이 지역 와인을 아이젠베르크(Eisenberg)로 불렀다.
비니살렘 마요르카Binissalem Mallorca,"비니살렘 마요르카(Binissalem Mallorca)는 스페인 동쪽 해안 발레아레스 제도 중 하나에 자리한 와인 산지다. 스페인 본토가 아닌 섬에서는 최초로 DO등급을 받았다. 지중해성 기후에 석회를 많이 함유한 토양으로 된 구릉 지대 언덕에 포도원이 자리한다. 토착 품종인 만토 네그로(Manto Negro)가 생산량의 절반을 차지하는데, 색이 진하고 향기로우며 벨벳 같은 탄닌을 지닌다고 알려져 있다."
바그람Wagram,"바그람(Wagram)은 오스트리아의 중요한 와인 생산 지역 중 하나이다. 이 지역은 주로 도나우 강 북쪽에 위치하며, 빈에서 서쪽으로 약 60km 떨어져 있다. 넓은 평야와 낮은 언덕으로 구성되어 있으며, 와인 재배에 매우 적합한 지형을 갖추고 있다. 도나우 강의 영향을 받아 기후와 토양이 와인 재배에 최적화되어 있다."
체코Czech,
뤼싹 생 떼밀리옹Lussac-Saint-Emilion,뤼싹-생-떼밀리옹(Lussac-Saint-Emilion)은 프랑스 보르도에 속하는 와인 산지로 생-떼밀리옹 위성 와인 산지 중 하나이다. 뤼싹-생-떼밀리옹은 갸론느와 도르도뉴 강 우안에 위치해 언덕과 작은 계곡들로 이뤄져 토양 또한 다양하다. 언덕과 작은 계곡들로 이뤄져 다양한 토양을 지니고 있다.
페우모Peumo,
하이 밸리High Valley,
레드 힐 레이크 카운티Red Hills Lake County,
이스턴 멘도사Eastern Mendoza,"이스턴 멘도사(Eastern Mendoza)는 아르헨티나 멘도사에 속하는 와인 산지다. 이 지역에서 가장 많은 와인이 생산된다. 평평한 지형에 따뜻한 기후를 지닌 메드라노(Medrano) 지역은 해발 750 미터, 라 파즈(La Paz)지역은 해발 560 미터 높이에 분포한다. 모래가 주를 이루며, 그 외 다양한 토양으로 구성됐다."
킹 밸리King Valley,"킹 밸리(King Valley)는 호주 빅토리아주의 와인 산지다. 킹 리버(King River)유역을 둘러싸고 있는 킹 밸리는 매우 다양한 지형을 가지고 있고 비옥하며, 와인 생산지로서의 중요성이 점차 증가하고 있다. 킹 밸리는 샤르도네부터 카베르네 소비뇽까지 모든 스펙트럼에 걸쳐 좋은 품질의 와인 생산이 가능하다."
캔터버리Canterbury,"캔터버리(Canterbury)는 뉴질랜드 남섬의 주요 와인 산지 중 하나로, 특히 크라이스트처치(Christchurch) 주변과 와이파라 밸리(Waipara Valley) 지역이 중심이다. 이 지역은 비교적 최근에 주목받기 시작한 와인 산지로, 독특한 기후와 다양한 토양 구조 덕분에 고품질의 와인을 생산하고 있다. 주로 평야지대로 이루어져 있지만, 와이파라 밸리 같은 구역은 약간의 구릉지 형태를 띄고 있다."
